item code,item description,length cm,height cm,width cm,volume litre,weight kg,in EIC
CCNTUHF-RG213C,CONNECTOR UHF straight male to crimp for RG213 cable,0,0,0,0.04,0.025,yes
CCNTUHF-RG58,CONNECTOR UHF straight male to solder for RG58 cable,0.2,0.1,0.15,0.04,0.02,yes
CCNTUHF-RG58CP,CONNECTOR UHF straight male to crimp for RG58 cable,0,0,0,0.04,0.023,yes
CHFBANTEBM3B,"ANTENNA HF, Optibeam, 6 elements 14-18-21MHz bands",250,19,23,109.25,28.75,yes
CHFBANTEBROD,ANTENNA Broadband folded dipole 1.8-30MHz,78,16,14,17.472,3.75,yes
CHFBMAST10M,"MAST for radio antenna, 6 elements, 10m, 70/45mm",212,9,12,23,12,yes
CHFBMAST7.30M,"MAST for radio antenna, 5 elements, 7.3m, 60/40mm",0,0,0,12.7,7.3,yes
CHFBMASTROTRC5B,ANTENNA Rotor Create RC 5B-3 with control box,0,0,0,0,8.5,yes
CHFBMASTROTRC5C,ANTENNA Rotor Create RC 5B-3 control cable 7x2.5mm2 per m,0,0,0,0,0,yes
CHFBMODMPTC3UP,PACTOR III (update PTC2) +1 cable (modem/PC),22,8,17,2.992,1.3,yes
CHFBPOWESIG,"POWER SUPPLY, Sigma K-207R, 220V/12V",29,17,21,10.353,4,yes
CHFBTXTRSRX,"CODAN NGT/SRX Transceiver, Base , with accessories",51,29,33.5,80,10,yes
CHFMANTENGT,CODAN NGT mobile antenna Tuner with cables,0,0,0,69.19,8.7,yes
CHFMTXTRSRX,"CODAN NGT-SRX Transceiver, mobile without antenna",334,50,28,467.6,9.05,yes
CMEAMLTIFL115,"MULTIMETER digital TRMS Fluke 115 - 600 V,10A,Ohms, Hz, F",28,10,16,4.48,0.75,yes
CMEAMLTIFLUFU,"MULTIMETER Fluke Fuse, 11A Ampmeter protection",4,1,1,0.004,0.008,yes
CSATBGAN500TR,BGAN EXPLORER T&T 500 portable - baseline Unit with phone,0,0,0,0,0,yes
CSATIRID9505TER,"IRIDIUM mobile satellite telephone Motorola 9505A, Kit",30,14,22,9.24,1.3,yes
CSATTHUR2510TR,"THURAYA SO2510, Terminal with USB cable & hi cap. battery",21,8,18,3.024,0.65,yes
CSATTHURFDU350,"THURAYA SO2510, Fix Docking Station - FDU 3500",39,30,24,28.08,6.5,yes
CTELPABXTDA200,PABX PANASONIC KXTD 200NE Main frame,0,0,0,200,20,yes
CUFBRPTRDN700U,REPEATER DANIMEX 700 with GM360 transceivers & duplexer UHF,0,0,0,0,0,yes
CUFMTXTRGM360,"MOTOROLA GM360 UHF mobile 403-460MHz, 1 to 25W",0,0,0,0,0,yes
CUFPTXTRGP360,"MOTOROLA GP360 UHF portable 403-470MHz, 1 to 5W",0,0,0,0,0,yes
CVFBRPTRDN700V,REPEATER DANIMEX 700 with GM360 transceivers & duplexer VHF,0,0,0,0,0,yes
CVFBTXTRAVA200,ICOM AIRBAND A-200 fixe transceiver (with docking station),36,20,22,15.84,4.35,yes
CVFMTXTRGM360,"MOTOROLA GM360 VHF mobile 136-174MHz, 1 to 25W",0,0,0,0,0,yes
CVFMTXTRGP360,"MOTOROLA GP360 VHF portable 136-174MHz, 1 to 5W",0,0,0,0,0,yes
CVFPTXTRHDVXA,VERTEX AIRBAND VXA220 - HEADSET with microphone and PTT,0,0,0,0,0,yes
CVFPTXTRV220,"VERTEX AIRBAND VXA220 handset incl. charger, bat & antenna",22,8,16,2.816,0.95,yes
DASDCHLC1S1,"CHLORHEXIDINE 1.5% + CETRIMIDE 15%, solution, 1L, btl.",0,0,0,2.3674,1.11,yes
DASDIODP1S10,"IODINE POVIDONE, 10%, solution, 1L, btl.",0,0,0,1.32,1.15,yes
DASDIODP1S2,"IODINE POVIDONE, 10%, solution, 200ml, dropper btl.",0,0,0,0.4,0.23,yes
DDGTAGLBC1,"ANTI-HUMAN GLOBULIN, COOMBS, 10ml, btl.",9,2.5,2.6,0.0585,0.032,yes
DDGTALBUB1,"BOVINE ALBUMIN , 30%, 10ml, btl.",9,2.6,2.6,0.0608,0.028,yes
DDGTBLGR1A,"BLOOD GROUPING SERUM ANTI- A, MONOCLONAL, 10ml, btl.",0,0,0,0.054,0.034,yes
DDGTBLGR1AB,"BLOOD GROUPING SERUM ANTI-(A+B), MONOCLONAL, 10ml, btl.",0,0,0,0.054,0.035,yes
DDGTBLGR1B,"BLOOD GROUPING SERUM ANTI-B, MONOCLONAL, 10ml, btl.",0,0,0,0.054,0.034,yes
DDGTBLGRRH1D,"BLOOD RHESUS SERUM ANTI-D, IgM & IgG, 10ml, btl.",0,0,0,0.054,0.034,yes
DDGTHEPBD100,"HEPATITIS B TEST, 'DETERMINE HBsAg', rapid, kit of 100 tests",0,0,0,0.864,0.152,yes
DDGTHEPCH10,"HEPATITIS C TEST, 'HCV SPOT', kit of 100 tests",0,0,0,8.928,0.9975,yes
DDGTHEPCH2,"HEPATITIS C TEST, 'HCV SPOT', kit of 20 tests",0,0,0,1.7856,0.1995,yes
DDGTHIVTD10,"HIV TEST, 'DETERMINE HIV-1/HIV-2', rapid, kit of 100 tests",0,0,0,0.918,0.156,yes
DDGTHIVTU20,"HIV TEST, 'UNI-GOLD HIV (1/2)', rapid, kit for 20 tests",0,0,0,4.363,0.327,yes
DDGTMALRO,"MALARIA TEST, 'OptiMAL', rapid",0,0,0,1.4,0.29,yes
DDGTMALRP25,"MALARIA TEST, 'PARACHECK DEVICE', rapid, kit for 25 tests",0,0,0,2.296406,0.363,yes
DDGTMALRP5,"MALARIA TEST, 'PARACHECK DEVICE', rapid, kit for 5 tests",0,0,0,0.546,0.078,yes
DDGTPREGR,"PREGNANCY TEST, 'RST-HCG'",15,14,6,1.6,0.2,yes
DDGTSYPHR10,"SYPHILIS RPR TEST (carbon test), kit of 100 tests",15,7.7,7.3,0.843158,0.333,yes
DDGTSYPHS3,"SYPHILIS TEST, ""SD BIOLINE 3.0"", rapid, kit of 30 tests",23,8,13,2.392,0.6,yes
DDGTSYPHT10,"SYPHILIS TPHA TEST, kit of 100 tests",0,0,0,0.4225,1.5,yes
DDGTURINM10,"URINE TEST,pH/den/prot/gluc/cet/bld/nit/lc/bili/urob,1 strip",0,0,0,0.000113,0.0008,yes
DDGTURINU4,"URINE TEST, prot/gluc/bld/pH, 1 strip",0,0,0,0.2,0.0008,yes
DEXOCHLO5D1,CHLORAMPHENICOL  0.5%Eye drops  10ml,0,0,0,0.165,0.032,yes
DEXOHOMA1DU4,"HOMATROPINE, 1%, eye drops, unidose, 0.4ml, amp.",0,0,0,0,0,yes
DEXOOXYB4D1,"OXYBUPROCAINE HYDROCHLORIDE, 0.4%, eye drops, 10ml, btl.",0,0,0,0.144,0.026,yes
DEXOPILO2DU4,"PILOCARPINE, 2%, eye drops, unidose, 0.4 or 0.5ml, btl.",0,0,0,0,0,yes
DEXOTETI1DU4,"TETRACAINE, 1%, eye drops, unidose, 0.4ml, amp.",0,0,0,0,0,yes
DEXOTETR1O5,"TETRACYCLINE, 1%, eye ointment, 5g, tube",0,0,0,0.0256,0.0086,yes
DEXOTIMO5D5,"TIMOLOL  0.5%, eye drops, 5ml, btl.",0,0,0,0,0,yes
DEXTBENS6O5,"BENZOIC ACID 6% + SALICYLIC ACID 3%, ointment, 500g, jar",11,11,11,1.331,0.6,yes
DEXTBENZ2L1,"BENZYL BENZOATE, 25%, lotion, 1L, btl.",0,0,0,2.135467,1.1267,yes
DEXTCALAL5,"CALAMINE 15%, lotion, 500ml, btl.",0,0,0,2.1355,1.1267,yes
DEXTCLOT1C2,"CLOTRIMAZOLE, 1%, cream, 20g, tube",0,0,0,0.126,0.029,yes
DEXTGENV1C2,"GENTIAN VIOLET, cristal, 25g, btl.",0,0,0,0.207,0.0425,yes
DEXTHALO1B2,"HALOTHANE, 250ml, btl.",0,0,0,0.984375,0.72,yes
DEXTHYDR1O1,"HYDROCORTISONE ACETATE, 1%, ointment, 15g, tube",0,0,0,0.1333,0.0257,yes
DEXTIPRA2U1,"IPRATROPIUM, nebuliser solution, 0.25mg/ml, 2ml unidose",0,0,0,0,0,yes
DEXTLIDO2G1,"LIDOCAINE, 2%, sterile gel (for urethral use), 10g, syringe",0,0,0,0.308,0.054,yes
DEXTNYST1T,"NYSTATIN, 100 000 IU, vaginal tab.",0,0,0,0.002,0.0011,yes
DEXTPODO5S3,"PODOPHYLOTOXINE 0.5%, solution, 3.5ml + 30 sticks",0,0,0,0,0,yes
DEXTSILN1,"SILVER NITRATE, pencil",0,0,0,0.01575,0.008,yes
DEXTSULZ1C5,"SULFADIAZINE SILVER, 1%, cream, 50g, tube",0,0,0,0.186667,0.0567,yes
DEXTSULZ1C50,"SULFADIAZINE SILVER, 1%, cream, 500g, jar",0,0,0,1.331,0.585,yes
DEXTTALCP1,"TALC, powder,conform to pharmacopoeia (asbestos fibres free)",0,0,0,2.736,1.115,yes
DINFDEXT505,"DEXTROSE, 5%, 500ml",0,0,0,1.2,0.575,yes
DINFDEXT505S,"DEXTROSE, 5%, 500ml, with infusion set",0,0,0,0,0,yes
DINFDEXT51,"DEXTROSE, 5%, 1L",0,0,0,1.9,1.1083,yes
DINFDEXT51S,"DEXTROSE, 5%, 1L, with infusion set",0,0,0,0,0,yes
DINFFLUC201,"FLUCONAZOLE 2mg/ml, 100ml bottle",0,0,0,0,0,yes
DINFMANN2B5,"MANNITOL, 20%, 500ml, btl.",0,0,0,1.32055,0.6165,yes
DINFMETN501,"METRONIDAZOLE, 5mg/ml, 100ml",0,0,0,0.006855,0.0017,yes
DINFPLSU05,"PLASMA SUBSTITUTE, Gelatin, 500ml",21.7,6,7.5,0.9765,0.55,yes
DINFRINL05,"RINGER LACTATE, 500ml",0,0,0,1.055925,0.572,yes
DINFRINL05S,"RINGER LACTATE, 500ml, with infusion set",0,0,0,0,0,yes
DINFRINL1,"RINGER LACTATE, 1L",0,0,0,2.139917,0.95,yes
DINFRINL1S,"RINGER LACTATE, 1L, with infusion set",0,0,0,0,0,yes
DINFSODC905,"SODIUM CHLORIDE, 0.9%, 500ml",0,0,0,1.638,0.625,yes
DINFSODC91B,"SODIUM CHLORIDE, 0.9%, 1L, plastic btl.",26,7,10,1.82,1.1,yes
DINJACSA5V,"ACETYLSALICYLAT LYSINE, 0.9g (aspirin 0.5g), powder vial",0,0,0,0.03,0.0218,yes
DINJAMID7V2,"AMIDOTRIZOATE, 'UROGRAFIN', 76%, ur./vasc., 20ml, vial",0.7,2.1,0.7,0.001,0.06,yes
DINJAMIN2A,"AMINOPHYLLINE, 25mg/ml, 10ml, amp.",0,0,0,0.04332,0.0173,yes
DINJAMPH5V,"AMPHOTERICIN B, 50 mg, IV, powder, vial",0,0,0,0,0,yes
DINJAMPI1V,"AMPICILLIN, 1g, im/iv, powder vial",0,0,0,0.04563,0.022,yes
DINJAMPI5V,"AMPICILLIN, 500mg, im/iv, powder vial",0,0,0,0.036,0.0206,yes
DINJARTE8A,"ARTEMETHER, 80mg/ml, 1ml amp.",11,2,9,0.198,0.05,yes
DINJATEN5A10,"ATENOLOL, 5mg/10ml, amp",12,2,10,0.24,0.2,yes
DINJATRO1A,"ATROPINE SULFATE, 1mg/ml, 1ml, amp.",0,0,0,0.01764,0.0041,yes
DINJATRO5A,"ATROPINE SULFATE, 0.5mg/ml, 1ml, amp.",0,0,0,0.0156,0.0037,yes
DINJBUPI5A4,"BUPIVACAINE, heavy, 0.5% (5mg/ml), 4ml amp. for spinal a.",0,0,0,0.03192,0.01,yes
DINJBUPI5V2,"BUPIVACAINE 0.5%, 5mg/ml, 20ml, vial",0,0,0,0.0833,0.056,yes
DINJBUTY2A,"BUTYLHYOSCINE (butylscopolamine), 20mg/ml, 1ml, amp.",0,0,0,0.01764,0.0051,yes
DINJCALG1A,"CALCIUM GLUCONATE, 100mg/ml, 10ml, amp.",0,0,0,0.03672,0.0175,yes
DINJCEFO5V,"CEFOTAXIME, 500mg, powder, vial",0,0,0,0,0,yes
DINJCEFT1V,"CEFTRIAXONE, 1g, powder, vial",0,0,0,0.0502,0.018,yes
DINJCEFT2V,"CEFTRIAXONE, 250mg, powder, vial",0,0,0,0.144,0.03,yes
DINJCHLM5A,"CHLORPROMAZINE, 25mg/ml, 2ml, amp.",0,0,0,0.0156,0.0051,yes
DINJCHLO1V,"CHLORAMPHENICOL, 1g, powder, vial",0,0,0,0.05236,0.0301,yes
DINJCHLO5AO,"CHLORAMPHENICOL, in oil, 250mg/ml, 2ml, amp.",0,0,0,0.02736,0.0077,yes
DINJCLID3A,"CLINDAMYCIN, 150mg/ml, 2ml amp.",0,0,0,0,0,yes
DINJCLOX2V,"CLOXACILLIN, 250mg, powder, vial",0,0,0,0.05236,0.03,yes
DINJCLOX5V,"CLOXACILLIN, 500mg, powder, vial",0,0,0,0.05236,0.0289,yes
DINJDEXA4A,"DEXAMETHASONE, 4mg PHOSPH./ml (5mg sod.phosph.) 1ml, amp.",0,0,0,0.024,0.0046,yes
DINJDEXT5A2,"DEXTROSE HYPER, 50%, 20ml, amp.",0,0,0,0.08476,0.036,yes
DINJDIAZ1A,"DIAZEPAM, 5mg/ml, 2ml, amp.",15.5,2,7.5,0.2325,0.063,yes
DINJDICL7A,"DICLOFENAC SODIUM, 75mg in 2ml or 3ml, amp.",0,0,0,0.02992,0.0079,yes
DINJDIGO5A,"DIGOXIN, 0.25mg/ml, 2ml, amp.",0,0,0,0.01764,0.0051,yes
DINJDOPA4A5,"DOPAMINE, 40mg/ml, 5ml amp.",0,0,0,0.03493,0.012,yes
DINJEFLO2A1,"EFLORNITHINE HYDROCHLORIDE eq. 200mg/ml base, 100ml amp.",0,0,0,0,0,yes
DINJEPHE3A,"EPHEDRINE, 30mg/ml, 1ml, amp.",0,0,0,0.0216,0.004,yes
DINJEPIN1A,"EPINEPHRINE (adrenaline), 1mg/ml, 1ml, amp.",0,0,0,0.024,0.0045,yes
DINJERGM2A,"METHYLERGOMETRINE, 0.2mg/ml, 1ml, amp.",0,0,0,0.0256,0.0044,yes
DINJFENT1A,"FENTANYL, 0.05mg/ml, 2ml, amp.",0,0,0,0,0,yes
DINJFURO2A,"FUROSEMIDE, 10mg/ml, 2ml, amp",0,0,0,0.024,0.0059,yes
DINJGENT8A,"GENTAMICIN, 40mg/ml, 2ml, amp.",0,0,0,0.024,0.0058,yes
DINJHEPA5V5,"HEPARIN sodium, 5000IU/ml, 5ml, vial.",0,0,0,0.02608,0.0208,yes
DINJHYDA2A,"HYDRALAZINE, 20mg, powder, amp.",0,0,0,0.0297,0.0046,yes
DINJHYDB1A,"HYDROXOCOBALAMINE (vitamin B12), 1mg/ml, 1ml, amp.",0,0,0,0,0,yes
DINJHYDR1V,"HYDROCORTISONE, 100mg, powder, vial",0,0,0,0.034658,0.021,yes
DINJIMCI55V,"IMIPENEM + CILASTATIN, 500 mg + 500 mg, powder vial",0,0,0,0,0,yes
DINJINSH10VI,"INSULIN, INTERMEDIATE ACTION, 100IU/ml, human, 10ml, vial",0,0,0,0.10608,0.09,yes
DINJINSH10VR,"INSULIN, RAPID, 100IU/ml, human, 10ml, vial",0,0,0,0.108,0.09,yes
DINJKETA5V,"KETAMINE, 50mg/ml, 10ml, vial",0,0,0,0.04732,0.0364,yes
DINJLIDO1V2,"LIDOCAINE, 1%, 20ml, vial",0,0,0,0.07168,0.0552,yes
DINJLIDO2CE1,"LIDOCAINE 2%, + EPINEPHRINE 1/80000, 1.8ml, cart.",0,0,0,0,0,yes
DINJLIDO2V2,"LIDOCAINE, 2%, 20ml, vial",0,0,0,0.08085,0.055,yes
DINJLIDO2VE2,"LIDOCAINE 2%, + EPINEPHRINE 1/200000, 20ml, vial",0,0,0,0.112,0.056,yes
DINJMAGS5V,"MAGNESIUM SULFATE, 0.5g/ml, 10ml, vial",0,0,0,0.0418,0.0204,yes
DINJMEDR1V,"MEDROXYPROGESTERONE ACETATE, 150mg, vial.",0,0,0,0,0,yes
DINJMEGL8A5,"MEGLUMINE ANTIMONIATE 81mg Sb/ml, 5ml amp",0,0,0,0,0,yes
DINJMELA3V5,"MELARSOPROL, 3,6%, 5ml vial",0,0,0,0,0,yes
DINJMETO1A,"METOCLOPRAMIDE, 5mg/ml, 2ml, amp.",0,0,0,0.016403,0.005,yes
DINJMORP1A,"MORPHINE, 10mg/ml, 1ml, amp.",19,8,16,2.432,0.46,yes
DINJNALO4A,"NALOXONE, 0.4mg/ml, 1ml, amp.",0,0,0,0.0256,0.0044,yes
DINJNEOS5A,"NEOSTIGMINE METHYLSULFATE, 0.5mg/ml, 1ml, amp.",0,0,0,0.024,0.0044,yes
DINJOXYT1A,"OXYTOCIN, 10IU/ml, 1ml, amp.",0,0,0,0.024,0.045,yes
DINJPENA3A,"PENTAZOCINE, 30mg/ml, 1ml, amp.",0,0,0,0.0156,0.0036,yes
DINJPENIB2V,"PENICILLIN BENZYL BENZATHINE, 2.4 MIU, powder, vial",0,0,0,0.0539,0.03,yes
DINJPENIF4V,"PENICILLIN BENZYL 1 MIU + PROCAINE 3 MIU, (PPF), powd., vial",0,0,0,0.0539,0.0332,yes
DINJPENIG1V,"PENICILLIN BENZYL (peni G cristal peni), 1 MIU, powd., vial",0,0,0,0.054513,0.0298,yes
DINJPENIG5V,"PENICILLIN BENZYL (peni G cristal peni), 5 MIU, powd., vial",0,0,0,0.05236,0.0306,yes
DINJPENT2V,"PENTAMIDINE ISETHIONATE 200mg powder, vial",0,0,0,0,0,yes
DINJPETH1A,"PETHIDINE, 50mg/ml, 2ml, amp.",0,0,0,0,0,yes
DINJPHEN2A,"PHENOBARBITAL, 200mg/ml, 1ml amp.",0,0,0,0,0,yes
DINJPHEY2V,"PHENYTOIN, 50mg/ml BASE, (54.36mg sodium), 5ml, vial",0,0,0,0.0518,0.014,yes
DINJPOTC10A1,"POTASSIUM CHLORIDE, 100mg/ml, 10ml, amp.",0,0,0,0.06007,0.021,yes
DINJPREDM50V,"METHYLPREDNISOLONE, sodium succinate, 500mg, powder, vial",0,0,0,0,0,yes
DINJPROI5A,"PROTAMINE SULPHATE, 10mg/ml, 5ml amp.",0,0,0,0,0,yes
DINJPROM5A,"PROMETHAZINE HYDROCHLORIDE, 25mg/ml, 2ml, amp.",0,0,0,0.01681,0.0055,yes
DINJQUIN6A,"QUININE DI-HYDROCHLORIDE, 300mg/ml, 2ml, amp.",0,0,0,0.0024,0.065,yes
DINJRANI25A2,"RANITIDINE, 25mg/ml, 2ml, amp.",0,0,0,0.03116,0.01,yes
DINJSALB5A,"SALBUTAMOL, 0.5mg/ml, 1ml, amp.",0,0,0,0.0156,0.0036,yes
DINJSODB8A2,"SODIUM BICARBONATE, 8.4%, 1 Meq/ml, 20ml, amp.",0,0,0,0.1131,0.0361,yes
DINJSPEM2V,"SPECTINOMYCIN, 2g, powder, vial",0,0,0,0,0,yes
DINJSTIB1V3,"SODIUM STIBOGLUCONATE, 100mg Sb/ml, 30ml vial",0,0,0,0,0,yes
DINJSTRP1V,"STREPTOMYCIN SULFATE, 1g, powder, vial",0,0,0,0.05236,0.0292,yes
DINJSURA1A,SURAMINE SODIUM 1g amp powder,0,0,0,0,0,yes
DINJSUXC1A,"SUXAMETHONIUM CHLORIDE, 50mg/ml, 2ml, amp.",15.5,2,7.5,0.2325,0.06,yes
DINJTHIA1A,"THIAMINE (vitamine B1), 100mg/ml, 1ml, amp.",0,0,0,0,0,yes
DINJTHIO5V,"THIOPENTAL SODIUM, 500mg, powder, vial",0,0,0,0.07072,0.0354,yes
DINJTRAM1A,"TRAMADOL HYDROCHLORIDE, 50mg/ml, 2ml, amp.",0,0,0,0.0156,0.0051,yes
DINJVECB10V,"VECURONIUM BROMIDE, 10mg, powder vial",0,0,0,0.0624,0.013,yes
DINJWATE1A,"WATER for injection, 10ml, plastic amp.",0,0,0,0.029292,0.0144,yes
DORAACIC2T,"ACICLOVIR, 200mg. tab.",0,0,0,0,0,yes
DORAACSA3T,"ACETYLSALICYLIC ACID, 300 mg, tab.",0,0,0,0.001062,0.0004,yes
DORAACSA5T,"ACETYLSALICYLIC ACID, 500 mg, tab.",0,0,0,0.0012,0.0006,yes
DORAACTZ2T,"ACETAZOLAMIDE, 250mg, tab.",0,0,0,0,0,yes
DORAALBE2T,"ALBENDAZOLE, 200 mg, tab.",0,0,0,0.001296,0.0005,yes
DORAALBE4S10,ALBENDAZOLE 400mg/10ml suspension 10ml,0,0,0,0,0,yes
