Organisation,Acronym,Catalog,GROUP_CODE,GROUP_DESCRIPTION,FAM,FAMILY_DESCRITPION,VEHICLE,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,C,Radio & Telecom,UFB,Uf Base,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,C,Radio & Telecom,UFM,Uhf Mobile,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,C,Radio & Telecom,UFP,Uf Portable,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,C,Radio & Telecom,VFB,Vhf Base,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,C,Radio & Telecom,VFM,Vhf Mobile,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,C,Radio & Telecom,VFP,Vhf Portable,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,C,Radio & Telecom,WLN,WirelessLAN,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,D,Drugs,ASD,Antiseptics & Disinfectants,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,D,Drugs,CHP,Chemicals & Pesticides,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,D,Drugs,DGT,Diagnostic Tests,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,D,Drugs,EXO,External Ophtalmic Drugs,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,D,Drugs,EXT,External Use Drugs,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,D,Drugs,INF,Infusions,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,D,Drugs,INJ,Injections,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,D,Drugs,MIS,Miscellanous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,D,Drugs,ORA,Oral Drugs,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,D,Drugs,VAS,Vaccines & Sera,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,E,Engineering,BUI,Building/Construction,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,E,Engineering,ELE,Electric Supplies,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,E,Engineering,GEN,Generators/Powersupply,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,E,Engineering,HDW,Hardware /Engineering,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,E,Engineering,MAC,Machines & Engines,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,E,Engineering,MEA,Measuring & Marking,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,E,Engineering,MIS,Miscellanous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,E,Engineering,TOO,Tools,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,F,Food,BAF,Basic Food,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,F,Food,CAN,Canned Food,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,F,Food,CER,Cereals,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,F,Food,DAI,Dairy,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,F,Food,MIS,Miscellaneous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,F,Food,NUT,Nutrition,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,F,Food,OIL,Edible Oil,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,F,Food,PUL,Pulses,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,H,Housing,CHP,Chemicals & Pesticides,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,H,Housing,CLS,Clothing /Shoes,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,H,Housing,CON,Containers,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,H,Housing,COO,Cooking Food,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,H,Housing,FUR,Furniture For Housing,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,H,Housing,HEA,Heater,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,H,Housing,HYG,Hygiene Material,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,H,Housing,MAC,Machines & Engines,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,H,Housing,MIS,Miscellanous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,H,Housing,SHE,Shelter,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,I,Information Technology,BUD,FOR Budget,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,I,Information Technology,DES,Desktops,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,I,Information Technology,DIG,Digital Reproduction,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,I,Information Technology,HUB,Hub,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,I,Information Technology,LAP,Laptop,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,I,Information Technology,MIH,It-Hardware,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,I,Information Technology,MIS,Miscellaneous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,I,Information Technology,MON,Monitors For Pc,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,I,Information Technology,NEL,Network LAN,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,I,Information Technology,PRN,Printers,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,I,Information Technology,REP,Repairs,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,I,Information Technology,SCA,Scanner,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,I,Information Technology,SER,Server,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,I,Information Technology,SOF,Software,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,I,Information Technology,TEL,Telephones,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,I,Information Technology,UPS,Uninterruptible Power Supply,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,I,Information Technology,WLN,WirelessLAN,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,K,Kits & Sets,ADM,Administration,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,K,Kits & Sets,COM,Telecom,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,K,Kits & Sets,ENG,Engineering,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,K,Kits & Sets,MED,Medical / Health,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,K,Kits & Sets,MSI,Medical Surgical Instr,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,K,Kits & Sets,ORT,Orthopedic,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,K,Kits & Sets,REL,Relief,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,K,Kits & Sets,SAN,Sanitation,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,K,Kits & Sets,TVE,Transport,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,K,Kits & Sets,VET,Veterinary,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,K,Kits & Sets,WAT,Water & Watersupply,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,L,Library,DIC,Dictionnaries,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,L,Library,HAB,Habitat,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,L,Library,LOG,Logistic,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,L,Library,MAP,Geographical Maps,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,L,Library,MED,Medical / Health,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,L,Library,MIS,Miscellanous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,L,Library,PMD,PMD Publications/Films,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,L,Library,WAT,Water & Watersupply,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,M,Medical Renewable Items,ANE,Anaesthesia Equipment,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,M,Medical Renewable Items,CTD,"Catheters, Tubes, Drains",,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,M,Medical Renewable Items,DLI,Disp. Linen,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,M,Medical Renewable Items,DRE,Dressings,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,M,Medical Renewable Items,FOE,Forensic,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,M,Medical Renewable Items,INS,Injections Supplies,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,M,Medical Renewable Items,LAR,Laboratory Reagents,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,M,Medical Renewable Items,LAS,Laboratory Supplies,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,M,Medical Renewable Items,MIS,Miscellanous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,M,Medical Renewable Items,MRE,Miscellaneous Renewable Mater,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,M,Medical Renewable Items,SIN,Surgical Instruments,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,M,Medical Renewable Items,SNS,Sutures & Needles,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,M,Medical Renewable Items,STE,Sterilization,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,M,Medical Renewable Items,XRA,X-Ray Machines & Equipment,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,O,Prosthetic Technology,CPO,Component Prothesis Ortho,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,O,Prosthetic Technology,DRO,Orthopedic Dressings,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,O,Prosthetic Technology,HDW,Hardware /Engineering,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,O,Prosthetic Technology,MIS,Miscellanous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,O,Prosthetic Technology,OMA,Ortho. Machines,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,O,Prosthetic Technology,OTE,Orthopedic Teaching Items,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,O,Prosthetic Technology,PHY,Physio,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,O,Prosthetic Technology,PLA,Ortho Plastic,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,O,Prosthetic Technology,SBO,Ortho. Straps & Buckles,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,O,Prosthetic Technology,TOO,Tools,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,R,Economic Rehabilitation,AGR,Agricultural Equipment,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,R,Economic Rehabilitation,FER,Fertilizer,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,R,Economic Rehabilitation,FIS,Fishing Equipment,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,R,Economic Rehabilitation,MIS,Miscellanous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,R,Economic Rehabilitation,SEE,Seeds,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,S,Service,COU,Counsel,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,S,Service,MAI,Maintainance,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,S,Service,PAV,Print-Audio-Video,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,S,Service,REP,Repair,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,S,Service,RTL,Rental telecom,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,S,Service,SRV,Various,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,S,Service,TSP,Transports,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,BIK,Bike,Vehicle,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,BOA,Boats,Vehicle,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,FRD,Ford,Vehicle,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,FRK,Forklisfts,Vehicle,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,HIN,Hino,Vehicle,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,HON,Honda,Vehicle,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,HYU,Hyundai,Vehicle,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,KIA,Kia,Vehicle,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,LAN,Land Rover,Vehicle,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,LEY,Leyland,Vehicle,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,MAN,Man,Vehicle,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,MER,Mercedes,Vehicle,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,MIS,Miscellanous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,NIS,Nissan,Vehicle,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,PEU,Peugeot,Vehicle,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,REN,Renault,Vehicle,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,SCI,Scania,Vehicle,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,SUZ,Suzuki,Vehicle,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,TAT,Tata,Vehicle,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,TOY,Toyota,Vehicle,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,TRA,Trailers For Trucks,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,VEA,Vehicles accessories,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,VEC,Vehicles consumables,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,VOL,Volvo,Vehicle,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,VWA,Volkswagen,Vehicle,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,XIL,ILSBO trailer spareparts,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,XLA,Landrover Spareparts,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,XMA,Man Spareparts,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,XME,Mercedes Spareparts,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,XMI,Mitsubishi Spareparts,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,XPE,Peugeot Spareparts,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,XRN,Renault Spareparts,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,XSA,Samero Spare parts,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,XSC,Scania Spareparts,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,XSH,Schmitz spare Parts,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,XTO,Toyota Spareparts,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,XVO,Volvo Spareparts,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,T,Transport,YAM,Yamaha,Vehicle,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,U,ERU units kits & sets,ADM,Administration,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,U,ERU units kits & sets,COM,Telecom,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,U,ERU units kits & sets,ENG,Engineering,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,U,ERU units kits & sets,LOG,Logistic,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,U,ERU units kits & sets,MED,Medical/Heal,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,U,ERU units kits & sets,MSI,Surg. Instr,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,U,ERU units kits & sets,REL,Relief,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,U,ERU units kits & sets,WAT,Water & Watersupply,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,V,Veterinary,DRE,Dressings,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,V,Veterinary,EXT,External Use Drugs,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,V,Veterinary,INJ,Injections,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,V,Veterinary,INS,Injections Supplies,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,V,Veterinary,LAB,Laboratory Equipment,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,V,Veterinary,MEQ,Medical Equipment,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,V,Veterinary,MIS,Miscellaneous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,V,Veterinary,ORA,Oral Drugs,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,W,WatHab,ASD,Antiseptics & Disinfectants,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,W,WatHab,CHP,Chemicals & Pesticides,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,W,WatHab,CON,Containers,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,W,WatHab,MEA,Measuring & Marking,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,W,WatHab,MIS,Miscellanous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,W,WatHab,NEA,Network Accessories,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,W,WatHab,NEC,Network Couplings,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,W,WatHab,NEH,Network Hoses,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,W,WatHab,NEP,Network Pipes,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,W,WatHab,NEV,Network Valves,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,W,WatHab,PUC,Pump-combustion engine,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,W,WatHab,PUE,Pump-electrically driven,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,W,WatHab,PUH,Pump-handpump,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,W,WatHab,SAN,Sanitation,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,W,WatHab,SPP,Spare Parts for Pumps,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,W,WatHab,TOO,Tools,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,W,WatHab,WAK,Wattanks,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,W,WatHab,WAT,Water & Watersupply,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,W,WatHab,WTE,Water Treatment Equipment,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,W,WatHab,WTU,Water Treatment Unit,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,X,Medical Equipment & Instrument,ANE,Anaesthesia Equipment,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,X,Medical Equipment & Instrument,COL,Cold Chain Materials,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,X,Medical Equipment & Instrument,CTD,"Catheters, Tubes, Drains",,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,X,Medical Equipment & Instrument,FIX,Fixators,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,X,Medical Equipment & Instrument,LAB,Laboratory Equipment,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,X,Medical Equipment & Instrument,LIN,Linen & Operative  Fie,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,X,Medical Equipment & Instrument,MEQ,Medical Equipment,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,X,Medical Equipment & Instrument,MIS,Miscellaneous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,X,Medical Equipment & Instrument,SEQ,Surgical Equipment,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,X,Medical Equipment & Instrument,SID,Dental Instruments,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,IFRC Standard Catalog,X,Medical Equipment & Instrument,SIN,Surgical Instruments,,,
