"Organisation","Acronym","Office","Code","Catalog","Asset No","Type","Category","Name","Location","Assigned To","Brand","Model","SN","Supplier","Date","Price","Comments"
"Los Angeles City Emergency Management Department","EMD","EMD Main Warehouse",,"Standard",,9,"Equipment & Tools","Laboratory/Sampling Equipment",,,,,,,,,
"American Red Cross of Greater Los Angeles","ARC","Central Warehouse",,"Standard",,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"American Red Cross of Greater Los Angeles","ARC","Central Warehouse",,"Standard",,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"American Red Cross of Greater Los Angeles","ARC","Central Warehouse",,"Standard",,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"American Red Cross of Greater Los Angeles","ARC","Central Warehouse",,"Standard",,9,"Equipment & Tools","Air Compressor",,,,,,,,,
"American Red Cross of Greater Los Angeles","ARC","Central Warehouse",,"Standard",,9,"Equipment & Tools","Air Compressor",,,,,,,,,
"American Red Cross of Greater Los Angeles","ARC","Central Warehouse",,"Standard",,9,"Medical supplies","Wheelchair",,,,,,,,,
"American Red Cross of Greater Los Angeles","ARC","Central Warehouse",,"Standard",,9,"Medical supplies","Wheelchair",,,,,,,,,
"American Red Cross of Greater Los Angeles","ARC","Central Warehouse",,"Standard",,9,"Medical supplies","Wheelchair",,,,,,,,,
"Los Angeles County Department of Public Health",,"Antelope Valley Public Health Center",,"Standard",,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"Los Angeles County Department of Public Health",,"Central Public Health Center",,"Standard",,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"Los Angeles County Department of Public Health",,"Curtis-Tucker Public Health Center",,"Standard",,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"Los Angeles County Department of Public Health",,"Glendale Public Health Center",,"Standard",,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"Los Angeles County Department of Public Health",,"Hollywood/Wilshire Public Health Center",,"Standard",,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"Los Angeles County Department of Public Health",,"Martin Luther King, Jr. Center for Public Health",,"Standard",,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"Los Angeles County Department of Public Health",,"Monrovia Public Health Center",,"Standard",,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"Los Angeles County Department of Public Health",,"North Hollywood Public Health Center",,"Standard",,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"Los Angeles County Department of Public Health",,"Pacoima Public Health Center",,"Standard",,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"Los Angeles County Department of Public Health",,"Pomona Public Health Center",,"Standard",,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"Los Angeles County Department of Public Health",,"Ruth-Temple Public Health Center",,"Standard",,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"Los Angeles County Department of Public Health",,"Simms/Mann Health and Wellness Center",,"Standard",,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"Los Angeles County Department of Public Health",,"Torrance Public Health Center",,"Standard",,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"Los Angeles County Department of Public Health",,"Whittier Public Health Center",,"Standard",,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"American Red Cross of Greater Los Angeles","ARC","Chapter Headquarters, West District Office",,,,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"American Red Cross of Greater Los Angeles","ARC","Central East District Office",,,,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"American Red Cross of Greater Los Angeles","ARC","Koreatown/Wilshire District Office",,,,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"American Red Cross of Greater Los Angeles","ARC","Arcadia Chapter",,,,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"American Red Cross of Greater Los Angeles","ARC","East San Fernando Valley District Office",,,,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"American Red Cross of Greater Los Angeles","ARC","West San Fernando Valley District Office",,,,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"American Red Cross of Greater Los Angeles","ARC","Claremont Chapter",,,,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"American Red Cross of Greater Los Angeles","ARC","Glendale-Crescenta Valley",,,,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"American Red Cross of Greater Los Angeles","ARC","South East District Office",,,,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"American Red Cross of Greater Los Angeles","ARC","Antelope Valley Chapter",,,,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"American Red Cross of Greater Los Angeles","ARC","San Gabriel Pomona Valley Chapter",,,,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"American Red Cross of Greater Los Angeles","ARC","Santa Clarita Valley District Office",,,,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"American Red Cross of Greater Los Angeles","ARC","Santa Monica Chapter",,,,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
"American Red Cross of Greater Los Angeles","ARC","South Bay District Office",,,,1,"Equipment & Tools","Ambulance & Equipment",,,,,,,,,
