Organisation,Acronym,Office,Code,Catalog,Asset No,Type,Category,Name,Location,Assigned To,Brand,Model,SN,Supplier,Date,Price,Comments
American Red Cross of Greater Los Angeles,ARC,Central Warehouse,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,ARC,Central Warehouse,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,ARC,Central Warehouse,,Other Items,,4,Equipment & Tools,Air Compressor,,,,,,,,,
American Red Cross of Greater Los Angeles,ARC,Central Warehouse,,Other Items,,4,Equipment & Tools,Air Compressor,,,,,,,,,
American Red Cross of Greater Los Angeles,ARC,Central Warehouse,,Other Items,,4,Medical supplies,Wheelchair,,,,,,,,,
American Red Cross of Greater Los Angeles,ARC,Central Warehouse,,Other Items,,4,Medical supplies,Wheelchair,,,,,,,,,
American Red Cross of Greater Los Angeles,ARC,Central Warehouse,,Other Items,,4,Medical supplies,Wheelchair,,,,,,,,,
Los Angeles County Department of Public Health,,Antelope Valley Public Health Center,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles County Department of Public Health,,Central Public Health Center,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles County Department of Public Health,,Curtis-Tucker Public Health Center,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles County Department of Public Health,,Glendale Public Health Center,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles County Department of Public Health,,Hollywood/Wilshire Public Health Center,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles County Department of Public Health,,"Martin Luther King, Jr. Center for Public Health",,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles County Department of Public Health,,Monrovia Public Health Center,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles County Department of Public Health,,North Hollywood Public Health Center,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles County Department of Public Health,,Pacoima Public Health Center,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles County Department of Public Health,,Pomona Public Health Center,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles County Department of Public Health,,Ruth-Temple Public Health Center,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles County Department of Public Health,,Simms/Mann Health and Wellness Center,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles County Department of Public Health,,Torrance Public Health Center,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
Los Angeles County Department of Public Health,,Whittier Public Health Center,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,ARC,"Chapter Headquarters, West District Office",,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,ARC,Central East District Office,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,ARC,Koreatown/Wilshire District Office,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,ARC,Arcadia Chapter,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,ARC,East San Fernando Valley District Office,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,ARC,West San Fernando Valley District Office,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,ARC,Claremont Chapter,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,ARC,Glendale-Crescenta Valley,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,ARC,South East District Office,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,ARC,Antelope Valley Chapter,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,ARC,San Gabriel Pomona Valley Chapter,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,ARC,Santa Clarita Valley District Office,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,ARC,Santa Monica Chapter,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
American Red Cross of Greater Los Angeles,ARC,South Bay District Office,,Other Items,,1,Equipment & Tools,Ambulance & Equipment,,,,,,,,,
