Catalog,Category Code,Category,Item Name,Unit of Measure,Pack,Pack Quantity,Pack2,Pack2 Quantity,Pack3,Pack3 Quantity,Distributed,Comments
Standard,MATERIALS,Building Materials,Steel,lbs,,,,,,,T,
Standard,MATERIALS,Building Materials,Sulfur Dioxide,cy,,,,,,,T,
Standard,MATERIALS,Building Materials,Tarps,ea,,,,,,,T,
Standard,MATERIALS,Building Materials,Tile,sf,,,,,,,T,
Standard,MATERIALS,Building Materials,Toilet,ea,,,,,,,T,
Standard,MATERIALS,Building Materials,Tub,ea,,,,,,,T,
Standard,MATERIALS,Building Materials,Windows,ea,,,,,,,T,
Standard,$,Cash,Bank Cards,$,,,,,,,T,
Standard,$,Cash,Check,$,,,,,,,T,
Standard,$,Cash,Domestic Currency,$,,,,,,,T,priority
Standard,$,Cash,Foreign currency,$ equivalent,,,,,,,T,
Standard,$,Cash,Vouchers,$,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Aerator,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Air Compressor,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Air Conditioner/Heater,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Air Cooled Chiller Unit,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Air Curtain Burner,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Air Supply,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Aircraft,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Ambulance & Equipment,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,ATM,ea,,,,,,,T,Cash Dispenser
Standard,EQUIP,Equipment & Tools,Auger,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Barge,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Barricades,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Beacon,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Boat,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Bolt Cutters,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Boots,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Box Blade,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Breaker,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Broom,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Bucket,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Cabling,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Cage,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Camera,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Camera Snakes,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Carbon,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Chain Saw,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Chipper,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Chlorination Equipment,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Chlorination/Dechlorination ,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Compactor,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,"Computer (Laptops, Monitors, Cables, PC's)",ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Concrete Grinder,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Copier,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Crane,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Cutter,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Dehumidifier,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Derrick,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Dock Plates,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Dozer,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Drywall Tools,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Dumpster,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Electrical panel,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Excavator,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Face Masks,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Fan,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Fax Machine,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Field Rake,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Fire Hydrant,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Fire Pump,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Fire Suppression,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Flashlight,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Flotation Device,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Fork Lift,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Furnace,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Garbage Can,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Generator,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Generator Cable,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Gloves,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,GPS / Transponder,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Grader,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Grader Blade,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Hardhat,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Heater,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Helicopter,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Helmet,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Hose,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Ice Machine,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Jackhammer,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Jaws of Life,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Laboratory/Sampling Equipment,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Ladder,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Life,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Light Plant,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Light Tower,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Lighting,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Megaphone/Loudspeaker,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Message Board,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Metal Detector,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Mixer,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Mop,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Mower,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Mulcher,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Pallet,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Pallet Grabber,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Pallet Jack,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Phone,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Phone Line,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Plastic Liners,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Pliers,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Plumbing Tools,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Poles,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Power Cord,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Power Distribution Box,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Power Line,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Power Supply,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,PPE,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Pressure Washer,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Printer,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Projector,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Pump,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Pump Extender,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Pump System,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Radio,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Rope,lf,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Satellite,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Saw,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Scanner,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Scraper,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Screwdriver,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Sensor,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Shovel,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Shrinkwrap,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Sign,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Snow Thrower,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Solids Processing,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Sprayer,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Strainers/T-Joints/Elbows,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Stretcher,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Striking Tools,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Striper,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Sweeper,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Table,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Tamper Plate,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Tank,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Tent,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Tire Balancer,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Tire Changer,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Topdresser,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Towels,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Tractor,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Transformer,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Traprake,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Trench Box,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Trencher,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Trowel,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Tub Grinder,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Utencils,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Vacuum,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Valves,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Vehicles,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Ventilator,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Vibrator,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Video Conferencing,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Video Transmitter,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Walkers,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Water Cooler,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Water Purification System,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Welder,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Well Equipment,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Wheelchair,ea,,,,,,,T,
Standard,EQUIP,Equipment & Tools,Wrench,ea,,,,,,,T,
Standard,FACILITY,Facilities,Agriculture Laboratory,ea,,,,,,,T,
Standard,FACILITY,Facilities,Airport,ea,,,,,,,T,
Standard,FACILITY,Facilities,Animal Feedlot,ea,,,,,,,T,
Standard,FACILITY,Facilities,Animal Shelter,ea,,,,,,,T,
Standard,FACILITY,Facilities,Barn,ea,,,,,,,T,
Standard,FACILITY,Facilities,Cold Storage,ea,,,,,,,T,
Standard,FACILITY,Facilities,Empty Lot,ea,,,,,,,T,
Standard,FACILITY,Facilities,Grain Storage,ea,,,,,,,T,
Standard,FACILITY,Facilities,Hand Wash Station,ea,,,,,,,T,
Standard,FACILITY,Facilities,Mobile Kitchen,ea,,,,,,,T,
Standard,FACILITY,Facilities,Office,ea,,,,,,,T,
Standard,FACILITY,Facilities,Other Facilities,ea,,,,,,,T,
Standard,FACILITY,Facilities,Rail Station,ea,,,,,,,T,
Standard,FACILITY,Facilities,Shelter,ea,,,,,,,T,
Standard,FACILITY,Facilities,Staging,ea,,,,,,,T,
Standard,FACILITY,Facilities,Storage,ea,,,,,,,T,
Standard,FOOD,Food & Water,Animal Feed,lbs,,,,,,,T,
Standard,FOOD,Food & Water,Canned/Dried Food,lbs,,,,,,,T,priority
Standard,FOOD,Food & Water,Ice,lbs,,,,,,,T,priority
Standard,FOOD,Food & Water,Infant Formula,lbs,,,,,,,T,priority
Standard,FOOD,Food & Water,Non-Potable Water,gal,,,,,,,T,
Standard,FOOD,Food & Water,Perishable Food,lbs,,,,,,,T,priority
Standard,FOOD,Food & Water,Potable Water,gal,,,,,,,T,priority
Standard,FUEL,Fuel,Aviation,gal,,,,,,,T,
Standard,FUEL,Fuel,Diesel,gal,,,,,,,T,
Standard,FUEL,Fuel,Gasoline,gal,,,,,,,T,priority
Standard,FUEL,Fuel,Heating Oil,gal,,,,,,,T,
Standard,FUEL,Fuel,Liquid Propane,gal,,,,,,,T,priority
Standard,FUEL,Fuel,Natural Gas,gal,,,,,,,T,
Standard,SUPPLIES,General supplies,Anticeptic,ea,,,,,,,T,
Standard,SUPPLIES,General supplies,Bandages,ea,,,,,,,T,
Standard,SUPPLIES,General supplies,Batteries,ea,,,,,,,T,
Standard,SUPPLIES,General supplies,Body Bags,ea,,,,,,,T,
Standard,SUPPLIES,General supplies,Boxes,ea,,,,,,,T,
Standard,SUPPLIES,General supplies,Cane,ea,,,,,,,T,
Standard,SUPPLIES,General supplies,Cleaners,ea,,,,,,,T,priority
Standard,SUPPLIES,General supplies,Crutches,ea,,,,,,,T,
Standard,SUPPLIES,General supplies,Defibrilator,ea,,,,,,,T,
Standard,SUPPLIES,General supplies,Diapers,dz,,,,,,,T,
Standard,SUPPLIES,General supplies,Hearing Aid,ea,,,,,,,T,
Standard,SUPPLIES,General supplies,ID Badges,ea,,,,,,,T,
Standard,SUPPLIES,General supplies,Insect Repellant,ea,,,,,,,T,
Standard,MEDICAL,Medical supplies,Office Supplies,ea,,,,,,,T,
Standard,MEDICAL,Medical supplies,Plastic Sheeting,roll,,,,,,,T,priority
Standard,MEDICAL,Medical supplies,Tape,roll,,,,,,,T,
Standard,MEDICAL,Medical supplies,Tarps,ea,,,,,,,T,priority
Standard,MEDICAL,Medical supplies,Toiletries,ea,,,,,,,T,priority
Standard,MEDICAL,Medical supplies,Towels,ea,,,,,,,T,
Standard,MEDICAL,Medical supplies,Trash Bags,bx,,,,,,,T,priority
Standard,MEDICAL,Medical supplies,Ventilator,ea,,,,,,,T,
Standard,MEDICAL,Medical supplies,Wheelchair,ea,,,,,,,T,
Standard,OTHER,Other,Other,ea,,,,,,,T,
Standard,SERVICES,Services,Accounting,hour,day,8,week,40,month,160,T,
Standard,SERVICES,Services,Administrative,hour,day,8,week,40,month,160,T,
Standard,SERVICES,Services,Architecture,hour,day,8,week,40,month,160,T,
Standard,SERVICES,Services,Automotive repair,hour,day,8,week,40,month,160,T,
Standard,SERVICES,Services,Care and shelter,hour,day,8,week,40,month,160,T,priority
Standard,SERVICES,Services,Catering,hour,day,8,week,40,month,160,T,
Standard,SERVICES,Services,Communications,hour,day,8,week,40,month,160,T,
Standard,SERVICES,Services,Construction,hour,day,8,week,40,month,160,T,
Standard,SERVICES,Services,Debris removal,hour,day,8,week,40,month,160,T,priority
Standard,SERVICES,Services,Demolition,hour,day,8,week,40,month,160,T,
Standard,SERVICES,Services,Engineering,hour,day,8,week,40,month,160,T,priority
Standard,SERVICES,Services,Firefighting ,hour,day,8,week,40,month,160,T,
Standard,SERVICES,Services,Fumigation,hour,day,8,week,40,month,160,T,
Standard,SERVICES,Services,General Labor,hour,day,8,week,40,month,160,T,priority
Standard,SERVICES,Services,Health Care,hour,day,8,week,40,month,160,T,priority
Standard,SERVICES,Services,Household Repair,hour,day,8,week,40,month,160,T,
Standard,SERVICES,Services,Housing,hour,day,8,week,40,month,160,T,priority
Standard,SERVICES,Services,Legal,hour,day,8,week,40,month,160,T,
Standard,SERVICES,Services,Other Services,hour,day,8,week,40,month,160,T,
Standard,SERVICES,Services,Photography,hour,day,8,week,40,month,160,T,
Standard,SERVICES,Services,Planning (Urban),hour,day,8,week,40,month,160,T,
Standard,SERVICES,Services,Resource Protection (Environmental),hour,day,8,week,40,month,160,T,
Standard,SERVICES,Services,Search and Rescue,hour,day,8,week,40,month,160,T,priority
Standard,SERVICES,Services,Security,hour,day,8,week,40,month,160,T,priority
Standard,SERVICES,Services,Skilled Labor,hour,day,8,week,40,month,160,T,
Standard,SERVICES,Services,Translation,hour,day,8,week,40,month,160,T,
Standard,SERVICES,Services,Transportation,hour,day,8,week,40,month,160,T,priority
Standard,SERVICES,Services,Warehousing,hour,day,8,week,40,month,160,T,
