L1,L2,L3,L4
New York,Queens,Queens,Steinway
New York,Queens,Queens,Sunnyside
New York,Queens,Queens,Tudor Village
New York,Queens,Queens,Utopia
New York,Queens,Queens,Whitestone
New York,Queens,Queens,Willets Point
New York,Queens,Queens,Woodhaven
New York,Queens,Queens,Woodside
New York,Queens,Queens,Woodside
New York,Richmond,Staten Island,Annadale
New York,Richmond,Staten Island,Arden Heights
New York,Richmond,Staten Island,Arlington
New York,Richmond,Staten Island,Arrochar
New York,Richmond,Staten Island,Bay Terrace
New York,Richmond,Staten Island,Bloomfield
New York,Richmond,Staten Island,Bulls Heads
New York,Richmond,Staten Island,Castleton Corners
New York,Richmond,Staten Island,Charleston
New York,Richmond,Staten Island,Chelsea
New York,Richmond,Staten Island,Clifton
New York,Richmond,Staten Island,Concord
New York,Richmond,Staten Island,Dongan Hills
New York,Richmond,Staten Island,Egbertville
New York,Richmond,Staten Island,Elm Park
New York,Richmond,Staten Island,Eltingville
New York,Richmond,Staten Island,Emerson Hill
New York,Richmond,Staten Island,Fort Wadsworth
New York,Richmond,Staten Island,Graniteville
New York,Richmond,Staten Island,Grant City
New York,Richmond,Staten Island,Grasmere
New York,Richmond,Staten Island,Great Kills
New York,Richmond,Staten Island,Greenridge
New York,Richmond,Staten Island,Grymes Hill
New York,Richmond,Staten Island,Huguenot
New York,Richmond,Staten Island,Livingston
New York,Richmond,Staten Island,Mariners Harbor
New York,Richmond,Staten Island,Meiers Corners
New York,Richmond,Staten Island,Midland Beach
New York,Richmond,Staten Island,New Brighton
New York,Richmond,Staten Island,New Dorp
New York,Richmond,Staten Island,New Springville
New York,Richmond,Staten Island,Oakwood
New York,Richmond,Staten Island,Ocean Breeze
New York,Richmond,Staten Island,Old Town
New York,Richmond,Staten Island,Pleasant Plains
New York,Richmond,Staten Island,Port Ivory
New York,Richmond,Staten Island,Port Richmond
New York,Richmond,Staten Island,Prince's Bay
New York,Richmond,Staten Island,Randall Manor
New York,Richmond,Staten Island,Richmond Valley
New York,Richmond,Staten Island,Rosebank
New York,Richmond,Staten Island,Rossville
New York,Richmond,Staten Island,Shore Acres
New York,Richmond,Staten Island,Silver Lake
New York,Richmond,Staten Island,South Beach
New York,Richmond,Staten Island,St. George
New York,Richmond,Staten Island,Stapleton
New York,Richmond,Staten Island,Sunnyside
New York,Richmond,Staten Island,Todt Hill
New York,Richmond,Staten Island,Tompkinsville
New York,Richmond,Staten Island,Tottenville
New York,Richmond,Staten Island,Travis
New York,Richmond,Staten Island,West Brighton
New York,Richmond,Staten Island,Westerleigh
New York,Richmond,Staten Island,Woodrow
