Template,Section,Section Position,SubSection,SubSection Position,SubSubSection,SubSubSection Position,Question,Question Position,Type,Options,Required,Code,Totals,Grid,Show Hidden,Tooltip
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,<16 yrs,10,number,,,33410,,,,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,16-19 yrs,11,number,,,33411,,,,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,20 yrs,12,number,,,33412,,,,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,lactating mothers,13,options,"['Yes','No']",,33413,,,,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,how many,14,number,,,33414,,,,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,Other special needs,15,options,"['Yes','No']",,33415,,,,
Rapid Assessment,3. Demographic data,3,"d) Are there IDPs with the following special needs, and if so, how many?",4,,,specify,16,text,,,33416,,,,
Rapid Assessment,3. Demographic data,3,e),5,,,Are there people staying outside of the Evacuation Centre who have also been displaced?,1,options,"['Yes','No']",,3351,,,,
Rapid Assessment,3. Demographic data,3,"f) How many people are dead, missing, or injured due to the disaster event?",6,,,Grid,1,Grid,,,G336,,"[['Dead (confirmed)','Missing','Injured'],['Male Adult','Female Adult','Total Adult','Male Children','Female Children','Total Children','Grand Total']]",,
Rapid Assessment,3. Demographic data,3,"f) How many people are dead, missing, or injured due to the disaster event?",6,,,Male Adult,2,number,,,RADeadMaleAdults,,"['G336',1,1]",,Confirmed Deaths only
Rapid Assessment,3. Demographic data,3,"f) How many people are dead, missing, or injured due to the disaster event?",6,,,Female Adult,3,number,,,RADeadFemaleAdults,,"['G336',1,2]",,Confirmed Deaths only
Rapid Assessment,3. Demographic data,3,"f) How many people are dead, missing, or injured due to the disaster event?",6,,,Total Adult,4,number,,,RADeadAdults,"['RADeadMaleAdults','RADeadFemaleAdults']","['G336',1,3]",,Confirmed Deaths only
Rapid Assessment,3. Demographic data,3,"f) How many people are dead, missing, or injured due to the disaster event?",6,,,Male Children,5,number,,,RADeadMaleChildren,,"['G336',1,4]",,Confirmed Deaths only
Rapid Assessment,3. Demographic data,3,"f) How many people are dead, missing, or injured due to the disaster event?",6,,,Female Children,6,number,,,RADeadFemaleChildren,,"['G336',1,5]",,Confirmed Deaths only
Rapid Assessment,3. Demographic data,3,"f) How many people are dead, missing, or injured due to the disaster event?",6,,,Total Children,7,number,,,RADeadChildren,"['RADeadMaleChildren','RADeadFemaleChildren']","['G336',1,6]",,Confirmed Deaths only
Rapid Assessment,3. Demographic data,3,"f) How many people are dead, missing, or injured due to the disaster event?",6,,,Grand Total,8,number,,,,"['RADeadAdults','RADeadChildren']","['G336',1,7]",,Confirmed Deaths only
Rapid Assessment,3. Demographic data,3,"f) How many people are dead, missing, or injured due to the disaster event?",6,,,Male Adult,9,number,,,RAMissingMaleAdults,,"['G336',2,1]",,
Rapid Assessment,3. Demographic data,3,"f) How many people are dead, missing, or injured due to the disaster event?",6,,,Female Adult,10,number,,,RAMissingFemaleAdults,,"['G336',2,2]",,
Rapid Assessment,3. Demographic data,3,"f) How many people are dead, missing, or injured due to the disaster event?",6,,,Total Adult,11,number,,,RAMissingAdults,"['RAMissingMaleAdults','RAMissingFemaleAdults']","['G336',2,3]",,
Rapid Assessment,3. Demographic data,3,"f) How many people are dead, missing, or injured due to the disaster event?",6,,,Male Children,12,number,,,RAMissingMaleChildren,,"['G336',2,4]",,
Rapid Assessment,3. Demographic data,3,"f) How many people are dead, missing, or injured due to the disaster event?",6,,,Female Children,13,number,,,RAMissingFemaleChildren,,"['G336',2,5]",,
Rapid Assessment,3. Demographic data,3,"f) How many people are dead, missing, or injured due to the disaster event?",6,,,Total Children,14,number,,,RAMissingChildren,"['RAMissingMaleChildren','RAMissingFemaleChildren']","['G336',2,6]",,
Rapid Assessment,3. Demographic data,3,"f) How many people are dead, missing, or injured due to the disaster event?",6,,,Grand Total,15,number,,,,"['RAMissingAdults','RAMissingChildren']","['G336',2,7]",,
Rapid Assessment,3. Demographic data,3,"f) How many people are dead, missing, or injured due to the disaster event?",6,,,Male Adult,16,number,,,RAInjuredMaleAdults,,"['G336',3,1]",,
Rapid Assessment,3. Demographic data,3,"f) How many people are dead, missing, or injured due to the disaster event?",6,,,Female Adult,17,number,,,RAInjuredFemaleAdults,,"['G336',3,2]",,
Rapid Assessment,3. Demographic data,3,"f) How many people are dead, missing, or injured due to the disaster event?",6,,,Injured Adult,18,number,,,RAInjuredAdults,"['RAInjuredMaleAdults','RAInjuredFemaleAdults']","['G336',3,3]",,
Rapid Assessment,3. Demographic data,3,"f) How many people are dead, missing, or injured due to the disaster event?",6,,,Male Children,19,number,,,RAInjuredMaleChildren,,"['G336',3,4]",,
Rapid Assessment,3. Demographic data,3,"f) How many people are dead, missing, or injured due to the disaster event?",6,,,Female Children,20,number,,,RAInjuredFemaleChildren,,"['G336',3,5]",,
Rapid Assessment,3. Demographic data,3,"f) How many people are dead, missing, or injured due to the disaster event?",6,,,Total Children,21,number,,,RAInjuredChildren,"['RAInjuredMaleChildren','RAInjuredFemaleChildren']","['G336',3,6]",,
Rapid Assessment,3. Demographic data,3,"f) How many people are dead, missing, or injured due to the disaster event?",6,,,Grand Total,22,number,,,,"['RAInjuredAdults','RAInjuredChildren']","['G336',3,7]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,,,i. Has the community received any assistance?,1,boolean,,,,,,"['G44','4411']",
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Grid,1,Grid,,,G44,,"[['Blankets','Cooking Utensils','Clothes','Food','Hygiene Kit(s)','Tarpaulin','Mosquito Nets','Tents','Water','Water Kit(s)','Voucher /Cash','Others'],['Item','When provided (in days since event)','Qty','Unit','Govt','NNGO','INGO','PHL Red Cross','Church','Private Entities','Other']]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Blankets,2,boolean,,,,,"['G44',1,1]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,When provided (in days since event),3,number,,,,,"['G44',1,2]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Qty,4,number,,,,,"['G44',1,3]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Unit,5,text,,,,,"['G44',1,4]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Govt,6,boolean,,,,,"['G44',1,5]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,NNGO,7,boolean,,,,,"['G44',1,6]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,INGO,8,boolean,,,,,"['G44',1,7]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,PHL Red Cross,9,boolean,,,,,"['G44',1,8]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Church,10,boolean,,,,,"['G44',1,9]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Private Entities,11,boolean,,,,,"['G44',1,10]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Other,12,boolean,,,,,"['G44',1,11]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Cooking Utensils,13,boolean,,,,,"['G44',2,1]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,When provided (in days since event),14,number,,,,,"['G44',2,2]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Qty,15,number,,,,,"['G44',2,3]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Unit,16,text,,,,,"['G44',2,4]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Govt,17,boolean,,,,,"['G44',2,5]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,NNGO,18,boolean,,,,,"['G44',2,6]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,INGO,19,boolean,,,,,"['G44',2,7]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,PHL Red Cross,20,boolean,,,,,"['G44',2,8]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Church,21,boolean,,,,,"['G44',2,9]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Private Entities,22,boolean,,,,,"['G44',2,10]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Other,23,boolean,,,,,"['G44',2,11]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Clothes,24,boolean,,,,,"['G44',3,1]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,When provided (in days since event),25,number,,,,,"['G44',3,2]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Qty,26,number,,,,,"['G44',3,3]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Unit,27,text,,,,,"['G44',3,4]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Govt,28,boolean,,,,,"['G44',3,5]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,NNGO,29,boolean,,,,,"['G44',3,6]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,INGO,30,boolean,,,,,"['G44',3,7]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,PHL Red Cross,31,boolean,,,,,"['G44',3,8]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Church,32,boolean,,,,,"['G44',3,9]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Private Entities,33,boolean,,,,,"['G44',3,10]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Other,34,boolean,,,,,"['G44',3,11]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Food,35,boolean,,,,,"['G44',4,1]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,When provided (in days since event),36,number,,,,,"['G44',4,2]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Qty,37,number,,,,,"['G44',4,3]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Unit,38,text,,,,,"['G44',4,4]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Govt,39,boolean,,,,,"['G44',4,5]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,NNGO,40,boolean,,,,,"['G44',4,6]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,INGO,41,boolean,,,,,"['G44',4,7]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,PHL Red Cross,42,boolean,,,,,"['G44',4,8]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Church,43,boolean,,,,,"['G44',4,9]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Private Entities,44,boolean,,,,,"['G44',4,10]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Other,45,boolean,,,,,"['G44',4,11]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Hygiene Kit(s),46,boolean,,,,,"['G44',5,1]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,When provided (in days since event),47,number,,,,,"['G44',5,2]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Qty,48,number,,,,,"['G44',5,3]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Unit,49,text,,,,,"['G44',5,4]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Govt,50,boolean,,,,,"['G44',5,5]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,NNGO,51,boolean,,,,,"['G44',5,6]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,INGO,52,boolean,,,,,"['G44',5,7]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,PHL Red Cross,53,boolean,,,,,"['G44',5,8]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Church,54,boolean,,,,,"['G44',5,9]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Private Entities,55,boolean,,,,,"['G44',5,10]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Other,56,boolean,,,,,"['G44',5,11]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Tarpaulin,57,boolean,,,,,"['G44',6,1]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,When provided (in days since event),58,number,,,,,"['G44',6,2]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Qty,59,number,,,,,"['G44',6,3]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Unit,60,text,,,,,"['G44',6,4]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Govt,61,boolean,,,,,"['G44',6,5]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,NNGO,62,boolean,,,,,"['G44',6,6]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,INGO,63,boolean,,,,,"['G44',6,7]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,PHL Red Cross,64,boolean,,,,,"['G44',6,8]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Church,65,boolean,,,,,"['G44',6,9]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Private Entities,66,boolean,,,,,"['G44',6,10]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Other,67,boolean,,,,,"['G44',6,11]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Mosquito Nets,68,boolean,,,,,"['G44',7,1]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,When provided (in days since event),69,number,,,,,"['G44',7,2]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Qty,70,number,,,,,"['G44',7,3]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Unit,71,text,,,,,"['G44',7,4]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Govt,72,boolean,,,,,"['G44',7,5]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,NNGO,73,boolean,,,,,"['G44',7,6]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,INGO,74,boolean,,,,,"['G44',7,7]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,PHL Red Cross,75,boolean,,,,,"['G44',7,8]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Church,76,boolean,,,,,"['G44',7,9]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Private Entities,77,boolean,,,,,"['G44',7,10]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Other,78,boolean,,,,,"['G44',7,11]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Tents,79,boolean,,,,,"['G44',8,1]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,When provided (in days since event),80,number,,,,,"['G44',8,2]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Qty,81,number,,,,,"['G44',8,3]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Unit,82,text,,,,,"['G44',8,4]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Govt,83,boolean,,,,,"['G44',8,5]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,NNGO,84,boolean,,,,,"['G44',8,6]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,INGO,85,boolean,,,,,"['G44',8,7]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,PHL Red Cross,86,boolean,,,,,"['G44',8,8]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Church,87,boolean,,,,,"['G44',8,9]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Private Entities,88,boolean,,,,,"['G44',8,10]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Other,89,boolean,,,,,"['G44',8,11]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Water,90,boolean,,,,,"['G44',9,1]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,When provided (in days since event),91,number,,,,,"['G44',9,2]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Qty,92,number,,,,,"['G44',9,3]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Unit,93,text,,,,,"['G44',9,4]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Govt,94,boolean,,,,,"['G44',9,5]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,NNGO,95,boolean,,,,,"['G44',9,6]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,INGO,96,boolean,,,,,"['G44',9,7]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,PHL Red Cross,97,boolean,,,,,"['G44',9,8]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Church,98,boolean,,,,,"['G44',9,9]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Private Entities,99,boolean,,,,,"['G44',9,10]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Other,100,boolean,,,,,"['G44',9,11]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Water Kit(s),101,boolean,,,,,"['G44',10,1]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,When provided (in days since event),102,number,,,,,"['G44',10,2]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Qty,103,number,,,,,"['G44',10,3]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Unit,104,text,,,,,"['G44',10,4]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Govt,105,boolean,,,,,"['G44',10,5]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,NNGO,106,boolean,,,,,"['G44',10,6]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,INGO,107,boolean,,,,,"['G44',10,7]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,PHL Red Cross,108,boolean,,,,,"['G44',10,8]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Church,109,boolean,,,,,"['G44',10,9]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Private Entities,110,boolean,,,,,"['G44',10,10]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Other,111,boolean,,,,,"['G44',10,11]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Voucher /Cash,112,boolean,,,,,"['G44',11,1]",,
