Catalog,Category,Category Code,Item Name,Unit of Measure,Kit,Comments
Default,Household NFI Kit Items,Household Kit,Plates,Number,,Stainless steel
Default,Household NFI Kit Items,Household Kit,Mugs w/handles,Number,,Stainless steel - medium size
Default,Household NFI Kit Items,Household Kit,Curry Spoon,Number,,Stainless steel
Default,Household NFI Kit Items,Household Kit,Rice Spoon,Number,,Stainless steel
Default,Household NFI Kit Items,Household Kit,Kitchen Knife,Number,,Stainless steel blade and wooden handle
Default,Household NFI Kit Items,Household Kit,Kerosene Oil Cooker / Stove,Number,,
Default,Household NFI Kit Items,Household Kit,Coconut Scraper,Number,,
Default,Household NFI Kit Items,Household Kit,Solar Lamp,Number,,Rechargeable with solar light
Default,Household NFI Kit Items,Household Kit,Torch w/batteries,Number,,
Default,Household NFI Kit Items,Household Kit,Bed sheets-double,Number,,Cotton - double size
Default,Household NFI Kit Items,Household Kit,Bed sheets-single,Number,,Cotton - single size
Default,Household NFI Kit Items,Household Kit,Pillow cases,Number,,Medium size
Default,Household NFI Kit Items,Household Kit,Curtain,Number,,"6' x 4' cloth material"
Default,Household NFI Kit Items,Household Kit,Mosquito net,Number,,
