"Template","Series","Organisation","STD-L0","STD-L1","STD-L2","STD-L3","STD-Lon","STD-Lat","24H-2","24H-5","STD-DATE","STD-TIME","24H-1","24H-3","STD-WHO","24H-4","24H-6","24H-7","24H-8","24H-12","24H-13","24H-14","24H-15","24H-18","24H-26","24H-27","24H-28","24H-34","24H-35","24H-36","24H-19","24H-20","24H-21","24H-22","24H-23","24H-24","24H-25","24H-37","24H-38","24H-39","24H-40","24H-41","24H-42","24H-43","24H-44","24H-45","24H-46","24H-47","24H-48","24H-29","24H-30","24H-31","24H-32","24H-33","24H-9","24H-10","24H-11","24H-16","24H-17"
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","POETETE","Berluli",125.41031,-8.73453,"Yes",,"19/01/12",,"Tropical Storm Bulegila",70,,,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","Yes","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","ERMERA","POETETE","Pasehei",125.42639,-8.73056,"No",,"19/01/12",,"Tropical Storm Bulegila",600,,,401,87,,800,,,,,,,,,,,,,,,,,,,"all",,,,,,"Yes",,,,"Rural","Yes","No","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","MALE-UBU","Maliubu",125.3854,-9.00121,"No",,"19/01/12",,"Tropical Storm Bulegila",90,,,11,0,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,17,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","MALE-UBU","Atolara",125.37083,-8.99167,"Yes",,"19/01/12",,"Tropical Storm Bulegila",440,,,61,,,,,,,"boat",,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","Yes","water source contaminated",,,8,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","MALE-UBU","Maliubu",125.3839,-8.99364,"Yes",,"19/01/12",,"Tropical Storm Bulegila",200,,,0,,,,,,,"boat ,air ",,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","Yes","Yes","Outbreak of Yaws reported",,,57,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","MALILAIT","Harare",125.32933,-9.01092,"No",,"19/01/12",,"Tropical Storm Bulegila",660,,,442,97,,800,,,,,,,,,,,,,,,,,,,"all",,,,,,"Yes",,,,"Rural","No","No","No","No",,,,0,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","MALILAIT","Grotu",125.33377,-9.01246,"No",,"19/01/12",,"Tropical Storm Bulegila",30,,,23,4,,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","MALILAIT","Uat",125.3197,-9.0229,"No",,"19/01/12",,"Tropical Storm Bulegila",370,,,195,3,,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Yes",,,,"Rural","No","No","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","MALILAIT","Taimea",125.32441,-9.01939,"No",,"19/01/12",,"Tropical Storm Bulegila",280,,,0,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,0,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","MALILAIT","Malilait",125.32155,-9.02844,"No",,"19/01/12",,"Tropical Storm Bulegila",80,,,63,0,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,22,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","MALILAIT","Malilu",125.32782,-9.03141,"Yes",,"19/01/12",,"Tropical Storm Bulegila",260,,,210,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Urban",,,,,,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","MOLOP","Anapol",125.36926,-9.10027,"No",,"19/01/12",,"Tropical Storm Bulegila",450,,,135,5,0,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","MOLOP","Molop",125.34015,-9.10457,"No",,"19/01/12",,"Tropical Storm Bulegila",470,,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,13,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","MOLOP","Loulomo",125.34286,-9.10571,"No",,"19/01/12",,"Tropical Storm Bulegila",190,,,128,7,,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","MOLOP","Pieguda",125.32493,-9.11188,"No",,"19/01/12",,"Tropical Storm Bulegila",570,,,70,1,,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Yes",,,,"Rural","No","No","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","MOLOP","Omelai",125.33468,-9.11457,"Yes",,"19/01/12",,"Tropical Storm Bulegila",70,,,42,0,0,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,0,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","MOLOP","Ilhago",125.32638,-9.11754,"No",,"19/01/12",,"Tropical Storm Bulegila",210,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes",,,,"Rural","Yes","No","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","OE-LEU","Mologuenglama",125.27381,-9.05068,"No",,"19/01/12",,"Tropical Storm Bulegila",60,,,9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,18,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","OE-LEU","Holgen",125.28704,-9.02886,"Yes",,"19/01/12",,"Tropical Storm Bulegila",270,,,29,6,,190,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","Yes","No","No",,,,16,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","OE-LEU","Oeleu",125.29395,-9.0298,"Yes",,"19/01/12",,"Tropical Storm Bulegila",300,,,0,,,,,,,"Air, ",,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,18,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","OE-LEU","Mologueng",125.29769,-9.02919,"Yes",,"19/01/12",,"Tropical Storm Bulegila",160,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Urban",,,,,,,,5,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","OE-LEU","Nelgen",125.28139,-9.03888,"No",,"19/01/12",,"Tropical Storm Bulegila",140,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","OE-LEU","Tasmil",125.28216,-9.03437,"Yes",,"19/01/12",,"Tropical Storm Bulegila",240,,,147,,,,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","No",,,,0,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","OE-LEU","Atulaun",125.30142,-9.02809,"No",,"19/01/12",,"Tropical Storm Bulegila",190,,,8,,,401,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","SIBUNI","Sibuni",125.33104,-9.08733,"Yes",,"19/01/12",,"Tropical Storm Bulegila",70,,,17,,,0,,,,,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","SIBUNI","Holmeser",125.34328,-9.08905,"No",,"19/01/12",,"Tropical Storm Bulegila",340,,,194,4,,301,,,,,,,,,,,,,,,,,,,100,,,,,,"No",,,,"Rural","No","No","No","No",,,,0,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","SIBUNI","Mapeop",125.31288,-9.09249,"No",,"19/01/12",,"Tropical Storm Bulegila",100,,,0,0,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,2,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","SOILESU","Puruqua",125.325,-8.95694,"Yes",,"19/01/12",,"Tropical Storm Bulegila",200,,,122,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","No",,,,0,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","SOILESU","Biabusi",125.33967,-8.98311,"Yes",,"19/01/12",,"Tropical Storm Bulegila",140,,,47,,,,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,2,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","SOILESU","Airas",125.33517,-8.98948,"Yes",,"19/01/12",,"Tropical Storm Bulegila",240,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","SOILESU","Atuela",125.34665,-9.00653,"No",,"19/01/12",,"Tropical Storm Bulegila",150,,,76,0,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,7,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","SOILESU","Aiaras",125.35278,-9.00278,"No",,"19/01/12",,"Tropical Storm Bulegila",160,,,0,,,367,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","Yes","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","TAPO","Tapo",125.27083,-9.05417,"Yes",,"19/01/12",,"Tropical Storm Bulegila",240,,,36,0,,,,,,"boat",,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","No",,,,0,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","TAPO","Oepo",125.25983,-9.06689,"No",,"19/01/12",,"Tropical Storm Bulegila",220,,,69,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,100,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","TEBABUI","Tebabui",125.37133,-9.01497,"Yes",,"19/01/12",,"Tropical Storm Bulegila",120,,,0,,,,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","Yes","water source contaminated",,,0,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","BOBONARO","TEBABUI","Bugas",125.373,-9.01614,"Yes",,"19/01/12",,"Tropical Storm Bulegila",20,,,9,0,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Urban",,,,,,,,5,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","BOBOCASE","Nuslao",124.3625,-9.27639,"Yes",,"19/01/12",,"Tropical Storm Bulegila",610,,,371,54,,0,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,5,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","BOBOCASE","Bihala",124.37138,-9.28006,"No",,"19/01/12",,"Tropical Storm Bulegila",80,,,57,8,,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Yes",,,,"Rural","No","No","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","BOBOCASE","Eonae",124.38611,-9.25278,"Yes",,"19/01/12",,"Tropical Storm Bulegila",,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","BOBOCASE","Netenoke",124.38223,-9.26527,"No",,"19/01/12",,"Tropical Storm Bulegila",130,,,45,0,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,20,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","BOBOCASE","Oenino",124.38333,-9.26111,"No",,"19/01/12",,"Tropical Storm Bulegila",390,,,302,34,,412,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,23,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","BOBOCASE","Bimelo",124.38324,-9.28216,"Yes",,"19/01/12",,"Tropical Storm Bulegila",110,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","Yes","water source contaminated",,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Kuatnana",124.39946,-9.18883,"Yes",,"19/01/12",,"Tropical Storm Bulegila",150,,,47,5,,0,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","Yes","No","No",,,,4,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Kiantabun",124.40169,-9.18755,"Yes",,"19/01/12",,"Tropical Storm Bulegila",80,,,0,0,0,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peri-Urban",,,,,,,,10,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Oesono",124.37725,-9.1968,"Yes",,"19/01/12",,"Tropical Storm Bulegila",90,,,70,0,,,,,,"sea",,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","Yes","Yes","Outbreak of Yaws reported",,,4,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Nisapenu",124.38091,-9.19479,"Yes",,"19/01/12",,"Tropical Storm Bulegila",160,,,115,,,,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Sumlili",124.38413,-9.19443,"Yes",,"19/01/12",,"Tropical Storm Bulegila",160,,,33,,,,,,,"boat",,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","Yes","Yes","Outbreak of Yaws reported",,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Mahata",124.39174,-9.19164,"No",,"19/01/12",,"Tropical Storm Bulegila",560,,,69,1,,499,,,,,,,,,,,,,,,,,,,"all",,,,,,"Yes",,,,"Rural","Yes","No","No","No",,,,1,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Cutete",124.42302,-9.24156,"Yes",,"19/01/12",,"Tropical Storm Bulegila",120,,,53,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Urban",,,,,,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Buneu",124.40356,-9.24544,"No",,"19/01/12",,"Tropical Storm Bulegila",70,,,49,0,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,8,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Palaban",124.35278,-9.2,"No",,"19/01/12",,"Tropical Storm Bulegila",40,,,8,1,,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,5,,
