"Template","Series","Organisation","24H-BI-1","24H-BI-2","STD-DATE","STD-L0","STD-L1","STD-L3","24H-BI-3","24H-BI-4","24H-H-1","24H-H-2","24H-H-3","24H-H-4","24H-H-5","24H-H-6","24H-H-7","24H-I-1","24H-I-10","24H-I-11","24H-I-12","24H-I-13","24H-I-14","24H-I-15","24H-I-2","24H-I-3","24H-I-4","24H-I-5","24H-I-6","24H-I-7","24H-I-8","24H-I-9","24H-L-1","24H-L-2","24H-L-3","24H-L-4","24H-L-5","24H-L-6","24H-L-7","24H-Re-1","24H-Re-2","24H-Re-3","24H-Re-4","24H-Re-5","24H-Ri-1","24H-Ri-2","24H-Ri-3","24H-Ri-4","24H-Ri-5","24H-S-1","24H-S-2","24H-S-3","24H-S-4","24H-S-5","24H-S-6","24H-S-7","24H-S-8","24H-S-9"
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Oro Bay Rural LLG","Beama",,,0,,,833,,,,,,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,12,,,12,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Oro Bay Rural LLG","Kopure",,,302,34,,412,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,23,,,23,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Oro Bay Rural LLG","Eroro",,,21,,,1078,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Yes",,,,"Rural","No","No","No","No",,6,,,6,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Oro Bay Rural LLG","Dombada",,,69,1,,499,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Yes",,,,"Rural","Yes","No","No","No",,1,,,1,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Oro Bay Rural LLG","Embogo",,,401,87,,800,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Yes",,,,"Rural","Yes","No","No","No",,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Oro Bay Rural LLG","Embi",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes",,,,"Rural","Yes","No","No","No",,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Oro Bay Rural LLG","Barisari",,,289,3,,,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Yes",,,,"Rural","No","No","No","No",,0,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",06/11/05,"Papua New Guinea","Oro Bay Rural LLG","Siremi",,,192,4,,,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Yes",,,,"Rural","No","No","No","No",,25,,,"some",,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Oro Bay Rural LLG","Buna",,,442,97,,800,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Yes",,,,"Rural","No","No","No","No",,25,,,"some",,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",06/11/05,"Papua New Guinea","Oro Bay Rural LLG","Sanananda",,,458,24,,600,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,0,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",07/11/05,"Papua New Guinea","Oro Bay Rural LLG","Garara",,,67,1,,136,,,,,,,,,,,,,,,,,,,,50,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,28,,,28,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Oro Bay Rural LLG","Killerton",,,194,4,,301,,,,,,,,,,,,,,,,,,,,100,,,,,,"No",,,,"Rural","No","No","No","No",,0,,,"nil",,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",07/11/05,"Papua New Guinea","Oro Bay Rural LLG","Bagou",,,96,7,,227,,,,,,,,,,,,,,,,,,,,149,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,0,,,"nil",,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",08/11/05,"Papua New Guinea","Oro Bay Rural LLG","Bepore*",,,128,7,,,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Oro Bay Rural LLG","Kurou",,,250,54,,,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Oro Bay Rural LLG","Bakubari",,,135,5,"nil",,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Oro Bay Rural LLG","Fufuda",,,131,5,"nil",,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Yes",,,,"Rural","No","No","No","No",,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Oro Bay Rural LLG","Batari",,,65,1,,,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Yes",,,,"Rural","No","No","No","No",,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Oro Bay Rural LLG","Katuna & Kome",,,70,1,,,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Yes",,,,"Rural","No","No","No","No",,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",06/11/05,"Papua New Guinea","Oro Bay Rural LLG","Kurereda",,,195,3,,,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Yes",,,,"Rural","No","No","No","No",,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Oro Bay Rural LLG","Ope",,,41,3,,357,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",06/11/05,"Papua New Guinea","Oro Bay Rural LLG","Beanga",,,8,,,401,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",07/11/05,"Papua New Guinea","Oro Bay Rural LLG","Mora",,,0,,,367,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","Yes","No","No",,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Oro Bay Rural LLG","Ambasi",,,164,1,,723,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","Yes","No","No",,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",07/11/05,"Papua New Guinea","Oro Bay Rural LLG","Kainde",,,0,,,684,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","Yes","No","No",,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",08/11/05,"Papua New Guinea","Oro Bay Rural LLG","Bindari",,,137,1,,835,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","Yes","No","No",,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Kewansasap",,,34,3,,290,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","Yes","No","No",,58,,,58,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Reaga",,,47,5,,0,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","Yes","No","No",,4,,,4,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Gegerawa",,,29,6,,190,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","Yes","No","No",,16,,,16,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",06/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Airara",,,172,,,0,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","Yes","No","No",,12,,,12,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Sinapa",,,69,,,30,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","Yes","No","No",,4,,,4,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",06/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Marua",,,17,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",07/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Uiaku",,,371,54,,0,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,5,,,5,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Ganjiga",,,0,,,,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","Yes","water source contaminated",10,,,10,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",07/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Yuayu",,,108,,,,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","Yes","water source contaminated",6,,,6,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",08/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Komabun",,,56,,,,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","Yes","water source contaminated",,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Oreresan",,,0,,,,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","Yes","water source contaminated",0,,,0,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Rainu",,,3,,,,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","Yes","water source contaminated",0,,,0,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Wanigela (Sarad Miss/Stn)",,,61,,,,,,,"boat",,,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","Yes","water source contaminated",8,,,8,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Waiug",,,144,56,,,,,,"boat",,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","Yes","water source contaminated",0,,,0,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Fofo",,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","Yes","water source contaminated",,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",06/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Inaram",,,0,,,,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,0,,,0,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Tekwakwan",,,31,21,,,,,,"Air,boat",,,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","No",,0,,,0,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",06/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Utan",,,147,,,,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","No",,0,,,0,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",07/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Koreaf",,,115,,,,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","No",,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Naukwate",,,124,65,,,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","No",,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",07/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Ajoa",,,27,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","No",,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",08/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Marakof",,,47,,,,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,2,,,2,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Uwe",,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Orotoaba",,,67,,,,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,2,,,2,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Sinei",,,1,,,,,,,"Air,boat",,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,1,,,1,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Tumari",,,146,4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",06/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Fofoma",,,32,,,,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","No",,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Berebona",,,7,,,,,,,"boat",,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,6,,,6,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",06/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Founa",,,74,,,75,,,,"boat",,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,8,,,8,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",07/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Ilamaroro",,,19,,,,,,,"boat",,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,5,,,5,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Ako",,,0,,,115,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,2,,,2,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",07/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Gobe",,,163,3,,30,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,3,,,3,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",08/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Bendorode",,,7,"nil",,,,,,"boat",,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,3,,,3,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Foru 1",,,36,"nil",,,,,,"boat",,,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","No",,25,,,"some",,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Foru 2",,,122,"nil",,,,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","No",,25,,,"some",,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Sebaga",,,122,,,,,,,"boat",,,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","Yes","No",,27,,,27,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Badaide",,,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","Yes","No",,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",06/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Karaisa",,,96,"nil",,,,,,"boat ",,,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","Yes","Yes","Outbreak of Yaws reported",,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Moiavi",,,70,"nil",,,,,,"sea",,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","Yes","Yes","Outbreak of Yaws reported",4,,,4,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",06/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Momoiogo",,,33,,,,,,,"boat",,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","Yes","Yes","Outbreak of Yaws reported",,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",07/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Kinjaki",,,0,,,,,,,"boat ,air ",,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","Yes","Yes","Outbreak of Yaws reported",57,,,57,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Korara",,,0,,,,,,,"Boat",,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","Yes","Yes","Outbreak of Yaws reported",23,,,23,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",07/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Botewari",,,35,,,,,,,"Air",,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","Yes","No",,0,,,"nil",,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Guruguru",,,28,,,,,,,"Boat",,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","Yes","No",,0,,,0,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Cape Nelson Rural LLG","Embesa",,,0,,,,,,,"Air, ",,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,18,,,18,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Afore Rural LLG","Afore",,,72,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,0,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",06/11/05,"Papua New Guinea","Afore Rural LLG","Afore Blocks",,,70,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,,,,,,
