"Template","Series","Organisation","STD-L0","STD-L1","STD-L2","STD-L3","STD-Lon","STD-Lat","72H-137","72H-16","72H-17","72H-18","72H-19","72H-20","72H-24","72H-21","72H-22","72H-23","72H-25","72H-28","72H-29","72H-26","72H-27","72H-30","72H-32","72H-34","72H-35","72H-36","72H-37","72H-38","72H-39","72H-40","72H-41","72H-42","72H-43","72H-44","72H-45","72H-46","72H-47","72H-48","72H-49","72H-50","72H-51","72H-52","72H-53","72H-54","72H-55","72H-56","72H-57","72H-58","72H-59","72H-60","72H-61","72H-62","72H-64","72H-66","72H-67","72H-68","72H-69","72H-70","72H-71","72H-74","72H-75","72H-76","72H-77","72H-78","72H-79","72H-80","72H-81","72H-82","72H-83","72H-73","72H-84","72H-85","72H-86","72H-87","72H-88","72H-89","72H-90","72H-91","72H-92","72H-93","72H-94","72H-95","72H-96","72H-97","72H-100","72H-101","72H-98","72H-99","72H-102","72H-103","72H-104","72H-105","72H-106","72H-107","72H-108","72H-109","72H-110","72H-111","72H-112","72H-113","72H-114","72H-115","72H-116","72H-118","72H-120","72H-121","72H-122","72H-123","72H-124","72H-125","72H-126","72H-127","72H-128","72H-129","72H-130","72H-131","72H-132","72H-133","72H-134","72H-135","72H-136","72H-2","STD-WHO","72H-3","72H-4","STD-DATE","STD-TIME","72H-6","72H-7","72H-8","72H-9","72H-10","72H-11","72H-12","72H-13","72H-14","72H-15","72H-1"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Indonesia","West Sumatra","Solok","Kota Solok",100.653056,-0.807222,"Peri-Urban",,"Rain and Wind","yes","damage",20000,,"Shelter",185,"Unaccompanied minors","Wooden houses or brick-nogging","No","People are currently living in the camps out of the city","No","Rice","a few","Yes","Few","Few","Few",,"Yes",,"Rice and vegetables","yes","Single headed Household and unaccompanied minors","Malaria and TB because of garbage and mosquitoes",,"No garbage collection system",1000,"Hospital slightly damaged","Yes","Yes","Yes","Yes","Yes","First Aid, vaccination in camps, medical supplies","125 children and elderly pregnant women","No",,"No","No organisation to support and process.",,,,"Yes","Yes","Yes","Yes","Yes","Yes","No","no","No","No","No","Yes","Same as before disaster","jerry cans","No","No","No","some latrines ","Increasing",,"No","High","High","High","High","Medium","Medium","Yes",950,"Yes",0,"Yes",120,"Yes","No","Yes","Yes","Yes","Yes",,"Yes","Yes","Yes","No","Cement, Wood or brick-nogging","Small commercial business, services, trade and public services","Wage labours, merchants and shop owners","NA",,"The shops collapse",,"yes, infrastructure ","NA","Roads","NA","NA","some","some","damage","badly damage","slightly damage","not functioning","not functioning","NA","Toxic spills","No","Yes","Yes","Yes","MSF",55000,"Yin Min Aye","Suparman Perkasa",,,0,150,25,400,2000,2500,3000,1700,,1000,,"Earthquake"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Indonesia","West Sumatra",,"Kuala Batahan",99.1649267578,0.3282022977,,0,"BAH.","which ones?",,0,,,,,,"Yes",,"Yes",,,"Yes","Many","Many","Many",,"Yes",,,,,"normal",,,,,"No","No","No","No","No",,,"No",,,,,,,"No","No","Yes","Yes",,"No","No",,,"No",,,,,,"Yes",,,,,,"Medium","Low","Medium","Medium","Medium","Medium",,0,"No",,,,"No","No",,"No","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976,"Neil Bauman","Teeny Tiny G",,,,0,0,0,57,0,0,0,0,0,0,"Earthquake"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Indonesia","West Sumatra","Kep.Mentawai","Lahewa",97.1587316895,1.3849075937,"Urban","Working","Tropical weather",,"Partially damaged",354,"Sarongs, bedsheets","Shelter options for those with destroyed houses",24,"Those with the house completely damaged","Kitchen utensils, sleeping mats, bedsheets, clothes","Yes",,"Yes","Fish, meat, vegetables, rice",,"Yes","Few","Few","Few",,"Yes",,"Rice, fish, vegetables, eggs, chicken","Not specially, the market has not been seriosly affected",,"Normal",,,26,"some damage to the local health facility","No","Yes","Yes","Yes","Yes","Analyse the option of re-habilitating the health center",0,"No",,"No",,,,,"No","No","No","No","No","No","No","No","No","Yes","Yes","No",,"Using jerrycans and buckets","No","Yes","No","Letrines","Normal","Yes","Yes","Low","Medium","Medium","Low","Low","Low","Yes",14,"Yes",,"No",,"Yes","No","Yes","No","No","No",,"Yes","No","Yes","No",,"Fishing: mostly at subsistence level. A big majority depend on agriculture for their livelihood","Fishing: mostly at subsistence level. A big majority depend on agriculture for their livelihood","Rice, fruit collection, vegetables. In general the land belongs to the community",,"They have not been really affected",,"No","No","Road","n/a","The local port has been damaged and a small number of fishing boats moored there have sunk - creating a hazard","OK","some pipes are broken","No major problems","One school present minor damages","some damage to the local health facility","No major problems","OK","n/a",,"No","Don't Know","Yes","Yes","Local NGOs",5786,"Juan Galvez","Nadya Binti Taufik",6244538925,40897,0,120,0,7,23,11,19,86,6,100,10,"Earthquake"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Indonesia","West Sumatra","Agam","Lubuk Basung",100.066667,-0.33333,"Urban","PMI has HF and VHF, mobile phones restored. landlines sporadic","warm, dry - one month to monsoon season","adequate","c. 20% destroyed, most have minor to medium structural damages",0,"no critical needs reported","aftershocks, falling of damaged buildings",0,"elderly and FHH who cannot repair existing houses","single familiy house, block walls, wood/GCI roof","Yes","crops in fields not damaged, markets still functioning. urban economy","Yes","markets still functioning ± normally","as previously","Yes","Many","Many","Many",,"No","for families with destroyed houses this is an issue. however the social support structures are working well","rice, vegetables, chicken","no",,"generally good","immediate trauma cases mostly dealt with","psychosocial issues potentially",0,"facilities damaged but still working","No","No","No","No","No","health education re use of safe water and sanitation","all","No",,"No",,,"some families moved to school playgrounds","authorities handling this","Yes","No","No","No","No","No","No","no","Yes","No","No","Yes","town water supply damaged, estimates of it being 3 more days before supply restored","yes","No","Yes","No","as before where facilities undamaged; ","Normal","reasonable","Yes","Medium","High","Low","Medium","Low","Low","Yes",350,"Yes",200,"No",,"Yes","No","No","No","No","No",,"Yes","No","No","No","monsoon approaching in one month","urban population, mostly salaried or casual workers","office or labouring jobs","none",,"shops mostly open",,"some vehicles destroyed/damaged ","no","motorcycle, light truck","none","none","ok","under repair","90% functional","c. 15% damaged, being used as temporary evacuation centres","c. 15% damaged, but mostly working as before","gradually being restored","mobiles OK, landlines 50% working","open and working normally",,"No","Yes","Yes","Yes","PMI, about 15 local NGOs, CARE, IRC, MSF all with bases in Padang, several others arriving these days",35559,"Martin Fisher","Sarantu","+62 1111 1111 11",,0,7215,952,1456,4208,2614,447,600,0,400,0,"Earthquake"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Indonesia","West Sumatra","Agam","Lubuk Basung",100.066667,-0.33333,"Urban","PMI has HF and VHF, mobile phones restored. landlines sporadic","warm, dry - one month to monsoon season","adequate","c. 20% destroyed, most have minor to medium structural damages",0,"no critical needs reported","aftershocks, falling of damaged buildings",0,"elderly and FHH who cannot repair existing houses","single familiy house, block walls, wood/GCI roof","Yes","crops in fields not damaged, markets still functioning. urban economy","Yes","markets still functioning ± normally","as previously","Yes","Many","Many","Many",,"No","for families with destroyed houses this is an issue. however the social support structures are working well","rice, vegetables, chicken","no",,"generally good","immediate trauma cases mostly dealt with","psychosocial issues potentially",0,"facilities damaged but still working","No","No","No","No","No","health education re use of safe water and sanitation","all","No",,"No",,,"some families moved to school playgrounds","authorities handling this","Yes","No","No","No","No","No","No","no","Yes","No","No","Yes","town water supply damaged, estimates of it being 3 more days before supply restored","yes","No","Yes","No","as before where facilities undamaged; ","Normal","reasonable","Yes","Medium","High","Low","Medium","Low","Low","Yes",350,"Yes",200,"No",,"Yes","No","No","No","No","No",,"Yes","No","No","No","monsoon approaching in one month","urban population, mostly salaried or casual workers","office or labouring jobs","none",,"shops mostly open",,"some vehicles destroyed/damaged ","no","motorcycle, light truck","none","none","ok","under repair","90% functional","c. 15% damaged, being used as temporary evacuation centres","c. 15% damaged, but mostly working as before","gradually being restored","mobiles OK, landlines 50% working","open and working normally",,"No","Yes","Yes","Yes","PMI, about 15 local NGOs, CARE, IRC, MSF all with bases in Padang, several others arriving these days",35559,"Martin Fisher","Sarantu","+62 1111 1111 11",,0,7215,952,1456,4208,2614,447,600,0,400,0,"Earthquake"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Indonesia","Padang","Padang Pariaman","Lubuk Pandan",103.208063354,2.8620319462,"Rural","VHF, HF","rain heavily","yes",,,,,,,,"Yes",,"Yes","packed food by organizations","no","No","Few","Few","Few",,"No","most of the houses are buried, fully destroyed or heavily damaged. beneficiaries are scared to go back to their house as it might be not safe. thus, they stay in relief centres, waiting for org or gov to repair  or built new home for them. ","rice","no",,"health: ok, nutritional: ok",,,0,"accessible to hospital and gov clinics","No","Yes","No","No","Yes",,,"Yes",18,,"by PMI",,,,"Yes","Yes","No","No","No","No","No","No","Yes","Yes","Yes","No",,"Water bucket","No","No","No","Emergency toilet","Increasing","Not adequate/ yes, they are using them","Yes","High","High","High","High","Medium","High","Yes",20,"Yes",20,"Yes",20,"Yes","Yes","No","Yes","No","Yes","Road is not accessible","Yes","No","Yes","No","hot and humid throughout the year, rain heavily during monsoon","agricultural (at paddy field, crops, gardens)","farmer, factory worker","paddy, they own their plots",,"shops destroyed, main food income: organizations",,"yes","yes","motorbike","none","none","condition: bad, not accessible","condition: bad, not accessible","condition: bad, not accessible","condition: bad, not accessible","condition: bad, not accessible","condition: bad, not accessible","condition: bad, not accessible","none",,"No","Yes","Yes","Yes","PMI, IFRC, WHO, WFP, UNICEF, Shelter Org",55,"Greg McDonald","Ariel Widoyo","Head of Shelter Officer",,0,305,95,42,18,35,43,46,22,,,"Earthquake"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Indonesia",,"Pesisir Selatan","Lumpo",100.660204163,-1.2402186489,"Rural","most ok","Monsoon season","yes","most ok",34,"standard south east asian islamic country","none",0,"none","normal appliances","Yes",,"Yes","normal food","all","Yes","Many","Many","Many",,"Yes",,"rice, chicken, fish, vegetable","no",,"good",,,0,"access good","Yes","Yes","Yes","Yes","Yes","none",,"No",,"No",,,,,"No","No","No","No","No","No","No","no","Yes","Yes","Yes","No",,"piped","Yes","Yes","No","normal toilet","Normal","yes","Yes","Low","Medium","Low","Low","Low","Low","Yes",45,"Yes",34,"No",,"Yes","Yes","Yes","No","No","No",,"Yes","No","Yes","No",,"farming, government work, office work","as above","rice, vegetables and livestock, some major landowners and many workers",,"most ok, some affected ",,"farming equipment destroyed and damaged from collapse of communal warehouse","no","road","n/a","n/a","ok","some service disruption","ok","ok","ok","ok","ok","ok",,"No","Yes","Yes","Yes","Islamic Relief",1200,"Gregg McDonald","Mona",,,,23,1,5,57,24,8,30,8,120,22,"Earthquake"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Indonesia","West Sumatra","Agam","Malalak",100.28421,-0.039461,"Rural","mobiles OK, no landlines. PMI VHF radios functioning","monsoon coming in one month, currently warm and dry","yes","mostly OK",75,"no specific needs","further landslides",0,"all","house, plot, fields","Yes","only limited damage to rest of community and social networks working well","Yes","markets still functioning ± normally","all as before","Yes","Many","Many","Many",,"Yes","no significant needs","rice, vegetables, chicken","no","n/a","reasonably good",,"possibly psychological issues",0,"local clinic, functioning normally","No","No","No","No","No",,,"No",,"Yes","by local village leader",,"in situ","all houses visited","Yes","No","No","No","No","No","No","no","Yes","Yes","Yes","No",,"from local river / wells as before","No","Yes","No","individual pit latrines","Normal","yes","Yes","Low","Low","Low","Low","Low","Low","Yes",800,"Yes",75,"No",0,"Yes","Yes","No","No","No","Yes","assistance with construction materials and tarpaulins to rebuild lightly damaged houses; possible support (FFW?) to help clear irrigation channels","Yes","Yes","No","No","some existing houses need minor repairs","agricultural","farming","rice growing for consumption and sale",,"shops open as before",,"no","traditional irrigation channels have been blocked or damaged thus water to paddy fields is disrupted ... urgent need to rehabilitate quickly.","motorcycle, light truck","none","n/a","ok","as before","n/a","ok","ok","n/a","mobiles working well","n/a",,"No","Yes","Yes","No","none seen or mentioned; remote community",4257,"Martin Fisher","Wisanto","+62 222 222 222 ",,0,50,150,0,10,10,30,15,0,15,0,"Earthquake / landslides"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Ind","Padang","Padang Pariaman","Nagari Sikucur",100.174738159,-0.4738610184,"Rural","Communication ok","monsoon season","None",,21,"standard Islamic (SE Asia) requirements","Aftershock, building collapse",0,"none","stuff","Yes",,"Yes",,,"Yes","Few","Many","Few",,"Yes",,"Rice, goat, chilli, vegetable, chicken","No",,"Normal",,,0,,"No","Yes","Yes","No","Yes","Nothing perhaps ongoing minor first aid",,"No",,,"PMI is registering families",,,,"No","No","No","No","No","Yes","No","No","Yes","Yes","Yes","No",,"Tank","No","Yes","No","Toilet","Normal","Yes","Yes","Medium","Low","Low","Low","Low","Medium","Yes",10,"Yes",12,"Yes",0,"Yes","Yes","Yes","Yes","No","Yes","Some people can't work as home or shop damaged","Yes","No","Yes","No","none","family shop, office work","farming, office worker, gov worker","rice, vegetable growing",,"some stopped",,"some tools gone","none","road","none","none","ok","ok","ok","ok","ok","ok","ok","none",,"No","Yes","Yes","Yes","Islamic Relief, PMI",320,"Gregg McDonald","Ariel Widoyo",,40897,0,18,3,1,35,21,24,21,0,21,0,"Earthquake"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Ind","Padang","Padang Pariaman","Nagari Sintuk",100.306177368,-0.665827701,"Rural","Communication bad","monsoon season","None",,300,"standard Islamic (SE Asia) requirements","disease, running out of food",0,"none","stuff","No",,"Yes",,,"No","Few","Few","Few",,"Yes",,"Rice, goat, chilli, vegetable, chicken","most of them as they rae very poor before, so malnutrition problem is already occurred.",,"Normal",,,0,,"No","Yes","Yes","No","Yes","Nothing perhaps ongoing minor first aid",,"Yes",,,"PMI is registering families",,,,"Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","Yes","Yes",,"water bucket","No","Yes","No","Toilet","Increasing","No","Yes","High","High","High","Low","Medium","Medium","Yes",10,"Yes",12,"Yes",0,"Yes","Yes","Yes","Yes","No","Yes","They can't go out as the place is very fragile. Lost of houses are buried and damaged. Shops and community place are destroyed","Yes","No","Yes","No","none","farming","farmer","rice, vegetable growing, ",,"closed as either destroyed or out of stock",,"some tools gone","Yes","road","none","none","bad","bad","bad","bad","bad","bad","bad","none",,"No","Yes","Yes","Yes","Islamic Relief, PMI",103,"Gregg McDonald","Ariel Widoyo",,40897,0,139,25,42,19,6,15,21,0,21,0,"Earthquake"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Indonesia","West Sumatra","Padang city","Kalumbuk",100.382280579,-0.9240996336,"Urban","all working now best use pro XL","Tropical area","no","ok",0,"??? This question is strange so unsure how to answer it","Aftershocks",0,"new widows, who lack any source of income especially in Pendatang communities",,"No",,"No","people are worried about food shortgaes as shops are broken and they are starting to panic","yes, if you have income","Yes","Many","Many","Many",,"Yes",,"they eat potatoes and pork, and cant live without Icecream","yes those with no cash reserves, i.e the poor and newly widowed","food is available in shops","ok rich urban area",,,0,"all ok","No","No","No","No","No","maybe a mobile clinic for cvisibility and reassurance and to take the load of public hospitals from small cases","unclear, but check on widows and newly handicapped","No",,"No",,,,,"No","Yes","No","Yes","Yes","No","Yes","NO","Yes","Yes","Yes","No",,"pots and pipes as per normal","No","Yes","No","in squat toilets as before the disaster","Normal","yes","Yes","Low","Low","Low","Low","Low","High","Yes",0,"No",,"No",,"Yes","No","No","No","No","No",,"Yes","No","Yes","No","most people are still living in current homes, but sleeping outsside under the stars at night because of fear of aftershocks","working in offices and shops","Office workers and shop workers particularly in local market which is now destroyed","NA","Local market is now destroyed, so many unemployed","This is the largest problem, markets are destroyed",,"Markets","NO","Roads","ALL OK","ALL OK","ALL OK","ALL OK","ALL OK","ALL OK","ALL OK","ALL OK","ALL OK","ALL OK","Hazardous material","Yes","Yes","Yes","Yes",,1874,"Dave","ibu gregg",976655465,"21/12/2011",10,0,0,0,0,0,0,0,0,0,0,"Earthquake"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Indonesia","West Sumatra","Pariaman","Padang Pariaman","104.81447052&",5.5580828285,"Urban","mobile, radio","none, but rain is expected in coming weeks","no","tents and temporary shelter",450,"clothes, sarong","none",50,,,"Yes","private donation of food","Yes",,"all","Yes","Few","Few","Few",,"Yes","NGO has set up communal kitchen on site","rice",,,,,,12,"field clinic","Yes","Yes","Yes","Yes","Yes","possible field clinic","56 injuries from earthquake","Yes",25,"No",,25,,,"Yes","Yes","No","No","No","Yes","No","no","No","Yes","Yes","Yes",,"bucket and jerry cans","No","Yes","No","pit latrine","Increasing","no/yes","No","High","High","Medium","Medium","High","High","Yes",100,"Yes",50,"Yes",100,"Yes","No","Yes","Yes","Yes","Yes",,"Yes","No","Yes","No",,"shop owners, office workers, day labour","shop owners, office workers, day labour",,,"shops destroyed, some salvaging stocks for possible open of business",,"yes",,"road",,,,,,"3 damaged","damaged",,,,,"No","Yes","Yes","Yes","Islamic Relief",1200,"Wan Sophonpanich","Adjie","081 2234 3923",,13,356,54,56,,100,150,150,,150,,"Earthquake"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Indonesia","Padang","Padang","Padang Serai",100.340898743,-0.8600270557,"Urban","land line down, mobiles limited coverage, ","no specific threats","yes","severe damage",100,,"falling buildings/food/health",100,"elderly, sick and disabled/mobility issues, access to aid","of what??","Yes","availability from local farm stock","Yes","farm products","a few","No","Few","Few","Few",,"No",,"rice /fish /vegetables","yes","elderly and disabled - mobility","good","contamination of water sources","sewers leaking into river",0,"local mosque has become health clinic - reasonably accessible though limited capacity","Yes","Yes","Yes","Yes","Yes",,"water borne diseases","No",,"No",,0,"unknown",,"Yes","Yes","No","No","No","Yes","Yes","no","No","No","No","Yes","lack of safe water sources","bucket","No","Yes","No","makeshift latrines","Increasing",,"No","High","High","High","High","High","Medium","Yes",10,"Yes",9,"Yes",50,"Yes","Yes","Yes","Yes","Yes","Yes","destruction of property","Yes","No","Yes","No","basic protection","market trading/manufacture and agriculture","small holder farmers- produce own food plus sell surplus, manufacturing jobs - bought food","rice and vegetable production, mostly tenant farmers",,"work is disrupted - no access to supplies, sales were main source of income, bought food",,"shops, business premises, factories","no","from roads to west of town to avoid collapsed bridge","N/A","N/A","1 Collapsed, another passable","disrupted","disrupted","severe damage","operating from mosque -clinics damaged","none","limited","N/A","Hazardous material,Toxic spills,Oil spills","No","Yes","Yes","Yes","PMI, oxfam, ",200,"Michele Young","Rachel Bowman",1395279301,,0,30,16,20,0,0,0,50,0,60,0,"Earthquake"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Indonesia","West Sumatra","Pesisir Selatan","Painan",100.575556,-1.351111,"Urban","Mobile Phone","None","Yes","Houses",0,"Commercial Stores","None",0,"Christian Communties, Poor","???","Yes",,"Yes","Rice, vegetables, fish","Yes, but at inflated prices","Yes","Many","Few","Many",,"Yes",,"Rice, Fish and Vegetables","Yes","Poor families",,,,,"One major hospital which has been damaged by the earthquake. There are also a number of health clinics in the town, none of which has any reported damage.","Yes","Yes","Yes","No","Yes","Painan Rumah Sakit","None","No",,"No",,,,,"No","No","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes",,"Household well and water dispenser gallons","Yes","No","No","Individual toilets","Normal","Yes","Yes","Low","Low","Low","Low","Low","Low","No",,"Yes",,,200,"Yes",,"Yes","No","Yes","No",,"Yes","No","Yes","No","???","Fishing","Fishing","Rice & Vegetables",,"They are still running shops",,"Equipment for packing vegetables","None","Road / Sea","None","Minor Damage","Good","Good","Good","Good","Minor Damage","OK","Good","None",,"No","Yes","Yes","Yes","PMI",13274,"Michael Howden","Abbul Zulkarni",808123456789,,3,37,6,0,45,13,6,50,21,0,0,"Earthquake"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Indonesia","West Sumatra","Dharmasraya","Pulau Punjung",101.367,-1.05,"Peri-Urban","Mobile network is functionning","Rain","yes","most of the house are wooden houses",40,,"no risk",0,"No group","NA","Yes",,"Yes","Mainly rice, fish and vegetables","all people","Yes","Many","Many","Many",,"Yes","people can still cook in their open kitchen although their houses were slightly damaged.","Rice and vegetables","No",,"Malaria and TB because of still water, mosquitoes and uncollected garbage",,"Mosquitoes",10,"Mobile clinic are functionning with exsisting medical staff ","No","No","No","No","No","Shelter rehabilitation, WASH","Children and pregnant women","No",,"No",,,,,"Yes","No","Yes","No","Yes","No","No","no","Yes","Yes","Yes","Yes","Same as before disaster","jerry cans, water pipeline","No","No","No","latrines","Normal",,"Yes","Low","Low","Low","Low","Low","Medium","Yes",0,"Yes",25,"No",,"Yes","No","Yes","No","No","No",,"Yes","Yes","Yes","No","Moonsoon season with daily rain","Small commercial business, services, agriculture and public services","Wage labours, farmers, merchants and shop owners","palm oil production and rubber plantation",,"slightly affected",,"NA","NA","Roads - preferable 4x4","does not exsist","Na","NA","Still available","slightly damage","Collapse","Mobile clinic with midwife","Function","Partially functioned","NA",,"No","Yes","Yes","No","MSf, Care",16000,"Yin Min Aye","Gema, Head of town","+62 213 5548",,0,47,0,0,2940,184,8,80,0,0,0,"Earthquake"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Indonesia","Padang","Padang","Purus ",100.343538513,-0.9498412108,,"mobile ok most of the time, not many radios but working","monsson rain season","some are, most ok, some poor","most have some damage",0,"muslim country","further collapse",400,,"TV kitchen pots and pans, couch, dvd player","Yes",,"Yes","community kitchen at school","all",,"Few","Few","Few",,"Yes",,"rice, chicken, chilli, vegetable","no",,"normal","some injured in hospital","people get better and go home, but no home to go to",0,"ok","No","No","No","No","No",,,"No",,"No",,,,,,"No","Yes","Yes","No","No","Yes","no","Yes","Yes","No","No",,"water tank","Yes","Yes","No","normal practice using own bathroom","Normal","yes","Yes","Medium","Low","Low","Low","Low","High","Yes",0,"Yes",0,"No",,"Yes","No","Yes","No","No","Yes","Some can work from home, some cannot","Yes","No","Yes","No","brick houses with corrugated iron roof","farmer, government office worker, small business",,"Rice and vegetable growing. Many work for different owners","Some shops collapsed, shoppers and market",,,"yes they are under collapsed house","no","good, use road","n/a","n/a","ok","ok","ok","ok-occupied","ok-busy","ok",,"n/a",,,"Yes","Yes","Yes","PMI, CARE, Save the Children, Islamic Relief",650,"Michele Young","Fatini Zulkifli",135586897230,40897,0,78,23,4,45,80,42,110,,130,,"earthquake"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Indonesia","West Sumatera","Kota Padang","Rawang",100.382692566,-0.9932956194,"Urban","All working now best is Telkomsel, string signal","Tropical area","No needs upgrading","all are cracked",6943,"??? This question is strange so unsure how to answer it","Aftershocks",0,"Newly widowed mothers who are traumatised and in damaged houses",,"Yes",,"Yes",,"all","Yes","Many","Many","Many",,"Yes",,"rice oil fish ","newly widowed and the poor","simple lack of cash and lack of work, this problem will grow","ok",,,0,"GOOD","No","No","No","No","No","no need  for immedieate assistance",,"No",,"No",,,,,"No","No","No","No","No","No","No","no","Yes","Yes","Yes","No","same as before","still by pipe and bucket","No","Yes","No","same as before","Normal","yes same as before","Yes","Medium",,"Low","Low","Low","Medium","Yes",6000,"Yes",943,"No",,"No","No","Yes","Yes","Yes","Yes","some people ran small handicrafts businesses from homes, aftershocks make them scared to wrok inside","Yes","No","Yes","No","? ","Handicrafts, Government workers and shop employees","as above, no agriculture some remittences","NA",,"Shops were destroyed,. Lots of stock lost",,"yes, sewing machines and house/shop fittings","no","road","NA easy access","ok","NA easy access","yes though craked building make people scared to enter","all as per usual","ok","ok","ok","ok all working now","ok","Hazardous material","Yes","Yes","Yes","Yes","SAVE, MERCY, CARE, OGB and Wahli",6943,"Dave","ibu Sri Muliani",813456789777,"21/12/2011",6,23,16,,500,500,100,0,0,0,,"Earthquake"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","indonesia","West Sumatera","Agam","Salareh Ala",100.072305908,-0.1379946118,"Rural","mobile working well, no other means","tropical; monsoon season approaching","reasonably ok","mostly ok",0,"sarongs, blankets, sleeping mats acceptable","none",0,"none specifically","house, garden plot, motorcycle, some had fields","Yes",,"Yes",,"yes","Yes","Many","Many","Many",,"Yes",,"meat, vegetables, fruits, rice","no","n/a","reasonable",,,0,"local health post, unaffected; TBA in village","No","No","No","No","Yes","none, not priority",,"No",,"Yes","by local administration",,,,"No","No","No","No","No","No","No","no","No","No","No","No",,"covered buckets, jerry cans","Yes","Yes","No","pit latrines","Increasing","not now","Yes","Low","High","Medium","High","Medium","Low","No",,"Yes",25,"No",0,"Yes","Yes","No","No","No","Yes","access to markets has been cut","Yes","Yes","No","No","n/a","mostly agriculture, some small trading","farming","rice farming, land owned by individuals but communities share labour resources at harvest time",,"only two shops previously, one still operating",,"some motorcycles and one car damaged","blocked road is hampering access to markets","vehicle then 3kms by foot","none","none","one broken","damaged","none","none","none","damaged","mobiles working ok","none",,"No","No","Yes","Don't Know",,1297,"martin fisher","mohammed ali"," + 62 444 444 444","20 decem,ber 2011",0,40,6,0,47,15,6,,0,0,0,"Earthquake"
"First 72 Hours","Padang Earthquake 2011 (72 Hour B)","International Federation of the Red Cross and Red Cresent Society","Indonesia","West Sumatra","Solok","Salimpat",100.817011108,-1.0807464218,"Rural","mobile","Rain and Wind","yes","slightly damage",0,,"Shelter",2,"Single Headed household","Wooden Houses","Yes",,"Yes",,,"Yes","Few","Few","Few",,"Yes",,"Rice and vegetables",,,"Malaria and Diaherra because of lack of portable water sources",,,0,"People injured have difficult access to health facilities","No","No","Yes","No","No","First Aid",,"No",,"No","NA",,,,"No","No","No","No","No","Yes","No","No","Yes","Yes","Yes","Yes","same as before disaster","jerry cans","No","No","No","some latrines","Normal","Yes","Yes","Low","Low","Low","High","Low","Low","Yes",11,"Yes",5,"No",,"Yes","Yes","Yes","No","No","Yes","Irrigation was destroyed","Yes","Yes","Yes","No","Rain and flood","agriculture","farmer, general labour<","Rice paddy and owns by villagers",,"Most of the shops are the small groceries shops which were attached to their houses",,"Irrigation was damaged during the earthquake.",,"Roads","NA","NA",0.8,"Some","Damage","Slightly damage","Slightly damage","No electricity","Mobile","NA",,"No","Don't Know","Yes",,,1000,"Yin Min Aye","Gema Pertiwi",,40898,0,45,0,4,46,11,6,5,0,16,,"Earthquake"
