"Template","Template Description","Section","Section Position","Question","Question Type","Question Notes","Question Position","Question Code","metaD1","metaV1","metaD2","metaV2","metaD3","metaV3"
"24Hour",,"Infrastructure",4,"Best way to access affected area","String",,2,"24H-I-2","Length",80,,,,
"24Hour",,"Infrastructure",4,"Conditions/access of (as applicable) of Rail","String",,3,"24H-I-3","Length",80,,,,
"24Hour",,"Infrastructure",4,"Conditions/access of (as applicable) of Bridges","String",,4,"24H-I-4","Length",80,,,,
"24Hour",,"Infrastructure",4,"Conditions/access of (as applicable) of  Water facilities","String",,5,"24H-I-5","Length",80,,,,
"24Hour",,"Infrastructure",4,"Conditions/access of (as applicable) of Sewage systems","String",,6,"24H-I-6","Length",80,,,,
"24Hour",,"Infrastructure",4,"Conditions/access of (as applicable) of Schools","String",,7,"24H-I-7","Length",80,,,,
"24Hour",,"Infrastructure",4,"Conditions/access of (as applicable) of Health facilities","String",,8,"24H-I-8","Length",80,,,,
"24Hour",,"Infrastructure",4,"Conditions/access of (as applicable) of Electricity","String",,9,"24H-I-9","Length",80,,,,
"24Hour",,"Infrastructure",4,"Conditions/access of (as applicable) of Telephones","String",,10,"24H-I-10","Length",80,,,,
"24Hour",,"Infrastructure",4,"Conditions/access of (as applicable) of Airport","String",,11,"24H-I-11","Length",80,,,,
"24Hour",,"Infrastructure",4,"Conditions/access of (as applicable) of Seaport","String",,12,"24H-I-12","Length",80,,,,
"24Hour",,"Infrastructure",4,"Effect on commercial buildings","Text",,13,"24H-I-13",,,,,,
"24Hour",,"Infrastructure",4,"Effect on businesses/ factories","Text",,14,"24H-I-14",,,,,,
"24Hour",,"Infrastructure",4,"Effect on government buildings","Text",,15,"24H-I-15",,,,,,
"24Hour",,"Livelihoods",6,"Brief description of livelihood groups and how they are affected (secondary information)","Text",,1,"24H-L-1",,,,,,
"24Hour",,"Livelihoods",6,"What are the specific physical losses in agriculture (if applicable) for Crops/gardens","Text",,2,"24H-L-2",,,,,,
"24Hour",,"Livelihoods",6,"What are the specific physical losses in agriculture (if applicable) for Animals (e.g. livestock, poultry, etc.)","Text",,3,"24H-L-3",,,,,,
"24Hour",,"Livelihoods",6,"What are the specific physical losses in agriculture (if applicable) for Tools","Text",,4,"24H-L-4",,,,,,
"24Hour",,"Livelihoods",6,"What are the specific physical losses in fishing (if applicable) for Boats","Text",,5,"24H-L-5",,,,,,
"24Hour",,"Livelihoods",6,"What are the specific physical losses in fishing (if applicable) for Nets","Text",,6,"24H-L-6",,,,,,
"24Hour",,"Livelihoods",6,"What are the specific physical losses in fishing (if applicable) for Tools","Text",,7,"24H-L-7",,,,,,
"24Hour",,"Response",7,"Is the local government active in the disaster response?","YesNoDontKnow",,1,"24H-Re-1",,,,,,
"24Hour",,"Response",7,"Is the community responding to the disaster?","YesNoDontKnow",,2,"24H-Re-2",,,,,,
"24Hour",,"Response",7,"Are NGOs responding in the disaster area?","YesNoDontKnow",,3,"24H-Re-3",,,,,,
"24Hour",,"Response",7,"Which NGOs responding in the disaster area?","Text",,4,"24H-Re-4",,,,,,
"24Hour",,"Response",7,"Expected needs","Option",,5,"24H-Re-5","Length",3,1,"Rural",2,"Peri–Urban"
"24Hour",,"Response",7,"Expected needs","Option",,5,"24H-Re-5",3,"Urban ",,,,
"24Hour",,"Risks",5,"Concerns for Toxic spills","YesNo",,1,"24H-Ri-1",,,,,,
"24Hour",,"Risks",5,"Concerns for Oil spills","YesNo",,2,"24H-Ri-2",,,,,,
"24Hour",,"Risks",5,"Concerns for Mines/ERW","YesNo",,3,"24H-Ri-3",,,,,,
"24Hour",,"Risks",5,"Concerns for other hazardous materials","YesNo",,4,"24H-Ri-4",,,,,,
"24Hour",,"Shelter",3,"Homes # affected","Numeric",,1,"24H-S-1","Format","n",,,,
"24Hour",,"Shelter",3,"Homes # Minor damage","Numeric","Building can be safely occupied but needs minor repair",2,"24H-S-2","Format","n",,,,
"24Hour",,"Shelter",3,"Homes # Moderate damage","Numeric","Building cannot be safely occupied and need major repair",3,"24H-S-3","Format","n",,,,
"24Hour",,"Shelter",3,"Homes # Destroyed","Numeric","Obviously destroyed and needs rebuilding",4,"24H-S-4","Format","n",,,,
"24Hour",,"Shelter",3,"Are displaced people seeking shelter in temporary shelters","YesNo",,5,"24H-S-5",,,,,,
"24Hour",,"Shelter",3,"Are displaced people seeking shelter with host families","YesNo",,6,"24H-S-6",,,,,,
"24Hour",,"Shelter",3,"Are displaced people seeking shelter in camps","YesNo",,7,"24H-S-7",,,,,,
"24Hour",,"Shelter",3,"What other means are displaced people seeking shelter?","String",,8,"24H-S-8","Length",80,,,,
"24Hour",,"Shelter",3,"Describe shelter situation","Text",,9,"24H-S-9",,,,,,
