"Template","Series","24H-BI-1","24H-BI-2","24H-BI-3","24H-BI-4","24H-BI-5","24H-BI-6","24H-BI-7","24H-BI-8","24H-BI-9","24H-BI-10","24H-BI-11","24H-BI-12","24H-BI-13","24H-H-1","24H-H-2","24H-H-3","24H-H-4","24H-H-5","24H-H-6","24H-H-7","24H-I-1","24H-I-10","24H-I-11","24H-I-12","24H-I-13","24H-I-14","24H-I-15","24H-I-2","24H-I-3","24H-I-4","24H-I-5","24H-I-6","24H-I-7","24H-I-8","24H-I-9","24H-L-1","24H-L-2","24H-L-3","24H-L-4","24H-L-5","24H-L-6","24H-L-7","24H-Re-1","24H-Re-2","24H-Re-3","24H-Re-4","24H-Re-5","24H-Ri-1","24H-Ri-2","24H-Ri-3","24H-Ri-4","24H-S-1","24H-S-2","24H-S-3","24H-S-4","24H-S-5","24H-S-6","24H-S-7","24H-S-8","24H-S-9"
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Beama",680,,,,,,,,,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Kopure",390,,,,,,,,,412,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,23,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Eroro",60,,,,,,,,,1078,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,6,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Dombada",560,,,,,,,,,499,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,1,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Embogo",600,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Embi",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Barisari",800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Siremi",340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,"some",,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Buna",660,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,"some",,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Sanananda",540,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Garara",110,,,,,,,,,136,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,28,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Killerton",340,,,,,,,,,301,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,"nil",,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Bagou",220,,,,,,,,,227,,,,,,,,,,,,,,,,,,,,149,,,,,,,,,,,,,,,,,,"nil",,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Bepore*",190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Kurou",340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Bakubari",450,,,,,,,"nil","nil",,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Fufuda",280,,,,,,,"nil","nil",,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Batari",180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Katuna & Kome",570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Kurereda",370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Ope",70,,,,,,,,,357,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Beanga",190,,,,,,,,,401,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Mora",160,,,,,,,,,367,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Ambasi",220,,,,,,,,,723,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Kainde",380,,,,,,,,,684,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,,,,,,
"24Hour","Cyclone Guba (Oro Province)","No","No","Cyclone Guba",,"Oro Bay Rural",24300,"Bindari",190,,,,,,,,,835,,,,,,,,,,,,,,,,,,,,"all",,,,,,,,,,,,,,,,,,,,,,,

