Name,Organisation,Type,SubType,SubSubType,Address,L3,L2,L1,Postcode,Opening Times,Phone1,Comments,Website,Lat,Lon
Vista Del Mar Child And Family Services - Reiss-Davis Child Study Center,,"Health and Mental Health,Education",Mental Health Counseling;Adult Education,,3200 Motor Ave.,Los Angeles,Los Angeles County,California,90034,"Monday through Friday, 8:30am to 8:00pm; and Saturday, 8:30am to 2:30pm.","Service/Intake (310) 204-1666 Ext.356, Intake Service/Intake (310) 204-1666 Ext.407, Service Service/Intake (310) 204-1666 Ext.356","The center provides counseling services for children, adolescents, and young adults age zero to 25 and their families who live primarily, in the West Los Angeles area.",,34.031049,-118.410792
Center For Geriatric Health,Olympia Medical Center - Center for Geriatric Health,Health and Mental Health,Health Centers,,5901 W. Olympic Blvd.,Los Angeles,Los Angeles County,California,90036,"Monday through Thursday, 8:30am to 5:00pm.",Service/Intake (323) 932-5333,The agency provides health services for older adults age 65 and older who live in the Los Angeles County area.,www.olympiamc.com/CenterForGeriatricHealth/,34.057682,-118.359858
Los Angeles County Department Of Health Services - Los Angeles County And Usc Healthcare Network - Psychiatric Emergency Unit,,Health and Mental Health,Mental Health Programs,,1200 N. State St.,Los Angeles,Los Angeles County,California,90033,"Monday through Sunday, 24 hours per day.","Psychiatric Emergency Admitting Service/Intake (323) 409-7085, Psychiatric Emergency Service/Intake (323) 226-5577,  Administrative (323) 409-2345, Psychiatric Emergency Walk-In Admitting Service/Intake (323) 409-5750, Access Line and PMRT After Hours/We",The unit provides mental health services for people of all ages in the Central Health Region.,,34.057243,-118.208452
Ucla Resnick Neuropsychiatric Hospital - Child And Adolescent Services,,Health and Mental Health,Mental Health Programs,,760 Westwood Plaza,Los Angeles,Los Angeles County,California,90024,"Monday through Sunday, 24 hours per day.","Access Center Service/Intake (310) 825-9989, Appointments Service/Intake (800) 825-9989",The program provides inpatient and outpatient mental health services for youth.,,34.065719,-118.445114
Gateways Hospital And Mental Health Center - Residential Reentry Center,,Health and Mental Health,Mental Health Programs,,1801 Lakeshore Ave.,Los Angeles,Los Angeles County,California,90026,"Monday through Sunday, 24 hours per day.","FAX (323) 644-2044,  Service/Intake (323) 644-2020","The center provides residential mental health services for ex-offender adults, ages 18 to 59, in Los Angeles County.",www.gatewayshospital.org,34.085095,-118.255807
Angels Way Maternity Home,Angels Way Maternity Home,"Health and Mental Health,Social Services",Health Clinics,,22212 Welby Way,Canoga Park,Los Angeles County,California,91303,"Monday through Sunday, 24 hours per day.","FAX (818) 594-5746, (818) 346-BABY Service/Intake and Administration (818) 346-2229",The agency is a maternity home for single pregnant women 18 years and older in Los Angeles County.,www.angelswayhome.net,34.192722,-118.610676
Ingleside Hospital,,Health and Mental Health,"Health Education and Counseling,Mental Health Counseling",,7500 E. Hellman Ave.,Rosemead,Los Angeles County,California,91770,"SITE HOURS: Monday through Sunday, 24 hours per day.","FAX (626) 571-4880,  Service/Intake and Administration (626) 288-1160,  TDD (626) 288-2371, Psychiatric Emergency Service/Intake and Hotline (888) 819-9888","The hospital provides mental health services for adults, age 18 and older, who live in the Los Angeles County.",,34.069723,-118.106481
Tarzana Treatment Center - Long Beach Residential,,Health and Mental Health,"Mental Health Counseling,Substance Abuse Programs",,2101 Magnolia Ave.,Long Beach,Los Angeles County,California,90806,"Monday through Sunday, 24 hours per day.",Service/Intake (562) 218-1868,"The center provides domestic violence services, health services, HIV/AIDS services, mental health services for adults, residential treatment for substance abuse, shelter, substance abuse services, and welfare-to-work support services for people of all ag",www.tarzanatc.org,33.795663,-118.198412
Hollywood Community Hospital,Hollywood Community Hospital,Health and Mental Health,Hospitals and Medical Centers,,6245 De Longpre Ave.,Hollywood,Los Angeles County,California,90028,"Monday through Sunday, 24 hours per day.","FAX (323) 461-9278, Main Hospital Number Service/Intake (323) 462-2271",The agency provides hospital services for people in Los Angeles County.,www.hollywoodcommunityhospital.com,34.096313,-118.325079
Los Angeles Metropolitan Medical Center - Hawthorne Psychiatric Campus,,Health and Mental Health,Mental Health Programs,,13300 S. Hawthorne Blvd.,Hawthorne,Los Angeles County,California,90250,"Monday through Sunday, 24 hours per day. Visiting hours are Monday through Friday, 6:00pm to 8:00pm; Saturday and Sunday, 2:00pm to 4:00pm; and 6:00pm to 8:00pm","Psychiatric Intake Hotline/Talkline/Warmline (800) 787-4357,  Service/Intake (310) 679-3321",The medical center provides hospital services and health education for people of all ages in Los Angeles County.,www.lammc.com,33.911939,-118.352222
El Centro De Ayuda Corporation,,Health and Mental Health,"Mental Health Counseling,Substance Abuse Programs",,3467 Whittier Blvd.,Los Angeles,Los Angeles County,California,90023,,"Service/Intake and Administration (323) 265-9228,  FAX (323) 265-7166","The agency provides education services, domestic violence services and substance abuse services for people of all ages who live in Los Angeles County, including those who are homeless.",,34.026994,-118.198829
Inland Valley Drug And Alcohol Recovery Services - Pomona Office,,Health and Mental Health,Mental Health Counseling,,375 S. Main St.,Pomona,Los Angeles County,California,91766,,"FAX (909) 868-1432, DUI Service/Intake (909) 622-7311","The agency provides comprehensive alcohol and drug treatment services, including detoxification for adult men and women; residential for adult men, adult women, and men or women with children; and outpatient for adult men, adult women, and adolescents ag",www.inlandvalleyrecovery.org,34.056214,-117.752383
Planned Parenthood Pasadena And San Gabriel Valley - Eagle Rock Express Center,Planned Parenthood - Pasadena and San Gabriel Valley,Health and Mental Health,"Health Clinics,Health Education and Counseling,Health Screening and Testing",,1578 W. Colorado Blvd.,Los Angeles,Los Angeles County,California,90041,,Service/Intake and Administration (323) 256-1717,The agency provides family planning services for people of all ages in Los Angeles County.,www.pppasadena.org,34.140719,-118.181267
Planned Parenthood Pasadena And San Gabriel Valley - Alhambra Health Center,Planned Parenthood - Pasadena and San Gabriel Valley,Health and Mental Health,"Health Clinics,Health Education and Counseling,Health Screening and Testing",,320 S. Garfield,Alhambra,Los Angeles County,California,91801,,Service/Intake (626) 281-1550,The agency provides family planning services for people of all ages in Los Angeles County.,www.pppasadena.org,34.091943,-118.12446
El Centro Del Pueblo,El Centro del Pueblo,Health and Mental Health,"Mental Health Programs,Substance Abuse Programs",,1157 Lemoyne St.,Los Angeles,Los Angeles County,California,90026,,"Service/Intake (213) 483-6335,  FAX (213) 483-5523","The agency provides child abuse services, HIV/AIDS services, family preservation services, holiday assistance, substance abuse services and youth services.",www.elcentrodelpueblo.org,34.077292,-118.259793
