Name,Organisation,Type,Country,Address,Postcode,L1,L2,L3,L4,Lat,Lon,Phone1,Phone2
Arcadia Chapter,American Red Cross of Greater Los Angeles,Office,US,376 W Huntington Dr,91007,California,Los Angeles County,Arcadia,,34.131714,-118.044418,(626) 447-2193,
East San Fernando Valley District Office,American Red Cross of Greater Los Angeles,Office,US,731 N. Hollywood Way,91505,California,Los Angeles County,Burbank,,34.163639,-118.345268,(818) 842-5295,
West San Fernando Valley District Office,American Red Cross of Greater Los Angeles,Office,US,6800 Owensmouth Ave,91303,California,Los Angeles County,Los Angeles,Canoga Park,34.193779,-118.601501,(818) 593-3500,
Claremont Chapter,American Red Cross of Greater Los Angeles,Office,US,2065 N Indian Hill Blvd,91711,California,Los Angeles County,Claremont,,34.121128,-117.720657,(909) 624-0074,
Glendale-Crescenta Valley,American Red Cross of Greater Los Angeles,Office,US,1501 S. Brand Blvd,91204,California,Los Angeles County,Glendale,,34.127495,-118.255173,(818) 243-3121,
South East District Office,American Red Cross of Greater Los Angeles,Office,US,9800 S. La Cienega Blvd,90301,California,Los Angeles County,Inglewood,,33.9478,-118.370049,(310) 642-0230,
Antelope Valley Chapter,American Red Cross of Greater Los Angeles,Office,US,2715 E Ave P,93550,California,Los Angeles County,Palmdale,,34.602222,-118.077789,(661) 267-0650,
San Gabriel Pomona Valley Chapter,American Red Cross of Greater Los Angeles,Office,US,430 Madeline Dr,91105,California,Los Angeles County,Pasadena,,34.126476,-118.159615,(626) 799-0841,
Santa Clarita Valley District Office,American Red Cross of Greater Los Angeles,Office,US,"23838 Valencia Blvd, Suite 120",91355,California,Los Angeles County,Santa Clarita,,34.413586,-118.551575,(661) 259-1805,
Santa Monica Chapter,American Red Cross of Greater Los Angeles,Office,US,1450 11th St,90401,California,Los Angeles County,Santa Monica,,34.0205,-118.48755,(310) 394-3773,
South Bay District Office,American Red Cross of Greater Los Angeles,Office,US,"1995 W. 190th Street, Suite 100",90504,Californi,Los Angeles County,Torrance,,33.8596,-118.313,(310) 225-2900,
St. Mary's Center,Catholic Charities of Los Angeles,Office,US,4665 Willow Brook Ave,90029,California,Los Angeles County,Los Angeles,,34.089461,-118.293173,(323) 662-4391,
Angel's Flight Runaway & Homeless Youth Services,Catholic Charities of Los Angeles,Clinic,US,357 S Westlake Ave,90057,California,Los Angeles County,Los Angeles,,34.061518,-118.272079,(213) 413-2311,(800) 833-2499
Good Shepherd Center for Homeless Women and Children,Catholic Charities of Los Angeles,Clinic,US,1671 Beverly Blvd,90026,California,Los Angeles County,Los Angeles,,34.064319,-118.265074,(213) 235-1460,
El Santo Nino Community Center,Catholic Charities of Los Angeles,Office,US,601 E 23rd St,90011,California,Los Angeles County,Los Angeles,,34.024868,-118.261606,(213) 748-5246,
Temporary Skilled Worker Center,Catholic Charities of Los Angeles,Office,US,1190 S Flower St,91502,California,Los Angeles County,Burbank,,34.170277,-118.301488,(818) 566-7148,
Capinteria Community Services,Catholic Charities of Los Angeles,Office,US,941 Walnut St,93013,California,Santa Barbara County,Carpinteria,,34.396921,-119.517031,(805) 684-8621,
Lompoc Community Services,Catholic Charities of Los Angeles,Office,US,903 East Chestnut Ave,93436,California,Santa Barbara County,Lompoc,,34.642148,-120.447498,(805) 736-4886,
Lompoc Food Pantry,Catholic Charities of Los Angeles,Office,US,903 East Chestnut Ave,93436,California,Santa Barbara County,Lompoc,,34.642148,-120.447498,(805) 736-4886,
Counseling Services,Catholic Charities of Los Angeles,Clinic,US,609 East Haley St,93103,California,Santa Barbara County,Santa Barbara,,34.423369,-119.688546,(805) 965-7045,
Santa Barbara Community Services,Catholic Charities of Los Angeles,Office,US,609 East Haley St,93103,California,Santa Barbara County,Santa Barbara,,34.423369,-119.688546,(805) 965-7045,
Thrifty Shopper at Catholic Charities (Thrift Store),Catholic Charities of Los Angeles,Office,US,609 East Haley St,93103,California,Santa Barbara County,Santa Barbara,,34.423369,-119.688546,(805) 966-9659,
Cuyama Valley Community Services,Catholic Charities of Los Angeles,Office,US,607 West Main St,93454,California,Santa Barbara County,Santa Maria,,34.953208,-120.442719,(805) 922-2059,
Guadalupe Community Services,Catholic Charities of Los Angeles,Office,US,607 West Main St,93454,California,Santa Barbara County,Santa Maria,,34.953208,-120.442719,(805) 922-2059,
Santa Maria Community Services,Catholic Charities of Los Angeles,Office,US,607 West Main St,93454,California,Santa Barbara County,Santa Maria,,34.953208,-120.442719,(805) 922-2059,
Thrifty Shopper at Catholic Charities (Thrift Store),Catholic Charities of Los Angeles,Office,US,605 West Main St,93454,California,Santa Barbara County,Santa Maria,,34.953208,-120.442678,(805) 922-4174,
Older Adult Services and Intervention System (OASIS) Camarillo,Catholic Charities of Los Angeles,Office,US,2532 Ventura Blvd,93010,California,Ventura County,Camarillo,,34.216168,-119.035777,(805) 987-2083,
"Older Adult Services and Intervention System, Fillmore/Piru",Catholic Charities of Los Angeles,Office,US,1048 West Ventura St,93016,California,Ventura County,Fillmore,,34.08226,-118.031696,(805) 794-5929,
Moorpark Community Services,Catholic Charities of Los Angeles,Office,US,609 Fitch Ave,93021,California,Ventura County,Moorpark,,34.284058,-118.873006,(805) 529-0720,
Older Adult Services and Intervention System (OASIS) Moorpark,Catholic Charities of Los Angeles,Office,US,609 Fitch Ave,93021,California,Ventura County,Moorpark,,34.284058,-118.873006,(805) 794-5929,
Oxnard Community Services,Catholic Charities of Los Angeles,Office,US,502 North A St,93030,California,Ventura County,Oxnard,,34.207017,-119.178491,(805) 485-2900,
Older Adult Services and Intervention System (OASIS) Santa Paula,Catholic Charities of Los Angeles,Office,US,427 North Oak St,93061,California,Ventura County,Santa Paula,,34.360545,-119.059482,(805) 794-5929,
Adeste Child Care Program Ventura County Regional Administration,Catholic Charities of Los Angeles,Office,US,"303 North Ventura Ave, Ste B",93001,California,Ventura County,Ventura,,34.28471,-119.299823,(805) 643-4760,
Ventura Community Services Center,Catholic Charities of Los Angeles,Office,US,"303 North Ventura Ave, Ste C",93001,California,Ventura County,Ventura,,34.28471,-119.299823,(805) 643-4693,
