Name,Height,Width,Image
shelter_red,40,40,"ersSymbolsV0202/Operations_S1/Emergency_Shelters_S1_red.png"
shelter_yellow,40,40,"ersSymbolsV0202/Operations_S1/Emergency_Shelters_S1_yellow.png"
special_needs,33,44,"ersSymbolsV0202/Infrastructures_S1/Special_Needs_Adult_Day_Care_S1.png"
special_needs_green,33,44,"ersSymbolsV0202/Infrastructures_S1/Special_Needs_Adult_Day_Care_S1_Green.png"
special_needs_red,33,44,"ersSymbolsV0202/Infrastructures_S1/Special_Needs_Adult_Day_Care_S1_Red.png"
special_needs_yellow,33,44,"ersSymbolsV0202/Infrastructures_S1/Special_Needs_Adult_Day_Care_S1_Yellow.png"
staff,40,40,"ersSymbolsV0202/Operations_S1/Emergency_Staff_S1.png"
staff_red,40,40,"ersSymbolsV0202/Operations_S1/Emergency_Staff_S1_red.png"
staff_yellow,40,40,"ersSymbolsV0202/Operations_S1/Emergency_Staff_S1_yellow.png"
temple,33,44,"ersSymbolsV0202/Infrastructures_S1/Public_Venue_Temple_S1.png"
tsunami,50,50,"ersSymbolsV0202/Natural_Events/Hydro_Meteor_Tsunami_ch.png"
twitter,32,32,Twitter.png
ushahidi,31,32,Ushahidi.png
vehicle,40,40,"ersSymbolsV0202/Operations_S1/Emergency_Vehicle_S1.png"
volcano,50,50,"ersSymbolsV0202/Natural_Events/Geo_Volcanic_Threat.png"
volunteer,40,39,Volunteer.png
water,33,44,"ersSymbolsV0202/Infrastructures_S1/Water_Supply_Infrastructure_Theme_S1.png"
warehouse,33,44,"ersSymbolsV0202/Infrastructures_S1/Agri_Commercial_Food_Distribution_Center_S1.png"
warehouse_green,33,44,"ersSymbolsV0202/Infrastructures_S1/Agri_Commercial_Food_Distribution_Center_S1_green.png"
warehouse_red,33,44,"ersSymbolsV0202/Infrastructures_S1/Agri_Commercial_Food_Distribution_Center_S1_red.png"
warehouse_yellow,33,44,"ersSymbolsV0202/Infrastructures_S1/Agri_Commercial_Food_Distribution_Center_S1_yellow.png"
youtube,32,32,YouTube.png
