Name,Country,L1,L2,L3,L4
Denchukha LSS,BT,Samtse,Denchhukha,Duenchukha_Gabji,Duenchhukha (Duenchukha)
Gongzim Ugyen Doorji Higher Secondary School,BT,Haa,Haa Town,,
Hongtsho Primary School,BT,Thimphu,Chang,Lhoongtsho_Tashigang,Lhoongtsho
Rangthaling Primary School,BT,Tsirang,Rangthangling,Soonkosh,Dawthongsa(Saunay)
Zangtherpo Primary School,BT,Bumthang,Chhoekhor,Dawathang-Dorjibi-Kashingtsawa,Dawathang
Bartsham Central School Campus 1,BT,Trashigang,Bartsham,Moogtangkhar,Nyalung
Zhemgang CS A,BT,Zhemgang,Trong,Zhemgang Thromde,Trong
Lhamoizingkha Central School,BT,Dagana,Lhamoizingkha,,
korphu school,BT,Trongsa,Korphu,Korphu toed,Chamgor
Bayling CS,BT,Yangtse,Trashiyangtse,Bayling,Bayling
Bichgaon ECR,BT,Dagana,Nichula,,
Devitar ECR,BT,Dagana,Lhamoizingkha,,
Namgyelgang ECR,BT,Dagana,Kana,Bartsha-Namgyelgang,Namgyelgang
Daga Central School,BT,Dagana,Tseza,Karlingdzingkha,Karlingzingkha
Drujeygang Central School,BT,Dagana,Drugyelgang,Budipang-pangna,Pangna
Daleythang,BT,Dagana,Kana,Dalithang-Gangyab,Khagochen
Namchela,BT,Dagana,Trashiding,Namchela,Middle Namchella
Tashiding,BT,Dagana,Trashiding,Tashiding,Middle Tashiding
Dagapela,BT,Dagana,Tsendagang,Tsendagang,Upper Tsendagang
Gesarlin CS,BT,Dagana,Gesarling,Gesarling,Gesarling
Tsangkha,BT,Dagana,Tsangkha,Tshangkha,Tshangkha
Balaygang,BT,Dagana,Gozhi,Baleygang,Middle Balaygang
Gangzur,BT,Dagana,Tsendagang,Gangzurtoed,Gurung gaon
Gumla,BT,Dagana,Khipisa,Pogtog,Tsuga
Karmaling,BT,Dagana,Karmaling,,
Lhaling,BT,Dagana,Kana,Lhaling,Tanabji
Lungtengang,BT,Dagana,Kana,Bjurugang,Bjurugang
Nimtola,BT,Dagana,Dorona,Nimtola,Nimtola
Pangserpo,BT,Dagana,Drugyelgang,Pangserpo,Krongtod
Phekoma,BT,Dagana,Khipisa,Akhochen,Akochen
Phuensumgang,BT,Dagana,Lajab,Barna,Aechephu
Samey PS,BT,Dagana,Tseza,Tashigang,Tashigang
Zinchela,BT,Dagana,Tsangkha,Zinchila,Zinchela
DagaPS,BT,Dagana,Tseza,Karlingdzingkha,Karlingzingkha
Tarphel PS,BT,Yangtse,Bumdeling,Pangkhar_Tarphel,Taphel
Boomdeyling LSS,BT,Yangtse,Bumdeling,Ngalimang_Phanteng,Dungzam
Damphu Central School,BT,Tsirang,Kikorthang,,
Chokhorling LSS,BT,Sarpang,Dekiling,Chhokhorling,
Chhimung PS,BT,Pemagatshel,Chhimung,,
Tangmachu CS,BT,Lhuentse,Menbi,Tagmochhu_Gorgan,Tagmochhu
Autsho Central School,BT,Lhuentse,Tsenkhar,Autsho_Chharbi,Autsho
Singye Namgay,BT,Wangduephodrang,Athang,Rookha,Samthang
Phetakha PS,BT,Wangduephodrang,Athang,Jaroggang_Dzawo,Jaroggang
Bjena PS,BT,Wangduephodrang,Bjena,Bjenagloongpa_Thingmakha,
Yum Thuji Zam Charity School,BT,Thimphu,Mewang,Jiminang,
Uma,BT,Wangduephodrang,Daga,Uma Khatoed,Uma Khatoed
Sha Taksha,BT,Wangduephodrang,Daga,Sili_Taagsha,Taagsha
Dangchu PS,BT,Wangduephodrang,Dangchhu,Tashidingkha_Zimi,Tashidingkha
Nobding,BT,Wangduephodrang,Dangchhu,DoongdoongNyelsa_Norbooding,Norbooding
Phobjikha C School,BT,Wangduephodrang,Gangte,Tapaiteng_Uesa,Gangteng
Bayta PS,BT,Wangduephodrang,Gangte,Gangteng,Gangteng
Rubesa,BT,Wangduephodrang,Ruepisa,Bangtoedkha,Ruetoedkha
khotokha,BT,Wangduephodrang,Ruepisa,Khothangkha,Khothangkha
Jala,BT,Wangduephodrang,Ruepisa,Gyala,Jaala
Gaselo C School,BT,Wangduephodrang,Gasetsho Gom,Dabchhaykha_Matshigkha,Dabchhaykha
Gaselo,BT,Wangduephodrang,Gasetsho Gom,Dabchhaykha_Matshigkha,Dabchhaykha
Hebesa,BT,Wangduephodrang,Gasetsho Om,Haebisa,Haebisa
Bjimthangkha,BT,Wangduephodrang,Gasetsho Om,Medpaisa_Taabchhaekha,Medpaisa
Kazhi,BT,Wangduephodrang,Kazhi,Kazhi,Kazhi
Nahi,BT,Wangduephodrang,Nahi,Halued_Uesawogm,Uesawogm
Samtengang,BT,Wangduephodrang,Nyisho,Samtengang,Samtengang
Phuensum deki,BT,Wangduephodrang,Phangyuel,Goenkhar,Katikha
Rameychen,BT,Wangduephodrang,Phobji,Talachen_Tawa_Ta-Phu,Tawa
Sephu,BT,Wangduephodrang,Sephu,Booso_Zeri,Booso
Sephu,BT,Wangduephodrang,Sephu,Booso_Zeri,Booso
Rukubji,BT,Wangduephodrang,Sephu,Rukoobji,Rukoobji
Rinchengang,BT,Wangduephodrang,Thedtsho,RinchhengangToed,Zamtogpang
Bajo,BT,Wangduephodrang,Dzongkhag Thromde,Bajo,Bajo
Wangdue,BT,Wangduephodrang,Dzongkhag Thromde,Gangtoedthangka,Gantoedthangkha
Tencholing,BT,Wangduephodrang,Dzongkhag Thromde,Gangtoedthangka,Tencholing
Damchothang,BT,Wangduephodrang,Kazhi,,
Dongkhobjee,BT,Wangduephodrang,Kazhi,,
Gogona,BT,Wangduephodrang,Phobji,Dogsenang_Gorphu,Gorphu
Dranghal,BT,Wangduephodrang,Gangte,,
Gangphel,BT,Wangduephodrang,Phobji,Damchhoe_Gangphel,Gangphel
Matalungchu ECR,BT,Wangduephodrang,Thedtsho,Martaloongchu,Martaloongchu
Ridha,BT,Wangduephodrang,Dangchhu,,
Thungkhar LSS,BT,Trashigang,Thrimshing,Berdoongma - Thoongkhar,Thungkhar
Tshangpo PS,BT,Trashigang,Thrimshing,Tsangpo- Lhakhang jab,Tsangpo
Thrimshing CS,BT,Trashigang,Thrimshing,Tsangpo- Lhakhang jab,Tsangpo
Phekpari PS,BT,Trashigang,Thrimshing,Phegpari- Bongzor,Phakpari
Berdungma PS,BT,Trashigang,Thrimshing,Berdoongma - Thoongkhar,Berdungma
Phegpari PS,BT,Trashigang,Thrimshing,Phegpari- Bongzor,Phakpari
Jigme Sherubling CS Campus i,BT,Trashigang,Khaling,Khaling,Rashung
Trashitse AHSS,BT,Trashigang,Lumang,Riserboo - Tsangpo,Wamrong Throm
Wamrong LSS,BT,Trashigang,Lumang,Riserboo - Tsangpo,Wamrong Throm
Moshi PS,BT,Trashigang,Lumang,Moochu - Wakhar,Moshi
Lumang PS,BT,Trashigang,Lumang,Dubkhang - Lumang,Lumang
Kurchilo PS,BT,Trashigang,Lumang,Kharphoog - kurchhilo,Kurichilo
Tshogonpa PS,BT,Trashigang,Lumang,Tshogoenpa,Tshogonpa
Dungmanma PS,BT,Trashigang,Lumang,Chengri-Dungmanma,Dungmanma
Kangpara LSS,BT,Trashigang,Kangpara,Kangpar-Lamyong,Kangpar
PAsaphu LSS,BT,Trashigang,Kangpara,Pasaphu-peydung,Pasaphu
Zorhung PS,BT,Trashigang,Kangpara,Zordung,Zordung
Merak PS,BT,Trashigang,Merak,Merag Maed,Merak Maed
joenkhar PS,BT,Trashigang,Sakteng,joenkhar,Sakteng Jyenkhar
Thrakthri ECR,BT,Trashigang,Sakteng,Thrag Thri,Sakteng Thrak Thri
Dungtse CS Campus i,BT,Trashigang,Phongme,Phongmed,
Dungtse CS Campus ii,BT,Trashigang,Phongme,Phongmed,
Yabrang PS,BT,Trashigang,Phongme,Ya-brang,Yabrang
Thongrong PS,BT,Trashigang,Phongme,Thong-rong,Thongwrong
Radhi MSS,BT,Trashigang,Radi,Dekidling - Tsenkhar,
Pakaling PS,BT,Trashigang,Radi,Nagtsang -Togshingmang,Tokshingmang
Pakaling PS,BT,Trashigang,Radi,Pakaling,
Rangjung CS Campus 1,BT,Trashigang,Shongphu,Changmi - Rangjoong,Rangjung
Rangjung CS Campus ii,BT,Trashigang,Shongphu,Changmi - Rangjoong,Rangjung
Changmey PS,BT,Trashigang,Shongphu,Changmi - Rangjoong,Changme
Yobinang ECR,BT,Trashigang,Shongphu,Gongtsephangma - Yobinang,Yobenang
Chaling PS,BT,Trashigang,Shongphu,Chaling,Chaling
Galing PS,BT,Trashigang,Shongphu,Galing,Galing
Bidung LSS,BT,Trashigang,Bidung,Kakaniwog,Kakaniwog
Saling PS,BT,Trashigang,Bidung,Khairi-Saling,Saling
Bartsham Central School Campus ii,BT,Trashigang,Bartsham,Bainangkhar-Nangkhar,Nangkhar
Yingom PS,BT,Trashigang,Bartsham,Jamoong Kumoong,Zhingom
Trashigang MSS,BT,Trashigang,Samkhar,Maelphel - Samkhar,Malphel
Rangshikhar ECR,BT,Trashigang,Samkhar,Rangzhikhar - Serdrang,Rangshikhar
Bikhar LSS,BT,Trashigang,Samkhar,Bikhar - Domkahr,
Pam PS,BT,Trashigang,Samkhar,Chagzam - Pam,Pam
Yangner PS,BT,Trashigang,Yangnyer,Dargyeling - Kharthoong,Kheri (Yangnyer)
Gongthung AMSS,BT,Trashigang,Yangnyer,Dargyeling - Kharthoong,Kheri (Yangnyer)
Daliphangma PS,BT,Trashigang,Yangnyer,Daliphang - Ragshingo,Daliphangma Moed
Jampeling CS,BT,Trashigang,Kanglung,Manthoong,Menthong
Yonphula LSS,BT,Trashigang,Kanglung,Yonphula,Yonphula
Kanglung PS,BT,Trashigang,Kanglung,Manthoong,Menthong
Ritshangdung PS,BT,Trashigang,Kanglung,Pangthang - Retsangdung,Retsangdung
Rongthong PS,BT,Trashigang,Kanglung,Rongthong - Shingchen,Rongthong
Udzorong CS,BT,Trashigang,Udzorong,Barkazor_Maenkhar,Dayphu
Bjishong central school,BT,Gasa,Goenkhame,Damji,Bjishong
Gasa Primary School,BT,Gasa,Goenkhatoe,,
Lungo Extended classroom,BT,Gasa,Laya,Lungoo,Lungo
Laya Lower Secondary School,BT,Gasa,Laya,Neylu,
Mendrelthang ECR,BT,Gasa,Lunana,Tshodzong,Tshodzong
Lunana Primary School,BT,Gasa,Lunana,Lhedi,Lhedi
Losel Gyatsho Academy,BT,Sarpang,Gelephu,,
Sarpang CS,BT,Sarpang,Shompangkha,Shompangkha,
Norbuling CS,BT,Sarpang,Sherzhong,Norbuling,
Pelrithang MSS,BT,Sarpang,Gelephu,,
Sarpang MSS,BT,Sarpang,Shompangkha,Shompangkha,
Dekiling MSS,BT,Sarpang,Dekiling,Dekiling,
Jigmecholing LSS,BT,Sarpang,Jigmichhoeling,Khatoed,
kuzhugchen,BT,Thimphu,Kawang,Kuzhugchen,Kuzhugchen
Jangchubling LSS,BT,Sarpang,Chhuzagang,Jangchubling,
Umling LSS,BT,Sarpang,Umling,Rijug,
Jigmeling PS,BT,Sarpang,Dekiling,Jigmeling,
Chuzagang APS,BT,Sarpang,Chhuzagang,Nimaling-Shawapong,
Sershong PS,BT,Sarpang,Sherzhong,Sershong,
Lhayul PS,BT,Sarpang,Chhuzagang,Lhayul,
Retey PS,BT,Sarpang,Jigmichhoeling,Gongduegang,
Gakiling PS,BT,Sarpang,Jigmichhoeling,Gongduegang,
Lharing PS,BT,Sarpang,Hiley,Getemkha,
Dechenpelri PS,BT,Sarpang,Samtenling,Dechenpelri,
Samtenling PS,BT,Sarpang,Samtenling,,
Singye PS,BT,Sarpang,Senge,Yarpheling,
Hongtsho,BT,Thimphu,Chang,Lhoongtsho_Tashigang,Lhoongtsho
Taraythang PS,BT,Sarpang,Taraythang,,
Samkhara ECR,BT,Sarpang,Jigmichhoeling,Samkhar,
Kencholing ECR,BT,Sarpang,Shompangkha,Koencholing,
Desi,BT,Thimphu,Chang,Changyokha_Debsid,
Khasadrapchu,BT,Thimphu,Mewang,Khasadrupchhu,Khasadrupchhu
Bjemina,BT,Thimphu,Mewang,Jiminang,
Tshaluna,BT,Thimphu,Mewang,Tsha-loong-na,
Wangbama,BT,Thimphu,Genye,Wangbama,
Genekha,BT,Thimphu,Genye,Ge-nyenkha,Genekha
Soe  ECR,BT,Thimphu,Soe,Jangothang,
Lingzhi,BT,Thimphu,Lingzhi,Chakphu,Zamithang
Barshong,BT,Thimphu,Naro,Barshong_Nango,Barshong
Katsho Lower Secondary School,BT,Haa,Katsho,,
Jampel Higher Secondary School,BT,Haa,Bji,,
Gongzim Ugyen Dorji Higher Secondary School,BT,Haa,Katsho,,
Chundu Armed Force Public School,BT,Haa,Bji,,
Tshaphel Lower Secondary School,BT,Haa,Uesu,,
Jyenkhana primary School,BT,Haa,Sama,Pudunang,Jenkanang
Damthang Primary School,BT,Haa,Bji,Choompa_Jamgoen,Yetsephu
Rangtse Primary School,BT,Haa,,,
Sangbaykha Primary School,BT,Haa,,,
Sertena Primary School,BT,Haa,,,
Bebji Extension Class,BT,Haa,,,Bebji
Gangtok PS,BT,Samtse,Namgyel Chhoeling,Sernyagang_Tsholingkhar,Gangtog (Gyanthok)
Mindrupling PS,BT,Samtse,Dungtoe,Doongtoed_Khaling,Doongtoed(Daragaon)
Norbugang CS,BT,Samtse,Chengmari,Dramzedgang_Maedgang,Kyidtsaling (Dhapper)
Norbugang PS,BT,Samtse,Chengmari,Dramzedgang_Maedgang,Kyidtsaling (Dhapper)
Panbari PS,BT,Samtse,Tading,,
Peljorling HSS,BT,Samtse,Sipsu,Norjangsa_Peljorling,Peljorling
Phuntshopelri PS,BT,Samtse,Pagli,Jangchhogling_Lachhuthang,Peldenling(Gomtu)
Samtse LSS,BT,Samtse,Samtse Dzongkhag Thromde,,
Malbasay ECR,BT,Samtse,Samtse,Sa-tshamchhu_Tshongdzom,Tshongzom(Malabasey)Ahallephaka
Sengdhyen LSS,BT,Samtse,Dophoogchen,Sangloong_Sengteng,Sengteng
Chhukha Central School,BT,Chhukha,Bjachho,Tsimalakha_Tsimasham,Tsimasham
Gedu Higher Secondary School,BT,Chhukha,Bongo,Gedu_Miritsemo,Gedu
Pakshikha Central School,BT,Chhukha,Bongo,Gedu_Miritsemo,Pakshikha
Chapcha Middle Secondary School,BT,Chhukha,Chapchha,Gangkha_Shel-Yuel,
Chumigthang Middle Secondary School,BT,Chhukha,Samphelling,,
Darla Middle Secondary School,BT,Chhukha,Dala,,
Kamji Central School,BT,Chhukha,Geling,,
Wangchu Middle Secondary School,BT,Chhukha,Bjachho,Wangkha,Wangkha
Arekha Middle Secondary School,BT,Chhukha,Bongo,,
Sherubgatshel LSS,BT,Samtse,Bara,Miphelgang_Samphelgang,Samphelgang (Lepcha Gaon)
Taba Dramtoe LSS,BT,Samtse,Tading,,
Tashicholing PS,BT,Samtse,Sipsu,Daangling_Gangjoog,Daangling(PakhaGaon)
Ugyentse PS,BT,Samtse,Ugentse,Dangreyboog_Rigpailing,Rigpaling(Schooldara)
Yoeseltse MSS,BT,Samtse,Yoeseltse,Dungkar,Tshakaling(Ghumaney A)
Tendruk CS,BT,Samtse,Tendu,Nyizergang_Tendrukthang,Tendruk ( Tendrukthang/Tendu Tar)
Loggchina Lower Secondary School,BT,Chhukha,Logchina,,
Dunga Lower Secondary School,BT,Chhukha,Dungna,,
Alaykha Primary School,BT,Chhukha,Bongo,Gedu_Miritsemo,
Baikinza Primary School,BT,Chhukha,Bongo,Baeyuel Kunzang,Baeyul Kunzang
Bongo Primary School,BT,Chhukha,Bongo,Bongo_Phasooma,Bongo
Chapchha Primary School,BT,Chhukha,Chapchha,Gangkha_Shel-Yuel,
Chimuna Primary School,BT,Chhukha,Logchina,,
Chongaykha Primary School,BT,Chhukha,Phuentsholing,,
Choongkha Primary School,BT,Chhukha,Bongo,Choongkha_Chhasilakha,Chhongkha
Getena Primary School,BT,Chhukha,Getana,,
Ketokha Primary School,BT,Chhukha,Bongo,Ketogkha,Ketokha
Kezari Primary School,BT,Chhukha,Dala,,
Khatoeykha Primary School,BT,Chhukha,Logchina,,
Lingden Primary School,BT,Chhukha,Logchina,,
Lobneykha Primary School,BT,Chhukha,Chapchha,Lang Nyelsa,Langneykha
Meritsemo Primary School,BT,Chhukha,Bongo,Gedu_Miritsemo,Miritsemo
Metakha Primary School,BT,Chhukha,Metap,,
Paachu Primary School,BT,Chhukha,Phuentsholing,Pachhu,
Paga Primary School,BT,Chhukha,Chapchha,Pagga,
Rangaytung Primary School,BT,Chhukha,Samphelling,,
Rinchenling Primary School,BT,Chhukha,Chapchha,,
Shemagangkha Primary School,BT,Chhukha,Chapchha,Gangkha_Shel-Yuel,Shelgoen
Sinchula Primary School,BT,Chhukha,Dala,,
Tashilakha Primary School,BT,Chhukha,Dala,,
Tashigatsel Primary School,BT,Chhukha,Bjachho,Bjabchhog,Bjagcchog
Tsimakha Primary School,BT,Chhukha,Bjachho,Tsimalakha_Tsimasham,Tsimakha
Wangdigatsel Primary School,BT,Chhukha,Phuentsholing,,
Bukkay PS,BT,Samtse,Samtse,Sa-tshamchhu_Tshongdzom,Yulu toed (Bukay A)
Depheling PS,BT,Samtse,Chargharay,,
Gawaling PS,BT,Samtse,Denchhukha,Gawaling_Karzhing,Gawaling (Baseni)
Khandothang PS,BT,Samtse,Samtse,Damtshangma_Khandothang,Khandothang(Mechetar)
Namgaychiling PS,BT,Samtse,Namgyel Chhoeling,Namgaychhoeling,Namgay Chhoeling(Hangay)
SangNgagChoeling LSS,BT,Samtse,Chargharay,,
Kyidsa PS,BT,Samtse,Chengmari,Khanduzhi_Kyidsa,Kyidsa (Kirney)
Gayshing Gaon PS,BT,Samtse,Pagli,Gashingma_Ketshael-Gang_Thongjabi,Gashingma(Gashing)
Mendrelgang ECR,BT,Punakha,Toepisa,Lemjeykha-Thinleygang,
Phlulingsum ECR,BT,Punakha,Guma,Bayminag-Phulingsum-wangwakha,Phulingsum
Tahogang ECR,BT,Punakha,Toepisa,,
Tongzhuna ECR,BT,Punakha,Kabjisa,Hyeloog-Tongzhuna,Tongzhuna
Tshetena ECR,BT,Punakha,Kabjisa,Sirigang-Wakhudamchi,Tshetena
Tseykha ECR,BT,Punakha,Dzoma,Gubji Tseykakha,Tseykha
Yebesa ECR,BT,Punakha,Chhubu,Yebesa,Yebesa
Punakha Central School,BT,Punakha,Guma,Guma -Wolakha,Gumakha
Dashiding Autonomous School,BT,Punakha,Bapisa,,
Ugyen Academy,BT,Punakha,Guma,Guma-Wolakha,Khuru
Bjipjokha Lower Secondary,BT,Punakha,Toewang,Bjipjokha-Yuesarkha,
Lobesa Lower Secondary School,BT,Punakha,Bapisa,,
Shengana Lower Secondary,BT,Punakha,Shengabjimi,,
Dechentsemo Central School,BT,Punakha,Toepisa,Lemjeykha-Thinleygang,
Kabesa Central School,BT,Punakha,Kabjisa,Choetenningpo-Yusakha,Yusakha
Khuruthang Middle Secondary School,BT,Punakha,Guma,Guma -Wolakha,Khuru
Tashidingkha Central School,BT,Punakha,Dzoma,,
Goenshari Primary School,BT,Punakha,Goenshari,Seychagnang,Kapataksa
Lakhu Primary School,BT,Punakha,Guma,Lakhu,Lakhu
Laptsakha Primary School,BT,Punakha,Talo,Laptsakha,
Logodama Primary School,BT,Punakha,Guma,,
Mendagang Primary School,BT,Punakha,Dzoma,Dzomisa Mendagang,Mendagang
Nawakha Primary School,BT,Punakha,Chhubu,Jangwakha Sewla,Nawakha
Nobgang Primary School,BT,Punakha,Talo,Nobgang,
Tshochagsa Primary School,BT,Punakha,Lingmukha,Dompala,Dompala
Wolathang Primary School,BT,Punakha,Toewang,,
Zhemgang PS,BT,Zhemgang,Trong,Zhemgang Thromde,Trong
Yebilaptsa,BT,Zhemgang,Trong,,
Buli,BT,Zhemgang,Nangkor,Buli,Buli
Sonamthang,BT,Zhemgang,Ngangla,Panbang_Sonamthang,Khathoe Sonamthang
Panbang,BT,Zhemgang,Ngangla,Panbang_Sonamthang,Panbang
Gongphu,BT,Zhemgang,Trong,Gongphu,Gongphu
Tingtibi,BT,Zhemgang,Trong,,
Goling,BT,Zhemgang,Nangkor,Goling,Goling
Shingkhar,BT,Zhemgang,Shingkhar,Shingkhar,Trong
Khomshar,BT,Zhemgang,Bardo,Khomshar,Trong
Bardo,BT,Zhemgang,Bardo,Bardo,Trong
Tshaildang,BT,Zhemgang,Nangkor,Nyakhar-Tsheldang,Tsheldang
Langdurbi,BT,Zhemgang,Bardo,Langdurbi,Langdurbi
Dungmang,BT,Zhemgang,Nangkor,Dungmang-Kamjong,Dungmang
Kikhar,BT,Zhemgang,Nangkor,Dakphel-Kikhar-Tali,Kikhar
Tali,BT,Zhemgang,Nangkor,Dakphel-Kikhar-Tali,Tali
Nimshong,BT,Zhemgang,Shingkhar,Nyimshong_Thajong,Nyimshong
Thrisa,BT,Zhemgang,Shingkhar,Thrisa,
Tsanglajong,BT,Zhemgang,Trong,Tsanglajong_Zurphel,Tshanglajong
Digala,BT,Zhemgang,Bardo,Digala,Dhigala
Goshing,BT,Zhemgang,Gozhing,,
Budhashi,BT,Zhemgang,Gozhing,Budhashi,Budhashi
Pantang,BT,Zhemgang,Pangkhar,Mamo Trong_Pantang,Pantang
Tashibi,BT,Zhemgang,Pangkhar,Shalingtoed_Tashibi,Tashibi
Kagtong,BT,Zhemgang,Ngangla,Kagtong,
Bjoka,BT,Zhemgang,Bjoka,Bjoka,Trong
Tradijong,BT,Zhemgang,Pangkhar,Mamo Trong_Pantang,Tradijong
Barpong,BT,Zhemgang,Bjoka,Barpong_Namirgang,Namirgang
Ribati,BT,Zhemgang,Ngangla,Ribati,Ribati
Bayling CS,BT,Yangtse,Trashiyangtse,Bayling,Bayling
Kuenzangling CS,BT,Yangtse,Tomzhangtshen,Baagpa_Kuenzangling,Kuenzangling
Ramjar Middle Secondary School,BT,Yangtse,Ramjar,Bainang-Reb_Romang,Boenkangzor
Tshenkharla CS,BT,Yangtse,Khamdang,Nombaring_Shazam,Tshenkharla
Boomdelying Lower Secondary School,BT,Yangtse,Bumdeling,Ngalimang_Phanteng,Dungzam
Khamdang Lower Secondary School,BT,Yangtse,Khamdang,Khamdang_Manla,Khamdang
Khi-nyel Lower Secondaey School,BT,Yangtse,Toedtsho,Khi-Nyel_Togshing,Bakpa
Thragom Lower Secondaery School,BT,Yangtse,Yalang,Rolam_Thragom,Thragom
Trashiyangtse Lower Secondary School,BT,Yangtse,Trashiyangtse,Baaney_Bimkhar,Baychen
Chakdemi Primary School,BT,Yangtse,Khamdang,Doongtse_Lengkhar,Chakidemi
Duksum Primary School,BT,Yangtse,Khamdang,Khamdang_Manla,Khitsang
Doogti Primary School,BT,Yangtse,Yalang,Dhoogti_Gashing,Gashingphangma
Jamkhar Primary School,BT,Yangtse,Jamkhar,Rijoong_Yoob,Youb
Jangphootse Primary School,BT,Yangtse,Toedtsho,Jangphootse,Tshogsum
Shoongring Primary School,BT,Yangtse,Trashiyangtse,Gangkhar,Gankhar
Langmadung Primary School,BT,Yangtse,Trashiyangtse,Bayling,Durchen
Lichen Primary School,BT,Yangtse,Trashiyangtse,Lichen,Lichen
Melongkhar Primary School,BT,Yangtse,Yalang,Namthig_Yerphel,Yerphel
Pangtokha Primary School,BT,Yangtse,Tomzhangtshen,Pang_Lhauzhing,Paangbaechha
Rabti Primary Schhol,BT,Yangtse,Trashiyangtse,Rabti,Rabti
Shali Primary School,BT,Yangtse,Khamdang,Serpang_Shalli,Shali
Shingkhar Primary School,BT,Yangtse,Jamkhar,Shingkhar_Tongla,Shingkhar
Tarphel Primary School,BT,Yangtse,Bumdeling,Pangkhar_Tarphel,Taphel
Tokaphug Primary School,BT,Yangtse,Tomzhangtshen,Maenchhu_Tsangdhoong,Togkaphug
Tshangphugchen Primary School,BT,Yangtse,Toedtsho,Nangkhar_Seb,Sep
Tsaling Primary School,BT,Yangtse,Bumdeling,Gangkhardoong_Tshaleng,Tsaling
Wogmanang Primary School,BT,Yangtse,Bumdeling,Bomdhir_Wogmanang,Wongmanang
Yallang Primary School,BT,Yangtse,Yalang,Phuyang_Yalang,Shainong
Wanakha,BT,Paro,Naja,Wanakha_Zursoona,Wanakha
Rashigang,BT,Paro,Naja,Rangzhin-Gang_Tshebji,Rangzhin-Gang
Bitekha Middle Secondary School,BT,Paro,Naja,Bueltikha_Jagoen,Bueltikha
Dawakha Lower Secondary School,BT,Paro,Doga,Dawakha_Tshongkha,Dawakha
Issuna Primary School,BT,Paro,Doga,Mendrel_Uesuna,Uesuna
Karma Academy,BT,Paro,Shapa,Bara_Zhunggar,
Shaba Higher Secondary School,BT,Paro,Shapa,Bara_Zhunggar,
Shaba PS,BT,Paro,Shapa,Bara_Zhunggar,
Tshenden PS,BT,Paro,Lungnyi,Baangdey,Baangdey
Kgangri PS,BT,Paro,Lungnyi,Baangdey,Baangdey
Woochu LS,BT,Paro,Lungnyi,Jieu_Woochhu,Woochhu
Olathang PS,BT,Paro,Lungnyi,Naemjog,
Khangkhu MSS,BT,Paro,Wangchang,Changmedthangka_Khangkhu,Khangkhu
Yoezerling PS,BT,Paro,Wangchang,Gebtoed_Olathang_Tajoog,Gebtoed
Yoezerling HSS,BT,Paro,Wangchang,Gebtoed_Olathang_Tajoog,Gebtoed
Taju PS,BT,Paro,Wangchang,Gebtoed_Olathang_Tajoog,
Gaupel LSS,BT,Paro,Hungrel,Gaupel,Gaupel
Shari HSS,BT,Paro,Dopshari,Rinchhending_Shar-ri,
Doteng LSS,BT,Paro,Doteng,Jabji_Loogchhoed,Loogchhoed
Rigzom Academy,BT,Paro,Lamgong,Ngopa_Shomo,Shomo
Thuksel PS,BT,Paro,Lamgong,Tsendonang,Tsendanang
