Name,Country,L1,L2,L3,L4
Khaling BHU 1,BT,Trashigang,Khaling,Khaling,Dawzor
Bikhar BHU ii,BT,Trashigang,Samkhar,Bikhar - Domkahr,
Bidhung BHU ii,BT,Trashigang,Bidung,Kakaniwog,
Merak BHU ii,BT,Trashigang,Merak,Merag Toed,Merak Toed
Phongmey BHU ii,BT,Trashigang,Phongme,Phongmed,
Yabrang BHU ii,BT,Trashigang,Phongme,Ya-brang,Yabrang
Thongrong Subpost,BT,Trashigang,Phongme,Thong-rong,Thongwrong
Radhi BHU ii,BT,Trashigang,Radi,Dekidling - Tsenkhar,Tsangkhar
Sakteng BHU ii,BT,Trashigang,Sakteng,Sagteng,Sakteng
Chaling Subpost,BT,Trashigang,Shongphu,Chaling,Chaling
Changmi BHU ii,BT,Trashigang,Shongphu,Changmi - Rangjoong,Changme
Udzorong BHU ii,BT,Trashigang,Udzorong,Barkazor_Maenkhar,Barkazor
Yangneer BHU ii,BT,Trashigang,Yangnyer,Dargyeling - Kharthoong,Kheri (Yangnyer)
Pasaphu Subpost,BT,Trashigang,Kangpara,,
Thungkhar BHU ii,BT,Trashigang,Thrimshing,Berdoongma - Thoongkhar,Thungkhar
Phegpari subpost,BT,Trashigang,Thrimshing,Thrimishing,Thrimshing
Lumang BHU ii,BT,Trashigang,Lumang,Kharphoog - kurchhilo,Kurichilo
Joenkhar BHU ii,BT,Trashigang,Sakteng,joenkhar,Sakteng Jyenkhar
Chhukha BHU,BT,Chhukha,Bjachho,Bjabchhog,
Tsimalhakha Hospital,BT,Chhukha,Bjachho,Tsimalakha_Tsimasham,
Gedu Hosptital,BT,Chhukha,Bongo,Gedu_Miritsemo,
Khaotoekha BHU,BT,Chhukha,Logchina,,
Chapcha BHU,BT,Chhukha,Chapchha,,
Bongo BHU,BT,Chhukha,Bongo,Bongo_Phasooma,
Baeyul Kinzang,BT,Chhukha,Bongo,Baeyuel Kunzang,
Chongyekha,BT,Chhukha,Phuentsholing,,
Darla BHU,BT,Chhukha,Dala,,
Sinchula BHU,BT,Chhukha,Dala,,
Rinchentse BHU,BT,Chhukha,Dala,,
Doongna BHU,BT,Chhukha,Dungna,,
Getena BHU,BT,Chhukha,Getana,,
Metakha Sub post,BT,Chhukha,Metap,,
Logchina BHU,BT,Chhukha,Logchina,,
Rangaytung,BT,Chhukha,Samphelling,,
Chimuna,BT,Chhukha,Logchina,,
Arekha BHU,BT,Chhukha,Bongo,,
Betikha,BT,Paro,Naja,Bueltikha_Jagoen,Bueltikha
Drukgyel,BT,Paro,Tsento,,
BHU-II,BT,Gasa,Goenkhame,Damji,Bjishong
Gasa BHU-1,BT,Gasa,Goenkhatoe,Mani,Mani
Laya BHU-II,BT,Gasa,Laya,Pazhi,
Lunana BHU-II,BT,Gasa,Lunana,Lhedi,Lhedi
Lopokha Sub post,BT,Wangduephodrang,Athang,Lophokha_Phagtakha,Lophokha
Migtana Sub post,BT,Wangduephodrang,Athang,Rookha,Rookha
Kamichu BHU,BT,Wangduephodrang,Daga,Kamina_Wogyal,Wogyal
Uma BHU,BT,Wangduephodrang,Daga,Uma Khatoed,Uma Khatoed
Dangchu BHU,BT,Wangduephodrang,Dangchhu,Tashidingkha_Zimi,Chhubarwogm
Nobding Sub post,BT,Wangduephodrang,Dangchhu,DoongdoongNyelsa_Norbooding,Norbooding
Gaselo BHU,BT,Wangduephodrang,Gasetsho Gom,Khatoedkha,Gangchhumigang Lamta
BJimithangkha BHU,BT,Wangduephodrang,Gasetsho Om,Medpaisa_Taabchhaekha,Medpaisa
sephu BHU,BT,Wangduephodrang,Sephu,Rukoobji,Chagzam
Jalla BHU,BT,Wangduephodrang,Ruepisa,Oola,Oola
Esa BHU,BT,Wangduephodrang,Gangte,Tapaiteng_Uesa,Uesa
Samtengang BHU,BT,Wangduephodrang,Nyisho,Samtengang,Samtengang
Teki Agona BHU,BT,Wangduephodrang,Bjena,Wachhey,Kokokhar
Khotokha sub post,BT,Wangduephodrang,Bjena,Tashi Tokha,Khotokha
Taksha subpost,BT,Wangduephodrang,Daga,Sili_Taagsha,Taagsha
Kazhi BHU,BT,Wangduephodrang,Kazhi,Chegidp,Goendep
Army hospital,BT,Wangduephodrang,Thedtsho,RinchhengangMaed,Chagzamphakha
Gangtay Subpost,BT,Wangduephodrang,Gangte,Gangteng,Gangteng
Nahi subpost,BT,Wangduephodrang,Nahi,Uesagongm_Thabji,Hamchhu
Hebesa Subpost,BT,Wangduephodrang,Gasetsho Om,Haebisa,Haebisa
Gonpasingma BHU,BT,Pemagatshel,Zobel,Zobel,Zobel
Nanong BHU,BT,Pemagatshel,Nanong,Nanong,
Tshatshi BHU,BT,Pemagatshel,Nanong,Gashigkhar_ Tsatshi,Tshatshi
Pema Gatshel Hospital,BT,Pemagatshel,Shumer,,
Shali-subpost,BT,Pemagatshel,Shumer,Goengpong Shali,Shali
Pretengma BHU,BT,Pemagatshel,Khar,,
Thongsa,BT,Pemagatshel,Chongshing,Thongsa,
Chongshing,BT,Pemagatshel,Chongshing,Chongshing_ Jorphung,Chongshing
Yurung BHU,BT,Pemagatshel,Yurung,,
Khangma-subpost,BT,Pemagatshel,Yurung,Khangma,
Chhimoong BHU,BT,Pemagatshel,Chhimung,Chhimoong,Chhimoong
Nyasikhar-subpost,BT,Pemagatshel,Chhimung,Nyashkhar,Nyashikhar
Dungmin BHU,BT,Pemagatshel,Dungmin,Dungmaed_ Zimzor,
Thrumchung BHU,BT,Pemagatshel,Dungmin,La-Nyiri_Thrumchoong,Thrumchoong
Mikuri-subpost,BT,Pemagatshel,Dungmin,Bangyuel,Migkuri
Nganglam BHU,BT,Pemagatshel,Norbugang,,
Norbugang,BT,Pemagatshel,Norbugang,Norboogang_Rinchenzor,Norboogang
Borongmo-subpost,BT,Pemagatshel,Norbugang,Maenchhu_Nganglam,Borongmo
Dechenling BHU,BT,Pemagatshel,Dechhenling,Dechhenling_Goenpawoong,
Chokhorling BHU,BT,Pemagatshel,Chokhorling,Chhoekhorling _Gazawong,Chhoekhorling
Haa Hospital,BT,Haa,Haa Town,Bali Maed,Bali Maed
Bali TM unit,BT,Haa,Katsho,Bali_Mombitshokha,Bali
Yangthang BHU,BT,Haa,Bji,Yangthang,Jangtoed
Sangbaykha BHU,BT,Haa,,,
Dorithasa BHU,BT,Haa,,,
Ngatsena BHU,BT,Haa,,,
Drungkhag subpost,BT,Haa,,,
Bebji,BT,Haa,,,
Dechencholing,BT,Thimphu,Kawang,Kuzhugchen,
Senggey BHU,BT,Sarpang,Senge,Yarpheling,Yarpheling(Thoemba)
Phibsoo,BT,Sarpang,Senge,Sangaythang,Wangchulingkhar(Phibsoo)
Menchulam,BT,Sarpang,Hiley,Menchhulam,Menchhulam(Kharpani)
Sarpang District Hospital,BT,Sarpang,Shompangkha,Shompangkha,Shompangkha(Sarpangtar)
Jigmecholing BHU II,BT,Sarpang,Jigmichhoeling,Khatoed,Khatoe
Gakidling,BT,Sarpang,Jigmichhoeling,Gongduegang,Gongduegang(Gong Gaon)
Jangchubling,BT,Sarpang,Chhudzom,Jangchubling,Jangchubling(Pankhey)
Lhayul,BT,Sarpang,Chhudzom,Lhayul,Lhayul(Mougaon)
Chokhorling,BT,Sarpang,Dekiling,Chhokhorling,Chhokhorling(Toribari)
Norbuling,BT,Sarpang,Sherzhong,Norbuling,Norbuling
Umling,BT,Sarpang,Umling,Dungmin,Dungmin
Tarathang,BT,Sarpang,Taraythang,Pemacholing,Pemachholing(Dragaon)
Chuzangang,BT,Sarpang,Chhuzagang,Barthang,Barthang
Hongtsho,BT,Thimphu,Chang,Lhoongtsho_Tashigang,
Chamgang,BT,Thimphu,Dagala,Chamgang Maed,
Chamgang,BT,Thimphu,Dagala,Chamgang Maed,
Genekha,BT,Thimphu,Genye,Ge-nyenkha,
Lingzhi,BT,Thimphu,Lingzhi,Chakphu,
Soe,BT,Thimphu,Soe,Jangothang,
Barshong,BT,Thimphu,Naro,Barshong_Nango,
Buli Primary Health Center,BT,Zhemgang,Nangkor,Buli,Buli
Tsheldang Primary Health Center,BT,Zhemgang,Nangkor,Nyakhar-Tsheldang,Tsheldang
Nyimshong Primary Health Center,BT,Zhemgang,Shingkhar,Nyimshong_Thajong,Nyimshong
Shingkhar Primary Health Center,BT,Zhemgang,Shingkhar,,
Norboogang BHU,BT,Samtse,Chengmari,Dawaling_ Yangphelthang,Tshongduekha (Hatkhola)
Ugyentse BHU,BT,Samtse,Ugentse,Dangkarling_Dechhengang,Dangkharling(BahunGaon)
Yoeseltse BHU,BT,Samtse,Yoeseltse,Dungkar,Dungkar(Ghumaune B)
Sa-Ngag-Chhoeling BHU 2,BT,Samtse,Chargharay,,
Tading BHU,BT,Samtse,Tading,,
Tading Sub Post,BT,Samtse,Tading,,
Sipsu BHU,BT,Samtse,Sipsu,Dewachen_Zhiwaling,Zhiwaling(Kothigaon)
Tendruk BHU,BT,Samtse,Tendu,Nyizergang_Tendrukthang,Tendruk ( Tendrukthang/Tendu Tar)
Pemaling BHU,BT,Samtse,Biru,Chhusilgang_Dramedsa,Pemaling (Kamigaon)
Bara BHU,BT,Samtse,Bara,Dangreyboog-Patshaling,Dangrayboog (Bich Gaon)
Phendeygang Sup-post,BT,Samtse,Bara,Chhu-Goo-Phendegang,Phendegang (Fenchi)
Gangtok BHU,BT,Samtse,Namgyel Chhoeling,Sernyagang_Tsholingkhar,Gangtog (Gyanthok)
Gomtu Hospital,BT,Samtse,Pagli,Jangchhogling_Lachhuthang,Peldenling(Gomtu)
Dorokha BHU,BT,Samtse,Dophoogchen,Dangreyboog_Ngagang,Dokarkha Ka (Dorokha A)
Sengdhen BHU,BT,Samtse,Dophoogchen,Sangloong_Sengteng,Sengteng
Denchukha BHU,BT,Samtse,Denchhukha,Duenchukha_Gabji,Duenchhukha (Duenchukha)
Gawaling Sup-post,BT,Samtse,Denchhukha,Gawaling_Karzhing,Gawaling (Baseni)
Dumtoe BHU,BT,Samtse,Dungtoe,Doongtoed_Khaling,Doongtoed(Daragaon)
Nobgang BHU,BT,Punakha,Talo,Nobgang,
Kabesa BHU,BT,Punakha,Kabjisa,,
Samdingkha BHU,BT,Punakha,Toewang,,
Shengana BHU,BT,Punakha,Shengabjimi,,
Goenshari BHU,BT,Punakha,Goenshari,,
Tshochagsa BHU,BT,Punakha,Lingmukha,,
Khomshar Primary Health Center,BT,Zhemgang,Bardo,Khomshar,
Langdurbi Primary Health Center,BT,Zhemgang,Bardo,Langdurbi,Langdurbi
Gongphu Primary Health Center,BT,Zhemgang,Trong,Gongphu,Gongphu
Kradijong Primary Health Center,BT,Zhemgang,Pangkhar,Mamo Trong_Pantang,Tradijong
Pantang Primary Health Center,BT,Zhemgang,Pangkhar,Mamo Trong_Pantang,Pantang
Bjoka Primary Health Center,BT,Zhemgang,Bjoka,Bjoka,Trong
Namirgang Primary Health Center,BT,Zhemgang,Bjoka,Barpong_Namirgang,Namirgang
Kagtong Primary Health Center,BT,Zhemgang,Ngangla,Kagtong,
Manas Primary Health Care,BT,Zhemgang,Ngangla,,
Zhemgang Hospital,BT,Zhemgang,Trong,Dangkhar_Trong,Dhangkhar
Dungzam BHU II,BT,Yangtse,Bumdeling,Ngalimang_Phanteng,Dungzam
Trashi Yangtse Hospital,BT,Yangtse,Trashiyangtse,Baaney_Bimkhar,Tongchen
Tshenkharla BHU,BT,Yangtse,Khamdang,Nombaring_Shazam,Tshenkharla
Khenyel BHU,BT,Yangtse,Toedtsho,Khi-Nyel_Togshing,Bakpa
Jangphutse  Sub-post,BT,Yangtse,Toedtsho,Jangphootse,Tsangwog
Melongkhar BHU,BT,Yangtse,Yalang,Chhema_Melongkhar,Chema
Thragom BHU,BT,Yangtse,Yalang,Rolam_Thragom,Thragom
Ramjar BHU,BT,Yangtse,Ramjar,Bainang-Reb_Romang,Boenkangzor
Jamkhar BHU,BT,Yangtse,Jamkhar,Rijoong_Yoob,Youb
Tongzahng BHU,BT,Yangtse,Tomzhangtshen,Baagpa_Kuenzangling,Shaagpa
Rabti Sub-post,BT,Yangtse,Trashiyangtse,Rabti,Rabti
BHU,BT,Lhuentse,Gangzur,Ney,Ney
Gunitsawa,BT,Paro,Tsento,,
Narang,BT,Monggar,Narang,Thrinangphu,Gutshaphu
Balam BHU,BT,Monggar,Balam,Balam,Lower Balam
Chali BHU,BT,Monggar,Chhali,Chulabi,Garwaling
Chaskhar BHU,BT,Monggar,Chaskhar,Doongsingma_Pam,Dungsingma
Chaskhar BHU,BT,Monggar,Chaskhar,Doongsingma_Pam,Dungsingma
Drameste BHU,BT,Monggar,Drametse,Drametse_Shaphangma,Drametse
Drepoong BHU,BT,Monggar,Drepung,Drepoong,Labtsa Zor
"Pangthang Sub-Post, Tshabor",BT,Monggar,Gongdue,Damkhar_Weringla,Pangthang
Daksa BHU,BT,Monggar,Gongdue,Daagsa_Kumazong,Daksa
Yangbari BHU,BT,Monggar,Gongdue,Pikari_Yangbari,Yangbari
Jurmey BHU,BT,Monggar,Jurmey,Bilam_Dangkila,Bilam
Muktangkhar ORC,BT,Monggar,Jurmey,Moogtangkhar_Tsangkhazor,Muktangkhar
Tselam ORC,BT,Monggar,Jurmey,Moodoongkhar_Tselam,Tselam
Yarakla ORC,BT,Monggar,Jurmey,Koknala_Ya-Ragla,Ya-Rakla
Sangkama ORC,BT,Monggar,Jurmey,Ngamphu_Sangkama,Sangkama
Narang  BHU,BT,Monggar,Narang,Thrinangphu,Gutshaptang
Kengkhar BHU,BT,Monggar,Kengkhar,Phosothong_singchongri,Shingchongri
Tongla Sub-Post,BT,Monggar,Kengkhar,Tongla_Zi-Tsibi,Tongla
Chai BHU,BT,Monggar,Chhali,Chulabi,Garwaling
Yadi BHU,BT,Monggar,Ngatshang,Pelshoob,
Ngatshang BHU,BT,Monggar,Ngatshang,Thoomdari,Zangdari
Sengor BHU,BT,Monggar,Saleng,Seng-Gor,Seng-Gor
Lingmithang BHU,BT,Monggar,Saleng,Tsenzabi_Masangdaza,
Resa Sub-Post,BT,Monggar,Saleng,Kalapang_Risa,Resa
ORC,BT,Monggar,Saleng,Drogsar,Drogsar
Tsenzabi ORC,BT,Monggar,Saleng,Tsenzabi_Masangdaza,Tsenzibi
Masangdaza ORC,BT,Monggar,Saleng,Tsenzabi_Masangdaza,Masangdaza
Saling ORC,BT,Monggar,Saleng,Saling,Saling
Thridangbi ORC,BT,Monggar,Saleng,Thridangbi,
Kalapang ORC,BT,Monggar,Saleng,Kalapang_Risa,Kalapang
Mangling ORC,BT,Monggar,Saleng,Drogsar,Maangling
Gyalpozhing BHU,BT,Monggar,Mongar,Gyalpoizhing_Wangling,Gyelpozhing
Muhung BHU,BT,Monggar,Shermung,Muhung,Muhung
SErzhong BHU,BT,Monggar,Shermung,Serzhong,Serzhong
Serzhong BHU,BT,Monggar,Shermung,Serzhong,Serzhong
Nagor BHU,BT,Monggar,Silambi,Nagor,Nagor Trong
Silambi Sub-Post,BT,Monggar,Silambi,,
Tsakaling BHU,BT,Monggar,Tsakaling,Nyartsi_Tsakaling,
Takhambi Sub-Post,BT,Monggar,Tsakaling,Tagkhambi,Takham Toe
Banjar BHU,BT,Monggar,Tsamang,Banjar,Banjair
Tsamang BHU,BT,Monggar,Tsamang,Thuenmong_Tokari,Tokari
Ganglapong BHU,BT,Monggar,Tsamang,Ganglapong Toed,Ganglapong Toed
Woop ORC,BT,Monggar,Drepung,Drepoong,Woop pek
Zunglen woong ORC,BT,Monggar,Drepung,Zunglen,Zunglen
Tshangkhar ORC,BT,Monggar,Drepung,Tsangkhar,Tsangkhar
