Name,Type,Country,L1,L2,L3,L4
Tashi Gatshel dungcho Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Dhur-Lusibee,Lusibi
Barsel Lamsel/Dawathang Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Dawathang-Dorjibi-Kashingtsawa,Dawathang
Lhamo Nyekhang,Cultural Site,BT,Bumthang,Chhoekhor,Dawathang-Dorjibi-Kashingtsawa,Dawathang
Kurjey Guru Lhakang,Cultural Site,BT,Bumthang,Chhoekhor,Dawathang-Dorjibi-Kashingtsawa,Dawathang
Kurjey Sampalhendup Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Dawathang-Dorjibi-Kashingtsawa,Dawathang
Kurjey Zangtoperli Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Dawathang-Dorjibi-Kashingtsawa,Dawathang
Sangay Lhamo Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Dawathang-Dorjibi-Kashingtsawa,Dawathang
Ugyen Zhabjee,Cultural Site,BT,Bumthang,Chhoekhor,Dawathang-Dorjibi-Kashingtsawa,Norbugang
Kebu Lungtshen Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Dawathang-Dorjibi-Kashingtsawa,Kashingtsawa
Lamai Lhakhang,Cultural Site,BT,Trashigang,Bartsham,Trashang,Trashang
Dzongoen Tshokhang,Cultural Site,BT,Trashigang,Bartsham,Jamoong Kumoong,
Dzongthung Tshokhang,Cultural Site,BT,Trashigang,Bartsham,,
Kunzang Choeling Lhakhang,Cultural Site,BT,Trashigang,Bartsham,,
Kumung Tshokhang,Cultural Site,BT,Trashigang,Bartsham,Jamoong Kumoong,Kumung
Kethpung Tshokhang,Cultural Site,BT,Trashigang,Bartsham,Jamoong Kumoong,Keypung
Yangkhar Tshokhang,Cultural Site,BT,Trashigang,Bartsham,Jamoong Kumoong,Yangkhar
Yingom Tshokhang,Cultural Site,BT,Trashigang,Bartsham,Jamoong Kumoong,Zhingom
Muktangkhar Tshokhang,Cultural Site,BT,Trashigang,Bartsham,Moogtangkhar,Mugtangkhar
Ngalung Tshokhang,Cultural Site,BT,Trashigang,Bartsham,Moogtangkhar,Nyalung
Pema Chholing Lhakhang,Cultural Site,BT,Trashigang,Bidung,Khairi-Saling,Saling
Drodrul Sanga Chholing Lhakhang,Cultural Site,BT,Trashigang,Bidung,Tsenkhar,Tadzong
Gontong Lhakhang,Cultural Site,BT,Trashigang,Bidung,Kakaniwog,Manzor
Khairi Lhakhang,Cultural Site,BT,Trashigang,Bidung,Khairi-Saling,Khairi
Gaylong Gonpa,Cultural Site,BT,Trashigang,Bidung,Lemphang,
Solo Gonpa Lhakhang,Cultural Site,BT,Trashigang,Bidung,Lemphang,Bargeon (Bidung)
Dhodruel UgyenChholingLhakhang,Cultural Site,BT,Trashigang,Bidung,Lemphang,Lemphang
Dremung Lhakhang,Cultural Site,BT,Trashigang,Bidung,Khairi-Saling,Gaygoen
Pema Dho Nga yoedselLhakhang,Cultural Site,BT,Trashigang,Bidung,Tsenkhar,Dori (Bidung)
TashiChokhorlingLhakhang,Cultural Site,BT,Trashigang,Bidung,Kakaniwog,Kakaniwog
Ugyen Donga Chokorling,Cultural Site,BT,Trashigang,Kanglung,Yonphula,
Shingchen Gonpa,Cultural Site,BT,Trashigang,Kanglung,Rongthong - Shingchen,Shingchen Goenpa
Tashiling,Cultural Site,BT,Trashigang,Kanglung,Rongthong - Shingchen,Shingchen Goenpa
Pema Phenday Cholling,Cultural Site,BT,Trashigang,Kanglung,Rongthong - Shingchen,Rongthong
Samdrup Chholing Lhakhang,Cultural Site,BT,Trashigang,Kanglung,Pangthang - Retsangdung,Pangthang
Thrama Lhakhang,Cultural Site,BT,Trashigang,Kanglung,Manthoong,Menthong
Tashi Choedungkhil Lhakhang,Cultural Site,BT,Trashigang,Kanglung,Rongthong - Shingchen,Rongthong
Ugyen Choling Lhakhang,Cultural Site,BT,Trashigang,Kanglung,Yonphula,Yonphula
Phendheyling Lhakhang,Cultural Site,BT,Trashigang,Kangpara,,Threlphu
Lhendrup Samten Chholing Lhakhang,Cultural Site,BT,Trashigang,Kangpara,Bedengphu-Merda,Lagoen
Choe Sa Kor Bu Lhakhang,Cultural Site,BT,Trashigang,Kangpara,Bedengphu-Merda,Merda
4. Samdrup Chholing Lhakhang,Cultural Site,BT,Trashigang,Kangpara,Bedengphu-Merda,Merda
Duedjom Gyepayling Lhakhang,Cultural Site,BT,Trashigang,Kangpara,Bedengphu-Merda,Merda
Losum Gonpa Lhakhang,Cultural Site,BT,Trashigang,Kangpara,Pasaphu-peydung,Pasaphu
Kuenphen Chholing Lhakhang,Cultural Site,BT,Trashigang,Kangpara,Pasaphu-peydung,Maduwa
Dup Khang Lhakhang,Cultural Site,BT,Trashigang,Kangpara,Kangpar-Lamyong,Kangpar
Shar Ja Lhakhang,Cultural Site,BT,Trashigang,Kangpara,,
Silkhar Gonpa Lhakhang,Cultural Site,BT,Trashigang,Kangpara,Zordung,Zordung
Youl Dang Gonpa Lhakhang,Cultural Site,BT,Trashigang,Kangpara,Zordung,Zordung
Ri Shu Lok Pa Lhakhang,Cultural Site,BT,Trashigang,Kangpara,Zordung,Zordung
Kham Pa Du Wang Dung Khor Lhakhang,Cultural Site,BT,Trashigang,Kangpara,Zordung,Zordung
Samdrup Choeling Lhakhang,Cultural Site,BT,Trashigang,Khaling,Bayphu,Bayphu Sherig
Jadrung  Lhakhang,Cultural Site,BT,Trashigang,Khaling,Gomchu-Kholdung,Kholdung
Gonpung  Lhakhang,Cultural Site,BT,Trashigang,Khaling,Khaling,Thripang Goenpa
Brekha Woesel Cholling Lhakhang,Cultural Site,BT,Trashigang,Khaling,Brekha -Meringzor,Brekha
Barshong Lhakhang,Cultural Site,BT,Trashigang,Khaling,Barshong,Barshong
Tashi Choeling Lhakhang,Cultural Site,BT,Trashigang,Khaling,Jerelemi,Lemi
Pangpazor Lhakhang,Cultural Site,BT,Trashigang,Khaling,Jerelemi,Lemi
Tendey Drupkhang Goenpa,Cultural Site,BT,Trashigang,Lumang,Dubkhang - Lumang,Drupkhang
Khargoen Lhakhang,Cultural Site,BT,Trashigang,Lumang,Kharphoog - kurchhilo,Khargoen
Sangmari Lhakhang,Cultural Site,BT,Trashigang,Lumang,Riserboo - Tsangpo,Sangmari
Zangdo Pelri,Cultural Site,BT,Trashigang,Lumang,Riserboo - Tsangpo,Wamrong Throm
Tashi Chhoeding Lhakhang,Cultural Site,BT,Trashigang,Lumang,Riserboo - Tsangpo,Wamrong Throm
Samdhen Chhoeling Goenpa,Cultural Site,BT,Trashigang,Lumang,Moochu - Wakhar,Moshi
Tshendrup Chhoeling Goenpa,Cultural Site,BT,Trashigang,Lumang,Tshogoenpa,Tshogonpa
Samten Chhoeling Goenpa,Cultural Site,BT,Trashigang,Lumang,Moochu - Wakhar,Moshi
Tashi Chholing Lhakhang,Cultural Site,BT,Trashigang,Merak,Gyengo,Gyengo
Samten Chholing Lhakhang,Cultural Site,BT,Trashigang,Merak,Merag Toed,Merak Toed
Ugyen Samten Chholing Lhakhang,Cultural Site,BT,Trashigang,Merak,Khashateng,Khashateng
Khe-Phu Dungkhor Lhakhang,Cultural Site,BT,Trashigang,Merak,Khashateng,Khashateng
Jomo-Phodrang  Lhakhang,Cultural Site,BT,Trashigang,Merak,Merag Maed,Merak Maed
NamchoelingLhakhang,Cultural Site,BT,Trashigang,Phongme,Ya-brang,Pengtse
Yabrang UgyenDhonag Choeling,Cultural Site,BT,Trashigang,Phongme,Ya-brang,Yabrang
Jannjanma Meser Lhakhang,Cultural Site,BT,Trashigang,Phongme,Ya-brang,Janyema
Sangchen PemaGatshel,Cultural Site,BT,Trashigang,Phongme,Phimshong,Phimsong
Bremteng Lhakhang,Cultural Site,BT,Trashigang,Phongme,Thong-rong,Breng
Samten Choeling,Cultural Site,BT,Trashigang,Phongme,Thong-rong,Thongwrong
Samdrup Choeling,Cultural Site,BT,Trashigang,Phongme,Thong-rong,Breng
Phuntsho Choeling,Cultural Site,BT,Trashigang,Phongme,Ya-brang,Yabrang
Shokhang Lhakhang,Cultural Site,BT,Trashigang,Phongme,Phongmed,Shongkang
LhabumUgyenNamdruelChoeling,Cultural Site,BT,Trashigang,Phongme,Phongmed,Bumtang
Sanga Pema Choeling,Cultural Site,BT,Trashigang,Phongme,Lem,Karma Geonpa
DungkhorLhakhang,Cultural Site,BT,Trashigang,Phongme,Lem,Gadzari
LhalungUgyenPemaChoeling,Cultural Site,BT,Trashigang,Phongme,Phongmed,Momnangkhar
WoogmenUgyenChoeling,Cultural Site,BT,Trashigang,Phongme,Phongmed,Shongkang
Zugthri (Tokshingmang) Lhakhang,Cultural Site,BT,Trashigang,Radi,Nagtsang -Togshingmang,Tokshingmang
Yoedsel Dorji Choeling,Cultural Site,BT,Trashigang,Radi,Kadam,Bongman
Radhi Namdrup Choeling,Cultural Site,BT,Trashigang,Radi,Kadam,Melongkhar
Trashi darjay Choeling,Cultural Site,BT,Trashigang,Radi,Kadam,Langteng
Drugoen Rinzin gatshel/pema Yoesel choeling,Cultural Site,BT,Trashigang,Radi,Tongling-Pam,Drungoen
Tenjay Choeling,Cultural Site,BT,Trashigang,Radi,Tongling-Pam,Tangthray
Sanga Choeling,Cultural Site,BT,Trashigang,Radi,Pakaling,Dungsam
Jonlha Ugyen Gatshel,Cultural Site,BT,Trashigang,Radi,Dekidling - Tsenkhar,JoenlaTshatshe
Thekchok Kunzang Choden Nunnery,Cultural Site,BT,Trashigang,Radi,Nagtsang -Togshingmang,khardung
Zugthri Ngomtshar Sanga Choling,Cultural Site,BT,Trashigang,Radi,Nagtsang -Togshingmang,Tokshingmang maed
Namgyal Choling  Lhakhang,Cultural Site,BT,Trashigang,Sakteng,Sagteng,Sakteng
Samten Chhoeling Lhakhang,Cultural Site,BT,Trashigang,Sakteng,Sagteng,Sakteng
Tashi Chhoeling Lhakhang,Cultural Site,BT,Trashigang,Sakteng,Borangmang - Borangtse,Borangtse
Serdam Lhakhang,Cultural Site,BT,Trashigang,Sakteng,joenkhar,
Dodi Choling lhakhang,Cultural Site,BT,Trashigang,Samkhar,Rangzhikhar - Serdrang,Rangshikhar
Ugyen Choling Lhakhang,Cultural Site,BT,Trashigang,Samkhar,Bikhar - Domkahr,Domkhar
Tashi Gatshel Lhakhang,Cultural Site,BT,Trashigang,Samkhar,Bikhar - Domkahr,Domkhar
Pema Jepo Lhakhang,Cultural Site,BT,Trashigang,Samkhar,Khabti - Lungtenzampa,Khapti
Dodi Pema Yeling Lhakhang,Cultural Site,BT,Trashigang,Samkhar,Chagzam - Pam,Pam
Samcholing Lhakhang,Cultural Site,BT,Trashigang,Samkhar,Maelphel - Samkhar,Samcholing
Taling Gonpa Lhakhang,Cultural Site,BT,Trashigang,Samkhar,Khabti - Lungtenzampa,Khapti
Yeshey Wangdi Lhakhang,Cultural Site,BT,Trashigang,Samkhar,Bikhar - Domkahr,Bazor
Kiphu Gonpa Lhakhang,Cultural Site,BT,Trashigang,Samkhar,Khabti - Lungtenzampa,Khapti Gonpa
Kadam Lhakhang,Cultural Site,BT,Trashigang,Samkhar,Khabti - Lungtenzampa,Khapti
Zangdho Pelri Shacha Thukpa Lhakhang,Cultural Site,BT,Trashigang,Samkhar,Rangzhikhar - Serdrang,Rangshikhar
Rangjung Yoesel Chhoeling Choling Goenpa,Cultural Site,BT,Trashigang,Shongphu,Changmi - Rangjoong,Rangjung
Phuntshog Chhorkhorling Lhakhang,Cultural Site,BT,Trashigang,Shongphu,Galing,Galing
Tashicholing Lhakhang,Cultural Site,BT,Trashigang,Shongphu,Bramin - Shongphoog,Shongphu
Dakpa Lhuendrup Choling Lhakhang,Cultural Site,BT,Trashigang,Shongphu,Bramin - Shongphoog,Shongphu
Zambala Lhakhang,Cultural Site,BT,Trashigang,Shongphu,Bramin - Shongphoog,Shongphu
NingthigCholing Lhakhang,Cultural Site,BT,Trashigang,Shongphu,Bramin - Shongphoog,Shongphu
Thromang Lhakhang,Cultural Site,BT,Trashigang,Shongphu,Chaling,Chaling
Chaling DungjurLhakhang,Cultural Site,BT,Trashigang,Shongphu,Chaling,Chaling
Phendey Choeling Lhakhang,Cultural Site,BT,Trashigang,Shongphu,Gongtsephangma - Yobinang,Yobenang
Norbu gaden Choeling  Lhakhang,Cultural Site,BT,Trashigang,Shongphu,Gongtsephangma - Yobinang,Gongtshe Phangma
Ugyen Yoeseling Lhakhang,Cultural Site,BT,Trashigang,Shongphu,Galing,Galing
Changme Ngyekang Lhakhang,Cultural Site,BT,Trashigang,Shongphu,Changmi - Rangjoong,Changme
Thongphu Lhakhang,Cultural Site,BT,Trashigang,Shongphu,Galing,Galing
Dramang Lhakhang,Cultural Site,BT,Trashigang,Shongphu,Changmi - Rangjoong,Buna
Kibucholing,Cultural Site,BT,Trashigang,Shongphu,Changmi - Rangjoong,Changme
Numshang Dungjur Lhakhang,Cultural Site,BT,Trashigang,Shongphu,Galing,Galing
Drongman Dungjur Lhakhang,Cultural Site,BT,Trashigang,Shongphu,Galing,Galing
Sangacholing,Cultural Site,BT,Trashigang,Shongphu,Galing,Galing
Kuenzang Yoesel Choling Lhakhang,Cultural Site,BT,Trashigang,Shongphu,Galing,Galing
Galing Goenpa Lhakhang,Cultural Site,BT,Trashigang,Shongphu,Galing,Galing
Dangling Dungjur Lhakhang,Cultural Site,BT,Trashigang,Shongphu,Galing,Galing
Kuenphen Chokhorling Lhakhang,Cultural Site,BT,Trashigang,Shongphu,Galing,Galing
Lhundrup Choekhorling Lhakhang,Cultural Site,BT,Trashigang,Shongphu,Changmi - Rangjoong,Changme
Jalamtag Lhakhang,Cultural Site,BT,Trashigang,Shongphu,Bramin - Shongphoog,Shongphu
Libtsham Boeyel  Ugyen Yoezer Choling,Cultural Site,BT,Trashigang,Udzorong,Benshingmo - Jomtshang,Benshingmo
Jomtshang Gomdey Lhakhang,Cultural Site,BT,Trashigang,Udzorong,Benshingmo - Jomtshang,Jomtshang
Rigom Dejom Gyelpoiling  Lhakhang,Cultural Site,BT,Trashigang,Udzorong,Baepam,Geangkhar
Samten Choezangling Goendey Lhakhang,Cultural Site,BT,Trashigang,Udzorong,Rizor - Yerchhilo,Mongka
Tsedung Lhakhang,Cultural Site,BT,Trashigang,Udzorong,Rizor - Yerchhilo,Tshedung
Gyenkhar Ngoedrup Choling Goendey  Lhakhang,Cultural Site,BT,Trashigang,Udzorong,Barkazor_Maenkhar,Barkazor
Bepam Ngoeden Gatshel Lhakhang,Cultural Site,BT,Trashigang,Udzorong,Baepam,Geangkhar
Kadam  Lhakhang,Cultural Site,BT,Trashigang,Udzorong,Benshingmo - Jomtshang,Benshingmo
Dengtsala Lhakhang,Cultural Site,BT,Trashigang,Udzorong,Barkazor_Maenkhar,Deng Tshalo
Dayphu   Lhakhang,Cultural Site,BT,Trashigang,Udzorong,Barkazor_Maenkhar,Dayphu
Maenkhar  Lhakhang,Cultural Site,BT,Trashigang,Udzorong,Barkazor_Maenkhar,Menkhar
Ney Tshangrong Lhakhang,Cultural Site,BT,Trashigang,Udzorong,Barkazor_Maenkhar,Menkhar
Rashung Gonpa  Lhakhang,Cultural Site,BT,Trashigang,Udzorong,Chhiya,Cheya
Tsho Gonpa Samten Choeling Lhakhang,Cultural Site,BT,Trashigang,Udzorong,Chhiya,Cheya
Threna Lhakhang,Cultural Site,BT,Trashigang,Udzorong,Chhiya,Threna
Kupijigtsam,Cultural Site,BT,Trashigang,Yangnyer,Dargyeling - Kharthoong,Kheri (Yangnyer)
Tshengmey,Cultural Site,BT,Trashigang,Yangnyer,Dargyeling - Kharthoong,Kheri (Yangnyer)
DuptopLhakhang,Cultural Site,BT,Trashigang,Yangnyer,Dargyeling - Kharthoong,Kheri (Yangnyer)
Talung Phagcholing Goenpa,Cultural Site,BT,Trashigang,Yangnyer,Dargyeling - Kharthoong,
Samphilcholing Goenpa,Cultural Site,BT,Trashigang,Yangnyer,Dargyeling - Kharthoong,Kheri (Yangnyer)
Takalay Lhakhang,Cultural Site,BT,Trashigang,Yangnyer,Dargyeling - Kharthoong,Kheri (Yangnyer)
GongtungTokdenCholingDubdey,Cultural Site,BT,Trashigang,Yangnyer,Dargyeling - Kharthoong,Kheri (Yangnyer)
Dung-NgaCholingLhakang,Cultural Site,BT,Trashigang,Yangnyer,Duroong - Ngambinang,Durung
Dunjor Lhakhang,Cultural Site,BT,Trashigang,Yangnyer,Daliphang - Ragshingo,Daliphangma Toed
Shingker Goenpa,Cultural Site,BT,Trashigang,Yangnyer,Dargyeling - Kharthoong,Darjayling
Chakhar Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Dawathang-Dorjibi-Kashingtsawa,Chakhar
Pemashampa Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Dawathang-Dorjibi-Kashingtsawa,Pangrey
Guru Tong Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Dawathang-Dorjibi-Kashingtsawa,Pangrey
Jambay Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Dawathang-Dorjibi-Kashingtsawa,Jambay Lhakhang
Pema Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Dawathang-Dorjibi-Kashingtsawa,Norbugang
Ka Phur Sum Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Dawathang-Dorjibi-Kashingtsawa,Dawathang
Dorjebee,Cultural Site,BT,Bumthang,Chhoekhor,Dawathang-Dorjibi-Kashingtsawa,Dorjibe
Kuenzang Choeling,Cultural Site,BT,Bumthang,Chhoekhor,,Nasphel
Thegchog Rabtenling,Cultural Site,BT,Bumthang,Chhoekhor,Nangsipe-Zangling-Zhabjethang,Nasphel
Thrasiphel,Cultural Site,BT,Bumthang,Chhoekhor,Nangsipe-Zangling-Zhabjethang,Dodrong
Saram Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Nangsipe-Zangling-Zhabjethang,Saram
Ngang Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Nangsipe-Zangling-Zhabjethang,Nang Lhakang
Pangkhar Remati Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Nangsipe-Zangling-Zhabjethang,Nang Lhakang
Zangling Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Nangsipe-Zangling-Zhabjethang,Zangling
Kola Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Nangsipe-Zangling-Zhabjethang,
Ugyen Zhukthri,Cultural Site,BT,Bumthang,Chhoekhor,,
Zhabjeythang,Cultural Site,BT,Bumthang,Chhoekhor,Nangsipe-Zangling-Zhabjethang,Zhabjethang
Kenchosum Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Pedtsheling-Tamshing,Kenchosum
Tamshing Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Pedtsheling-Tamshing,Tamshing
Takershog Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Pedtsheling-Tamshing,Tekarshong
Kadrak Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Pedtsheling-Tamshing,Tekarshong
Jangchub Pelri Lhakhang/Pedshling Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Pedtsheling-Tamshing,Pedtsheling
Changbi Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Pedtsheling-Tamshing,Changbi
Lura Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Dhur-Lusibee,Lusibi
