Name,Country,L1,L2,L3,L4,Lat,Lon
"Kana",BT,"Haa","Uesu","Geyruna_Karnag","Karnag",,
"Tshaphel",BT,"Haa","Uesu","Tshaphel_Tsiloongkha","Tshaphel",,
"Tselungkha",BT,"Haa","Uesu","Tshaphel_Tsiloongkha","Tsiloongkha",,
"Baytsa",BT,"Haa","Uesu","Betso_Doomchhog","Betso",,
"Domchu",BT,"Haa","Uesu","Betso_Doomchhog","Doomchhog",,
"Drangoen Takchu",BT,"Haa","Uesu","Kipri_Tagchhu",,,
"Bangyena",BT,"Haa","Uesu","Kipri_Tagchhu","Baang_Yana",,
"Pepchhuna",BT,"Haa",,,,,
"Jagolungna",BT,"Haa",,,,,
"Jogolungna",BT,"Haa",,,,,
"Sombay Ama 1",BT,"Haa",,,,,
"Sangbay Ama 2",BT,"Haa",,,,,
"Henchhu",BT,"Haa",,,,,
"Gaytalum",BT,"Haa",,,,,
"Gaytalum 2",BT,"Haa",,,,,
"Choechengkha",BT,"Haa",,,,,
"Choechenkha 2",BT,"Haa",,,,,
"kabarmo chu (1.33 lps)",BT,"Wangduephodrang","Bjenag","Bjenagloongpa_Thingmakha","Balakha",,
"nyena (.66 lps )",BT,"Wangduephodrang","Bjenag","Bjenagloongpa_Thingmakha","Thingmakha",,
"woogchu zakha",BT,"Wangduephodrang","Bjenag","Tashi Tokha","Tashi Tokha",,
"Dajaygang chu",BT,"Wangduephodrang","Bjenag","Tashi Tokha","Darjegang",,
"Upper Chaskhar",BT,"Sarpang","Chuzargang","Chaskhar","Chaskhar/Dawathang",,
"Therwar",BT,"Sarpang","Chuzargang","Chaskhar","Chaskhar",,
"chaskar",BT,"Sarpang","Chuzargang","Chaskhar","Chaskhar",,
"Pangzur",BT,"Sarpang","Chuzargang","Pangzor","Pangzor",,
"Dawathang",BT,"Sarpang","Chuzargang","Barthang","Barthang(Daragoan)",,
"Yueling",BT,"Sarpang","Chuzargang","Thongjabi-Yueling","Yueling",,
"Yueling",BT,"Sarpang","Chuzargang","Thongjabi-Yueling","Thongjabi",,
"Thonjabe",BT,"Sarpang","Chuzargang","Thongjabi-Yueling","Thongjabi",,
"Karbethang",BT,"Sarpang","Chuzargang","Pangzor","Pangzor Kalikhola",,
"Shawapang",BT,"Sarpang","Chuzargang","Nimaling-Shawapong","Shawapong",,
"Barthang",BT,"Sarpang","Chuzargang","Barthang","Barthang",,
"Bji shing Lumpa",BT,"Haa","Bji","Yangthang","Jangtoed",,
"Yatsho Lumpa",BT,"Haa","Bji","Yangthang","Jangtoed",,
"Aje Phu",BT,"Haa","Bji","Choompa_Jamgoen","Jamgoen",,
"Pha ju",BT,"Haa","Bji","Yangthang","Yangoen",,
"Yangphu",BT,"Haa","Bji","Tsenka_Taloong","Tsenka",,
"Tshen Zhusa",BT,"Haa","Bji","Tsenka_Taloong","Tsenka",,
"Tshomitsha",BT,"Haa","Bji","Tsenka_Taloong","Tsenka",,
"Tshomitsho",BT,"Haa","Bji","Tsenka_Taloong","Tsenka",,
"Rado",BT,"Haa","Bji","Tsenka_Taloong","Chhubarna",,
"Om chu",BT,"Haa","Bji","Tsenka_Taloong","Dangsana",,
"Gong Tshey tsha",BT,"Haa","Bji","Gensa_Tokey","Gensa",,
"Chana Phu",BT,"Haa","Bji","Gensa_Tokey","Tokey Gom",,
"Peta sima phu",BT,"Haa","Bji","Choompa_Jamgoen","Choompa",,
"Yetshe phu",BT,"Haa","Bji","Choompa_Jamgoen","Jamgoen",,
"Coma lakha",BT,"Haa","Bji","Choompa_Jamgoen","Yetsephu",,
"Komla",BT,"Haa","Bji","Chenpa_Geychukha","Chenpa",,
"Menchu lumpa",BT,"Haa","Bji","Chenpa_Geychukha","Geychhukha",,
"Menchu lumpa",BT,"Haa","Bji","Chenpa_Geychukha","Machena",,
"Damthang",BT,"Haa","Bji","Chenpa_Geychukha","Damthang",,
"Lishurama",BT,"Haa","Kartshog","Dragding_Karjena","Gangkha",,
"Naktshang",BT,"Haa","Kartshog","Dragding_Karjena","Nagtshang",,
"Tshome kha",BT,"Haa","Kartshog","Dragding_Karjena","Namchhu",,
"Haasakha",BT,"Haa","Kartshog","Dragding_Karjena","Karjena",,
"Benpurama",BT,"Haa","Kartshog","Ingo_Pharikha","In-go",,
"Kamsha",BT,"Haa","Kartshog","Bali_Mombitshokha","Bali",,
"Katsho Damtha",BT,"Haa","Kartshog","Bali_Mombitshokha","Mombitshokha",,
"Saakha kha",BT,"Haa","Kartshog","Kargoen_Hatam","Hatam",,
"Gumbutsa",BT,"Haa","Kartshog","Wangtsa",,,
"Dokha",BT,"Haa","Samar","Dorikha_Langjogang","Dorikha",,
"Saish Chang",BT,"Haa","Samar","Balamnang","Balamnang",,
"Dotenkha",BT,"Haa","Samar","Balamnang","Balamnang",,
"Dadotshawa",BT,"Haa","Samar","Dorikha_Langjogang",,,
"Atshalakha",BT,"Haa","Samar","Dorikha_Langjogang",,,
"Bachona",BT,"Haa","Samar","Dorikha_Langjogang",,,
"Norbugang",BT,"Haa","Samar","Langpa_Norbugang",,,
"Puduna",BT,"Haa","Samar","Pudunang","Pudunang",,
"Thangkha",BT,"Haa","Samar","Pudunang",,,
"Tsheshing Kha",BT,"Haa","Samar",,,,
"Upper Jyenkhana",BT,"Haa","Samar","Pudunang","Jenkanang",,
"Lower Jyenkhana",BT,"Haa","Samar","Pudunang","Jenkanang",,
"Jyenkhana",BT,"Haa","Samar","Pudunang","Jenkanang",,
"Yatha Longchu",BT,"Haa","Samar","Shar-ri",,,
"Yatha Longchu Sham",BT,"Haa","Samar","Shar-ri",,,
"Damphuna",BT,"Haa","Samar","Shar-ri",,,
"Chuggumna",BT,"Haa","Samar","Shar-ri",,,
"Dolena",BT,"Haa","Samar","Shar-ri",,,
"Shenga Rongchu",BT,"Punakha","Shenga-Bjimi",,,,
"Tana Menchu",BT,"Punakha","Dzomi","Tana Eusa",,,
"Phendey Yurwa",BT,"Punakha","Toepisa",,,,
"Hoka Tsho",BT,"Punakha","Kabesa","Choetenningpo-Yusakha",,,
"Nandalal Kulo",BT,"Tsirang","Barshong",,,,
"Mishera Kulo",BT,"Tsirang","Barshong","Barshong Toed",,,
"Luitel Kulo",BT,"Tsirang","Barshong","Barshong Toed",,,
"Puspalal Powdel Kulo",BT,"Tsirang","Barshong","Barshong Toed",,,
"Shangrula Kulo",BT,"Tsirang","Barshong","Barshong Toed",,,
"Dhan Bdr Kharka Kulo",BT,"Tsirang","Barshong","Barshong Toed",,,
"Karma Drubchu Kulo",BT,"Tsirang","Barshong",,,,
"Lal Bdr Bhujel Kulo",BT,"Tsirang","Barshong",,,,
"Damchu Kulo",BT,"Tsirang","Barshong","Barshong Toed",,,
"Dago Dema",BT,"Tsirang","Barshong","Barshong Toed",,,
"Nim Dorji Tamang",BT,"Tsirang","Barshong","Barshong Toed",,,
"lal Bdr Tamang",BT,"Tsirang","Barshong","Choonyikhang",,,
"Waiba Kulo",BT,"Tsirang","Barshong","Choonyikhang",,,
"Goirey Kulo",BT,"Tsirang","Barshong","Choonyikhang",,,
"Buro Kulo",BT,"Tsirang","Barshong","Choonyikhang",,,
"Tamang Kulo",BT,"Tsirang","Barshong","Choonyikhang",,,
"Bara Durey Kulo",BT,"Tsirang","Barshong","Choonyikhang",,,
"Garekhola Kulo",BT,"Tsirang","Barshong","Choonyikhang",,,
"Balwani",BT,"Tsirang","Barshong","Toedsang",,,
"Peta Koti Dara",BT,"Tsirang","Barshong","Toedsang",,,
"Devitheny kulo",BT,"Tsirang","Barshong","Toedsang",,,
"Sangpang Kulo",BT,"Tsirang","Barshong","Toedsang",,,
"Layo Kulo",BT,"Tsirang","Barshong","Toedsang",,,
"Sierkiy Khola Kulo",BT,"Tsirang","Barshong","Gangtogkha",,,
"Gairkholsa Kulo",BT,"Tsirang","Barshong","Barshong Maed",,,
"Gari Kholsa",BT,"Tsirang","Barshong","Barshong Maed",,,
"Ganggatry Kulo",BT,"Tsirang","Barshong","Barshong Maed",,,
"Salarey Kulo",BT,"Tsirang","Barshong","Barshong Maed",,,
"Timsina Kulo",BT,"Tsirang","Barshong","Toedsang",,,
"Gotamey Kulo",BT,"Tsirang","Barshong","Barshong Maed",,,
"Chuwa Kharkhay",BT,"Tsirang","Rangthaling","Charingma_Rangth- angling",,,
"Jaganath Kulo",BT,"Tsirang","Rangthaling","Charingma_Rangth- angling",,,
"Dhakal Kulo",BT,"Tsirang","Rangthaling","Charingma_Rangth- angling",,,
"Kamikulo",BT,"Tsirang","Rangthaling","Charingma_Rangth- angling",,,
"Theba Kulo",BT,"Tsirang","Rangthaling","Charingma_Rangth- angling",,,
"Lampatey Kulo",BT,"Tsirang","Rangthaling","Charingma_Rangth- angling",,,
"Zulphey Khulo",BT,"Tsirang","Rangthaling","Charingma_Rangth- angling","Charingma (Zulphay- gaon)",,
"Sumba Kulo",BT,"Tsirang","Rangthaling","Charingma_Rangth- angling",,,
"Yedhar Kulo",BT,"Tsirang","Rangthaling","Charingma_Rangth- angling",,,
"Ratey Khulo",BT,"Tsirang","Rangthaling","Charingma_Rangth- angling","Rangthangling",,
"Nimazor A",BT,"Tsirang","Rangthaling","Charingma_Rangth- angling","Rangthangling",,
"NImazor B",BT,"Tsirang","Rangthaling","Gagaling_Nyimazor","Nyimazor(Herabotay)",,
"Chapratsi",BT,"Tsirang","Rangthaling","Charingma_Rangth- angling","Rangthangling",,
"Devithan",BT,"Tsirang","Rangthaling","Charingma_Rangth- angling","Rangthangling",,
"Bondukey",BT,"Tsirang","Rangthaling","Charingma_Rangth- angling","Rangthangling",,
"Bakshing Kulo",BT,"Tsirang","Rangthaling","Charingma_Rangth- angling","Rangthangling",,
"Alainchi Kulo",BT,"Tsirang","Rangthaling","Charingma_Rangth- angling","Rangthangling",,
"Mongar Kulo",BT,"Tsirang","Rangthaling","Soonkosh",,,
"Mosanay Kulo",BT,"Tsirang","Rangthaling","Soonkosh","Soonkosh",,
"Basee Kulo",BT,"Tsirang","Rangthaling","Soonkosh","Soonkosh",,
"Khopi",BT,"Tsirang","Rangthaling","Soonkosh","Dawthongsa(Saunay)",,
"Lararchu kullo",BT,"Tsirang","Sergithang","Tashithang","Tashithang(Patale Tar)",,
"Moktan Kulo",BT,"Tsirang","Tsolingkhar","Kapazhing","Kapazhing",,
"Mewa Kulo",BT,"Tsirang","Tsolingkhar","Kapazhing","Kapazhing",,
"Poowalay Kulo",BT,"Tsirang","Tsolingkhar","Kapazhing","Tsholingkhar (Kapazh- ing)",,
"Thutey Kulo",BT,"Tsirang","Tsolingkhar","Kapazhing","Tsholingkhar (Kapazh- ing)",,
"Spring Kulo",BT,"Tsirang","Tsolingkhar","Kapazhing","Tsholingkhar (Kapazh- ing)",,
"Baskota Kulo",BT,"Tsirang","Tsolingkhar","Kapazhing","Kapazhing",,
"Kali Kholay Kulo",BT,"Tsirang","Tsolingkhar","Kapazhing","Tsholingkhar (Kapazh- ing)",,
"Laxman Kulo",BT,"Tsirang","Tsolingkhar","Kapazhing","Tsholingkhar (Kapazh- ing)",,
"Mongar Kulo",BT,"Tsirang","Tsolingkhar","Kapazhing","Tsholingkhar (Kapazh- ing)",,
"Khorpeney Kulo",BT,"Tsirang","Tsolingkhar","Tsholingkhar Toed","Tsholingkhar Toed(Upper Tshokana)",,
"Thrutey Kulo",BT,"Tsirang","Tsolingkhar","Tsholingkhar Toed","Tsholingkhar Toed(Upper Tshokana)",,
"Dukpa",BT,"Tsirang","Tsolingkhar","Gomsoom","Gomsoom(Tintalay)",,
"Panday",BT,"Tsirang","Tsolingkhar","Gomsoom","Gomsoom(Tintalay)",,
"Sama Kulo",BT,"Tsirang","Tsolingkhar","Gomsoom","Gomsoom(Tintalay)",,
"DC Kulo",BT,"Tsirang","Tsolingkhar","Gomsoom","Gomsoom(Tintalay)",,
"Naya Mandal",BT,"Tsirang","Tsolingkhar","Tsholingkhar Maed","Tsholingkhar Maed(Lower Tshokana)",,
"Puranu Mandal",BT,"Tsirang","Tsolingkhar","Tsholingkhar Maed","Tsholingkhar Maed(Lower Tshokana)",,
"Thrutey Kulo",BT,"Tsirang","Tsolingkhar","Tsholingkhar Maed","Tsholingkhar Maed(Lower Tshokana)",,
"Duupe",BT,"Tsirang","Tsolingkhar","Tsholingkhar Maed","Tsholingkhar Maed(Lower Tshokana)",,
"Thrutey (Budhey)",BT,"Tsirang","Tsolingkhar","Tsholingkhar Maed","Tsholingkhar Maed(Lower Tshokana)",,
"Thrulo(Koiraka) Kulo",BT,"Tsirang","Tsolingkhar","Tsholingkhar Maed","Tsholingkhar Maed(Lower Tshokana)",,
"Neya Kulo",BT,"Tsirang","Tsolingkhar","Tsholingkhar Maed","Tsholingkhar Maed(Lower Tshokana)",,
"Phetay Kulo",BT,"Tsirang","Tsolingkhar","Tsholingkhar Maed","Tsholingkhar Maed(Lower Tshokana)",,
"Thing Kulo",BT,"Tsirang","Tsolingkhar","Droobchhugang","Droobchhugang (Harpaypani)",,
"Timshina",BT,"Tsirang","Tsolingkhar","Droobchhugang","Alenchi(Alaichey)",,
"Neopaney Kulo",BT,"Tsirang","Tsolingkhar","Droobchhugang","Droobchhugang (Harpaypani)",,
"Barakoti Kulo",BT,"Tsirang","Tsolingkhar","Droobchhugang","Droobchhugang (Harpaypani)",,
"Thrutey Kulo",BT,"Tsirang","Tsolingkhar","Droobchhugang","Droobchhugang (Harpaypani)",,
"Ghishing",BT,"Tsirang","Tsolingkhar","Droobchhugang","Alenchi(Alaichey)",,
"Bhupal Kulo",BT,"Tsirang","Tsolingkhar","Droobchhugang","Droobchhugang (Harpaypani)",,
"Uttaray Kulo",BT,"Tsirang","Patsaling","Patshaling Toed","Bakshing",,
"Jowbari Kulo",BT,"Tsirang","Patsaling","Patshaling Maed_ Tsakaling","Patshaling Maed",,
"Melay Kulo",BT,"Tsirang","Patsaling","Patshaling Toed","Patshaling Toed",,
"Betini Kulo",BT,"Tsirang","Patsaling","Patshaling Maed_ Tsakaling","Patshaling Maed",,
"Mondal Kulo",BT,"Tsirang","Patsaling","Pangthang","Pangthang(Pakhay)",,
"Sachey Kulo",BT,"Tsirang","Patsaling","Pangthang","Pangthang(Pakhay)",,
"Gantey Kulo",BT,"Tsirang","Patsaling","Pangthang","Pangthang(Pakhay)",,
"Dhimal Kulo",BT,"Tsirang","Patsaling","Pangthang","Pangthang(Pakhay)",,
"Rigney Kulo",BT,"Tsirang","Patsaling","Pangthang","Pangthang(Pakhay)",,
"Kuwapani Kulo",BT,"Tsirang","Patsaling","Pangthang","Pangthang(Pakhay)",,
"Jukay Pani Kulo",BT,"Tsirang","Patsaling","Pangthang","Pangthang(Pakhay)",,
"Thulo Kholcha Kulo",BT,"Tsirang","Patsaling","Pangthang","Pangthang(Pakhay)",,
"laya kulo",BT,"Tsirang","Kilkhorthang","Sa-Tsangma","Sa-Tsangma(Majuwa)",,
"Jogi Kulo",BT,"Tsirang","Kilkhorthang","Nyizergang","Nyizergang(Upper Salami)",,
"Pairo Kulo",BT,"Tsirang","Kilkhorthang","Nyizergang","Nyizergang(Upper Salami)",,
"Rai Kulo",BT,"Tsirang","Kilkhorthang",,,,
"Ramphu Kulo",BT,"Tsirang","Kilkhorthang","Nyizergang","Nyizergang(Upper Salami)",,
"Thapa Kulo",BT,"Tsirang","Kilkhorthang","Nyizergang","Nyizergang(Upper Salami)",,
"Balu and Suberi Kulo",BT,"Tsirang","Kilkhorthang","Tashiyangjong","Tashiyangjong(Lower Salami)",,
"Mahat Kulo",BT,"Tsirang","Kilkhorthang","Tashiyangjong","Tashiyangjong(Lower Salami)",,
"Naya Kulo",BT,"Tsirang","Kilkhorthang","Tashiyangjong","Tashiyangjong(Lower Salami)",,
"Darlami Kulo",BT,"Tsirang","Kilkhorthang","Tashiyangjong",,,
"Dhal Kulo",BT,"Tsirang","Kilkhorthang","Tashiyangjong","Tashiyangjong(Lower Salami)",,
"Thutay Kulo",BT,"Tsirang","Kilkhorthang","Tashiyangjong","Tashiyangjong(Lower Salami)",,
"Koirala Kulo",BT,"Tsirang","Kilkhorthang","Tashiyangjong","Tashiyangjong(Lower Salami)",,
"Gurasey Kulo",BT,"Tsirang","Kilkhorthang","Tashiyangjong","Tashiyangjong(Lower Salami)",,
"Mongar Kulo",BT,"Tsirang","Kilkhorthang","Maenchhana","Maenchhana(Mithun)",,
"Maj Kulo",BT,"Tsirang","Kilkhorthang","Maenchhana","Maenchhana(Mithun)",,
"Kheti Kulo",BT,"Tsirang","Kilkhorthang","Maenchhana",,,
"Haldar kulo",BT,"Tsirang","Kilkhorthang","Dekiling",,,
"Jarki Kulo",BT,"Tsirang","Kilkhorthang","Dekiling","Doongkarchhoeling",,
"Thulu Kulo",BT,"Tsirang","Kilkhorthang","Dekiling","Dekiling(Lower Bockray)",,
"Mondal Kulo",BT,"Tsirang","Kilkhorthang","Dekiling","Dekiling(Lower Bockray)",,
"Bir Kulo",BT,"Tsirang","Kilkhorthang","Dekiling","Dekiling(Lower Bockray)",,
"Tamang Kulo",BT,"Tsirang","Kilkhorthang","Dekiling","Doongkarchhoeling",,
"Alley Kulo",BT,"Tsirang","Kilkhorthang","Dekiling","Dekiling(Lower Bockray)",,
"Phul Bari Kulo",BT,"Tsirang","Kilkhorthang","Dekiling","Dekiling(Lower Bockray)",,
"Adhikari Kulo",BT,"Tsirang","Kilkhorthang","Dekiling","Dekiling(Lower Bockray)",,
"Bhich Kulo",BT,"Tsirang","Kilkhorthang","Dekiling","Dekiling(Lower Bockray)",,
"Ghimeray Kulo B",BT,"Tsirang","Kilkhorthang","Dekiling","Doongkarchhoeling",,
"Ghimerey Kulo A",BT,"Tsirang","Kilkhorthang","Dekiling","Dekiling(Lower Bockray)",,
"Jeroo Kulo",BT,"Tsirang","Kilkhorthang","Dekiling","Dekiling(Lower Bockray)",,
"Jukey Dara",BT,"Tsirang","Pungtenchu","Tashichhoeling","Tashichholing(Burichu)",,
"Upreti",BT,"Tsirang","Pungtenchu","Tashichhoeling",,,
"narsinggay",BT,"Tsirang","Pungtenchu","Tashichhoeling","Tashichholing(Burichu)",,
"Dalay",BT,"Tsirang","Pungtenchu","Tashichhoeling","Tashichholing(Burichu)",,
"Lhachuma/Mondule",BT,"Tsirang","Pungtenchu","Tashichhoeling","Tashichholing(Burichu)",,
"Pawkhola",BT,"Tsirang","Pungtenchu","Tashichhoeling","Tashichholing(Burichu)",,
"Thrutey",BT,"Tsirang","Pungtenchu","Tashichhoeling","Tashichholing(Burichu)",,
"Thinley Kulu",BT,"Tsirang","Pungtenchu","Tashichhoeling","Tashichholing(Burichu)",,
"Bararey Kulu",BT,"Tsirang","Pungtenchu","Tashichhoeling","Tashichholing(Burichu)",,
"Dhaley Kulo",BT,"Tsirang","Pungtenchu","Tashichhoeling","Tashichholing(Burichu)",,
"Matsaley Kulu",BT,"Tsirang","Pungtenchu","Tashichhoeling","Tashichholing(Burichu)",,
"Rinzin kulu",BT,"Tsirang","Pungtenchu","Tashichhoeling","Tashichholing(Burichu)",,
"Gimerey",BT,"Tsirang","Pungtenchu","Norbuthang","Drongtoed(Saureni)",,
"mundol",BT,"Tsirang","Pungtenchu","Norbuthang","Drongtoed(Saureni)",,
"Thutey",BT,"Tsirang","Pungtenchu","Norbuthang","Norboothang(Manitar)",,
"Koiraley Kulo",BT,"Tsirang","Pungtenchu","Norbuthang","Norboothang(Manitar)",,
"Devithaney/Bich Kulu",BT,"Tsirang","Pungtenchu","Norbuthang","Norboothang(Manitar)",,
"Hatey Dungay/Kulu Upper/Kami",BT,"Tsirang","Pungtenchu","Norbuthang","Norboothang(Manitar)",,
"Cheney",BT,"Tsirang","Pungtenchu","Norbuthang","Drongtoed(Saureni)",,
"Kumtey Kulu",BT,"Tsirang","Pungtenchu","Norbuthang","Drongtoed(Saureni)",,
"Hatey Dungay Kulu Lower",BT,"Tsirang","Pungtenchu","Norbuthang","Drongtoed(Saureni)",,
"Kaijal Botey",BT,"Tsirang","Pungtenchu","Norbuthang","Norboothang(Manitar)",,
"Lhmu Dhuwali",BT,"Tsirang","Pungtenchu","Norbuthang","Drongtoed(Saureni)",,
"Bhoj Puray Kulu",BT,"Tsirang","Pungtenchu","Norbuthang","Drongtoed(Saureni)",,
"Bagirath kulu",BT,"Tsirang","Pungtenchu","Norbuthang","Norboothang(Manitar)",,
"Goilay Botay Kulu",BT,"Tsirang","Pungtenchu","Norbuthang","Norboothang(Manitar)",,
"Damai",BT,"Tsirang","Pungtenchu","Peljorling","Peljorling(Dhansiri)",,
"Dhar Kharey",BT,"Tsirang","Pungtenchu","Peljorling","Chhubabsa(Tshangay)",,
