Name,Country,L1,L2,L3,L4
Rindeygang Zam,BT,Zhemgang,Pangkhar,Mamo Trong_Pantang,Mamong Trong
Yangthang Bridge,BT,Haa,Bji,Yangthang,Yangoen
Maka bridge,BT,Haa,Bji,Yangthang,Jangtoed
Chuba bridge,BT,Haa,Bji,Tsenka_Taloong,Tsenka
wooka bridge,BT,Haa,Bji,Tsenka_Taloong,Wogka
Chuta bridge,BT,Haa,Bji,Tsenka_Taloong,Tsenka
Rabchu bridge,BT,Haa,Bji,Tsenka_Taloong,Tsenka
Chorten Gom bridge,BT,Haa,Bji,Tsenka_Taloong,Longlong
Dangche bridge,BT,Haa,Bji,Tsenka_Taloong,Tsenka
Chado bridge,BT,Haa,Bji,Tsenka_Taloong,Longlong
Jangkha kha bridge,BT,Haa,Bji,Tsenka_Taloong,Tsenkagoenpa
Tshendu bridge,BT,Haa,Bji,Tsenka_Taloong,Tsenka
Om Lumpa bridge,BT,Haa,Bji,Tsenka_Taloong,Tsenka
Nathang bridge,BT,Haa,Bji,Tsenka_Taloong,Dangsana
Sum bridge,BT,Haa,Bji,Tsenka_Taloong,Makhana
Tshe bridge,BT,Haa,Bji,Tsenka_Taloong,Pangphu
Chila bridge,BT,Haa,Bji,Yangthang,Yangoen
Toket bridge,BT,Haa,Bji,Gensa_Tokey,Tokey Gom
Dithangkha bridge,BT,Haa,Bji,Gensa_Tokey,Tokey Maed
Chumzum bridge,BT,Haa,Bji,Choompa_Jamgoen,Choompa
Baka bridge,BT,Haa,Bji,Chenpa_Geychukha,Machena
Koo bridge,BT,Haa,Bji,Chenpa_Geychukha,Machena
Zingkha bridge,BT,Haa,Bji,Chenpa_Geychukha,Chenpa
Gadu bridge,BT,Haa,Bji,Chenpa_Geychukha,Geychhukha
Maga jab,BT,Haa,Bji,Chenpa_Geychukha,Chenpa
Shingka brige,BT,Haa,Bji,Chenpa_Geychukha,Chenpa
Chare chung bridge,BT,Haa,Bji,Chenpa_Geychukha,Chenpa
Yage thang bridge,BT,Haa,Bji,Chenpa_Geychukha,Chenpa
Phudo thang bridge,BT,Haa,Bji,Chenpa_Geychukha,Chenpa
jerab kangtsha,BT,Haa,Bji,Chenpa_Geychukha,Chenpa
Tshedu Lumpa bridge,BT,Haa,Bji,Chenpa_Geychukha,Chenpa
Brab bridge,BT,Haa,Bji,Chenpa_Geychukha,Chenpa
Nam che bridge,BT,Haa,Bji,Chenpa_Geychukha,Chenpa
Ingo bridge,BT,Haa,Katsho,Ingo_Pharikha,In-go
Janatsham bridge,BT,Haa,Katsho,Ingo_Pharikha,In-go
Short span,BT,Haa,Katsho,Kargoen_Hatam,Hatam
Hatam bridge,BT,Haa,Katsho,Kargoen_Hatam,Hatam
wangtsa bridge,BT,Haa,Katsho,Wangtsa,Wangtsa
Khuruthang Bridge,BT,Punakha,Guma,Guma -Wolakha,Khuru
Samdingkha Bridge,BT,Punakha,Toewang,Bjipjokha-Yuesarkha,
Changyul Bridge,BT,Punakha,Guma,Changyul-Lungsigang-Tashijong,Changyul
Toepirongchu Zam,BT,Punakha,Guma,Guma -Wolakha,Wolakha
Zhoshi Zam,BT,Punakha,Kabjisa,Sirigang-Wakhudamchi,Sirigang
Rinakha Zam,BT,Punakha,Toepisa,Damkhey - Rinakha,
Mochu Ba Zam,BT,Punakha,Guma,Guma -Wolakha,
Phochu Tring Zam,BT,Punakha,Guma,Guma -Wolakha,
Tshorimo Zam,BT,Punakha,Goenshari,Yorbu,
Aumrimo Zam,BT,Punakha,Goenshari,,
Yebesa Zam,BT,Punakha,Chhubu,Yebesa,
Bali Bridge,BT,Punakha,Chhubu,Bali,
Shenga Rongchu Zam,BT,Punakha,Dzoma,Gubji Tseykakha,
Rimchu Bridge,BT,Punakha,Goenshari,Seychagnang,Rimchu
Tshergom Bridge,BT,Yangtse,Jamkhar,Rijoong_Yoob,Tshergom
Duksum Bridge,BT,Yangtse,Khamdang,Khamdang_Manla,Duksum
Wangringmo Bridge,BT,Yangtse,Ramjar,Dhomtshang_Doongmaen,Wangringmo
Buyang Bridge,BT,Yangtse,Khamdang,Doongtse_Lengkhar,Buyang
Hoongrel Zam,BT,Paro,Hungrel,Hoongrelkha_Jangsarbu,Chhukhozakha Nyamedzampa
Jangsa Zam,BT,Paro,Dopshari,Jangsa_Jooka,Jangsa
Tagtshang Zam,BT,Paro,Tsento,Mitshig_Shana,Mitshig
Tshendona Zam,BT,Paro,Lamgong,Tsendonang,Tsendonang
NIE Zam,BT,Paro,Wangchang,Dungkar_Namkar,Namkar
Dopshari Zam,BT,Paro,Dopshari,,
Jabji Zam,BT,Paro,Doteng,Jabji_Loogchhoed,Jabji
Paachu Zam,BT,Paro,Wangchang,,
Sharba Zam,BT,Paro,Shapa,,
Sheri bridge,BT,Monggar,Balam,Selkhar,Shelri Pam
Yangraphoongshing Bridge,BT,Monggar,Chaskhar,Yangrapoongshing,Yangraphungshing
Gobari,BT,Monggar,Gongdue,Damkhar_Weringla,Salabi
Wangchuk Zam,BT,Monggar,Gongdue,Pikari_Yangbari,Kormaed
Yangbari,BT,Monggar,Gongdue,Pikari_Yangbari,Yangbari
Rangdaling,BT,Monggar,Gongdue,Phazong,Pam
Garpola,BT,Monggar,Gongdue,Pikari_Yangbari,Patong
Gorthongla,BT,Monggar,Gongdue,Phazong,Gorthongla
Zimzorong bridge,BT,Monggar,Kengkhar,Tongla_Zi-Tsibi,Tongla
Drangme Zampa,BT,Monggar,Kengkhar,Phosothong_singchongri,Shingchongri
Zamchu Zam,BT,Gasa,Lunana,Tenchey- Thangza,Thangza
Palu Zam,BT,Gasa,Lunana,Lhedi,Lhedi
Tshew Zam,BT,Gasa,Lunana,Tenchey- Thangza,Tenchey
tshodzong zam,BT,Gasa,Lunana,Tshodzong,Tshodzong
RCC Bridge,BT,Monggar,Ngatshang,Yadi_Yekhar,Yadhi-Yekhar
Sherizampa,BT,Monggar,Ngatshang,Nyingala_Phanasi,
RCC brideg,BT,Monggar,Saleng,Tsenzabi_Masangdaza,Tsenzibi
Bailey bridge,BT,Monggar,Saleng,Tsenzabi_Masangdaza,
RCC bridge,BT,Monggar,Saleng,Tsenzabi_Masangdaza,Masangdaza
Bailey bridge,BT,Monggar,Saleng,Thridangbi,
Suspension bridge,BT,Monggar,Saleng,Thridangbi,
Zhukthri bridge,BT,Monggar,Saleng,Thridangbi,
Gangjuk bridge,BT,Monggar,Saleng,Thridangbi,
Unaridrang Bridge,BT,Monggar,Saleng,Thridangbi,
Broksar bridge,BT,Monggar,Saleng,Drogsar,Drogsar
Saling Bridge,BT,Monggar,Saleng,Saling,Saling
Karsangdrang Bridge,BT,Monggar,Balam,Selkhar,Selkhar
Sherizampa,BT,Monggar,Balam,Selkhar,
Berzing,BT,Monggar,Shermung,Serzhong,Serzhong
Lariwoong,BT,Monggar,Shermung,Serzhong,Serzhong
Kafu Zam,BT,Monggar,Shermung,Serzhong,
Nyungdi Baily Bridge,BT,Monggar,Shermung,Jabgang,Jabgang
Nyungdi,BT,Monggar,Shermung,Jabgang,Jabgang
Drenari,BT,Monggar,Shermung,Jabgang,Jabgang
Thiling,BT,Monggar,Shermung,Jabgang,Thiling
Khadrak,BT,Monggar,Shermung,Soenakhar,Yarab
Karsidrang,BT,Monggar,Shermung,Muhung,Muhung
Dungkhor,BT,Monggar,Shermung,Soenakhar,
Pemayangdzong,BT,Monggar,Shermung,Soenakhar,
Gangchethpu bridge,BT,Monggar,Silambi,Nagor,Nagor Trong
Shergang bridge,BT,Monggar,Silambi,Dag,
Dag bridge,BT,Monggar,Silambi,Dag,Dak
Hapola bridge,BT,Monggar,Silambi,Nagor,
Umlagang bridge,BT,Monggar,Silambi,Wama,
Changchangmagang bridge,BT,Monggar,Silambi,Wama,Changchangma
Shemkhe,BT,Monggar,Tsamang,Banjar,Banjair
Maksabi,BT,Monggar,Tsamang,Banjar,Banjair
Ney,BT,Monggar,Tsamang,Ganglapong Maed,Ganglapong Maed
Fegangchu bridge,BT,Monggar,Tsamang,Banjar,
Gyanga Zam,BT,Haa,,,
Chuthana,BT,Haa,,,
Chewchu,BT,Haa,,,
