"uid","role"," description","controller","function","table","uacl","oacl","hidden","system","protected","Notes"
"inv_super","Warehouse Super Editor",,"req",,,"READ|CREATE|UPDATE|DELETE",,,,,
"inv_super","Warehouse Super Editor",,"supply",,,"READ|CREATE|UPDATE|DELETE",,,,,
"inv_super","Warehouse Super Editor",,"org",,,"READ|CREATE|UPDATE",,,,,
"inv_super","Warehouse Super Editor",,"hrm",,,"READ",,,,,
"project_reader","Project Reader",,"project",,,"READ",,,,,
"project_reader","Project Reader",,"org",,,"READ",,,,,
"project_reader","Project Reader",,"hrm",,,"READ",,,,,
"project_data_entry","Project Data Entry",,"project",,,"READ|CREATE","READ|CREATE|UPDATE",,,,
"project_data_entry","Project Data Entry",,"org",,,"READ",,,,,
"project_data_entry","Project Data Entry",,"hrm",,,"READ",,,,,
"project_editor","Project Editor",,"project",,,"READ|CREATE|UPDATE",,,,,
"project_editor","Project Editor",,"org",,,"READ|UPDATE",,,,,
"project_editor","Project Editor",,"hrm",,,"READ|CREATE|UPDATE",,,,,
"project_super","Project Super Editor",,"project",,,"READ|CREATE|UPDATE|DELETE",,,,,
"project_super","Project Super Editor",,"org",,,"READ|CREATE|UPDATE",,,,,
"project_super","Project Super Editor",,"hrm",,,"READ|CREATE|UPDATE",,,,,
"staff_reader","Staff Reader",,"hrm",,,"READ",,,,,
"staff_reader","Staff Reader",,"pr",,,"READ",,,,,
"staff_reader","Staff Reader",,"org",,,"READ",,,,,
"staff_data_entry","Staff Data Entry",,"hrm",,,"READ|CREATE","READ|CREATE|UPDATE",,,,
"staff_data_entry","Staff Data Entry",,"pr",,,"READ|CREATE","READ|CREATE|UPDATE",,,,
"staff_data_entry","Staff Data Entry",,"org",,,"READ",,,,,
"staff_editor","Staff Editor",,"hrm",,,"READ|CREATE|UPDATE","READ|CREATE|UPDATE",,,,
"staff_editor","Staff Editor",,"pr",,,"READ|CREATE|UPDATE",,,,,
"staff_editor","Staff Editor",,"org",,,"READ|UPDATE",,,,,
"staff_super","Staff Super Editor",,"hrm",,,"READ|CREATE|UPDATE|DELETE",,,,,
"staff_super","Staff Super Editor",,"pr",,,"READ|CREATE|UPDATE|DELETE",,,,,
"staff_super","Staff Super Editor",,"org",,,"READ|CREATE|UPDATE|DELETE",,,,,
"ORG_ADMIN","Organisation Admin","Can control all record permissions","event",,,"ALL",,,,,
"ORG_ADMIN","Organisation Admin","Can control all record permissions","org",,,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_arcrest",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_bing",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_coordinate",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_empty",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_feature",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_geojson",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_georss",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_google",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_gpx",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_kml",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_mgrs",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_openstretmap",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_theme",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_tms",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_wfs",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_wms",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_xyz",,"ALL",,,,,
