"Name","Code","Country","L1","L2","L3","Lat","Lon","Image","URL"
"Ochlockonee River near Bloxham (SR 20)","blxf1","US","Georgia",,,30.38306,-84.655,"http://water.weather.gov/resources/hydrographs/blxf1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=blxf1&hydro_type=2"
"Broad River in NC/SC near Gaffney","brgs1","US","Georgia",,,35.08889,-81.57222,"http://water.weather.gov/resources/hydrographs/brgs1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=gsp&gage=brgs1&hydro_type=2"
"Choctawhatchee River near Bruce-Ebro (SR 20)","bruf1","US","Georgia",,,30.45083,-85.89833,"http://water.weather.gov/resources/hydrographs/bruf1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=bruf1&hydro_type=2"
"Flint River at Brownsboro","bsba1","US","Georgia",,,34.74917,-86.44667,"http://water.weather.gov/resources/hydrographs/bsba1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=hun&gage=bsba1&hydro_type=2"
"Broad River in NC/SC near Boiling Springs","bspn7","US","Georgia",,,35.21083,-81.69778,"http://water.weather.gov/resources/hydrographs/bspn7_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=gsp&gage=bspn7&hydro_type=2"
"Chattahoochee River near Buford","bufg1","US","Georgia",,,34.15694,-84.07889,"http://water.weather.gov/resources/hydrographs/bufg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=bufg1&hydro_type=2"
"Turkey Creek near Byromville","bvlg1","US","Georgia",,,32.19556,-83.90222,"http://water.weather.gov/resources/hydrographs/bvlg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=bvlg1&hydro_type=2"
"Apalachee River near Bostwick","bwkg1","US","Georgia",,,33.78806,-83.47417,"http://water.weather.gov/resources/hydrographs/bwkg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=bwkg1&hydro_type=2"
"Murder Creek at Brewton","bwma1","US","Georgia",,,31.10083,-87.06889,"http://water.weather.gov/resources/hydrographs/bwma1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=mob&gage=bwma1&hydro_type=2"
"Conecuh River at Brewton","bwta1","US","Georgia",,,31.06694,-87.06167,"http://water.weather.gov/resources/hydrographs/bwta1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=mob&gage=bwta1&hydro_type=2"
"Echeconnee Creek near Byron","byng1","US","Georgia",,,32.69194,-83.70111,"http://water.weather.gov/resources/hydrographs/byng1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=byng1&hydro_type=2"
"Oostanaula River near Calhoun","calg1","US","Georgia",,,34.51889,-84.95444,"http://water.weather.gov/resources/hydrographs/calg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=calg1&hydro_type=2"
"Choctawhatchee River at Caryville (US 90)","carf1","US","Georgia",,,30.77556,-85.82778,"http://water.weather.gov/resources/hydrographs/carf1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=carf1&hydro_type=2"
"Broad River in GA near Carlton","carg1","US","Georgia",,,34.07611,-83.00333,"http://water.weather.gov/resources/hydrographs/carg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=carg1&hydro_type=2"
"Catoma Creek near Montgomery","cata1","US","Georgia",,,32.30722,-86.29944,"http://water.weather.gov/resources/hydrographs/cata1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=bmx&gage=cata1&hydro_type=2"
"Coosa River at Logan Martin Dam","ccsa1","US","Georgia",,,33.40917,-86.33806,"http://water.weather.gov/resources/hydrographs/ccsa1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=bmx&gage=ccsa1&hydro_type=2"
"Catawba River at Cedar Cliff Dam","cdcs1","US","Georgia",,,34.54167,-80.87722,"http://water.weather.gov/resources/hydrographs/cdcs1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=gsp&gage=cdcs1&hydro_type=2"
"Congaree River at Carolina Eastman","ceas1","US","Georgia",,,33.87583,-81.01611,"http://water.weather.gov/resources/hydrographs/ceas1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=cae&gage=ceas1&hydro_type=2"
"Apalachicola River at Chattahoochee","chaf1","US","Georgia",,,30.70083,-84.85917,"http://water.weather.gov/resources/hydrographs/chaf1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=chaf1&hydro_type=2"
"Saluda River at Chappells","chas1","US","Georgia",,,34.17444,-81.86417,"http://water.weather.gov/resources/hydrographs/chas1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=cae&gage=chas1&hydro_type=2"
"Tennessee River at Chattanooga","chat1","US","Georgia",,,35.05611,-85.30639,"http://water.weather.gov/resources/hydrographs/chat1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=mrx&gage=chat1&hydro_type=2"
"Coahulla Creek at Keiths Mill","chcg1","US","Georgia",,,34.74333,-84.88056,"http://water.weather.gov/resources/hydrographs/chcg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=chcg1&hydro_type=2"
"Savannah River at Lake Thurmond","chds1","US","Georgia",,,33.66111,-82.2,"http://water.weather.gov/resources/hydrographs/chds1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=cae&gage=chds1&hydro_type=2"
"Pee Dee River at Cheraw","ches1","US","Georgia",,,34.70833,-79.875,"http://water.weather.gov/resources/hydrographs/ches1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=cae&gage=ches1&hydro_type=2"
"Cahaba River near Cahaba Heights","chga1","US","Georgia",,,33.41556,-86.73972,"http://water.weather.gov/resources/hydrographs/chga1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=bmx&gage=chga1&hydro_type=2"
"S. Chickamauga Creek near Chickamauga","chkt1","US","Georgia",,,35.01361,-85.21056,"http://water.weather.gov/resources/hydrographs/chkt1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=mrx&gage=chkt1&hydro_type=2"
"Coosa River at Childersburg","chla1","US","Georgia",,,33.29167,-86.36389,"http://water.weather.gov/resources/hydrographs/chla1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=bmx&gage=chla1&hydro_type=2"
"Hiwassee River at Charleston","chlt1","US","Georgia",,,35.28778,-84.75194,"http://water.weather.gov/resources/hydrographs/chlt1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=mrx&gage=chlt1&hydro_type=2"
"Altamaha River at Charlotte","chrg1","US","Georgia",,,31.95167,-82.52972,"http://water.weather.gov/resources/hydrographs/chrg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=jax&gage=chrg1&hydro_type=2"
"Flint River near Chase","chsa1","US","Georgia",,,34.82278,-86.48306,"http://water.weather.gov/resources/hydrographs/chsa1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=hun&gage=chsa1&hydro_type=2"
"Tide Station at Charleston Harbor","chts1","US","Georgia",,,32.78167,-79.925,"http://water.weather.gov/resources/hydrographs/chts1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=chs&gage=chts1&hydro_type=2"
"Tennessee River below Chickamauga Dam","ckdt1","US","Georgia",,,35.1,-85.23333,"http://water.weather.gov/resources/hydrographs/ckdt1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=mrx&gage=ckdt1&hydro_type=2"
"Cahaba River at Centreville","ckla1","US","Georgia",,,32.945,-87.13917,"http://water.weather.gov/resources/hydrographs/ckla1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=bmx&gage=ckla1&hydro_type=2"
"Big Indian Creek near Clinchfield","clfg1","US","Georgia",,,32.42667,-83.64444,"http://water.weather.gov/resources/hydrographs/clfg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=clfg1&hydro_type=2"
"Coosa River at Lay Dam","clta1","US","Georgia",,,32.96361,-86.51861,"http://water.weather.gov/resources/hydrographs/clta1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=bmx&gage=clta1&hydro_type=2"
"Flint River near Carsonville","clug1","US","Georgia",,,32.72139,-84.2325,"http://water.weather.gov/resources/hydrographs/clug1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=clug1&hydro_type=2"
"Savannah River at Clyo","clyg1","US","Georgia",,,32.52806,-81.26889,"http://water.weather.gov/resources/hydrographs/clyg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=chs&gage=clyg1&hydro_type=2"
"Wateree River near Camden","cmds1","US","Georgia",,,34.24444,-80.65417,"http://water.weather.gov/resources/hydrographs/cmds1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=cae&gage=cmds1&hydro_type=2"
"Big Creek near Cumming","cmgg1","US","Georgia",,,34.15583,-84.21861,"http://water.weather.gov/resources/hydrographs/cmgg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=cmgg1&hydro_type=2"
"Chattahoochee River at Lake Lanier","cmmg1","US","Georgia",,,34.15833,-84.07222,"http://water.weather.gov/resources/hydrographs/cmmg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=cmmg1&hydro_type=2"
"North Oconee River near Commerce","cmrg1","US","Georgia",,,34.20028,-83.51583,"http://water.weather.gov/resources/hydrographs/cmrg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=cmrg1&hydro_type=2"
"Chattahoochee River at Columbus","cmug1","US","Georgia",,,32.45306,-84.99528,"http://water.weather.gov/resources/hydrographs/cmug1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=cmug1&hydro_type=2"
"Etowah River at Canton","cnng1","US","Georgia",,,34.24,-84.49472,"http://water.weather.gov/resources/hydrographs/cnng1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=cnng1&hydro_type=2"
"Canoochee River near Claxton","cnog1","US","Georgia",,,32.18417,-81.88972,"http://water.weather.gov/resources/hydrographs/cnog1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=chs&gage=cnog1&hydro_type=2"
"Pinhook Creek at Clinton Avenue in Huntsville","cnta1","US","Georgia",,,34.73028,-86.59333,"http://water.weather.gov/resources/hydrographs/cnta1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=hun&gage=cnta1&hydro_type=2"
"Chattahoochee River at George W. Andrews L&amp;D (USACE)","cola1","US","Georgia",,,31.25917,-85.11028,"http://water.weather.gov/resources/hydrographs/cola1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=cola1&hydro_type=2"
"Congaree River at Columbia","cols1","US","Georgia",,,33.99306,-81.05,"http://water.weather.gov/resources/hydrographs/cols1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=cae&gage=cols1&hydro_type=2"
"Ochlockonee River near Concord (CR 12)","conf1","US","Georgia",,,30.66889,-84.30528,"http://water.weather.gov/resources/hydrographs/conf1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=conf1&hydro_type=2"
"Ocoee River at Copperhill","cpht1","US","Georgia",,,34.99139,-84.37667,"http://water.weather.gov/resources/hydrographs/cpht1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=mrx&gage=cpht1&hydro_type=2"
"Black Warrior River at Cordova","crda1","US","Georgia",,,33.7575,-87.17028,"http://water.weather.gov/resources/hydrographs/crda1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=bmx&gage=crda1&hydro_type=2"
"Coosa River at Weiss Dam","crea1","US","Georgia",,,34.17194,-85.75389,"http://water.weather.gov/resources/hydrographs/crea1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=bmx&gage=crea1&hydro_type=2"
"Tallapoosa River at Yates Dam","crra1","US","Georgia",,,32.57389,-85.88917,"http://water.weather.gov/resources/hydrographs/crra1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=bmx&gage=crra1&hydro_type=2"
"Shoal River near Crestview","crvf1","US","Georgia",,,30.69722,-86.57083,"http://water.weather.gov/resources/hydrographs/crvf1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=mob&gage=crvf1&hydro_type=2"
"Pigeon River at Canton","ctpn7","US","Georgia",,,35.52444,-82.84667,"http://water.weather.gov/resources/hydrographs/ctpn7_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=gsp&gage=ctpn7&hydro_type=2"
"Coosawattee River at Carters Lake","ctrg1","US","Georgia",,,34.61583,-84.67056,"http://water.weather.gov/resources/hydrographs/ctrg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=ctrg1&hydro_type=2"
"Etowah River near Cartersville","ctvg1","US","Georgia",,,34.14278,-84.83917,"http://water.weather.gov/resources/hydrographs/ctvg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=ctvg1&hydro_type=2"
"Big Cedar Creek at Cedartown","ctwg1","US","Georgia",,,33.99583,-85.26472,"http://water.weather.gov/resources/hydrographs/ctwg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=ctwg1&hydro_type=2"
"Etowah River at Lake Allatoona","cvlg1","US","Georgia",,,34.16278,-84.72778,"http://water.weather.gov/resources/hydrographs/cvlg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=cvlg1&hydro_type=2"
"Catawba River at Cowans Ford Dam","cwan7","US","Georgia",,,35.43472,-80.95833,"http://water.weather.gov/resources/hydrographs/cwan7_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=gsp&gage=cwan7&hydro_type=2"
"Claybank Creek near Daleville (SR 84)","dala1","US","Georgia",,,31.30556,-85.74389,"http://water.weather.gov/resources/hydrographs/dala1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=dala1&hydro_type=2"
"Williamson Swamp Creek at Davisboro","davg1","US","Georgia",,,32.97556,-82.61,"http://water.weather.gov/resources/hydrographs/davg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=davg1&hydro_type=2"
"Oconee River at Dublin","dbng1","US","Georgia",,,32.54444,-82.89472,"http://water.weather.gov/resources/hydrographs/dbng1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=dbng1&hydro_type=2"
"Chattahoochee River near Cornelia","dcng1","US","Georgia",,,34.54083,-83.62278,"http://water.weather.gov/resources/hydrographs/dcng1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=dcng1&hydro_type=2"
"Altamaha River at Doctortown","dctg1","US","Georgia",,,31.65444,-81.82806,"http://water.weather.gov/resources/hydrographs/dctg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=jax&gage=dctg1&hydro_type=2"
"Tennessee River at Decatur","deca1","US","Georgia",,,34.61139,-86.97528,"http://water.weather.gov/resources/hydrographs/deca1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=hun&gage=deca1&hydro_type=2"
"Ocmulgee River at Dames Ferry","dfyg1","US","Georgia",,,33.01667,-83.72722,"http://water.weather.gov/resources/hydrographs/dfyg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=dfyg1&hydro_type=2"
"Chestatee River near Dahlonega","dgag1","US","Georgia",,,34.52806,-83.93972,"http://water.weather.gov/resources/hydrographs/dgag1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=dgag1&hydro_type=2"
"Black Creek near Doctors Inlet","docf1","US","Georgia",,,30.0825,-81.81194,"http://water.weather.gov/resources/hydrographs/docf1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=jax&gage=docf1&hydro_type=2"
"Suwannee River at Dowling Park (CR 250)","douf1","US","Georgia",,,30.24472,-83.24972,"http://water.weather.gov/resources/hydrographs/douf1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=douf1&hydro_type=2"
"Kinchafoonee Creek at 11 E of Dawson at Pinewood Rd in Lee County","dsng1","US","Georgia",,,31.76444,-84.25333,"http://water.weather.gov/resources/hydrographs/dsng1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=dsng1&hydro_type=2"
"Etowah River near Dawsonville","dwsg1","US","Georgia",,,34.35778,-84.11361,"http://water.weather.gov/resources/hydrographs/dwsg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=dwsg1&hydro_type=2"
"Little River near Eatonton","eang1","US","Georgia",,,33.31389,-83.43722,"http://water.weather.gov/resources/hydrographs/eang1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=eang1&hydro_type=2"
"Econfina River near Perry (CR 655)","ecof1","US","Georgia",,,30.17056,-83.82389,"http://water.weather.gov/resources/hydrographs/ecof1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=ecof1&hydro_type=2"
"Ogeechee River at Eden","edeg1","US","Georgia",,,32.19139,-81.41611,"http://water.weather.gov/resources/hydrographs/edeg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=chs&gage=edeg1&hydro_type=2"
"Cartecay River near East Ellijay","eecg1","US","Georgia",,,34.68417,-84.45861,"http://water.weather.gov/resources/hydrographs/eecg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=eecg1&hydro_type=2"
"Lynches River at Effingham","effs1","US","Georgia",,,34.05139,-79.75417,"http://water.weather.gov/resources/hydrographs/effs1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ilm&gage=effs1&hydro_type=2"
"East Fork Choctawhatchee River near Abbeville (SR 27)","efka1","US","Georgia",,,31.49583,-85.37111,"http://water.weather.gov/resources/hydrographs/efka1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=efka1&hydro_type=2"
"Pea River at Elba (US 84)","elba1","US","Georgia",,,31.41333,-86.06306,"http://water.weather.gov/resources/hydrographs/elba1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=elba1&hydro_type=2"
"Coosawattee River near Ellijay","elig1","US","Georgia",,,34.675,-84.50861,"http://water.weather.gov/resources/hydrographs/elig1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=elig1&hydro_type=2"
"Suwannee River at Ellaville (US 90)","ellf1","US","Georgia",,,30.38444,-83.17194,"http://water.weather.gov/resources/hydrographs/ellf1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=ellf1&hydro_type=2"
"Lookout Creek at New England","engg1","US","Georgia",,,34.8975,-85.46306,"http://water.weather.gov/resources/hydrographs/engg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=engg1&hydro_type=2"
"Village Creek at Avenue W in Ensley","ensa1","US","Georgia",,,33.5175,-86.87917,"http://water.weather.gov/resources/hydrographs/ensa1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=bmx&gage=ensa1&hydro_type=2"
"Conasauga River near Eton","etng1","US","Georgia",,,34.82778,-84.85083,"http://water.weather.gov/resources/hydrographs/etng1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=etng1&hydro_type=2"
"Altamaha River near Everett City","evrg1","US","Georgia",,,31.42694,-81.60556,"http://water.weather.gov/resources/hydrographs/evrg1_record.png","http://water.weather.gov/ahps2/hydrograph.php?wfo=jax&gage=evrg1&hydro_type=2"
