"Name","Country","L1","L2","L3","Address","To Geocode","Lat","Lon","Capacity","Population","Status"
"Mountain Road Elementary School ","US","Georgia","Cherokee County","Woodstock","615 Mountain Road","615 Mountain Road, Woodstock, GA",34.140725,-84.402819,117,60,"Open"
"National Guard Armory","US","Georgia","Cherokee County","Canton","731 Marietta Highway","731 Marietta Highway, Canton, GA",34.236812,-84.49954,75,40,"Open"
"Oak Grove Elementary School","US","Georgia","Cherokee County","Acworth","6118 Woodstock Road","6118 Woodstock Road, Acworth, GA",34.07744,-84.626405,117,50,"Open"
"R.M. Moore Elementary School","US","Georgia","Cherokee County","Waleska","1375 Puckett Road","1375 Puckett Road, Waleska, GA",34.337095,-84.530102,117,60,"Open"
"Ralph Bunche Center","US","Georgia","Cherokee County","Canton","400 Beletta Drive","400 Beletta Drive, Canton, GA",,,0,0,"Closed"
"Reinhardt College","US","Georgia","Cherokee County",,"7300 Reinhardt College Parkway","7300 Reinhardt College Parkway, GA",,,120,55,"Open"
"Sequoyah High School","US","Georgia","Cherokee County","Canton","4485 Hickory Road","4485 Hickory Road, Canton, GA",34.16987,-84.420852,125,60,"Open"
"Sixes Elementary School","US","Georgia","Cherokee County","Canton","20 Ridge Road","20 Ridge Road, Canton, GA",34.173794,-84.555206,110,55,"Open"
"Teasley Middle School","US","Georgia","Cherokee County","Canton","8871 Knox Bridge Highway","8871 Knox Bridge Highway, Canton, GA",34.214567,-84.519236,117,40,"Open"
"Tippens Elementary School","US","Georgia","Cherokee County","Canton","8 Glenwood Street","8 Glenwood Street, Canton, GA",34.250127,-84.482913,117,60,"Open"
"Woodstock Community Church","US","Georgia","Cherokee County","Woodstock","109 North Main Street","109 North Main Street, Woodstock, GA",34.065999,-84.677435,80,40,"Open"
"Woodstock Elementary School","US","Georgia","Cherokee County","Woodstock","8371 Main Street","8371 Main Street, Woodstock, GA",34.101344,-84.51881,117,40,"Open"
"Woodstock First Baptist Church","US","Georgia","Cherokee County","Woodstock","777 Neese Road","777 Neese Road, Woodstock, GA",34.089601,-84.491691,668,500,"Open"
"Woodstock Jaycees Building","US","Georgia","Cherokee County","Woodstock","215 Rope Mill Road","215 Rope Mill Road, Woodstock, GA",34.10863,-84.52386,80,30,"Open"
"Woodstock Middle School","US","Georgia","Cherokee County","Woodstock","2000 Towne Lake Hills S. Drive","2000 Towne Lake Hills S. Drive, Woodstock, GA",,,558,300,"Open"
