Organisation,KV:cap_oid,Acronym,Type,Country,Website,Twitter,Comments
"Federal Office for the Environment, Bundesamt für Umwelt",2.49.0.0.756.1,,Government,CH,www.bafu.admin.ch/,,"Geo,Met,Fire - Federal Alerting Ordinance"
Fiji Meteorological Service,2.49.0.0.242.0,,Government,FJ,www.worldweather.org/022/m022.htm,,"Geo,Met, - "
Finnish Environment Institute,2.49.0.0.246.1,,Government,FR,www.worldweather.org/062/m062.htm,,"Met,Health,Env,CBRNE, - "
Finnish Meteorological Institute,2.49.0.0.246.0,,Government,FI,www.worldweather.org/061/m061.htm,,"Met,Safety,Fire,CBRNE, - "
French Polynesia Météo France,2.49.0.0.250.0,,Government,PF,www.worldweather.org/175/c00297.htm,,"Met - Météo-France is mandated by the High commissioner of the French government in French Polynesia to monitor the atmosphere and the upper part of the ocean for the safety of people and property. In this framewok, it issues to the local authorities and general public weather awareness maps, called “Vigilance with related safety recommendations elaborated by the authorities. “Vigilance covers four hazards: strong wind, heavy rainfall, strong waves, thunderstorms. There are four levels of awareness: red in case of very severe weather, orange, yellow, and green if no particular vigilance is required. More over Alerte cyclonique warnings are triggered in case of danger of tropical cyclone, those Alerte cyclonique are decided by the civil security authorities (in liaise with the meteorological advice of Meteo-France)."
FSM Weather Station,2.49.0.0.583.0,,Government,FM,,,"Geo,Met,Fire - "
General Water Authority,2.49.0.0.434.1,,Government,LY,,,"Met,Health,Env,CBRNE, - "
Georgia Department of Hydrometeorology,,,Government,GE,www.worldweather.org/109/c00209.htm,,"Geo,Met,Health,Env,CBRNE - "
Ghana Meteorological Services Department,2.49.0.0.288.0,,Government,GH,www.worldweather.org/151/m151.htm,,"Met,Safety,Rescue,Fire,Transport - No express provision for exclusive rights to the Met Service to issue forecasts and/or warnings."
Global Disaster Alert and Coordination,,GDACS,NGO,DE,,,
GNS Science,2.49.0.0.554.1,GNS,Government,NZ, ,,"Geo - GNS Science supports New Zealand''''s Ministry of Civil Defence & Emergency Management with information and advice for earthquakes, volcanoes and tsunami. This is enacted in the National Civil Defence Emergency Management Plan Order 2015. api.geonet.org.nz/cap/1.2/GPA1.0/feed/atom1.0/quake"
Guyana Hydrometeorological Service,2.49.0.0.328.0,,Government,GY,www.hydromet.gov.gy,,Met - Water and Sewage Act CAP.30:01 hydromet.gov.gy/cap/en/alerts/rss.xml
Haiti Weather,2.49.0.0.332.0,,Government,HT,,,"Geo,Met, - "
Hellenic National Meteorological Service,2.49.0.0.300.0,,Government,GR,www.worldweather.org/063/m063.htm,,Met - 
Hidrometeorología,2.49.0.0.591.0,,Government,PA,www.worldweather.org/076/m076.htm,,Met - 
Honduras Servicio Meteorologico Nacional,,,Government,HN,www.worldweather.org/133/c00283.htm,,Met - 
Hong Kong Observatory,2.49.0.0.344.0,,Government,HK,www.worldweather.org/002/c00001.htm,,"Geo,Met,Fire - "
Hungarian Meteorological Service,2.49.0.0.348.0,VITUKI,Government,HU,www.met.hu/en/idojaras/elorejelzes/,,"Met,Health,Env,CBRNE, Safety,Transport - The President of the Meteorological service has the duty of ensuring provision of warnings and forecasts; and also is obliged to take measures and proceed against the unauthorised users of meteorological data and information.  No. 24. Ministerial Publication of Ministry of Agriculture, 1899"
Hydrographischer Dienst Tirol,2.49.0.0.40.6,,Government,AT,www.tirol.gv.at/buerger/sicherheit/wasserkreislauf/,,Met - 
Hydrological Services Program,2.49.0.0.36.1,,Government,AU,,,Met - 
"Hydrology Division, Department of Irrigation",2.49.0.0.144.1,,Government,LK,,,Met - 
Hydrometeorological Institute,2.49.0.0.8.0,,Government,AL,,,"Met,Fire,Health,Env,CBRNE, - "
Hydrometeorological Institute of the Ministry of Ecology and Natural Resources,2.49.0.0.31.0,,Government,AZ,www.worldweather.org/007/m007.htm,,"Met,Safety,Health,Env, - "
Icelandic Meteorological Office,2.49.0.0.352.0,,Government,IS,www.worldweather.org/097/c00189.htm,,"Geo,Met,Safety - The Icelandic Meteorological Office (IMO) is by Icelandic law in charge of issuing forecast and warnings in the field of weather and weather related matters, suchs as avalanche, landslide, floods and storm surge, and for geophysical matters suchs as earthquakes, volcanoes and tsunami. IMO is in charge of issuing evacuation orders in the case of avalanche."
India Meteorological Department,2.49.0.0.356.0,,Government,IN,www.worldweather.org/066/m066.htm,,Met - It was established by an executive order in 1875.
Institut Géographique du Burundi,2.49.0.0.108.0,,Government,BI,www.worldweather.org/144/m144.htm,, - 
Institut National de Météorologie,2.49.0.0.678.0,,Government,ST,,, - 
Institut Royal Météorologique,2.49.0.0.56.0,,Government,BE,www.worldweather.org/053/m053.htm,,Met - No express provision for exclusive rights to the Met Service to issue forecasts and/or warnings. Belgium: Royal Meteorological Institute
Institute of Hydrometeorology and Seismology of Montenegro,2.49.0.0.499.0,,Government,ME,www.worldweather.org/193/c01378.htm,,"Geo,Met,Env - "
Institute of Meteorology and Water Management,2.49.0.0.616.0,I.P.,Government,PL,www.worldweather.org/009/m009.htm,,Met - 
"Instituto de Hidrología, Meteorología y Estudios Ambientales",2.49.0.0.170.1,,Government,CO,www.worldweather.org/057/m057.htm,,"Geo,Met,Fire - "
Instituto de Meteorología,2.49.0.0.192.0,,Government,CU,www.worldweather.org/131/m131.htm,,Met - 
Instituto Meteorologico Nacional,2.49.0.0.188.0,,Government,CR,www.worldweather.org/171/m171.htm,,"Geo,Met,Fire,Health,Env,CBRNE - "
Instituto Nacional de Hidrometeorología e Geofísica,2.49.0.0.24.0,,Government,AO,www.worldweather.org/129/c00261.htm,,Met - 
Instituto Nacional de Meteorologia e Geophísica,2.49.0.0.132.0,,Government,CV,www.worldweather.org/100/c00196.htm,,Met - 
Instituto Nacional de Meteorología e Hidrología,2.49.0.0.218.0,,Government,EC,www.worldweather.org/137/c00291.htm,,Met - 
"Instituto Nacional de Sismología, Vulcanología, Meteorología e Hidrología",2.49.0.0.320.0,INSIVUMEH,Government,GT,www.worldweather.org/152/c00906.htm,,"Geo,Met,Fire - "
Instituto Nacional del Agua,2.49.0.0.32.1,,Government,AR,www.ina.gov.ar/alerta/index.php,,Met - 
Instituto Português do Mar e da Atmosfera,2.49.0.0.620.0,I.P.,Government,PT,www.worldweather.org/003/m003.htm,,"Geo,Met,Fire - "
International Federation of Red Cross and Red Crescent Societies,2.49.0.0.218.0,IFRC,NGO,CH,,,
Iraqi Meteorological Organization,2.49.0.0.368.0,,Government,IQ,www.worldweather.org/154/m154.htm,,Met - 
Irish Meteorological Service,2.49.0.0.372.0,,Government,IE,www.met.ie,,Met - National Meteorological Service of Ireland
Islamic Republic of Iran Meteorological Organization,2.49.0.0.364.0,,Government,IR,www.worldweather.org/114/m114.htm,,"Geo,Met,Fire,Health,Env,CBRNE - I. R. of Iran Meteorological Organization (IRIMO) was established in 1955 as National Head Office for Meteorology, associated with the Ministry of Transportation. Later on, this Head Office, becoming an independent organization, was affiliated with the Ministry of War. In 1959, Iran Head Office for Meteorology became the one hundred and thirtieth member of the World Meteorological Organization. After the Islamic Revolution in 1979, this organization became affiliated with the Ministry of Transportation, again. The activities of IRIMO intend to secure the lives and properties especially in the fields of agriculture, aviation, hydrology, marine meteorology, and climate. In this sense, this organization is responsible for provision and issuing of warnings in all weather related fields."
Israel Meteorological Service,2.49.0.0.376.0,,Government,IL,www.worldweather.org/013/m013.htm,,"Geo,Met,Fire,Health,Env,CBRNE - No law establishing the Meteorological Service as of year 1997"
Italian Civil Protecion in cooperation with italian region civil protecion structures,2.49.0.0.380.1,,Government,IT,www.protezionecivile.gov.it/jcms/en/rischi.wp,,"Geo,Met,Safety,Security,Rescue,Fire,Health,Env,Transport,Infra,CBRNE,Other - Ordinary Law n.225, 24th february 1992, art. 6"
Jamaica Meteorological Service,,,Government,JM,www.worldweather.org/026/m026.htm,,"Geo,Met,Health,Env,CBRNE - No law establishing the Meteorological Service as of year 1997."
Japan Meteorological Agency,2.49.0.0.392.0,JMA,Government,JP,www.jma.go.jp/en/warn/,,"Geo,Met, - If hazardous weather conditions are expected, JMA delivers a variety of plain messages including warnings, advisories, and bulletins to the general public and disaster prevention authorities so that appropriate measures can be taken to mitigate possible hazards. JMA is also responsible for providing flood forecasting services, which are performed in collaboration with the Water and Disaster Management Bureau of the Ministry of Land, Infrastructure, Transport and Tourism (MLIT), and civil engineering bureaus of prefectural governments. JMA implements these services in compliance with the Meteorological Service Act."
Jordan Meteorological Department,2.49.0.0.400.0,,Government,JO,www.worldweather.org/069/m069.htm,,Met - No law establishing the Meteorological Service as of year 1997.
Kazhydromet,2.49.0.0.398.0,,Government,KZ,www.worldweather.org/070/m070.htm,,"Geo,Met, - "
Kenya Meteorological Service,2.49.0.0.404.0,,Government,KE,www.meteo.go.ke,,"Geo,Met, - There was no act of parliament establishing the Meteorological Service, as of year 1997 (www.worldweather.org/071/m071.htm)"
Kiribati Meteorological Service,2.49.0.0.296.0,,Government,KI,,,Met - 
Korea Meteorological Administration,2.49.0.0.410.0,,Government,KR,www.worldweather.org/095/m095.htm,,"Geo,Met,Fire,Health,Env,CBRNE - "
Kuwait Meteorological Department,,,Government,KW,www.worldweather.org/113/c00217.htm,,Met - www.met.gov.kw/rss_eng/kuwait_cap.xml
Kyrgyzhydromet,2.49.0.0.540.0,,Government,KG,www.worldweather.org/177/c00210.htm,,"Geo,Met,Fire,Health,Env,CBRNE - Main Hydrometeorological Administration"
Lao Department of Meteorology and Hydrology,2.49.0.0.428.0,,Government,LA,www.worldweather.org/121/m121.htm,,"Met,Fire, - "
"Latvian Environment, Geology and Meteorology Centre",2.49.0.0.426.0,LEGMC,Government,LV,www.worldweather.org/044/m044.htm,,Met - 
Lesotho Meteorological Services,2.49.0.0.434.0,,Government,LS,www.worldweather.org/155/m155.htm,,Met - 
Libyan National Meteorological Centre,2.49.0.0.440.0,,Government,LY,www.worldweather.org/157/m157.htm,,"Met,Env, - "
Lithuanian Hydrometeorological Service,2.49.0.0.826.0,,Government,LT,www.worldweather.org/105/m105.htm,,"Met,Fire, - No act of parliament establishing the Meteorological Service as of year 1997."
Main Administration of Hydrometeorology and Monitoring of the Environment,2.49.0.0.762.0,,Government,TJ,www.worldweather.org/110/m110.htm,,"Geo,Met,Health,Env,CBRNE - "
Malawi Meteorological Services,2.49.0.0.454.0,,Government,MW,www.worldweather.org/073/c00262.htm,,Met - No act of parliament establishing the Meteorological Service as of year 1997.
Malaysian Meteorological Department,2.49.0.0.458.0,,Government,MY,www.worldweather.org/020/m020.htm,,"Geo,Met,Fire,Health,Env,CBRNE - No act of parliament establishing the Meteorological Service as of year 1997."
Maldives Meteorological Service,2.49.0.0.462.0,,Government,MV,www.worldweather.org/118/m118.htm,,Met - 
Maldives National Disaster Management Center,2.49.0.0.462.1,NDMC,Government,MV,,,
Malta Meteorological Office,2.49.0.0.480.0,,Government,MT,www.worldweather.org/012/c00042.htm,,"Met,Safety,Rescue,Health, - Air Navigation Service Provider (Meteorology)"
Mauritania Office National de la Météorologie,2.49.0.0.480.0,,Government,MR,,,Met - 
Mauritius Meteorological Services,2.49.0.0.480.1,,Government,MU,www.worldweather.org/178/m178.htm,,"Geo,Met,Safety - No express provision for exclusive rights to the Met Service to issue forecasts and/or warnings."
Météo-France,2.49.0.0.360.0,,Government,FR,www.france.meteofrance.com/vigilance/Accueil,,"Met - Météo-France is mandated by the French government to monitor the atmosphere, the upper part of the ocean and the snow cover for the safety of people and property. In this framewok, it issues to authorities and general public weather awareness maps, called “Vigilance with related safety recommendations elaborated by the authorities. “Vigilance covers nine hazards: strong wind, thunderstorm, heat waves, cold spells, avalanches, snow-sleet , waves-storm surge, rainfall-flooding, flooding (the French hydrological service SCHAPI provides Météo-France with flood awareness). There are four levels of awareness: red in case of very severe weather, orange, yellow and green if no particular vigilance is required. In connection with those levels of awareness, the French authorities trigger alerts and take safety actions."
Meteorological and Geophysical Agency,2.49.0.0.360.0,,Government,,,,
Meteorological and Geophysical Bureau,2.49.0.0.446.0,,Government,MO,www.worldweather.org/072/c00156.htm,, - 
Meteorological and Hydrological Service,2.49.0.0.191.0,,Government,HR,www.worldweather.org/019/m019.htm,,"Met,Env, - the basic tasks are stipulated by the Law on meteorological and hydrological activities in Croatia (NN 14/78)"
Meteorological Department Aruba,2.49.0.0.784.0,,Government,AW,,,
Meteorological Department Curacao,2.49.0.0.530.0,,Government,AN,www.worldweather.org/181/c00286.htm,,"Geo,Met,Fire,Health,Env,CBRNE - "
Meteorological Service of Canada,2.49.0.0.124.0,,Government,CA,,,"Geo,Met,Health,Env, - The Department of the Environment Act gives the Minister of the Environment the responsibility for meteorology. Weather Services were introduced from the very beginning in 1871, specifically for the purpose of warning citizens of threatening situations. rss.naad-adna.pelmorex.com/"
