"L1","Demographic","Unit","Date","Value","Country","Source","Source URL"
,"Distribution of population - Male","Persons","1/1/2009 12:00:00 AM",5418827,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Distribution of population - Total","Persons","1/1/2009 12:00:00 AM",10217591,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Yomou","Number of households","Number","1/1/1996 12:00:00 AM",22705,"GN","Open Data for Africa","http://opendataforafrica.org/"
"N'Zerekore Prefectures","Number of households","Number","1/1/1996 12:00:00 AM",40482,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Macenta","Number of households","Number","1/1/1996 12:00:00 AM",45037,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Lola","Number of households","Number","1/1/1996 12:00:00 AM",20418,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Gueckedou","Number of households","Number","1/1/1996 12:00:00 AM",55287,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Beyla","Number of households","Number","1/1/1996 12:00:00 AM",25021,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Pita","Number of households","Number","1/1/1996 12:00:00 AM",43501,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Dalaba","Number of households","Number","1/1/1996 12:00:00 AM",26143,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Mamou Prefectures","Number of households","Number","1/1/1996 12:00:00 AM",41900,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Tougue","Number of households","Number","1/1/1996 12:00:00 AM",16573,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Mali","Number of households","Number","1/1/1996 12:00:00 AM",32042,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Lelouma","Number of households","Number","1/1/1996 12:00:00 AM",23906,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Koubia","Number of households","Number","1/1/1996 12:00:00 AM",14974,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Fria","Number of households","Number","1/1/1996 12:00:00 AM",11799,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Gaoual","Number of households","Number","1/1/1996 12:00:00 AM",20654,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Koundara","Number of households","Number","1/1/1996 12:00:00 AM",14312,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Dabola","Number of households","Number","1/1/1996 12:00:00 AM",17121,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Dinguiraye","Number of households","Number","1/1/1996 12:00:00 AM",21115,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Kissidougou","Number of households","Number","1/1/1996 12:00:00 AM",30877,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Faranah Prefectures","Number of households","Number","1/1/1996 12:00:00 AM",22003,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Conakry","Number of households","Number","1/1/1996 12:00:00 AM",161005,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Boke Prefectures","Number of households","Number","1/1/1996 12:00:00 AM",38239,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Boffa","Number of households","Number","1/1/1996 12:00:00 AM",19854,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Guinee Forestiere","Number of households","Number","1/1/1996 12:00:00 AM",239827,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Haute Guinee","Number of households","Number","1/1/1996 12:00:00 AM",168477,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Moyenne Guinee","Number of households","Number","1/1/1996 12:00:00 AM",276164,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Basse Guinee","Number of households","Number","1/1/1996 12:00:00 AM",205730,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Kankan Prefectures","Number of households","Number","1/1/1996 12:00:00 AM",31539,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Kerouane","Number of households","Number","1/1/1996 12:00:00 AM",21841,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Kouroussa","Number of households","Number","1/1/1996 12:00:00 AM",16572,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Mandiana","Number of households","Number","1/1/1996 12:00:00 AM",13778,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Siguiri","Number of households","Number","1/1/1996 12:00:00 AM",24508,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Kindia Prefectures","Number of households","Number","1/1/1996 12:00:00 AM",42465,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Coyah","Number of households","Number","1/1/1996 12:00:00 AM",11569,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Dubreka","Number of households","Number","1/1/1996 12:00:00 AM",16593,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Forecariah","Number of households","Number","1/1/1996 12:00:00 AM",27394,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Telimele","Number of households","Number","1/1/1996 12:00:00 AM",37817,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Labe Prefectures","Number of households","Number","1/1/1996 12:00:00 AM",42159,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Yomou","Population, Female Total","Persons","1/1/1996 12:00:00 AM",70373,"GN","Open Data for Africa","http://opendataforafrica.org/"
"N'Zerekore Prefectures","Population, Female Total","Persons","1/1/1996 12:00:00 AM",145025,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Macenta","Population, Female Total","Persons","1/1/1996 12:00:00 AM",144836,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Lola","Population, Female Total","Persons","1/1/1996 12:00:00 AM",69130,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Gueckedou","Population, Female Total","Persons","1/1/1996 12:00:00 AM",180585,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Beyla","Population, Female Total","Persons","1/1/1996 12:00:00 AM",83420,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Pita","Population, Female Total","Persons","1/1/1996 12:00:00 AM",133402,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Dalaba","Population, Female Total","Persons","1/1/1996 12:00:00 AM",74336,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Mamou Prefectures","Population, Female Total","Persons","1/1/1996 12:00:00 AM",121362,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Tougue","Population, Female Total","Persons","1/1/1996 12:00:00 AM",62082,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Mali","Population, Female Total","Persons","1/1/1996 12:00:00 AM",112328,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Lelouma","Population, Female Total","Persons","1/1/1996 12:00:00 AM",78787,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Koubia","Population, Female Total","Persons","1/1/1996 12:00:00 AM",49916,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Fria","Population, Female Total","Persons","1/1/1996 12:00:00 AM",40349,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Gaoual","Population, Female Total","Persons","1/1/1996 12:00:00 AM",71309,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Koundara","Population, Female Total","Persons","1/1/1996 12:00:00 AM",46480,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Dabola","Population, Female Total","Persons","1/1/1996 12:00:00 AM",57189,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Dinguiraye","Population, Female Total","Persons","1/1/1996 12:00:00 AM",70712,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Kissidougou","Population, Female Total","Persons","1/1/1996 12:00:00 AM",105888,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Faranah Prefectures","Population, Female Total","Persons","1/1/1996 12:00:00 AM",73884,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Conakry","Population, Female Total","Persons","1/1/1996 12:00:00 AM",511434,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Boke Prefectures","Population, Female Total","Persons","1/1/1996 12:00:00 AM",148785,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Boffa","Population, Female Total","Persons","1/1/1996 12:00:00 AM",80170,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Guinee Forestiere","Population, Female Total","Persons","1/1/1996 12:00:00 AM",799257,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Haute Guinee","Population, Female Total","Persons","1/1/1996 12:00:00 AM",711013,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Moyenne Guinee","Population, Female Total","Persons","1/1/1996 12:00:00 AM",887376,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Basse Guinee","Population, Female Total","Persons","1/1/1996 12:00:00 AM",749775,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Kankan Prefectures","Population, Female Total","Persons","1/1/1996 12:00:00 AM",132421,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Kerouane","Population, Female Total","Persons","1/1/1996 12:00:00 AM",73659,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Kouroussa","Population, Female Total","Persons","1/1/1996 12:00:00 AM",77450,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Mandiana","Population, Female Total","Persons","1/1/1996 12:00:00 AM",87697,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Siguiri","Population, Female Total","Persons","1/1/1996 12:00:00 AM",138001,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Kindia Prefectures","Population, Female Total","Persons","1/1/1996 12:00:00 AM",145759,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Coyah","Population, Female Total","Persons","1/1/1996 12:00:00 AM",42841,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Dubreka","Population, Female Total","Persons","1/1/1996 12:00:00 AM",67450,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Forecariah","Population, Female Total","Persons","1/1/1996 12:00:00 AM",102007,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Telimele","Population, Female Total","Persons","1/1/1996 12:00:00 AM",122414,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Labe Prefectures","Population, Female Total","Persons","1/1/1996 12:00:00 AM",137374,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Yomou","Population, Male Total","Persons","1/1/1996 12:00:00 AM",64615,"GN","Open Data for Africa","http://opendataforafrica.org/"
"N'Zerekore Prefectures","Population, Male Total","Persons","1/1/1996 12:00:00 AM",138388,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Macenta","Population, Male Total","Persons","1/1/1996 12:00:00 AM",133953,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Lola","Population, Male Total","Persons","1/1/1996 12:00:00 AM",65196,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Gueckedou","Population, Male Total","Persons","1/1/1996 12:00:00 AM",166956,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Beyla","Population, Male Total","Persons","1/1/1996 12:00:00 AM",86310,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Pita","Population, Male Total","Persons","1/1/1996 12:00:00 AM",105834,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Dalaba","Population, Male Total","Persons","1/1/1996 12:00:00 AM",62320,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Mamou Prefectures","Population, Male Total","Persons","1/1/1996 12:00:00 AM",114964,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Tougue","Population, Male Total","Persons","1/1/1996 12:00:00 AM",52565,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Mali","Population, Male Total","Persons","1/1/1996 12:00:00 AM",91713,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Lelouma","Population, Male Total","Persons","1/1/1996 12:00:00 AM",58486,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Koubia","Population, Male Total","Persons","1/1/1996 12:00:00 AM",41966,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Fria","Population, Male Total","Persons","1/1/1996 12:00:00 AM",41441,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Gaoual","Population, Male Total","Persons","1/1/1996 12:00:00 AM",66315,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Koundara","Population, Male Total","Persons","1/1/1996 12:00:00 AM",43750,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Dabola","Population, Male Total","Persons","1/1/1996 12:00:00 AM",54174,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Dinguiraye","Population, Male Total","Persons","1/1/1996 12:00:00 AM",66668,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Kissidougou","Population, Male Total","Persons","1/1/1996 12:00:00 AM",100867,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Faranah Prefectures","Population, Male Total","Persons","1/1/1996 12:00:00 AM",73463,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Conakry","Population, Male Total","Persons","1/1/1996 12:00:00 AM",581502,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Boke Prefectures","Population, Male Total","Persons","1/1/1996 12:00:00 AM",145132,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Boffa","Population, Male Total","Persons","1/1/1996 12:00:00 AM",76388,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Guinee Forestiere","Population, Male Total","Persons","1/1/1996 12:00:00 AM",756285,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Haute Guinee","Population, Male Total","Persons","1/1/1996 12:00:00 AM",696721,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Moyenne Guinee","Population, Male Total","Persons","1/1/1996 12:00:00 AM",752241,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Basse Guinee","Population, Male Total","Persons","1/1/1996 12:00:00 AM",710802,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Kankan Prefectures","Population, Male Total","Persons","1/1/1996 12:00:00 AM",129929,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Kerouane","Population, Male Total","Persons","1/1/1996 12:00:00 AM",81202,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Kouroussa","Population, Male Total","Persons","1/1/1996 12:00:00 AM",72609,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Mandiana","Population, Male Total","Persons","1/1/1996 12:00:00 AM",85453,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Siguiri","Population, Male Total","Persons","1/1/1996 12:00:00 AM",133223,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Kindia Prefectures","Population, Male Total","Persons","1/1/1996 12:00:00 AM",141852,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Coyah","Population, Male Total","Persons","1/1/1996 12:00:00 AM",42307,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Dubreka","Population, Male Total","Persons","1/1/1996 12:00:00 AM",63887,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Forecariah","Population, Male Total","Persons","1/1/1996 12:00:00 AM",93829,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Telimele","Population, Male Total","Persons","1/1/1996 12:00:00 AM",105966,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Labe Prefectures","Population, Male Total","Persons","1/1/1996 12:00:00 AM",114328,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Yomou","Population Total","Persons","1/1/1996 12:00:00 AM",134988,"GN","Open Data for Africa","http://opendataforafrica.org/"
"N'Zerekore Prefectures","Population Total","Persons","1/1/1996 12:00:00 AM",283413,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Macenta","Population Total","Persons","1/1/1996 12:00:00 AM",278789,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Lola","Population Total","Persons","1/1/1996 12:00:00 AM",134326,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Gueckedou","Population Total","Persons","1/1/1996 12:00:00 AM",347541,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Beyla","Population Total","Persons","1/1/1996 12:00:00 AM",169730,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Pita","Population Total","Persons","1/1/1996 12:00:00 AM",239236,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Dalaba","Population Total","Persons","1/1/1996 12:00:00 AM",136656,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Mamou Prefectures","Population Total","Persons","1/1/1996 12:00:00 AM",236326,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Tougue","Population Total","Persons","1/1/1996 12:00:00 AM",114647,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Mali","Population Total","Persons","1/1/1996 12:00:00 AM",204041,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Lelouma","Population Total","Persons","1/1/1996 12:00:00 AM",137273,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Koubia","Population Total","Persons","1/1/1996 12:00:00 AM",91882,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Fria","Population Total","Persons","1/1/1996 12:00:00 AM",81790,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Gaoual","Population Total","Persons","1/1/1996 12:00:00 AM",137624,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Koundara","Population Total","Persons","1/1/1996 12:00:00 AM",90230,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Dabola","Population Total","Persons","1/1/1996 12:00:00 AM",111363,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Dinguiraye","Population Total","Persons","1/1/1996 12:00:00 AM",137380,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Kissidougou","Population Total","Persons","1/1/1996 12:00:00 AM",206755,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Faranah Prefectures","Population Total","Persons","1/1/1996 12:00:00 AM",147347,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Conakry","Population Total","Persons","1/1/1996 12:00:00 AM",1092936,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Boke Prefectures","Population Total","Persons","1/1/1996 12:00:00 AM",293917,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Boffa","Population Total","Persons","1/1/1996 12:00:00 AM",156558,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Guinee Forestiere","Population Total","Persons","1/1/1996 12:00:00 AM",1555542,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Haute Guinee","Population Total","Persons","1/1/1996 12:00:00 AM",1407734,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Moyenne Guinee","Population Total","Persons","1/1/1996 12:00:00 AM",1639617,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Basse Guinee","Population Total","Persons","1/1/1996 12:00:00 AM",1460577,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Kankan Prefectures","Population Total","Persons","1/1/1996 12:00:00 AM",262350,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Kerouane","Population Total","Persons","1/1/1996 12:00:00 AM",154861,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Kouroussa","Population Total","Persons","1/1/1996 12:00:00 AM",150059,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Mandiana","Population Total","Persons","1/1/1996 12:00:00 AM",173150,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Siguiri","Population Total","Persons","1/1/1996 12:00:00 AM",271224,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Kindia Prefectures","Population Total","Persons","1/1/1996 12:00:00 AM",287611,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Coyah","Population Total","Persons","1/1/1996 12:00:00 AM",85148,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Dubreka","Population Total","Persons","1/1/1996 12:00:00 AM",131337,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Forecariah","Population Total","Persons","1/1/1996 12:00:00 AM",195836,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Telimele","Population Total","Persons","1/1/1996 12:00:00 AM",228380,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Labe Prefectures","Population Total","Persons","1/1/1996 12:00:00 AM",251702,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Yomou","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",72.62,"GN","Open Data for Africa","http://opendataforafrica.org/"
"N'Zerekore Prefectures","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",101.03,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Macenta","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",67.54,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Lola","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",44.14,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Gueckedou","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",145.18,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Beyla","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",15.61,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Pita","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",56.36,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Dalaba","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",52.91,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Mamou Prefectures","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",39.56,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Tougue","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",38.95,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Mali","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",23.53,"GN","Open Data for Africa","http://opendataforafrica.org/"
