"L1","L2",,"Demographic","Unit","Date","Value","Country","Source","Source URL"
"Northern Province","Bombali District",,"Average Household Size","Persons","1/1/2004 12:00:00 AM",6.5,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Bombali District",,"Dependency Ratio, Child",,"1/1/2004 12:00:00 AM",83.9,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Bombali District",,"Dependency Ratio, Old Age",,"1/1/2004 12:00:00 AM",9.1,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Bombali District",,"Dependency Ratio, Total",,"1/1/2004 12:00:00 AM",93.1,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Bombali District",,"Population Total","Persons","1/1/2004 12:00:00 AM",324677,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Bombali District",,"Population, Female Total","Persons","1/1/2004 12:00:00 AM",168700,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Bombali District",,"Population, Male Total","Persons","1/1/2004 12:00:00 AM",155977,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Bombali District",,"Number of households","Number","1/1/2004 12:00:00 AM",49651,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bonthe District",,"Population, 0-14 years - Total %","%","1/1/2004 12:00:00 AM",42.5,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bonthe District",,"Population, 0-4 years - Total %","%","1/1/2004 12:00:00 AM",18.1,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bonthe District",,"Population, 15-64 years - Total %","%","1/1/2004 12:00:00 AM",50.8,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bonthe District",,"Population, 65 years and over - Total %","%","1/1/2004 12:00:00 AM",6.7,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bonthe District",,"Average Household Size","Persons","1/1/2004 12:00:00 AM",5.4,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bonthe District",,"Dependency Ratio, Child",,"1/1/2004 12:00:00 AM",83.7,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bonthe District",,"Dependency Ratio, Old Age",,"1/1/2004 12:00:00 AM",13.1,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bonthe District",,"Dependency Ratio, Total",,"1/1/2004 12:00:00 AM",96.8,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bonthe District",,"Population Total","Persons","1/1/2004 12:00:00 AM",129878,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bonthe District",,"Population, Female Total","Persons","1/1/2004 12:00:00 AM",67361,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bonthe District",,"Population, Male Total","Persons","1/1/2004 12:00:00 AM",62517,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bonthe District",,"Number of households","Number","1/1/2004 12:00:00 AM",24211,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bonthe District","Bonthe Town","Average Household Size","Persons","1/1/2004 12:00:00 AM",7.6,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bonthe District","Bonthe Town","Population Total","Persons","1/1/2004 12:00:00 AM",9727,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bonthe District","Bonthe Town","Population, Female Total","Persons","1/1/2004 12:00:00 AM",5187,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bonthe District","Bonthe Town","Population, Male Total","Persons","1/1/2004 12:00:00 AM",4540,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Bonthe District","Bonthe Town","Number of households","Number","1/1/2004 12:00:00 AM",1274,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province",,,"Population, 0-14 years - Total %","%","1/1/2004 12:00:00 AM",40.6,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province",,,"Population, 0-4 years - Total %","%","1/1/2004 12:00:00 AM",15.6,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province",,,"Population, 15-64 years - Total %","%","1/1/2004 12:00:00 AM",55.1,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province",,,"Population, 65 years and over - Total %","%","1/1/2004 12:00:00 AM",4.3,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province",,,"Average Household Size","Persons","1/1/2004 12:00:00 AM",5.6,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province",,,"Dependency Ratio, Child",,"1/1/2004 12:00:00 AM",73.5,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province",,,"Dependency Ratio, Old Age",,"1/1/2004 12:00:00 AM",7.8,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province",,,"Dependency Ratio, Total",,"1/1/2004 12:00:00 AM",81.3,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province",,,"Population Total","Persons","1/1/2004 12:00:00 AM",1181870,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province",,,"Population, Female Total","Persons","1/1/2004 12:00:00 AM",589215,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province",,,"Population, Male Total","Persons","1/1/2004 12:00:00 AM",592655,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province",,,"Number of households","Number","1/1/2004 12:00:00 AM",212308,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kailahun District",,"Population, 0-14 years - Total %","%","1/1/2004 12:00:00 AM",42.6,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kailahun District",,"Population, 0-4 years - Total %","%","1/1/2004 12:00:00 AM",15.9,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kailahun District",,"Population, 15-64 years - Total %","%","1/1/2004 12:00:00 AM",52.8,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kailahun District",,"Population, 65 years and over - Total %","%","1/1/2004 12:00:00 AM",4.7,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kailahun District",,"Average Household Size","Persons","1/1/2004 12:00:00 AM",5.5,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kailahun District",,"Dependency Ratio, Child",,"1/1/2004 12:00:00 AM",80.6,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kailahun District",,"Dependency Ratio, Old Age",,"1/1/2004 12:00:00 AM",8.8,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kailahun District",,"Dependency Ratio, Total",,"1/1/2004 12:00:00 AM",89.4,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kailahun District",,"Population Total","Persons","1/1/2004 12:00:00 AM",357175,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kailahun District",,"Population, Female Total","Persons","1/1/2004 12:00:00 AM",184465,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kailahun District",,"Population, Male Total","Persons","1/1/2004 12:00:00 AM",172710,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kailahun District",,"Number of households","Number","1/1/2004 12:00:00 AM",64926,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Kambia",,"Population, 0-14 years - Total %","%","1/1/2004 12:00:00 AM",46.4,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Kambia",,"Population, 0-4 years - Total %","%","1/1/2004 12:00:00 AM",17.3,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Kambia",,"Population, 15-64 years - Total %","%","1/1/2004 12:00:00 AM",48.5,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Kambia",,"Population, 65 years and over - Total %","%","1/1/2004 12:00:00 AM",5.1,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Kambia",,"Average Household Size","Persons","1/1/2004 12:00:00 AM",7.3,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Kambia",,"Dependency Ratio, Child",,"1/1/2004 12:00:00 AM",95.6,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Kambia",,"Dependency Ratio, Old Age",,"1/1/2004 12:00:00 AM",10.5,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Kambia",,"Dependency Ratio, Total",,"1/1/2004 12:00:00 AM",106.1,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Kambia",,"Population Total","Persons","1/1/2004 12:00:00 AM",270376,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Kambia",,"Population, Female Total","Persons","1/1/2004 12:00:00 AM",142609,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Kambia",,"Population, Male Total","Persons","1/1/2004 12:00:00 AM",127767,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Kambia",,"Number of households","Number","1/1/2004 12:00:00 AM",37139,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kenema District",,"Population, 0-14 years - Total %","%","1/1/2004 12:00:00 AM",39.5,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kenema District",,"Population, 0-4 years - Total %","%","1/1/2004 12:00:00 AM",15.5,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kenema District",,"Population, 15-64 years - Total %","%","1/1/2004 12:00:00 AM",56.1,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kenema District",,"Population, 65 years and over - Total %","%","1/1/2004 12:00:00 AM",4.3,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kenema District",,"Average Household Size","Persons","1/1/2004 12:00:00 AM",5.3,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kenema District",,"Dependency Ratio, Child",,"1/1/2004 12:00:00 AM",70.4,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kenema District",,"Dependency Ratio, Old Age",,"1/1/2004 12:00:00 AM",7.8,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kenema District",,"Dependency Ratio, Total",,"1/1/2004 12:00:00 AM",78.2,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kenema District",,"Population Total","Persons","1/1/2004 12:00:00 AM",363463,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kenema District",,"Population, Female Total","Persons","1/1/2004 12:00:00 AM",177909,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kenema District",,"Population, Male Total","Persons","1/1/2004 12:00:00 AM",185554,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kenema District",,"Number of households","Number","1/1/2004 12:00:00 AM",68173,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kenema District","Kenema Town","Average Household Size","Persons","1/1/2004 12:00:00 AM",6.2,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kenema District","Kenema Town","Population Total","Persons","1/1/2004 12:00:00 AM",126966,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kenema District","Kenema Town","Population, Female Total","Persons","1/1/2004 12:00:00 AM",64541,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kenema District","Kenema Town","Population, Male Total","Persons","1/1/2004 12:00:00 AM",62425,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kenema District","Kenema Town","Number of households","Number","1/1/2004 12:00:00 AM",20383,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kono District","Koidu New Sembehun","Average Household Size","Persons","1/1/2004 12:00:00 AM",5.5,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kono District","Koidu New Sembehun","Population Total","Persons","1/1/2004 12:00:00 AM",79981,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kono District","Koidu New Sembehun","Population, Female Total","Persons","1/1/2004 12:00:00 AM",37695,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kono District","Koidu New Sembehun","Population, Male Total","Persons","1/1/2004 12:00:00 AM",42286,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kono District","Koidu New Sembehun","Number of households","Number","1/1/2004 12:00:00 AM",14429,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Koinadugu District",,"Population, 0-14 years - Total %","%","1/1/2004 12:00:00 AM",44.7,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Koinadugu District",,"Population, 0-4 years - Total %","%","1/1/2004 12:00:00 AM",14.8,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Koinadugu District",,"Population, 15-64 years - Total %","%","1/1/2004 12:00:00 AM",51.2,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Koinadugu District",,"Population, 65 years and over - Total %","%","1/1/2004 12:00:00 AM",4,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Koinadugu District",,"Average Household Size","Persons","1/1/2004 12:00:00 AM",6.1,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Koinadugu District",,"Dependency Ratio, Child",,"1/1/2004 12:00:00 AM",87.2,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Koinadugu District",,"Dependency Ratio, Old Age",,"1/1/2004 12:00:00 AM",7.8,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Koinadugu District",,"Dependency Ratio, Total",,"1/1/2004 12:00:00 AM",95.1,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Koinadugu District",,"Population Total","Persons","1/1/2004 12:00:00 AM",265683,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Koinadugu District",,"Population, Female Total","Persons","1/1/2004 12:00:00 AM",141105,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Koinadugu District",,"Population, Male Total","Persons","1/1/2004 12:00:00 AM",124578,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Koinadugu District",,"Number of households","Number","1/1/2004 12:00:00 AM",43700,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kono District",,"Population, 0-14 years - Total %","%","1/1/2004 12:00:00 AM",39.9,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kono District",,"Population, 0-4 years - Total %","%","1/1/2004 12:00:00 AM",15.4,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kono District",,"Population, 15-64 years - Total %","%","1/1/2004 12:00:00 AM",56.3,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kono District",,"Population, 65 years and over - Total %","%","1/1/2004 12:00:00 AM",3.8,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kono District",,"Average Household Size","Persons","1/1/2004 12:00:00 AM",5.7,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kono District",,"Dependency Ratio, Child",,"1/1/2004 12:00:00 AM",70.9,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kono District",,"Dependency Ratio, Old Age",,"1/1/2004 12:00:00 AM",6.7,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kono District",,"Dependency Ratio, Total",,"1/1/2004 12:00:00 AM",77.6,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kono District",,"Population Total","Persons","1/1/2004 12:00:00 AM",254285,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kono District",,"Population, Female Total","Persons","1/1/2004 12:00:00 AM",124605,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kono District",,"Population, Male Total","Persons","1/1/2004 12:00:00 AM",129680,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Eastern Province","Kono District",,"Number of households","Number","1/1/2004 12:00:00 AM",44397,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Bombali District","Makeni Town","Average Household Size","Persons","1/1/2004 12:00:00 AM",6.7,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Bombali District","Makeni Town","Population Total","Persons","1/1/2004 12:00:00 AM",81715,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Bombali District","Makeni Town","Population, Female Total","Persons","1/1/2004 12:00:00 AM",42347,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Bombali District","Makeni Town","Population, Male Total","Persons","1/1/2004 12:00:00 AM",39368,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Bombali District","Makeni Town","Number of households","Number","1/1/2004 12:00:00 AM",12260,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Moyamba District",,"Population, 0-14 years - Total %","%","1/1/2004 12:00:00 AM",42.9,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Moyamba District",,"Population, 0-4 years - Total %","%","1/1/2004 12:00:00 AM",17.1,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Moyamba District",,"Population, 15-64 years - Total %","%","1/1/2004 12:00:00 AM",51.1,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Moyamba District",,"Population, 65 years and over - Total %","%","1/1/2004 12:00:00 AM",6,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Moyamba District",,"Average Household Size","Persons","1/1/2004 12:00:00 AM",5.7,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Moyamba District",,"Dependency Ratio, Child",,"1/1/2004 12:00:00 AM",83.9,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Moyamba District",,"Dependency Ratio, Old Age",,"1/1/2004 12:00:00 AM",6,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Moyamba District",,"Dependency Ratio, Total",,"1/1/2004 12:00:00 AM",95.7,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Moyamba District",,"Population Total","Persons","1/1/2004 12:00:00 AM",258506,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Moyamba District",,"Population, Female Total","Persons","1/1/2004 12:00:00 AM",136140,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Moyamba District",,"Population, Male Total","Persons","1/1/2004 12:00:00 AM",122366,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Moyamba District",,"Number of households","Number","1/1/2004 12:00:00 AM",45223,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province",,,"Population, 0-14 years - Total %","%","1/1/2004 12:00:00 AM",44.6,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province",,,"Population, 0-4 years - Total %","%","1/1/2004 12:00:00 AM",16.2,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province",,,"Population, 15-64 years - Total %","%","1/1/2004 12:00:00 AM",50.7,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province",,,"Population, 65 years and over - Total %","%","1/1/2004 12:00:00 AM",4.7,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province",,,"Average Household Size","Persons","1/1/2004 12:00:00 AM",6.7,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province",,,"Dependency Ratio, Child",,"1/1/2004 12:00:00 AM",87.9,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province",,,"Dependency Ratio, Old Age",,"1/1/2004 12:00:00 AM",9.2,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province",,,"Dependency Ratio, Total",,"1/1/2004 12:00:00 AM",97.1,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province",,,"Population Total","Persons","1/1/2004 12:00:00 AM",1741926,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province",,,"Population, Female Total","Persons","1/1/2004 12:00:00 AM",920570,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province",,,"Population, Male Total","Persons","1/1/2004 12:00:00 AM",821356,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province",,,"Number of households","Number","1/1/2004 12:00:00 AM",261201,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Port Loko District",,"Population, 0-14 years - Total %","%","1/1/2004 12:00:00 AM",44.5,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Port Loko District",,"Population, 0-4 years - Total %","%","1/1/2004 12:00:00 AM",16.8,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Port Loko District",,"Population, 15-64 years - Total %","%","1/1/2004 12:00:00 AM",50.6,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Port Loko District",,"Population, 65 years and over - Total %","%","1/1/2004 12:00:00 AM",5,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Port Loko District",,"Average Household Size","Persons","1/1/2004 12:00:00 AM",6.9,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Port Loko District",,"Dependency Ratio, Child",,"1/1/2004 12:00:00 AM",88.1,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Port Loko District",,"Dependency Ratio, Old Age",,"1/1/2004 12:00:00 AM",9.8,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Port Loko District",,"Dependency Ratio, Total",,"1/1/2004 12:00:00 AM",97.8,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Port Loko District",,"Population Total","Persons","1/1/2004 12:00:00 AM",453019,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Port Loko District",,"Population, Female Total","Persons","1/1/2004 12:00:00 AM",240700,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Port Loko District",,"Population, Male Total","Persons","1/1/2004 12:00:00 AM",212319,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Northern Province","Port Loko District",,"Number of households","Number","1/1/2004 12:00:00 AM",65590,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Pujehun District",,"Population, 0-14 years - Total %","%","1/1/2004 12:00:00 AM",43.8,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Pujehun District",,"Population, 0-4 years - Total %","%","1/1/2004 12:00:00 AM",17.4,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Pujehun District",,"Population, 15-64 years - Total %","%","1/1/2004 12:00:00 AM",51.5,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Pujehun District",,"Population, 65 years and over - Total %","%","1/1/2004 12:00:00 AM",4.7,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Pujehun District",,"Average Household Size","Persons","1/1/2004 12:00:00 AM",6.3,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Pujehun District",,"Dependency Ratio, Child",,"1/1/2004 12:00:00 AM",85.2,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Pujehun District",,"Dependency Ratio, Old Age",,"1/1/2004 12:00:00 AM",9.1,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Pujehun District",,"Dependency Ratio, Total",,"1/1/2004 12:00:00 AM",94.4,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Pujehun District",,"Population Total","Persons","1/1/2004 12:00:00 AM",225373,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Pujehun District",,"Population, Female Total","Persons","1/1/2004 12:00:00 AM",116958,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Pujehun District",,"Population, Male Total","Persons","1/1/2004 12:00:00 AM",108415,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province","Pujehun District",,"Number of households","Number","1/1/2004 12:00:00 AM",35639,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province",,,"Population, 0-14 years - Total %","%","1/1/2004 12:00:00 AM",42.2,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province",,,"Population, 0-4 years - Total %","%","1/1/2004 12:00:00 AM",16.5,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province",,,"Population, 15-64 years - Total %","%","1/1/2004 12:00:00 AM",52.5,"SL","Open Data for Africa","http://opendataforafrica.org/"
"Southern Province",,,"Population, 65 years and over - Total %","%","1/1/2004 12:00:00 AM",5.3,"SL","Open Data for Africa","http://opendataforafrica.org/"
