item code,item description,length cm,height cm,width cm,volume litre,weight kg,in EIC
AFORDICAGR,"DISTRIBUTION CARD, for food, individual, numbered, green",10,0.01,7,0.0007,0.0036,
AFORDICARE,"DISTRIBUTION CARD, for food, individual, numbered, red",10,4.5,7,0.315,0.3,
AFORDICAYE,"DISTRIBUTION CARD, for food, individual, numbered, yellow",10,0.1,7,0.007,0.0037,
AFORDIPLEN,DIPLOMA A4 oblong printing in 3 colors+embossing in english,30,1.8,21,1.134,0.5,
AFORDIPLFR,DIPLOMA A4 oblong printing in 3 colors + embossing in french,30,1.5,21,0.945,0.5,
AFORDIPLSP,DIPLOMA A4 oblong printing in 3 colors +embossing in spanish,30,1.5,21,0.945,0.5,
AFORDISPHQ04,"DISPATCH form, headquarters, 4 pages",0,0,0,0,0,
AFORGENDIC03,GENERAL DECLARATION ICRC (3 ncr),0,0,0,0,0,
AFORGOREIF,"GOODS RECEIVED NOTE, IFRC, 4 selfcopying copies, A4",0,0,0,0,0,
AFORITIN,"ITINERANT MISSION ORDER form, A4 paper, 5 pages",0,0,0,0,0,
AFORMEDFAD1,"MEDICAL FORM, admission book, with ICRC Logo",30.3,3.2,21.3,2.0652,1.5,
AFORMEDFAD2,"MEDICAL FORM, admission book, without logo",30.5,4,22,2.684,1.68,
AFORMEDFAT1,"MEDICAL FORM, admission-triage sheet, with ICRC logo",0,0,0,0,0,
AFORMEDFAT1E,"MEDICAL FORM, admission-triage sheet, ICRC logo, 2007",0,0,0,0,0,
AFORMEDFAT2,"MEDICAL FORM, admission-triage sheet, without logo",0,0,0,0,0,
AFORMEDFAT2E,"MEDICAL FORM, admission-triage sheet, no logo, 2007",0,0,0,0,0,
AFORMEDFATC,"MEDICAL FORM, triage cards I to IV, colour code/ lam. + cord",11,14.7,0.3,0.04851,0.02,
AFORMEDFBB1,"MEDICAL FORM, blood bank statistics",29.7,0.1,21,0.0624,0.005,
AFORMEDFBB1G,"MEDICAL FORM GUIDELINE, blood bank statistics",0,0,0,0,0,
AFORMEDFBC1,"MEDICAL FORM, birth certificate",0,0,0,0,0,
AFORMEDFBDON,BLOOD DONOR card,0,0,0,0,0,
AFORMEDFBR1,"MEDICAL FORM, blood request form",21,0.1,14.8,0.0311,0.0054,
AFORMEDFCF1,"MEDICAL FORM, consent form",21,0.1,14.8,0.0311,0.0026,
AFORMEDFCP1,"MEDICAL FORM, count paper for operation theatre",0,0,0,0,0,
AFORMEDFDC1,"MEDICAL FORM, death certificate",0,0,0,0,0,
AFORMEDFDD1,"MEDICAL FORM, drug distribution list/ward",0,0,0,0,0,
AFORMEDFDI1,"MEDICAL FORM, discharge card",21,0.1,14.8,0.0311,0.0051,
AFORMEDFDI1G,"MEDICAL FORM GUIDELINE, discharge card",0,0,0,0,0,
AFORMEDFDIA1,"MEDICAL FORM, discharge card, against medical advice",0,0,0,0,0,
AFORMEDFDN1,"MEDICAL FORM, death notification, with ICRC logo",0,0,0,0,0,
AFORMEDFDN2,"MEDICAL FORM, death notification, without logo",29.7,0.1,21,0.0624,0.0061,
AFORMEDFDO1,"MEDICAL FORM, drugs ordering form, for wards",29.7,0.1,21,0.0624,0.0095,
AFORMEDFDS1,"MEDICAL FORM, daily statistics report",29.7,0.1,21,0.0624,0.005,
AFORMEDFDS1G,"MEDICAL FORM GUIDELINE, daily statistical report",0,0,0,0,0,
AFORMEDFFB1,"MEDICAL FORM, fluid balance chart",0,0,0,0,0,
AFORMEDFGC1,"MEDICAL FORM, Glasgow coma scale",0,0,0,0,0,
AFORMEDFHE1,"MEDICAL FORM, health card",21,10.5,15,3.3075,2.6,
AFORMEDFHE1B,"BAG, PLASTIC, FOR HEALTH CARD, 11 cm x 25 cm",0,0,0,0,0,
AFORMEDFHE2,"MEDICAL FORM, child health card",0,0,0,0,0,
AFORMEDFIC1,"MEDICAL FORM, intensive care nursing chart, 2011",43.5,5,31.5,6.8513,4.9,
AFORMEDFLB01,"MEDICAL FORM, blood transfusion x-match label, manila paper",0,0,0,0,0,
AFORMEDFLB02,"MEDICAL FORM, transfusion observation worksheet",0,0,0,0,0,
AFORMEDFLB03,"MEDICAL FORM, environmental QA, blood bank refrigerator",0,0,0,0,0,
AFORMEDFLB04,"MEDICAL FORM, environmental QA, for refrigerator",0,0,0,0,0,
AFORMEDFLB05,"MEDICAL FORM, environmental QA, for warm water bath",0,0,0,0,0,
AFORMEDFLB06,"MEDICAL FORM, bloodbank cross-match worksheet",0,0,0,0,0,
AFORMEDFLB07,"MEDICAL FORM, hemocue Hb-meter quality control",0,0,0,0,0,
AFORMEDFLM1,"MEDICAL FORM, laboratory monthly statistics",29.7,0.1,21,0.0624,0.005,
AFORMEDFLR1,"MEDICAL FORM, laboratory request form",21,0.1,14.8,0.0311,0.0011,
AFORMEDFMC1,"MEDICAL FORM, material count /operation theatre",0,0,0,0,0,
AFORMEDFMR1,"MEDICAL FORM, maintenance request form",0,0,0,0,0,
AFORMEDFOP1,"MEDICAL FORM, operation book, with ICRC logo",30.51,2.5,21.5,1.6399,1.08,
AFORMEDFOP2,"MEDICAL FORM, operation book, without logo",30.7,3.6,22,2.4314,1.62,
AFORMEDFPB1,"MEDICAL FORM, patient documentation book",0,0,0,0,0,
AFORMEDFPF1,"MEDICAL FORM, patient file, for ICRC",32.5,0.5,23,0.3738,0.74,
AFORMEDFPF2,"MEDICAL FORM, patient file",33,0.01,24,0.0079,0.08,
AFORMEDFPN1,"MEDICAL FORM, record of prenatal care",0,0,0,0,0,
AFORMEDFPR1,"MEDICAL FORM, patient record, for ward",29.7,0.1,21,0.0624,0.0012,
AFORMEDFPR1E,"MEDICAL FORM, patient record, for wards, 2011",0,0,0,0,0,
AFORMEDFR01E,"MEDICAL FORM, referral",0,0,0,0,0,
AFORMEDFRE1,"MEDICAL FORM, relative entrance card",0,0,0,0,0,
AFORMEDFRP1,"MEDICAL FORM, anesthesia protocol, version 2004",29.7,0.1,21,0.0624,0.0012,
AFORMEDFRPR1E,"MEDICAL FORM, anesthesia pre-operative assessment",0,0,0,0,0,
AFORMEDFSR1,"MEDICAL FORM, surgical statistics for the week/month",0,0,0,0,0,
AFORMEDFSR1G,"MEDICAL FORM GUIDELINE, statiscal report surgical activities",0,0,0,0,0,
AFORMEDFTC1,"MEDICAL FORM, triage coordination sheet",0,0,0,0,0,
AFORMEDFTF1,"MEDICAL FORM, therapeutic feeding medical record",21,0.1,14.8,0.0311,0.0053,
AFORMEDFTR1,"MEDICAL FORM, treatment sheet, with ICRC logo",0,0,0,0,0,
AFORMEDFTR2,"MEDICAL FORM, treatment sheet, without logo",29.7,0.1,21,0.0624,0.0118,
AFORMEDFXM1,"MEDICAL FORM, x-ray monthly statistics",0,0,0,0,0,
AFORMEDFXR1,"MEDICAL FORM, x-ray request form",21,0.1,14.8,0.0311,0.0054,
AFORMEDFXR1G,"MEDICAL FORM GUIDELINE, x-ray request form",0,0,0,0,0,
AFORMSGS,MESSAGE RED CROSS form,0,0,0,0,0,
AFOROFORC,"ORDER form, continuous for printer 4 pages",0,0,0,0,0,
AFOROFORN,"ORDER form, numbered, for printer, 4 pp",0,0,0,0,0,
AFOROUTW,OUTWARD REGISTER for shipping (50 sheets),29.6,0.8,21.2,0.502,0.32,
AFORPASGM,"PASSENGER MANIFEST, form",0,0,0,0,0,
AFORPASGT,"PASSENGER TICKET, ICRC Form",0,0,0,0,0,
AFORPLEFP1,"PACKING LIST/ENTRY FORM, 5 selfcopying copies, A4, 1st page",29.7,0.1,21,0.0624,0.0171,
AFORPLEFP2,"PACKING LIST/ENTRY FORM, 5 self copies, A4, additional page",0,0,0,0,0,
AFORPORDP1,"PURCHASE ORDER, 5 selfcopying copies, A4, page 1 of 2",30,0.01,21,0.0063,0.001,
AFORPORDP2,"PURCHASE ORDER, 5 selfcopying copies, A4, page 2 of 2",21,30,0.001,0.0006,0.016,
AFORREGC,REGISTRATION CARD,0,0,0,0,0,
AFORROPRIF,"REQUISITION, IFRC, 4 selfcopying copies, A4",0,0,0,0,0,
AFORROPRP1,"PROCUREMENT REQUEST/REQUISITION ORDER, page 1",29.7,0.1,21,0.0624,0.125,
AFORROPRP2,"PROCUREMENT REQUEST/REQUISITION ORDER, page attached",30,1,21,0.63,0.016,
AFORSTOK,"STOCK CARD, A4, recto/verso, light cardboard, white",29.7,0.1,21,0.0624,0.01,
AFORSTOKIF,"STOCK CARD, IFRC, A4, recto/verso, light cardboard, blue",0,0,0,0,0,
AFORSTOKM,"STOCK CARD, medical, A4, recto/verso, light cardboard, white",31.3,9.6,23,6.911,5.28,
AFORSTORP1,STOCK REQUISITION form,19.7,0.1,21,0.0414,0.07,
AFORSTORP2,"STOCK REQUISITION form, complementary page",29.7,0.1,21,0.0624,0.01,
AFORTEMPREF,"TEMPERATURE CONTROL SHEET, refrigerator",0,0,0,0,0,
AFORTEMPROO,"TEMPERATURE CONTROL SHEET, room",0,0,0,0,0,
AFORTREP,"TIME REPORT form, for LOG feeder",0,0,0,0,0,
AFORTRSL,TRANSLATION REQUEST,0,0,0,0,0,
AFORVACCWHO,"CERTIFICATE, VACCINATION, ""WHO"", trilingual (Eng.Fr.Arab.)",12.5,0.2,8.5,0.0213,0.0099,
AFORWAYBIC,"WAYBILL, ICRC, 5 selfcopying copies, A4",0,0,0,0,0,
AFORWAYBIF,"WAYBILL/DELIVERY NOTE, IFRC, 4 selfcopying copies, A4",0,0,0,0,0,
AFORWAYBPL,"WAYBILL/PACKING LIST, ICRC, 5 selfcopying copies, A4",31,18,22,12.276,8.6,
AGAMBALGBADS,BADMINTON SET,0,0,0,0,0,
AGAMBALGBASK,BASKETBALL,29,7,18.5,3.7555,0.6,
AGAMBALGFB,FOOTBALL,21,21,21,9.261,0.45,
AGAMBALGVOLL,VOLLEYBALL,19,19,19,6.859,0.25,
AGAMTABGAFST,"GAME, AFRICAN STAR",0,0,0,0,0,
AGAMTABGBAGA,"GAME, BACKGAMMON",0,0,0,0,0,
AGAMTABGCARD,PLAYING CARDS (set),0,0,0,0,0,
AGAMTABGCHES,CHESS GAME,0,0,0,0,0,
AGAMTABGSKIP,SKIP-BO playing cards,0,0,0,0,0,
AGAMTABGTETA,TABLE TENNIS SET,0,0,0,0,0,
AGAMTABGVARI,"TABLE GAMES SET, various table games",0,0,0,0,0,
AGAMTABGYASS,"GAME, YAZZY",0,0,0,0,0,
AIDEARMBRC,"ARM BAND, Red Cross",0,0,0,0,0,
AIDECAPHRC,"CAP, Red Cross",0,0,0,0,0,
AIDEFLAGBRAC,"BRAKET, for flag pole, for vehicles",0,0,0,0,0,
AIDEFLAGC1,FLAG ICRC 1x1m LOGO CRYSTAL,26,2.5,12.5,0.8125,0.16,
AIDEFLAGCR08,"FLAG Red Crescent, 0.8mx1.2m",0,0,0,0,0,
AIDEFLAGCR10,"FLAG Red Crescent, 1x1m",25,2,11,0.55,0.14,
AIDEFLAGCR18,"FLAG Red Crescent, 1.2x1.8m",0,0,0,0,0,
AIDEFLAGCR20,"FLAG Red Crescent, 2x2m",27,3.5,19,1.7955,0.54,
AIDEFLAGCR23,"FLAG Red Crescent, 2x3m",0,0,0,0,0,
AIDEFLAGCR30,"FLAG Red Crescent, 3x3m",43,5,20,4.3,1.1,
AIDEFLAGCR50,"FLAG Red Crescent, 5x5m",71,17,17,20.519,3,
AIDEFLAGECP,"(flag for exexcutive car) PENNANT SUPPORT, 45 cm",52,3,10.5,1.638,0.2,
AIDEFLAGIC1,FLAG ICRC logo 1x1m,0.463636,0.381818,0.286364,0.000051,0.1145,
AIDEFLAGIC10,FLAG ICRC logo 10x10m,51,31,41,64.821,13.4,
AIDEFLAGIC2,FLAG ICRC logo 2x2m,26,4.5,18,2.106,0.5,
AIDEFLAGIC3,FLAG ICRC logo 3x3m,27,5,27,3.645,1.1,
AIDEFLAGIC5,FLAG ICRC logo 5x5m,33,9,36,10.692,3,
AIDEFLAGICDE,FLAG ICRC for desk 20x20cm with chromed telescopic mast,31,9,9,2.511,0.28,
AIDEFLAGPOLE,"POLE, for flag, for vehicles LC, 1,50 m - in pairs",135,1.5,1.5,0.3038,0.7,
AIDEFLAGRC08,FLAG Red Cross 0.8x1.2m,0,0,0,0,0,
AIDEFLAGRC1,FLAG Red Cross 1x1m,27,3,15,1.215,0.16,
AIDEFLAGRC10,FLAG Red Cross 10x10m,80,23,67,123.28,21.6,
AIDEFLAGRC12,FLAG Red Cross 1.25x2.04m,0,0,0,0,0,
AIDEFLAGRC18,FLAG Red Cross 1.2x1.8m,0,0,0,0,0,
AIDEFLAGRC2,FLAG Red Cross 2x2m,28,4,19.5,2.184,0.5,
AIDEFLAGRC23,FLAG Red Cross 2x3m,0,0,0,0,0,
AIDEFLAGRC3,FLAG Red Cross 3x3m,40,41,43,70.52,1.83,
AIDEFLAGRC5,FLAG Red Cross 5x5m,39,23,23,20.631,3.5,
AIDEFLAGRCR0,FLAG Red Crescent 0.46x0.75m,0,0,0,0,0,
AIDEJACERCL,"JACKET, Red Cross, Large",0,0,0,0,0,
AIDEJACERCXL,"JACKET, Red Cross, Xtra-Large",0,0,0,0,0,
AIDEPINS01,PINS ICRC for delegates,4,1,3,0.012,0.0023,
AIDEPINS02,PINS CICR for delegates,4,1,3,0.012,0.0026,
AIDEPSHINSL,"POLO-SHIRT, National Society, L",0,0,0,0,0,
AIDEPSHINSXL,"POLO-SHIRT, National Society, XL",0,0,0,0,0,
AIDESTICAP1.2,STICKER ICRC for air-plane 1.2x1.2m,123,6.5,6.5,5.1968,0.5,
AIDESTICAR1,"STICKER ""no arms"" for windows,transparent 15x15cm",15,0.1,15,0.0225,0.0058,
AIDESTICAR2,"STICKER ""no arms"" for doors, white 15x15cm",15,0.1,15,0.0225,0.006,
AIDESTICC07,"STICKER ""financed by EC"" 33x33cm",35,0.1,35,0.1225,0.0389,
AIDESTICCH,"STICKER ""CH"" for Swiss cars, 145x115mm",14.5,0.1,10.5,0.0152,0.0033,
AIDESTICCR12,STICKER Red Crescent 12x12cm,12,0.1,12,0.0144,0.004,
AIDESTICCR18,STICKER Red Crescent 18x18cm,18,0.2,18,0.0648,0.005,
AIDESTICCR28,STICKER Red Crescent 28x28cm,0,0,0,0,0,
AIDESTICCR33,STICKER Red Crescent 33x33cm,33,0.1,33,0.1089,0.0166,
AIDESTICCR50,STICKER Red Crescent 50x50cm,50,0.1,50,0.25,0.0489,
AIDESTICEQUI,"Sticker ""ICRC EQUIPMENT"" 4x3.8 cm",0,0,0,0,0,
AIDESTICEU23,"STICKER EU, 20x30cm",0,0,0,0,0,
AIDESTICFA08,"STICKER IFRC logo, arabic, 8.5x12cm",0,0,0,0,0,
AIDESTICFA12,"STICKER IFRC logo, arabic, 12x17cm",0,0,0,0,0,
AIDESTICFA21,"STICKER IFRC logo, arabic, 21x29.7cm",0,0,0,0,0,
AIDESTICFA40,"STICKER IFRC logo, arabic, 40x55cm",0,0,0,0,0,
AIDESTICFE,"STICKER IFRC logo, 12x17cm",0,0,0,0,0,
AIDESTICFE08,"STICKER IFRC logo, english, 8.5x12cm",0,0,0,0,0,
AIDESTICFE12,"STICKER IFRC logo, english, 12x17cm",0,0,0,0,0,
AIDESTICFE21,"STICKER IFRC logo, english, 21x29.7cm",0,0,0,0,0,
AIDESTICFE40,"STICKER IFRC logo, english, 40x55cm",0,0,0,0,0,
AIDESTICFEW1,"STICKER IFRC logo, english, transparent for windows, 12x17cm",0,0,0,0,0,
AIDESTICFEW2,"STICKER IFRC logo, english, transparent for windows, 21x30cm",0,0,0,0,0,
AIDESTICFF08,"STICKER IFRC logo, french, 8.5x12cm",0,0,0,0,0,
AIDESTICFF12,"STICKER IFRC logo, french, 12x17cm",0,0,0,0,0,
AIDESTICFF21,"STICKER IFRC logo, french, 21x29.7cm",0,0,0,0,0,
AIDESTICFF40,"STICKER IFRC logo, french, 40x55cm",0,0,0,0,0,
AIDESTICFRCL,"STICKER Finnish Red Cross, 0.8x1.20m",0,0,0,0,0,
AIDESTICFRCM,"STICKER Finnish Red Cross, 30x42cm",0,0,0,0,0,
AIDESTICFRCS,"STICKER Finnish Red Cross, 15x50cm",0,0,0,0,0,
AIDESTICFS08,"STICKER IFRC logo, spanish, 8.5x12cm",0,0,0,0,0,
AIDESTICFS12,"STICKER IFRC logo, spanish, 12x17cm",0,0,0,0,0,
AIDESTICFS21,"STICKER IFRC logo, spanish, 21x29.7cm",0,0,0,0,0,
AIDESTICFS40,"STICKER IFRC logo, spanish, 40x55cm",0,0,0,0,0,
AIDESTICIC09,STICKER ICRC macaroon 9x9cm,9.5,9.5,2.5,0.225625,0.2,
AIDESTICIC15,STICKER ICRC logo 15x15cm,15,0.1,15,0.0225,0.0061,
AIDESTICIC33,STICKER ICRC logo 33x33cm,33.5,33.5,2.5,2.805625,2.85,
AIDESTICIC50,STICKER ICRC logo 50x50cm,51,51,2.6,6.7626,6.35,
AIDESTICICA2,STICKER ICRC for air-plane 2x2m(in 2 parts),120.8,24,22.2,64.3622,3.6,
AIDESTICICA3,STICKER ICRC for air-plane 3x3m (in 6 parts),124,23.5,23.5,68.479,6.8,
AIDESTICICCBO,"STICKER ICRC, car bonnet, for LC model HJ76 only",100,0.1,100,1,0.3,
AIDESTICICCR,"STICKER ICRC for car roof, 1x1m",103,103,0.06,0.63654,0.286,
AIDESTICICCS,"STICKER ICRC for car side, 1x1m",100,100,0.06,0.6,0.2632,
AIDESTICICCW,"STICKER ICRC for car wheel, 80x80cm",84.5,84.5,0.07,0.499818,0.196,
AIDESTICLOGB,"STICKER ""fill-in your log book!"" Eng./Fre./Rus., 10x5cm",0,0,0,0,0,
AIDESTICMAG,STICKER SUPPORT MAGNETIC (neutral) 50x50cm,50,0.1,50,0.25,0.7,
AIDESTICRC18,STICKER Red Cross 18x18cm,18,0.1,18,0.0324,0.0086,
AIDESTICRC28,STICKER Red Cross 28x28cm,28,0.1,28,0.0784,0.0213,
AIDESTICRC50,STICKER Red Cross 50x50cm,50.5,50.5,0.035,0.089259,0.0722,
AIDESTICRCA1,STICKER Red Cross for air-plane 1x1m,0,0,0,0,0,
AIDESTICRCA2,STICKER Red Cross for air-plane 2x2m (in 2 parts),0,0,0,0,0,
AIDESTICRCA3,STICKER Red Cross for air-plane 3x3m (in 6 parts),0,0,0,0,0,
AIDESTICRRA1,STICKER Red Crescent for air-plane 1x1m,0,0,0,0,0,
AIDESTICRRA2,STICKER Red Crescent for air-plane 2x2m (in 2 parts),0,0,0,0,0,
AIDESTICRRA3,STICKER Red Crescent for air-plane 3x3m (in 6 parts),0,0,0,0,0,
AIDESTICS080,"STICKER ""maxi speed 80 km/h"" Eng./Fre./Rus., 5x5cm",0,0,0,0,0,
AIDESTICS080M,"STICKER, 80km/h, fasten belt, no smoking, no cell phone",25,0.1,5.5,0.0138,4,
AIDESTICS100,"STICKER ""maxi speed 100 km/h"" Eng./Fre./Rus., 5x5cm",0,0,0,0,0,
AIDESTICS100M,"STICKER 100km/h,fasten belt, no smoking, no cell phone",25,0.1,5.5,0.0138,4,
AIDESTICSEAB,"STICKER ""fasten your seat belt!"" Eng./Fre./Rus., 15x5cm",0,0,0,0,0,
AIDESTICTE1,"TEMPLATE for air-plane, ICRC logo, single use, 1x1m",128,18.5,16,37.888,1.8,
AIDESTICTE2,"TEMPLATE for air-plane, ICRC logo, single use, 2x2m",124.5,22.5,24,67.23,3.7,
AIDESTICTE3,"TEMPLATE for air-plane, ICRC logo, single use, 3x3m",1.22,23.5,22,0.6307,7,
AIDESTICTE4,"TEMPLATE for air-plane, Red Crescent logo, single use, 1x1m",0,0,0,0,0,
AIDESTICTE5,"TEMPLATE for air-plane, Red Crescent logo, single use, 2x2m",0,0,0,0,0,
AIDESTICTE6,"TEMPLATE for air-plane, Red Crescent logo, single use, 3x3m",0,0,0,0,0,
AIDESTICTE7,"TEMPLATE for air-plane, Red Cross logo, single use, 1x1m",0,0,0,0,0,
AIDESTICTE8,"TEMPLATE for air-plane, Red Cross logo, single use, 2x2m",0,0,0,0,0,
AIDESTICTE9,"TEMPLATE for air-plane, Red Cross logo, single use, 3x3m",0,0,0,0,0,
AIDETABACR,"TABARD/BIB, Red Crescent 40x40cm",51,3,40.5,6.1965,0.072,
AIDETABAICRC,"TABARD/BIB, ICRC logo 40x40cm",48,3,36,5.184,0.06,
AIDETABAIFRC,"TABARD/BIB, IFRC logo, 40x40cm",0,0,0,0,0,
AIDETABARED,"TABARD/BIB, Red Cross, 40x40cm",22,1.5,22,0.726,0.08,
AIDETSHIFEM,"T-SHIRT, IFRC, English, M",0,0,0,0,0,
AIDETSHIFEXL,"T-SHIRT, IFRC, English, XL",0,0,0,0,0,
AIDETSHIFFXL,"T-SHIRT, IFRC, French, XL",0,0,0,0,0,
AIDETSHIIFEL,"T-SHIRT, IFRC, English, L",0,0,0,0,0,
AIDETSHINSL,"T-SHIRT, National Society, L",0,0,0,0,0,
AIDETSHINSXL,"T-SHIRT, National Society, XL",0,0,0,0,0,
AMISCMULTIBOX,SUPPLEMENTARY PARCEL - for item packed in > 1 parcel,0,0,0,0,0,
AMISMISC,"MISCELLANEOUS, group Administration",0,0,0,0,0,
AOFECALC10,"CALCULATOR, for desck, 10 digits",0,0,0,0,0,
AOFECALC12DT,"CALCULATOR, small desk top type, on batteries",0,0,0,0,0,
AOFECALC12IN,"INK ROLLER, spare for printing calculator 12 numbers",0,0,0,0,0,
AOFECALC12PA,"CALCULATOR, PAPER ROLL for calculator with printer",0,0,0,0,0,
AOFECALC12PR,"CALCULATOR, 12 numbers, with memory and printer",0,0,0,0,0,
AOFECALCADAPT,"CALCULATOR, ADAPTOR for calculator 12 numbers",0,0,0,0,0,
AOFECALCPOSO,"CALCULATOR, Pocket size solar power, TI-106",0,0,0,0,0,
AOFECOPYC22D,(copier Canon IR2200/2800/3300) DRUM,0,0,0,0,0,
AOFECOPYC22T,(copier Canon IR2200/2800/3300) TONER,0,0,0,0,0,
AOFECOPYC24T,(copier Canon FC 224) TONER,0,0,0,0,0,
AOFECOPYC40D,(copier Canon GP 405) DRUM,0,0,0,0,0,
AOFECOPYC40T,(copier Canon GP 405) TONER,0,0,0,0,0,
AOFECOPYC412,COPIER Xerox Work Center Pro 412,0,0,0,0,0,
AOFECOPYC50T,"(copier Canon IR5000/6000) TONER, 30.000 copies",0,0,0,0,0,
AOFECOPYC53T,(copier Canon NP 6317) TONER,0,0,0,0,0,
AOFECOPYC60D,"(copier Canon IR5000/6000) DRUM, 3Mio copies",0,0,0,0,0,
AOFECOPYC61D,(copier Canon NP 6016) DRUM 150c/day,0,0,0,0,0,
AOFECOPYC61T,(copier Canon NP 6016) TONER NPG-9,0,0,0,0,0,
AOFECOPYC62D,(copier Canon NP 6028) DRUM 500c/day,0,0,0,0,0,
AOFECOPYC62T,(copier Canon NP 6028) TONER,0,0,0,0,0,
AOFECOPYC63D,(copier Canon NP 6035) DRUM 600c/day,0,0,0,0,0,
AOFECOPYC63T,(copier Canon NP 6035) TONER,0,0,0,0,0,
AOFECOPYC65D,(copier Canon NP 6050) DRUM 2250c/day,0,0,0,0,0,
AOFECOPYC65T,(copier Canon NP 6050) TONER,0,0,0,0,0,
AOFECOPYC66T,(copier Canon NP 6251) TONER,0,0,0,0,0,
AOFECOPYC68D,(copier Canon NP 6317) DRUM,0,0,0,0,0,
