Name,Organisation,Facility,Facility Type,Type,Catalog,Category,Item Name,Brand,Purchase Date,Building,Address,Postcode,Country,L1,L2,L3,Lat,Lon
1102,American Red Cross on Long Island,American Red Cross on Long Island,,ERV,Default,Vehicles,ERV,,2000,,195 Willis Ave,11501,US,New York,Monroe,Mineola,43.1306999996,-77.6070999987
1103,Connecticut,Connecticut,,ERV,Default,Vehicles,ERV,,2000,,209 Farmington Ave,6032,US,Connecticut,Hartford,Farmington,41.7369000019,-72.791700002
1104,American Red Cross of Southern Maine,American Red Cross of Southern Maine,,ERV,Default,Vehicles,ERV,,2000,,2401 Congress St,4102,US,Maine,Cumberland,Portland,43.6506999992,-70.3372000007
1105,American Red Cross of Northern New Jersey,American Red Cross of Northern New Jersey,,ERV,Default,Vehicles,ERV,,2000,,209 Fairfield Road,7004,US,New Jersey,Hillsborough,Fairfield,43.0034999999,-71.4364
1106,Southeastern Coastal Georgia,Southeastern Coastal Georgia,,ERV,Default,Vehicles,ERV,,2000,,207 Rose Drive,31520,US,Georgia,Glynn,Brunswick,31.1957999992,-81.4888999982
1108,Greater Erie County,Greater Erie County,,ERV,Default,Vehicles,ERV,,2002,,4961 Pittsburgh Ave,16509,US,Pennsylvania,Blair,Erie,40.4868,-78.3982999995
1109,Jefferson-Shelby,Jefferson-Shelby,,ERV,Default,Vehicles,ERV,,2000,,114 22nd St S,35233,US,Alabama,Jefferson,Birmingham,33.5129222411,-86.8010106015
1110,American Red Cross of Central Georgia,American Red Cross of Central Georgia,,ERV,Default,Vehicles,ERV,,2001,,195 Holt Ave,31201,US,Georgia,Bibb,Macon,32.8409000003,-83.6508999991
1112,Southern Tier,Southern Tier,,ERV,Default,Vehicles,ERV,,2001,,620 E Main St.,13760,US,New York,Niagara,Endicott,43.0982999986,-78.9503999989
1113,American Red Cross of North Central Alabama,American Red Cross of North Central Alabama,,ERV,Default,Vehicles,ERV,,2001,,1101 Washington St NW,35801,US,Alabama,Madison,Huntsville,34.7443999984,-86.5888999996
1114,North Central Florida,North Central Florida,,ERV,Default,Vehicles,ERV,,2001,,1425 NW 6th Street,32601,US,Florida,Alachua,Gainesville,29.6651000009,-82.3308000009
1116,Cincinnati Area,Cincinnati Area,,ERV,Default,Vehicles,ERV,,2001,,2111 Dana Ave,45207,US,Ohio,Hamilton,Cincinnati,39.1456468443,-84.4606103486
1117,Wayne County NC,Wayne County NC,,ERV,Default,Vehicles,ERV,,2001,,600 N George Street,27530,US,North Carolina,Wayne,Goldsboro,35.3656999989,-78.0788000005
1118,American Red Cross of Northeastern New York,American Red Cross of Northeastern New York,,ERV,Default,Vehicles,ERV,,2001,,33 Everett Rd.,12205,US,New York,Broome,Albany,42.1391000001,-76.0793000008
1119,Southern Alleghenies,Altoona Office,,ERV,Default,Vehicles,ERV,,2001,,415 Orchard Avenue,16601,US,Pennsylvania,Blair,Altoona,40.4689878742,-78.4048266265
1120,Central West Virginia,Central West Virginia,,ERV,Default,Vehicles,ERV,,2001,,113 Lakeview Drive,25313,US,West Virginia,Wood,Charleston,39.2362999991,-81.5747999994
1121,West Central Pennsylvania,West Central Pennsylvania,,ERV,Default,Vehicles,ERV,,2002,,133 Friendship Circle,15009,US,Pennsylvania,Allegheny,Beaver,40.4545999991,-79.9833000003
1122,American Red Cross of Greater Columbus,American Red Cross of Greater Columbus,,ERV,Default,Vehicles,ERV,,2002,,995 E Broad Street,43205,US,Ohio,Montgomery,Columbus,39.7564999984,-84.2063999997
1123,Southeastern Virginia,Southeastern Virginia,,ERV,Default,Vehicles,ERV,,2002,,611 W Brambleton Avenue,23510,US,Virginia,Norfolk,Norfolk,36.8509000019,-76.2888000015
1124,Asheville-Mountain Area,Asheville-Mountain Area,,ERV,Default,Vehicles,ERV,,2002,,100 Edgewood Road,28804,US,North Carolina,Buncombe,Asheville,35.6477999982,-82.5634000003
1125,Metropolitan Atlanta,Metropolitan Atlanta,,ERV,Default,Vehicles,ERV,,2002,,1955 Monroe Drive NE,30324,US,Georgia,Fulton,Atlanta,33.8079000006,-84.3753999993
1126,Northeast Florida,Northeast Florida,,ERV,Default,Vehicles,ERV,,2002,,751 Riverside Avenue,32208,US,Florida,Duval,Jacksonville,30.315900002,-81.6759000011
1127,American Red Cross of Northwest Florida,American Red Cross of Northwest Florida,,ERV,Default,Vehicles,ERV,,2002,,222 North Baylen Street,32502,US,Florida,Escambia,Penascola,30.4154999999,-87.2173999999
1128,South Mississippi,Hattiesburg Office,,ERV,Default,Vehicles,ERV,,2001,,2020 Hardy Street,39401,US,Mississippi,Forrest,Hattiesburg,31.3246999,-89.3218576
1129,Mid Florida Region,American Red Cross of Central Florida,,ERV,Default,Vehicles,ERV,,2002,,5 N Bumby Avenue,32803,US,Florida,Orange,Orlando,28.5428000018,-81.3515000012
1130,American Red Cross of Central New Jersey,American Red Cross of Central New Jersey,,ERV,Default,Vehicles,ERV,,2003,Suite 101,707 Alexander Road,8540,US,New Jersey,Essex,Princeton,40.8817999998,-74.3046
1131,Dayton Area,Dayton Area,,ERV,Default,Vehicles,ERV,,2003,,370 W 1st Street,45402,US,Ohio,Summit,Dayton,41.1050999986,-81.5373999999
1132,Highlands,Highlands,,ERV,Default,Vehicles,ERV,,2003,,807 Carol St,28303,US,North Carolina,Cumberland,Fayetteville,35.0958000013,-78.9719000011
1133,Mid Florida Region,Florida's Coast to Coast,,ERV,Default,Vehicles,ERV,,2003,,341 White Street,32114,US,Florida,Volusia,Daytona Beach,29.2063284327,-81.0484401366
1135,American Red Cross in the National Capital Region,Fairfax County,,ERV,Default,Vehicles,ERV,,2003,,8550 Arlington Boulevard,22031,US,Virginia,Fairfax,Fairfax,38.8599999995,-77.2593999992
1136,American Red Cross in the National Capital Region,Fairfax County,,ERV,Default,Vehicles,ERV,,2003,,8550 Arlington Boulevard,22031,US,Virginia,Fairfax,Fairfax,38.8599999995,-77.2593999992
1137,American Red Cross in the National Capital Region,Fairfax County,,ERV,Default,Vehicles,ERV,,2003,,8550 Arlington Boulevard,22031,US,Virginia,Fairfax,Fairfax,38.8599999995,-77.2593999992
1138,Connecticut,Waterford,,ERV,Default,Vehicles,ERV,,2003,,200 Boston Post Road PO Box 640,6385,US,Connecticut,New London,Waterford,41.3447000013,-72.1354999989
1139,Mid-Ohio Valley,Mid-Ohio Valley,,ERV,Default,Vehicles,ERV,,2003,,220 8th Street 2nd Floor,26101,US,West Virginia,Kanawha,Parkersburg,38.4250999988,-81.7608000004
1141,American Red Cross of Eastern Massachusetts Region,American Red Cross of Massachusetts Bay,,ERV,Default,Vehicles,ERV,,2003,,139 Main Street,2148,US,Massachusetts,Middlesex,Cambridge,42.4200000017,-71.0661000012
1142,Southwestern Pennsylvania,Southwestern Pennsylvania,,ERV,Default,Vehicles,ERV,,2003,,225 Boulevard of the Allies,15222,US,Pennsylvania,Allegheny,Pittsburgh,41.4070999996,-75.6411000005
1143,Southeastern Pennsylvania,Southeastern Pennsylvania,,ERV,Default,Vehicles,ERV,,2004,,2221 Chestnut Street,19103,US,Pennsylvania,Philadelphia,Philadelphia,39.9526596444,-75.1778336782
1144,American Red Cross of Summit and Portage Counties,American Red Cross of Summit and Portage Counties,,ERV,Default,Vehicles,ERV,,2004,,501 W Market Street,44303,US,Ohio,Stark,Akron,40.7611000013,-81.3493999988
1145,Alabama Gulf Coast,Alabama Gulf Coast,,ERV,Default,Vehicles,ERV,,2004,,35 N Sage Ave,36607,US,Alabama,Mobile,Mobile,30.6913000009,-88.1145999986
1146,Tampa Bay,Tampa Bay,,ERV,Default,Vehicles,ERV,,2004,,3310 W Main Street,33607,US,Florida,Hillsborough,Tampa,27.9569000006,-82.4985000008
1147,Chesapeake Region,Central Maryland,,ERV,Default,Vehicles,ERV,,2004,,4800 Mount Hope Drive,21740,US,Maryland,Washington,Baltimore,39.6317999996,-77.7360999995
1148,Stark County,Stark County,,ERV,Default,Vehicles,ERV,,2004,,408 9th Street SW,44707,US,Ohio,Stark,Canton,40.7922593003,-81.37987824
1149,Central Virginia,Central Virginia,,ERV,Default,Vehicles,ERV,,2004,,1105 Rose Hill Drive,22903,US,Virginia,Albemarle,Charlottesville,38.0106999986,-78.6002000014
1150,Central West Virginia,Central West Virginia,,ERV,Default,Vehicles,ERV,,2004,,113 Lakeview Drive,25313,US,West Virginia,Monongalia,Charleston,39.6493999992,-79.9532999996
1151,American Red Cross of Eastern Massachusetts Region,American Red Cross of Massachusetts Bay,,ERV,Default,Vehicles,ERV,,2004,,139 Main Street,2148,US,Massachusetts,Middlesex,Cambridge,42.4200000017,-71.0661000012
1152,Greater Rochester,Greater Rochester,,ERV,Default,Vehicles,ERV,,2004,,50 Prince Street,14620,US,New York,Westchester,Rochester,41.0562999993,-73.7776000013
1153,Connecticut,New Haven,,ERV,Default,Vehicles,ERV,,2004,,703 Whitney Avenue,6511,US,Connecticut,New Haven,New Haven,41.3295000007,-72.9140000009
1155,American Red Cross in the National Capital Region,Prince William County,,ERV,Default,Vehicles,ERV,,2005,,9934 Liberia Avenue,20110,US,Virginia,Fairfax,Manassas,38.8599999995,-77.2593999992
1156,American Red Cross of Southwestern New York,Dunkirk,,ERV,Default,Vehicles,ERV,,2005,,212 Lakeshore Drive West,14048,US,New York,Chautauqua,Dunkirk,42.4855011,-79.3483847
1157,American Red Cross in the National Capital Region,Fairfax County,,ERV,Default,Vehicles,ERV,,2005,,8550 Arlington Boulevard,22031,US,Virginia,Fairfax,Fairfax,38.8599999995,-77.2593999992
1159,Northeast Mississippi,Columbus Office,,ERV,Default,Vehicles,ERV,,2005,,501 7th St N,39703,US,Mississippi,Lowndes,Columbus,33.6332999993,-88.4503999986
1160,American Red Cross of Upstate SC,American Red Cross of Upstate SC,,ERV,Default,Vehicles,ERV,,2005,,940 Grove Road  PO Box 9035,29604,US,South Carolina,Florence,Greenville,34.2061999996,-79.826499999
1161,Carolina Lowcountry,Carolina Lowcountry,,ERV,Default,Vehicles,ERV,,2005,,8085 Rivers Avenue Ste F,29406,US,South Carolina,York,North Charleston,34.9686999993,-81.0852999989
1162,American Red Cross of Lackawanna County,American Red Cross of Lackawanna County,,ERV,Default,Vehicles,ERV,,2005,,545 Jefferson Avenue,18510,US,Pennsylvania,Lackawanna,Scranton,41.2131000012,-75.7765000018
1163,Chesapeake Region,Central Maryland,,ERV,Default,Vehicles,ERV,,2005,,4800 Mount Hope Drive,21740,US,Maryland,Washington,Baltimore,39.6317999996,-77.7360999995
1164,Rhode Island,Rhode Island,,ERV,Default,Vehicles,ERV,,2005,,105 Gano Street,2905,US,Rhode Island,Union,Providence,40.965500001,-76.9289000001
1165,Central North Carolina,Central North Carolina,,ERV,Default,Vehicles,ERV,,2005,Unit 3,4737 University Drive,27707,US,North Carolina,Durham,Durham,35.9554000013,-78.9549000006
1166,River Valley,River Valley,,ERV,Default,Vehicles,ERV,,2005,Suite 300,1299 Pineview Drive,26505,US,West Virginia,Monongalia,Morgantown,39.6616468376,-79.9530966633
1167,Mid-Ohio Valley,Mid-Ohio Valley,,ERV,Default,Vehicles,ERV,,2005,,220 8th Street 2nd Floor,26101,US,West Virginia,Laramie,Parkersburg,41.162900001,-104.785399999
1168,Triangle Area,Triangle Area,,ERV,Default,Vehicles,ERV,,2005,,100 N Peartree Lane,27610,US,North Carolina,Johnston,Raleigh,35.5179999991,-78.3546000008
1169,New Hampshire Region,Manchester,,ERV,Default,Vehicles,ERV,,2006,,425 Reservoir Avenue,3104,US,New Hampshire,Hillsborough,Manchester,42.9978277,-71.4366116
1170,American Red Cross in Greater New York,American Red Cross in Greater New York,,ERV,Default,Vehicles,ERV,,2006,,520 W 49th Street,10019,US,New York,New York,New York,36.0769999993,-115.167199999
1171,Mid Florida Region,Florida's Coast to Coast,,ERV,Default,Vehicles,ERV,,2006,,341 White Street,32114,US,Florida,Volusia,Daytona Beach,29.2063284327,-81.0484401366
1172,Central Panhandle,Central Panhandle,,ERV,Default,Vehicles,ERV,,2006,,430 E 15th Street,32405,US,Florida,Bay,Panama City,30.1750000009,-85.6543000004
1173,Capital Area,Capital Area,,ERV,Default,Vehicles,ERV,,2006,,1115 Easterwood Drive,32311,US,Florida,Leon,Tallahassee,30.4420000016,-84.2186000016
1174,Martin County,Martin County,,ERV,Default,Vehicles,ERV,,2006,,2750 S Kanner Highway,34994,US,Florida,Martin,Stuart,27.1713999992,-80.2525999997
1175,Broward County,Broward County,,ERV,Default,Vehicles,ERV,,2006,Suite 111,6710 W Sunrise Blvd,33313,US,Florida,Broward,Plantation,26.1382,-80.2388000003
1176,Southwest Florida,Southwest Florida,,ERV,Default,Vehicles,ERV,,2006,,2001 Cantu Court,34232,US,Florida,Sarasota,Sarasota,27.3183999995,-82.4493999999
1177,Mississippi Capital River,Vicksburg Office,,ERV,Default,Vehicles,ERV,,2006,,916 Belmont St,39180,US,Mississippi,Warren,Vicksburg,32.3422603,-90.8816943
1178,Greater Cleveland,Greater Cleveland,,ERV,Default,Vehicles,ERV,,2006,,3747 Euclid Ave,44115,US,Ohio,Licking,Cleveland,40.0597999989,-82.400699999
1179,American Red Cross in the National Capital Region,Alexandria,,ERV,Default,Vehicles,ERV,,2006,,123 North Alfred Street,22314,US,Virginia,Fairfax,Alexandria,38.8599999995,-77.2593999992
1180,Mid Florida Region,American Red Cross of Central Florida,,ERV,Default,Vehicles,ERV,,2006,,5 N Bumby Ave,32803,US,Florida,Orange,Orlando,28.5428000018,-81.3515000012
1181,American Red Cross of the Mahoning Valley,American Red Cross of the Mahoning Valley,,ERV,Default,Vehicles,ERV,,2006,,661 Mahoning Avenue,44483,US,Ohio,Chautauqua,Warren,42.0822999999,-79.260000002
1182,Northwest Mississippi,Oxford Office,,ERV,Default,Vehicles,ERV,,2006,Suite 105,2706 West Oxford Loop Suite 105,38655,US,Mississippi,Lafayette,Oxford,34.3326000012,-89.4519999996
1183,Northeast Mississippi,Northeast Mississippi,,ERV,Default,Vehicles,ERV,,2006,,4127 Westside Drive,38801,US,Mississippi,Lee,Tupelo,34.2507000004,-88.7738000001
1184,Broward County,Broward County,,ERV,Default,Vehicles,ERV,,2006,Suite 111,6710 W Sunrise Blvd,33313,US,Florida,Broward,Plantation,26.1382,-80.2388000003
1185,East Alabama,East Alabama,,ERV,Default,Vehicles,ERV,,2006,,206 26th Street,36801,US,Alabama,Lee,Opelika,32.634,-85.4153999982
1186,Etowah-Cherokee,Etowah-Cherokee,,ERV,Default,Vehicles,ERV,,2006,,405 S 1st Street,35901,US,Alabama,Etowah,Gadsden,34.0071000006,-86.0025999991
1187,West Alabama,West Alabama,,ERV,Default,Vehicles,ERV,,2006,,325 Skyland Blvd E,35405,US,Alabama,Tuscaloosa,E Tuscaloosa,33.1673000007,-87.5329000022
1188,American Red Cross of Northwest Alabama,American Red Cross of Northwest Alabama,,ERV,Default,Vehicles,ERV,,2006,,318 S Court Street  PO Box 218,35631,US,Alabama,Lauderdale,Florence,34.7982000001,-87.6746000018
1189,North Treasure Coast,North Treasure Coast,,ERV,Default,Vehicles,ERV,,2006,,2506 17th Avenue,32960,US,Florida,Indian River,Vero Beach,27.6444999982,-80.4022999999
1190,Collier County,Collier County,,ERV,Default,Vehicles,ERV,,2006,,2610 Northbrooke Plaza Drive,34119,US,Florida,Collier,Naples,26.2747999986,-81.7410999984
1191,South Mississippi,Pascagoula Office,,ERV,Default,Vehicles,ERV,,2006,,1096 Jackson Ave,39567,US,Mississippi,Jackson,Pascagoula,30.3656000009,-88.5533000003
1192,Northeast Georgia,Northeast Georgia,,ERV,Default,Vehicles,ERV,,2006,Suite 230,675 White Sulphur Road,30503,US,Georgia,Hall,Gainesville,34.3213000002,-83.793900002
1193,South Georgia,Moultrie Office,,ERV,Default,Vehicles,ERV,,2006,,105 Sunset Circle,31768,US,Georgia,Colquitt,Moultrie,31.1889000012,-83.8438000011
1194,Rappahannock Area,Rappahannock Area,,ERV,Default,Vehicles,ERV,,2006,,4836 South Point Parkway,22407,US,Virginia,Spotsylvania,Fredericksburg,38.2886000017,-77.5837000013
1195,American Red Cross of Southeast Tennessee,American Red Cross of Southeast Tennessee,,ERV,Default,Vehicles,ERV,,2006,,801 McCallie Ave,30704,US,Tennessee,Hamilton,Chattanooga,35.0437843236,-85.2957467155
1196,Cape Fear,Cape Fear,,ERV,Default,Vehicles,ERV,,2006,,1102 S 16th Street,28401,US,North Carolina,New Hanover,Wilmington,34.2403,-77.9398999993
1197,Greater Albemarle Area,Greater Albemarle Area,,ERV,Default,Vehicles,ERV,,2006,,1409B Parkview Drive,27909,US,North Carolina,Pasquotank,Elizabeth City,36.2886999998,-76.2707999982
1198,Pee Dee,Pee Dee,,ERV,Default,Vehicles,ERV,,2006,,1601A W Lucas Street,29501,US,South Carolina,Charleston,Florence,32.8944999989,-80.0172999986
1199,Aiken Area,Aiken Area,,ERV,Default,Vehicles,ERV,,2006,,1314 Pine Log Road,29803,US,South Carolina,Richland,Aiken,34.0062000004,-81.0377000013
1200,SUN Area,SUN Area,,ERV,Default,Vehicles,ERV,,2006,,249 Farley Circle,17837,US,Pennsylvania,Dauphin,Lewisburg,40.2694000003,-76.8969999997
1201,American Red Cross Serving Erie and Niagara Counties,Niagara Office,,ERV,Default,Vehicles,ERV,,2006,,1522 Main Street,14305,US,New York,Niagara,Niagara Falls,43.103361,-79.052723
1202,American Red Cross of Central New York,American Red Cross of Central New York,,ERV,Default,Vehicles,ERV,,2006,,220 Herald Place,13202,US,New York,New York,Syracuse,40.7672999986,-73.990400001
1203,Pine Tree,Pine Tree,,ERV,Default,Vehicles,ERV,,2006,,73 Hammond Street,4401,US,Maine,Penobscot,Bangor,44.801600002,-68.7721000019
1204,South Mississippi,Biloxi Office,,ERV,Default,Vehicles,ERV,,2007,,2782 Fernwood Road,39531,US,Mississippi,Harrison,Biloxi,30.3988000004,-88.9994000008
1205,Coastal South Carolina,Coastal South Carolina,,ERV,Default,Vehicles,ERV,,2007,,3531 Pampas Drive,29577,US,South Carolina,Horry,Myrtle Beach,33.6614574951,-78.938712228
1206,Frederick E Turnage,Frederick E Turnage,,ERV,Default,Vehicles,ERV,,2007,,326 South Franklin Street,27804,US,North Carolina,Nash,Rocky Mount,35.9878999999,-77.8491000008
1207,Southside Area,Southside Area,,ERV,Default,Vehicles,ERV,,2007,,110 N Main St,23860,US,Virginia,Hopewell,Hopewell,37.3020303863,-77.2872298992
1208,Augusta,Augusta,,ERV,Default,Vehicles,ERV,,2007,,1322 Ellis Street,30901,US,Georgia,Richmond,Augusta,33.4778999987,-81.9765999985
1209,Mid Florida Region,Space Coast,,ERV,Default,Vehicles,ERV,,2007,,1700 Cedar Street,32955,US,Florida,Brevard,Rockledge,28.3284999988,-80.7373999993
1210,Coastal Carolina,Coastal Carolina,,ERV,Default,Vehicles,ERV,,2007,,233 Middle Street,28560,US,North Carolina,Craven,New Bern,35.1056205993,-77.0402079715
1211,Wyoming Valley,Wyoming Valley,,ERV,Default,Vehicles,ERV,,2007,,256 N Sherman Street,18702,US,Pennsylvania,Philadelphia,Wilkes-barre,39.9530000019,-75.1744000019
1212,Pine Tree,Pine Tree,,ERV,Default,Vehicles,ERV,,2007,,73 Hammond Street,4401,US,Maine,Penobscot,Bangor,44.801600002,-68.7721000019
1213,American Red Cross Greater Palm Beach Area,American Red Cross Greater Palm Beach Area,,ERV,Default,Vehicles,ERV,,2007,,825 Fern St,33401,US,Florida,Palm Beach,West Palm Beach,26.7107999992,-80.0601999981
1214,Mississippi Capital River,Vicksburg Office,,ERV,Default,Vehicles,ERV,,2007,,916 Belmont St,39180,US,Mississippi,Warren,Vicksburg,32.3422603,-90.8816943
1215,Mountain Empire,Mountain Empire,,ERV,Default,Vehicles,ERV,,2007,,14298 Lee Highway,24202,US,Virginia,Washington,Bristol,36.6649999992,-82.2067000009
1217,Roanoke Valley,Roanoke Valley,,ERV,Default,Vehicles,ERV,,2008,,352 Church Avenue SW,24016,US,Virginia,Roanoke,Roanoke,37.2728999999,-79.9532999996
1218,Piedmont Carolina,Piedmont Carolina,,ERV,Default,Vehicles,ERV,,2008,,131 E Main Street,29306,US,South Carolina,Spartanburg,Spartanburg,34.949463,-81.930428
1219,Greensboro,Greensboro,,ERV,Default,Vehicles,ERV,,2008,,1501 Yanceyville St PO Box 14710,27415,US,North Carolina,Guilford,Greensboro,36.0960999991,-79.7789000014
1220,Licking County,Licking County,,ERV,Default,Vehicles,ERV,,2008,,196 S 5th Street PO Box 4337,43058,US,Ohio,Trumbull,Newark,41.3088000006,-80.843800001
1221,Catawba Valley,Catawba Valley,,ERV,Default,Vehicles,ERV,,2008,,1375 Lenoir Rhyne Blvd Suite 119,28602,US,North Carolina,Catawba,Hickory,35.7113999987,-81.3121999984
1222,Upper Palmetto,Upper Palmetto,,ERV,Default,Vehicles,ERV,,2008,,200 Piedmont Boulevard,29732,US,South Carolina,Aiken,Rock Hill,33.4576999994,-81.6972999983
1223,Triangle Area,Triangle Area,,ERV,Default,Vehicles,ERV,,2008,,100 N Peartree Lane,27610,US,North Carolina,Wake,Raleigh,35.7448000012,-78.5465999987
1225,Southeast Georgia,Southeast Georgia,,ERV,Default,Vehicles,ERV,,2008,PO Box 9987,41 Park of Commerce Way  PO Box 9987,31412,US,Georgia,Chatham,Savannah,32.0659999996,-81.1651999988
1226,East Central Mississippi,East Central Mississippi,,ERV,Default,Vehicles,ERV,,2008,,1820 23rd Ave,39301,US,Mississippi,Lauderdale,Meridian,32.3757000009,-88.7012999991
1227,Vermont and New Hampshire Upper Valley Region,Green Mountain,,ERV,Default,Vehicles,ERV,,2008,,81 High Street,5301,US,Vermont,Windham,Brattleboro,42.8536829,-72.561552
1228,South Mississippi,Hattiesburg Office,,ERV,Default,Vehicles,ERV,,2009,,2020 Hardy Street,39401,US,Mississippi,Forrest,Hattiesburg,31.3246999,-89.3218576
1229,American Red Cross of Central Alabama,American Red Cross of Central Alabama,,ERV,Default,Vehicles,ERV,,1996,,5015 Woods Crossing,36106,US,Alabama,Montgomery,Montgomery,32.3524000009,-86.2604999993
2075,Chisholm Trail,Chisholm Trail,,ERV,Default,Vehicles,ERV,,1994,,1515 S Sylvania Avenue,76111,US,Texas,Grayson,Ft. Worth,33.7685999984,-96.6039000005
2091,Cornhusker,Cornhusker,,ERV,Default,Vehicles,ERV,,1996,,220 Oakcreek Drive PO Box 8367,68501,US,Nebraska,Cass,Lincoln,46.856400002,-96.8227000015
2093,Southeastern Oklahoma,Southeastern Oklahoma,,ERV,Default,Vehicles,ERV,,1996,,503 E Chickasaw Ave,74501,US,Oklahoma,Pittsburg,Mcalester,34.929528259,-95.7636710493
2094,Tulsa Area,Tulsa Area,,ERV,Default,Vehicles,ERV,,1996,,10151 E 11th Street,74128,US,Oklahoma,Pittsburg,Tulsa,34.9547000009,-95.9567999986
2095,Tulsa Area,Tulsa Area,,ERV,Default,Vehicles,ERV,,1996,,10151 E 11th Street,74128,US,Oklahoma,Tulsa,Tulsa,36.1468999983,-95.8511999998
2097,American Red Cross in Northwestern New Mexico,American Red Cross in Northwestern New Mexico,,ERV,Default,Vehicles,ERV,,1999,,2100 Cortland Drive,87401,US,New Mexico,Mercer,Farmington,40.3458999992,-74.7212000003
2098,Abilene Area,Abilene Area,,ERV,Default,Vehicles,ERV,,1999,,1610 N 2nd St,79601,US,Texas,Tarrant,Abilene,32.7793000003,-97.3060000015
2099,South Texas,South Texas,,ERV,Default,Vehicles,ERV,,1999,,6914 W Expressway 83 PO Box 2202,78552,US,Texas,Taylor,Harlingen,32.4756999982,-99.6750000007
2100,American Red Cross Heart of Missouri,American Red Cross Heart of Missouri,,ERV,Default,Vehicles,ERV,,1999,,431 E McCarty Street,65109,US,Missouri,Cole,Jefferson City,38.5747000015,-92.2501999993
2101,Louisville Area,Louisville Area,,ERV,Default,Vehicles,ERV,,1999,,510 E Chestnut Street PO Box 1675,40201,US,Kentucky,Jefferson,Louisville,38.2476000002,-85.7450000012
2103,Heart of Texas Area,Heart of Texas Area,,ERV,Default,Vehicles,ERV,,1999,,4224 Cobbs Drive,76710,US,Texas,Cameron,Waco,26.2071999982,-97.6986000017
2104,Louisiana Capital Area,Louisiana Capital Area,,ERV,Default,Vehicles,ERV,,1999,,4655 Sherwood Common Blvd,70816,US,Louisiana,East Baton Rouge,Baton Rouge,30.4063000011,-91.0573999995
2106,Northwest Arkansas,Northwest Arkansas,,ERV,Default,Vehicles,ERV,,2000,,1709 S Greenwood Avenue,72901,US,Arkansas,Sebastian,Fort Smith,35.3669000007,-94.4039000009
2108,Black Hills Area,Black Hills Area,,ERV,Default,Vehicles,ERV,,2000,,1221 N Maple Avenue,57701,US,South Dakota,Greenville,Rapid City,34.8284999986,-82.4004999999
2109,San Antonio Area,New Braunfels Branch Office,,ERV,Default,Vehicles,ERV,,2000,,3734 Landa St,78130,US,Texas,McLennan,New Braunfels,31.5408999995,-97.1964999992
