Organisation,Branch,Name,Type,Address,Postcode,Country,L1,L2,L3,Lat,Lon
Indianapolis Region,Saint Joseph County,Saint Joseph County,Chapter HQ,3220 E Jefferson Blvd,46615,US,Indiana,Saint Joseph,South Bend,41.6728783145,-86.2024435148
Indianapolis Region,Tippecanoe County,Tippecanoe County,Chapter HQ,615 N 18th Street,47904,US,Indiana,Tippecanoe,Lafayette,40.4231541947,-86.8772269041
Kentuckiana Region,American Red Cross of Lakeland Area,American Red Cross of Lakeland Area,Chapter HQ,88 Bill Wood Lane,42025,US,Kentucky,Marshall,Benton,,
Kentuckiana Region,American Red Cross of South Central Kentucky,American Red Cross of South Central Kentucky,Chapter HQ,1647 Scottsville Road,42104,US,Kentucky,Warren,Bowling Green,36.9707515732,-86.4345534374
Kentuckiana Region,Barren County,Barren County,Chapter HQ,123 E Washington St,42141-2627,US,Kentucky,Barren,Glasgow,36.9950195853,-85.912097979
Kentuckiana Region,Calloway County,Calloway County,Chapter HQ,607 Poplar Street,42071,US,Kentucky,Calloway,Murray,36.6086268344,-88.3045312106
Kentuckiana Region,Clark County,Clark County,Chapter HQ,1805 E 8th St,47130,US,Indiana,Clark,Jeffersonville,38.2925804992,-85.7171346069
Kentuckiana Region,Franklin County,Franklin County,Chapter HQ,318 Washington Street,40601-1824,US,Kentucky,Franklin,Frankfort,38.1994130897,-84.8792518414
Kentuckiana Region,Graves County,Graves County,Chapter HQ,120 N 9th Street,42066,US,Kentucky,Graves,Mayfield,36.7418530399,-88.6385415473
Kentuckiana Region,Jefferson County IN,Jefferson County IN,Chapter HQ,404 E Main Street,47250,US,Indiana,Jefferson,Madison,38.7362295872,-85.3756467118
Kentuckiana Region,Louisville Area,Louisville Area,Chapter HQ,510 E Chestnut Street,40202,US,Kentucky,Jefferson,Louisville,38.2475084112,-85.7449575962
Kentuckiana Region,Louisville Area,Bullitt & Spencer Counties,Service Center,200 Saltwell Court,40165,US,Kentucky,Bullitt,Shepherdsville,37.9958129,-85.7247146
Kentuckiana Region,Mid-West Kentucky,Mid-West Kentucky,Chapter HQ,111 S Main Street,42431,US,Kentucky,Hopkins,Madisonville,37.3266753,-87.4991368
Kentuckiana Region,Nelson County,Nelson County,Chapter HQ,321 S 3rd Street,40004,US,Kentucky,Nelson,Bardstown,37.8048558067,-85.4681180259
Kentuckiana Region,Paducah Area,Paducah Area,Chapter HQ,232 N 8th St,42001,US,Kentucky,McCracken,Paducah,37.0860870976,-88.603842568
Northeast Ohio Region,American Red Cross of Summit and Portage Counties,American Red Cross of Summit and Portage Counties,Chapter HQ,501 W Market St,44303,US,Ohio,Summit,Akron,41.0924712028,-81.533696237
Northeast Ohio Region,American Red Cross of the Mahoning Valley,American Red Cross of the Mahoning Valley,Chapter HQ,661 Mahoning Avenue NW,44483,US,Ohio,Trumbull,Warren,41.2413456637,-80.8246775518
Northeast Ohio Region,Ashtabula County,Ashtabula County,Chapter HQ,433 Center St,44004,US,Ohio,Ashtabula,Ashtabula,41.8650186198,-80.7862905302
Northeast Ohio Region,Firelands,Firelands,Chapter HQ,300 Central Ave,44870,US,Ohio,Erie,Sandusky,41.4538687738,-82.7122740832
Northeast Ohio Region,Greater Cleveland,Greater Cleveland,Chapter HQ,3747 Euclid Ave,44115,US,Ohio,Cuyahoga,Cleveland,41.5033310609,-81.6608926237
Northeast Ohio Region,Holmes County,Holmes County,Chapter HQ,10 S Clay St,44654-0070,US,Ohio,Holmes,Millersburg,40.5540098723,-81.9174048625
Northeast Ohio Region,Jefferson County OH,Jefferson County OH,Chapter HQ,81 Talbott Drive,43953,US,Ohio,Jefferson,Wintersville,40.3770878658,-80.7189945963
Northeast Ohio Region,Lorain County,Lorain County,Chapter HQ,2929 West River Rd N,44035,US,Ohio,Lorain,Elyria,41.4148477484,-82.1133643764
Northeast Ohio Region,Medina County,Medina County,Chapter HQ,780 E Smith Rd,44256,US,Ohio,Medina,Medina,41.1352194809,-81.8491213117
Northeast Ohio Region,Muskingum Lakes,Muskingum Lakes,Chapter HQ,1451 4th St NW,44663-1215,US,Ohio,Tuscarawas,New Philadelphia,40.5097367639,-81.4515906261
Northeast Ohio Region,Richland County,Richland County,Chapter HQ,39 N Park Street,44902,US,Ohio,Richland,Mansfield,40.7590736179,-82.5149251173
Northeast Ohio Region,Stark County,Stark County,Chapter HQ,408 9th Street SW,44707,US,Ohio,Stark,Canton,40.7922593003,-81.37987824
Northeast Ohio Region,Wayne County Ohio,Wayne County Ohio,Chapter HQ,244 W South Street,44691,US,Ohio,Wayne,Wooster,40.7965642811,-81.941928947
Northwest Ohio Region,American Red Cross of Northwest Ohio,American Red Cross of Northwest Ohio,Chapter HQ,3100 W Central Ave,43606,US,Ohio,Lucas,Toledo,41.6774674371,-83.6187422298
Northwest Ohio Region,Hancock County,Hancock County,Chapter HQ,125 Fair St,45840,US,Ohio,Hancock,Findlay,41.0447149699,-83.6509763829
Northwest Ohio Region,West Central Ohio,West Central Ohio,Chapter HQ,610 S Collett Street,45805-3211,US,Ohio,Allen,Lima,40.7333102297,-84.1191846843
Southeast Michigan Region,Monroe County,Monroe County,Chapter HQ,1645 N Dixie Hwy,48162,US,Michigan,Monroe,Monroe,41.9289593573,-83.3502209234
Southeast Michigan Region,Saint Clair County,Saint Clair County,Chapter HQ,615 Pine St,48060,US,Michigan,Saint Clair,Port Huron,42.9737102025,-82.4263071526
Southeast Michigan Region,Southeastern Michigan,Southeastern Michigan,Chapter HQ,100 Mack Avenue,48201,US,Michigan,Wayne,Detroit,42.3477660731,-83.056879984
Southeast Michigan Region,Washtenaw-Lenawee,Washtenaw-Lenawee,Chapter HQ,4624 Packard Road,48108,US,Michigan,Washtenaw,Ann Arbor,42.2450066857,-83.6682499842
West Michigan Region,American Red Cross of Greater Grand Rapids,American Red Cross of Greater Grand Rapids,Chapter HQ,1050 Fuller Ave NE,49503,US,Michigan,Kent,Grand Rapids,42.9817654301,-85.6398048919
West Michigan Region,American Red Cross of Greater Kalamazoo Area,American Red Cross of Greater Kalamazoo Area,Chapter HQ,5640 Venture Court,49009,US,Michigan,Kalamazoo,Kalamazoo,42.2695085437,-85.6613163342
West Michigan Region,American Red Cross of Northwest Michigan,American Red Cross of Northwest Michigan,Chapter HQ,735 S Garfield Ave,49686,US,Michigan,Grand Traverse,Traverse City,44.7543790407,-85.5952314137
West Michigan Region,Berrien County,Berrien County,Chapter HQ,3838 Niles Road,49085,US,Michigan,Berrien,St. Joseph,42.0490868392,-86.445933582
West Michigan Region,Muskegon-Oceana,Muskegon-Oceana,Chapter HQ,313 W Webster Avenue,49440,US,Michigan,Muskegon,Muskegon,43.2337812943,-86.2513350032
West Michigan Region,Ottawa County,Ottawa County,Chapter HQ,270 James St,49424-1826,US,Michigan,Ottawa,Holland,42.8120793342,-86.1204919981
West Virginia Region,Central West Virginia,Central West Virginia,Chapter HQ,113 Lakeview Drive,25313,US,West Virginia,Kanawha,Charleston,38.4122687254,-81.801523842
West Virginia Region,Eastern Panhandle,Eastern Panhandle,Chapter HQ,1948 Wiltsshire Road,25430,US,West Virginia,Jefferson,Kearneysville,39.3517415521,-77.8774575892
West Virginia Region,Fayette-Nicholas,Fayette-Nicholas,Chapter HQ,208 Main Street E,25901,US,West Virginia,Fayette,Oak Hill,37.9740655746,-81.1449924019
West Virginia Region,Greenbrier Valley,Greenbrier Valley,Chapter HQ,Coleman Drive & Potomac Crossway,24901,US,West Virginia,Greenbrier,Lewisburg,37.8122722676,-80.420836125
West Virginia Region,Mid-Ohio Valley,Mid-Ohio Valley,Chapter HQ,220 8th Street 2nd Floor,26101,US,West Virginia,Wood,Parkersburg,39.2678859615,-81.5577729192
West Virginia Region,North Central West Virginia,North Central West Virginia,Chapter HQ,718 W Pike Street,26301,US,West Virginia,Harrison,Clarksburg,39.2821468994,-80.3476447454
West Virginia Region,River Valley,River Valley,Chapter HQ,1299 Pineview Drive,26505,US,West Virginia,Monongalia,Morgantown,39.6616468376,-79.9530966633
American Red Cross in the National Capital Region,,Fairfax County,Regional HQ,8550 Arlington Blvd,22031,US,Virginia,Fairfax,Fairfax,38.8656149516,-77.2380675103
American Red Cross in the National Capital Region,,Alexandria,Branch,123 North Alfred Street,22314,US,Virginia,Fairfax,Alexandria,38.8599999995,-77.2593999992
American Red Cross in the National Capital Region,,Prince William County,Branch,9934 Liberia Avenue,20110,US,Virginia,Fairfax,Manassas,38.8599999995,-77.2593999992
Carolina Piedmont Region,Burke County,Burke County,Chapter HQ,305A West Union Street,28655,US,North Carolina,Burke,Morganton,35.7418624664,-81.690495782
Carolina Piedmont Region,Cabarrus County,Cabarrus County,Chapter HQ,167 Union Street South,28025,US,North Carolina,Cabarrus,Concord,35.4067243791,-80.5769231478
Carolina Piedmont Region,Catawba Valley,Catawba Valley,Chapter HQ,1375 Lenoir Rhyne Blvd,28602,US,North Carolina,Catawba,Hickory,35.710860737,-81.3119408973
Carolina Piedmont Region,Cleveland County,Cleveland County,Chapter HQ,1333 Fallston Road,28150,US,North Carolina,Cleveland,Shelby,35.3203475163,-81.5170534794
Carolina Piedmont Region,Elizabeth Hanford Dole,Elizabeth Hanford Dole,Chapter HQ,1930 Jake Alexander Blvd W,28147,US,North Carolina,Rowan,Salisbury,35.6913944023,-80.5118149538
Carolina Piedmont Region,Gaston County,Gaston County,Chapter HQ,190 South Oakland Street,28052,US,North Carolina,Gaston,Gastonia,35.2623923525,-81.179981404
Carolina Piedmont Region,Greater Carolinas,Greater Carolinas,Chapter HQ,2425 Park Road,28203,US,North Carolina,Mecklenburg,Charlotte,35.1979530017,-80.8517367072
Carolina Piedmont Region,Lincoln County,Lincoln County,Chapter HQ,527 North Aspen Street,28092,US,North Carolina,Lincoln,Lincolnton,35.4761948627,-81.258971733
Carolina Piedmont Region,Stanly County,Stanly County,Chapter HQ,243 West Main Street,28001,US,North Carolina,Stanly,Albemarle,35.3503204181,-80.2001900923
Carolina Piedmont Region,Union County NC,Union County NC,Chapter HQ,608 E Franklin Street,28112,US,North Carolina,Union,Monroe,34.9792356394,-80.538603357
Central PA Region,American Red Cross of the Cumberland Valley,American Red Cross of the Cumberland Valley,Chapter HQ,79 E Pomfret St,17013,US,Pennsylvania,Cumberland,Carlisle,40.1997914392,-77.1873683968
Central PA Region,American Red Cross of the Susquehanna Valley,American Red Cross of the Susquehanna Valley,Chapter HQ,1804 N 6th Street,17102,US,Pennsylvania,Dauphin,Harrisburg,40.2772061357,-76.8887818944
Central PA Region,American Red Cross of the Susquehanna Valley,Lancaster County Office,Branch,430 West Orange Street,17603,US,Pennsylvania,Erie,Lancaster,40.038399,-76.314035
Central PA Region,Centre Communities,Centre Communities,Chapter HQ,205 E Beaver Ave,16801,US,Pennsylvania,Centre,State College,40.7944388121,-77.8590833396
Central PA Region,Greater Hanover,Greater Hanover,Chapter HQ,529 Carlisle Street,17331,US,Pennsylvania,York,Hanover,39.8075582529,-76.9893238787
Central PA Region,Northcentral Pennsylvania,Northcentral Pennsylvania,Chapter HQ,320 E Third Street,17701,US,Pennsylvania,Lycoming,Williamsport,41.2432041985,-76.9967232011
Central PA Region,SUN Area,SUN Area,Chapter HQ,249 Farley Circle,17837,US,Pennsylvania,Union,Lewisburg,40.9622404169,-76.909794283
Central PA Region,Southern Alleghenies,Altoona Office,Chapter HQ,415 Orchard Avenue,16601,US,Pennsylvania,Blair,Altoona,40.4689878742,-78.4048266265
Central PA Region,York Chapter of the American Red Cross,York Chapter of the American Red Cross,Chapter HQ,724 S George St,17401,US,Pennsylvania,York,York,39.9532450521,-76.7231671492
Chesapeake Region,American Red Cross of Southern Maryland,American Red Cross of Southern Maryland,Chapter HQ,9255 W and W Industrial Rd,20646,US,Maryland,Charles,La Plata,38.5527074092,-76.9899351859
Chesapeake Region,Central Maryland,Central Maryland,Chapter HQ,4800 Mount Hope Drive,21215,US,Maryland,Baltimore,Baltimore,39.3451617026,-76.7099356595
Chesapeake Region,Frederick County,Frederick County,Chapter HQ,2 E Frederick St,21793,US,Maryland,Frederick,Walkersville,39.4826239652,-77.3486859645
Chesapeake Region,Washington County,Washington County,Chapter HQ,1131 Conrad Court,21740-5935,US,Maryland,Washington,Hagerstown,39.633614956,-77.6974904472
Chesapeake Region,Western Potomac,Western Potomac,Chapter HQ,400 Cumberland St,21502,US,Maryland,Allegany,Cumberland,39.653707226,-78.771338604
Delmarva Region,American Red Cross of the Delmarva Peninsula,American Red Cross of the Delmarva Peninsula,Chapter HQ,100 West 10th Street,19801,US,Delaware,New Castle,Wilmington,39.7457613943,-75.5484218035
Delmarva Region,Lower Shore,Lower Shore,Chapter HQ,1505 Emerson Ave,21801,US,Maryland,Wicomico,Salisbury,38.3839847865,-75.5887003986
Eastern NC Region,Cape Fear,Cape Fear,Chapter HQ,1102 S 16th Street,28401,US,North Carolina,New Hanover,Wilmington,34.2230438835,-77.9273322451
Eastern NC Region,Coastal Carolina,Coastal Carolina,Chapter HQ,233 Middle Street,28560,US,North Carolina,Craven,New Bern,35.1056205993,-77.0402079715
Eastern NC Region,Frederick E Turnage,Frederick E Turnage,Chapter HQ,326 S Franklin Street,27804,US,North Carolina,Nash,Rocky Mount,35.9402066368,-77.7998333174
Eastern NC Region,Greater Albemarle Area,Greater Albemarle Area,Chapter HQ,1409B Parkview Drive,27909,US,North Carolina,Pasquotank,Elizabeth City Nc 27909,36.2847056583,-76.2072185333
Eastern NC Region,Greater Pamlico Area,Greater Pamlico Area,Chapter HQ,135 N Market Street,27889-4947,US,North Carolina,Beaufort,Washington,35.599959419,-77.0274636463
Eastern NC Region,Lenoir County,Lenoir County,Chapter HQ,1500 N Queen Street,28501,US,North Carolina,Lenoir,Kinston,35.2791977629,-77.580753104
Eastern NC Region,Onslow County,Onslow County,Chapter HQ,12 Ruth St,28540,US,North Carolina,Onslow,Jacksonville,34.7521228516,-77.4287937339
Eastern NC Region,Pitt County,Pitt County,Chapter HQ,312 E 10th Street,27858,US,North Carolina,Pitt,Greenville,35.6055867448,-77.3720904023
Eastern NC Region,Wayne County NC,Wayne County NC,Chapter HQ,600 N George Street,27530,US,North Carolina,Wayne,Goldsboro,35.3905525623,-77.9973479552
Eastern Virginia Region,Colonial Virginia,Colonial Virginia,Chapter HQ,1317 Jamestown Rd,23185-3364,US,Virginia,James City,Williamsburg,37.2517787747,-76.7340912353
Eastern Virginia Region,Gloucester County,Gloucester County,Chapter HQ,2823 George Washington Memorial Hwy,23072-3401,US,Virginia,Gloucester,Hayes,37.2850735382,-76.5066109206
Eastern Virginia Region,Greater Richmond,Greater Richmond,Chapter HQ,420 East Cary St,23219,US,Virginia,Richmond,Richmond,37.5399857185,-77.4413535165
Eastern Virginia Region,Halifax County,Halifax County,Chapter HQ,1030 Cowford Rd,24558,US,Virginia,Halifax,Halifax,36.7687895748,-78.9213598175
Eastern Virginia Region,Hampton Roads,Hampton Roads,Chapter HQ,1323 W Pembroke Ave,23661,US,Virginia,Hampton,Hampton,37.0210919709,-76.3725034566
Eastern Virginia Region,Northumberland County,Northumberland County,Chapter HQ,59 Monument Place,22473,US,Virginia,Northumberland,Heathsville,37.916762405,-76.4726351193
Eastern Virginia Region,Rappahannock Area,Rappahannock Area,Chapter HQ,4836 Southpoint Parkway,22407,US,Virginia,Spotsylvania,Fredericksburg,38.2320307882,-77.5001276301
Eastern Virginia Region,River Counties,River Counties,Chapter HQ,39 Harris Road,22482,US,Virginia,Lancaster,Kilmarnock,37.7053686291,-76.3935398689
Eastern Virginia Region,Southeastern Virginia,Southeastern Virginia,Chapter HQ,611 W Brambleton Ave,23510,US,Virginia,Norfolk,Norfolk,36.8554092425,-76.3004940166
Eastern Virginia Region,Southside Area,Southside Area,Chapter HQ,110 N Main St,23860,US,Virginia,Hopewell,Hopewell,37.3020303863,-77.2872298992
Eastern Virginia Region,Suffolk,Suffolk,Chapter HQ,157 N Main St,23434,US,Virginia,Suffolk,Suffolk,36.7292931938,-76.5828424434
Eastern Virginia Region,York-Poquoson,York-Poquoson,Chapter HQ,6912 George Washington Memorial Hwy,23692-4806,US,Virginia,York,Yorktown,37.1766910833,-76.478003164
Heart of Carolina Region,Blue Ridge,Blue Ridge,Chapter HQ,331 Queen St,28607,US,North Carolina,Watauga,Boone,36.2208695689,-81.6859732586
Heart of Carolina Region,Greater High Point-Davidson,Greater High Point-Davidson,Chapter HQ,815 Phillips Avenue,27262,US,North Carolina,Guilford,High Point,35.9510292744,-80.027818817
Heart of Carolina Region,Greensboro,Greensboro,Chapter HQ,1501 Yanceyville Street,27405,US,North Carolina,Guilford,Greensboro,36.0929128477,-79.7801402774
Heart of Carolina Region,Northwest North Carolina,Northwest North Carolina,Chapter HQ,690 Coliseum Dr,27106,US,North Carolina,Forsyth,Winston-Salem,36.1238895743,-80.2624852371
Heart of Carolina Region,Rockingham County,Rockingham County,Chapter HQ,3692 NC Hwy 14,27320,US,North Carolina,Rockingham,Reidsville,36.4332928698,-79.7027185435
Heart of Carolina Region,Surry County,Surry County,Chapter HQ,844 Westlake Drive,27030-0844,US,North Carolina,Surry,Mount Airy,36.5279468883,-80.6300857859
Northeast PA Region,American Red Cross of Lackawanna County,American Red Cross of Lackawanna County,Chapter HQ,545 Jefferson Ave,18510,US,Pennsylvania,Lackawanna,Scranton,41.4105200688,-75.6567765886
Northeast PA Region,American Red Cross of the Greater Lehigh Valley,American Red Cross of the Greater Lehigh Valley,Chapter HQ,2200 Avenue A,18017,US,Pennsylvania,Lehigh,Bethlehem,40.6500888437,-75.42371785
Northeast PA Region,American Red Cross of the Poconos,American Red Cross of the Poconos,Chapter HQ,410 Park Avenue,18360,US,Pennsylvania,Monroe,Stroudsburg,41.0102536375,-75.235587647
Northeast PA Region,Berks County,Berks County,Chapter HQ,701 Centre Avenue,19601,US,Pennsylvania,Berks,Reading,40.3461680826,-75.9300186649
