Inject,Series,Title,Body,Country,L1,L2,L3,Lat ,Lon,Comments,Organisation,Author,Date,Attachment,Events,Expired,MH Notes,
5,Report,Red Cross Report,"Storm has passed, receiving reports of damage in Van Wert",US,Ohio,Lucas,Toledo,41.67746744,-83.61874223,,American Red Cross of Northwest Ohio,,2014-07-14  18:15:00,,,,Hancock deliberately missing - what happened to them?,
5,Report,Red Cross Report,Mobilizing response teams to survey damage ,US,Indiana,Allen,Fort Wayne,41.11853107,-85.12372756,,American Red Cross of Northeast Indiana,,2014-07-14  18:30:00,,,,,
5,Report,Red Cross Report,Assessment team travelling along 224,US,Ohio,Allen,Lima,40.73331023,-84.11918468,,West Central Ohio,,2014-07-14  18:45:00,,,,,
5,Report,County Report,Tornado Warning Lifted. Reports of major damage across Putnam and Hancock counties,,,,,,,,Ohio Emergency Management Agency,,2014-07-14  19:00:00,,,,,
5,Report,County Report,Tornado Warning Lifted.,,,,,,,,Indiana Department of Homeland Security ,,2014-07-14  19:15:00,,,,,
5,Tweet,,Huddled in basement with my parents #Scared #HoldMeClose #Tornado,US,Ohio,,"41.021585 N, 84.298467 W",41.021585,84.298467,,,@OhioKid01,2014-07-14  19:30:00,,,,,Cloverdale A
5,Tweet,,#SchoolsOutFovever #Tornado,US,Ohio,,"41.055293 N, 84.303717 W",41.055293,84.303717,,,@BobSmith008,2014-07-14  19:45:00,http://127.0.0.1:8000/eden/static/prepop/schoolsoutforever.jpg,,,,Cloverdale B
5,Tweet,,House Destroyed #Tornado,US,Ohio,,"41.027327 N, 84.248099 W",41.027327,84.248099,,,@HTWEGun,2014-07-14  19:46:00,,,,,Cloverdale C
5,Tweet,,Entire field destroyed #Tornado,US,Ohio,,"41.012821 N, 84.276252 W",41.012821,84.276252,,,@GetCorny,2014-07-14  19:50:00,,,,,Clovedale D
5,Tweet,,Complete Destruction #Tornado #WeWillRebuild,US,Ohio,,"41.028363 N, 84.086051 W",41.028363,84.086051,,,@FredParsons,2014-07-14  19:55:00,http://127.0.0.1:8000/eden/static/prepop/destruction.jpg,,,,Mid 1
5,Tweet,,No #windows No #power No #water #Tornado,US,Ohio,,"41.019557 N, 84.037299 W",41.019557,84.037299,,,@LindaSmith,2014-07-14  19:56:00,,,,,Mid 2
5,Tweet,,#Tornado just missed us #Lucky,US,Ohio,,"40.908079 N, 84.292044 W",40.908079,84.292044,,,@r8r8r8r8,2014-07-14  20:00:00,,,,,Out of way (10k)
5,Tweet,,#Tornado S of Cloverdale #Ohio. I watched it for over 10 mins ,US,Ohio,,"40.921051 N, 84.057898 W",40.921051,84.057898,,,@SunnyDay,2014-07-14  20:03:00,http://127.0.0.1:8000/eden/static/prepop/tornado.jpg,,,,Out of way (10k) 2
5,Tweet,,"Barn gone, Roof ripped in half #LuckyToBeAlive #Tornado",US,Ohio,,"41.019038 N, 83.922629 W",41.019038,83.922629,,,@KeepTruckin,2014-07-14  20:08:00,,,,,mid
5,Tweet,,"Broken Windows, nieghbors house crushed by tree #tornado",US,Ohio,,"41.005567 N, 83.792853 W",41.005567,83.792853,,,@TractorTerry,2014-07-14  20:13:00,http://127.0.0.1:8000/eden/static/prepop/house_tree.jpg,,,,Mid Way
