Organisation,Type,Facility,Name
Ministry of Health,Ambulance,Sultangazi 3,Sultangazi 3
Ministry of Health,Ambulance,Sultangazi 4/5,Sultangazi 4
Ministry of Health,Ambulance,Sultangazi 4/5,Sultangazi 5
Ministry of Health,Ambulance,Şişli 1,Şişli 1
Ministry of Health,Ambulance,Şişli 2,Şişli 2
Ministry of Health,Ambulance,Şişli 3,Şişli 3
Ministry of Health,Ambulance,Şişli 4,Şişli 4
Ministry of Health,Ambulance,Z.burnu 1/4,Z.burnu 1
Ministry of Health,Ambulance,Z.burnu 1/4,Z.burnu 4
Ministry of Health,Ambulance,Z.Burnu 2/3,Z.Burnu 2
Ministry of Health,Ambulance,Z.Burnu 2/3,Z.Burnu 3
Ministry of Health,Ambulance,Fatih 9,Fatih 9
Ministry of Health,Ambulance,Fatih 3 / 13,Fatih 3
Ministry of Health,Ambulance,Fatih 3 / 13,Fatih 13
Ministry of Health,Ambulance,Fatih 7,Fatih 7
Ministry of Health,Ambulance,Fatih 8 / 12,Fatih 8
Ministry of Health,Ambulance,Fatih 8 / 12,Fatih 12
Ministry of Health,Ambulance,Fatih 4,Fatih 4
Ministry of Health,Ambulance,Arnavutköy 1,Arnavutköy 1
Ministry of Health,Ambulance,Arnavutköy 2,Arnavutköy 2
Ministry of Health,Ambulance,Avcılar 1,Avcılar 1
Ministry of Health,Ambulance,Avcılar 2 - 3,Avcılar 2
Ministry of Health,Ambulance,Avcılar 2 - 3,Avcılar 3
Ministry of Health,Ambulance,Bağcılar 1,Bağcılar 1
Ministry of Health,Ambulance,Bağcılar 2,Bağcılar 2
Ministry of Health,Ambulance,Bağcılar 3,Bağcılar 3
Ministry of Health,Ambulance,Bağcılar 4,Bağcılar 4
Ministry of Health,Ambulance,Bağcılar 5,Bağcılar 5
Ministry of Health,Ambulance,Bağcılar 6,Bağcılar 6
Ministry of Health,Ambulance,Bağcılar 7,Bağcılar 7
Ministry of Health,Ambulance,Bağcılar 8,Bağcılar 8
Ministry of Health,Ambulance,B.Evler 1/3,B.Evler 1
Ministry of Health,Ambulance,B.Evler 1/3,B.Evler 3
Ministry of Health,Ambulance,B.Evler 2/6,B.Evler 2
Ministry of Health,Ambulance,B.Evler 2/6,B.Evler 6
Ministry of Health,Ambulance,B.Evler 4/5,B.Evler 4
Ministry of Health,Ambulance,B.Evler 4/5,B.Evler 5
Ministry of Health,Ambulance,Bakırköy 2,Bakırköy 2
Ministry of Health,Ambulance,Bakırköy 3/5,Bakırköy 3
Ministry of Health,Ambulance,Bakırköy 3/5,Bakırköy 5
Ministry of Health,Ambulance,Bakırköy 4,Bakırköy 4
Ministry of Health,Ambulance,Bakırköy 6,Bakırköy 6
Ministry of Health,Ambulance,Başakşehir 1,Başakşehir 1
Ministry of Health,Ambulance,Başakşehir 2,Başakşehir 2
Ministry of Health,Ambulance,Başakşehir 3,Başakşehir 3
Ministry of Health,Ambulance,Beylikdüzü 1,Beylikdüzü 1
Ministry of Health,Ambulance,Beylikdüzü 2,Beylikdüzü 2
Ministry of Health,Ambulance,Beylikdüzü 3,Beylikdüzü 3
Ministry of Health,Ambulance,B.Çekmece 1,B.Çekmece 1
Ministry of Health,Ambulance,B.Çekmece 2,B.Çekmece 2
Ministry of Health,Ambulance,Çatalca 1,Çatalca 1
Ministry of Health,Ambulance,Çatalca 2,Çatalca 2
Ministry of Health,Ambulance,Esenler 1/5,Esenler 1
Ministry of Health,Ambulance,Esenler 1/5,Esenler 5
Ministry of Health,Ambulance,Esenler 2/3,Esenler 2
Ministry of Health,Ambulance,Esenler 2/3,Esenler 3
Ministry of Health,Ambulance,Esenler 4,Esenler 4
Ministry of Health,Ambulance,Esenyurt 1,Esenyurt 1
Ministry of Health,Ambulance,Esenyurt 2,Esenyurt 2
Ministry of Health,Ambulance,Esenyurt 3,Esenyurt 3
Ministry of Health,Ambulance,Küçükçekmece 1,Küçükçekmece 1
Ministry of Health,Ambulance,K.Çekmece 2,K.Çekmece 2
Ministry of Health,Ambulance,K.Çekmece 3,K.Çekmece 3
Ministry of Health,Ambulance,K.Çekmece 4,K.Çekmece 4
Ministry of Health,Ambulance,K.Çekmece 5,K.Çekmece 5
Ministry of Health,Ambulance,K.Çekmece 6,K.Çekmece 6
Ministry of Health,Ambulance,Küçükçekmece 7,Küçükçekmece 7
Ministry of Health,Ambulance,Silivri 1,Silivri 1
Ministry of Health,Ambulance,Silivri 2,Silivri 2
Ministry of Health,Ambulance,Silivri 3,Silivri 3
Ministry of Health,Ambulance,Adalar 1,Adalar 1
Ministry of Health,Ambulance,Beykoz1,Beykoz1
Ministry of Health,Ambulance,Beykoz 2,Beykoz 2
Ministry of Health,Ambulance,Beykoz 3,Beykoz 3
Ministry of Health,Ambulance,Ataşehir 1,Ataşehir 1
Ministry of Health,Ambulance,Kadıköy 1,Kadıköy 1
Ministry of Health,Ambulance,Kadıköy 2,Kadıköy 2
Ministry of Health,Ambulance,Kadıköy 3,Kadıköy 3
Ministry of Health,Ambulance,Kadıköy 6,Kadıköy 6
Ministry of Health,Ambulance,Kadıköy 7,Kadıköy 7
Ministry of Health,Ambulance,Kadıköy 8,Kadıköy 8
Ministry of Health,Ambulance,Kadıköy 9,Kadıköy 9
Ministry of Health,Ambulance,Kartal 1,Kartal 1
Ministry of Health,Ambulance,Kartal 2,Kartal 2
Ministry of Health,Ambulance,Kartal 3,Kartal 3
Ministry of Health,Ambulance,Kartal 4,Kartal 4
Ministry of Health,Ambulance,Kartal 5,Kartal 5
Ministry of Health,Ambulance,Kartal 6,Kartal 6
Ministry of Health,Ambulance,Maltepe 1,Maltepe 1
Ministry of Health,Ambulance,Maltepe 2,Maltepe 2
Ministry of Health,Ambulance,Maltepe 3,Maltepe 3
Ministry of Health,Ambulance,Maltepe 4,Maltepe 4
Ministry of Health,Ambulance,Maltepe 5,Maltepe 5
Ministry of Health,Ambulance,Pendik 1,Pendik 1
Ministry of Health,Ambulance,Pendik 2,Pendik 2
Ministry of Health,Ambulance,Pendik 3,Pendik 3
Ministry of Health,Ambulance,Sultanbeyli 1,Sultanbeyli 1
Ministry of Health,Ambulance,Sultanbeyli 2,Sultanbeyli 2
Ministry of Health,Ambulance,Şile 1,Şile 1
Ministry of Health,Ambulance,Tuzla 1,Tuzla 1
Ministry of Health,Ambulance,Tuzla 2,Tuzla 2
Ministry of Health,Ambulance,Tuzla 3,Tuzla 3
Ministry of Health,Ambulance,Ümraniye 1,Ümraniye 1
Ministry of Health,Ambulance,Ümraniye 2,Ümraniye 2
Ministry of Health,Ambulance,Ümraniye 5,Ümraniye 5
Ministry of Health,Ambulance,Ümraniye 6,Ümraniye 6
Ministry of Health,Ambulance,Ümraniye 7,Ümraniye 7
Ministry of Health,Ambulance,Üsküdar 1,Üsküdar 1
Ministry of Health,Ambulance,Üsküdar 2,Üsküdar 2
Ministry of Health,Ambulance,Üsküdar 3,Üsküdar 3
Ministry of Health,Ambulance,Üsküdar 4,Üsküdar 4
Ministry of Health,Ambulance,Üsküdar 5,Üsküdar 5
Ministry of Health,Ambulance,Üsküdar,Üsküdar
Ministry of Health,Ambulance,Ümraniye 3,Ümraniye 3
