Organisation,Type,Name,Country,L1,L2,Lon,Lat
Ministry of Health,Ambulance Station,Şişli 2,TR,Istanbul,Şişli,28.974645,41.063097
Ministry of Health,Ambulance Station,Şişli 3,TR,Istanbul,Şişli,28.970562,41.059818
Ministry of Health,Ambulance Station,Şişli 4,TR,Istanbul,Şişli,29.011798,41.069235
Ministry of Health,Ambulance Station,Z.burnu 1/4,TR,Istanbul,Zeytinburnu,28.91585,41.00276
Ministry of Health,Ambulance Station,Z.Burnu 2/3,TR,Istanbul,Zeytinburnu,28.907074,41.020115
Ministry of Health,Ambulance Station,Fatih 9,TR,Istanbul,Fatih,28.971076,41.0118676
Ministry of Health,Ambulance Station,Fatih 3 / 13,TR,Istanbul,Fatih,28.9262295,41.013001
Ministry of Health,Ambulance Station,Fatih 7,TR,Istanbul,Fatih,28.9760113,41.0161744
Ministry of Health,Ambulance Station,Fatih 8 / 12,TR,Istanbul,Fatih,28.9321518,41.0164496
Ministry of Health,Ambulance Station,Fatih 4,TR,Istanbul,Fatih,28.9445543,41.0132277
Ministry of Health,Ambulance Station,Arnavutköy 1,TR,Istanbul,Arnavutköy,28.747492,41.177596
Ministry of Health,Ambulance Station,Arnavutköy 2,TR,Istanbul,Arnavutköy,28.624465,41.156192
Ministry of Health,Ambulance Station,Avcılar 1,TR,Istanbul,Avcılar,28.721698,40.979178
Ministry of Health,Ambulance Station,Avcılar 2 - 3,TR,Istanbul,Avcılar,28.722399,40.989491
Ministry of Health,Ambulance Station,Bağcılar 1,TR,Istanbul,Bağcılar,28.854264,41.035623
Ministry of Health,Ambulance Station,Bağcılar 2,TR,Istanbul,Bağcılar,28.817091,41.03946
Ministry of Health,Ambulance Station,Bağcılar 3,TR,Istanbul,Bağcılar,28.851528,41.067632
Ministry of Health,Ambulance Station,Bağcılar 4,TR,Istanbul,Bağcılar,28.857469,41.043066
Ministry of Health,Ambulance Station,Bağcılar 5,TR,Istanbul,Bağcılar,28.870516,41.030067
Ministry of Health,Ambulance Station,Bağcılar 6,TR,Istanbul,Bağcılar,28.840474,41.024516
Ministry of Health,Ambulance Station,Bağcılar 7,TR,Istanbul,Bağcılar,28.817246,41.06591
Ministry of Health,Ambulance Station,Bağcılar 8,TR,Istanbul,Bağcılar,28.859006,41.021713
Ministry of Health,Ambulance Station,B.Evler 1/3,TR,Istanbul,Bahcelievler,28.851484,40.999601
Ministry of Health,Ambulance Station,B.Evler 2/6,TR,Istanbul,Bahcelievler,28.820044,41.020242
Ministry of Health,Ambulance Station,B.Evler 4/5,TR,Istanbul,Bahcelievler,28.829495,40.993495
Ministry of Health,Ambulance Station,Bakırköy 2,TR,Istanbul,Bakırköy,28.842842,40.980382
Ministry of Health,Ambulance Station,Bakırköy 3/5,TR,Istanbul,Bakırköy,28.86266,40.98562
Ministry of Health,Ambulance Station,Bakırköy 4,TR,Istanbul,Bakırköy,28.881871,40.979644
Ministry of Health,Ambulance Station,Bakırköy 6,TR,Istanbul,Bakırköy,28.837654,40.974876
Ministry of Health,Ambulance Station,Başakşehir 1,TR,Istanbul,Başakşehir,28.678265,41.066319
Ministry of Health,Ambulance Station,Başakşehir 2,TR,Istanbul,Başakşehir,28.804285,41.101887
Ministry of Health,Ambulance Station,Başakşehir 3,TR,Istanbul,Başakşehir,28.755848,41.106634
Ministry of Health,Ambulance Station,Beylikdüzü 1,TR,Istanbul,Beylikdüzü,28.65169,40.995352
Ministry of Health,Ambulance Station,Beylikdüzü 2,TR,Istanbul,Beylikdüzü,28.629791,41.006401
Ministry of Health,Ambulance Station,Beylikdüzü 3,TR,Istanbul,Beylikdüzü,28.516066,41.085454
Ministry of Health,Ambulance Station,B.Çekmece 1,TR,Istanbul,Buyukcekmece,28.605054,41.012819
Ministry of Health,Ambulance Station,B.Çekmece 2,TR,Istanbul,Buyukcekmece,28.433732,41.048224
Ministry of Health,Ambulance Station,Çatalca 1,TR,Istanbul,Çatalca,28.46653,41.135445
Ministry of Health,Ambulance Station,Çatalca 2,TR,Istanbul,Çatalca,28.455535,41.224284
Ministry of Health,Ambulance Station,Esenler 1/5,TR,Istanbul,Esenler,28.862724,41.051073
Ministry of Health,Ambulance Station,Esenler 2/3,TR,Istanbul,Esenler,28.873561,41.075938
Ministry of Health,Ambulance Station,Esenler 4,TR,Istanbul,Esenler,28.879657,41.056431
Ministry of Health,Ambulance Station,Esenyurt 1,TR,Istanbul,Esenyurt,28.676693,41.039044
Ministry of Health,Ambulance Station,Esenyurt 2,TR,Istanbul,Esenyurt,28.632812,41.075785
Ministry of Health,Ambulance Station,Esenyurt 3,TR,Istanbul,Esenyurt,28.625734,41.053967
Ministry of Health,Ambulance Station,Küçükçekmece 1,TR,Istanbul,Küçükçekmece,28.712993,41.058823
Ministry of Health,Ambulance Station,K.Çekmece 2,TR,Istanbul,Küçükçekmece,28.7973,40.996283
Ministry of Health,Ambulance Station,K.Çekmece 3,TR,Istanbul,Küçükçekmece,28.79746,41.026521
Ministry of Health,Ambulance Station,K.Çekmece 4,TR,Istanbul,Küçükçekmece,28.771797,41.02578
Ministry of Health,Ambulance Station,K.Çekmece 5,TR,Istanbul,Küçükçekmece,28.778977,41.034147
Ministry of Health,Ambulance Station,K.Çekmece 6,TR,Istanbul,Küçükçekmece,28.801196,41.068
Ministry of Health,Ambulance Station,Küçükçekmece 7,TR,Istanbul,Küçükçekmece 7,28.760529,41.055482
Ministry of Health,Ambulance Station,Silivri 1,TR,Istanbul,Silivri,28.239248,41.078541
Ministry of Health,Ambulance Station,Silivri 2,TR,Istanbul,Silivri,28.15636,41.094055
Ministry of Health,Ambulance Station,Silivri 3,TR,Istanbul,Silivri,28.044655,41.046157
Ministry of Health,Ambulance Station,Adalar 1,TR,Istanbul,Adalar,29.128067,40.870014
Ministry of Health,Ambulance Station,Beykoz1,TR,Istanbul,Beykoz,29.097991,41.117621
Ministry of Health,Ambulance Station,Beykoz 2,TR,Istanbul,Beykoz,29.142063,41.081121
Ministry of Health,Ambulance Station,Beykoz 3,TR,Istanbul,Beykoz,29.066504,41.100013
Ministry of Health,Ambulance Station,Ataşehir 1,TR,Istanbul,Ataşehir,29.164367,40.983485
Ministry of Health,Ambulance Station,Kadıköy 1,TR,Istanbul,Kadıköy,29.035408,41.007151
Ministry of Health,Ambulance Station,Kadıköy 2,TR,Istanbul,Kadıköy,29.041959,40.968418
Ministry of Health,Ambulance Station,Kadıköy 3,TR,Istanbul,Kadıköy,29.075653,40.987718
Ministry of Health,Ambulance Station,Kadıköy 6,TR,Istanbul,Kadıköy,29.056673,40.986177
Ministry of Health,Ambulance Station,Kadıköy 7,TR,Istanbul,Kadıköy,29.057274,40.98593
Ministry of Health,Ambulance Station,Kadıköy 8,TR,Istanbul,Kadıköy,29.106129,40.970946
Ministry of Health,Ambulance Station,Kadıköy 9,TR,Istanbul,Kadıköy,29.106026,40.970868
Ministry of Health,Ambulance Station,Kartal 1,TR,Istanbul,Kartal,29.175905,40.916723
Ministry of Health,Ambulance Station,Kartal 2,TR,Istanbul,Kartal,29.176027,40.916664
Ministry of Health,Ambulance Station,Kartal 3,TR,Istanbul,Kartal,29.182218,40.8878
Ministry of Health,Ambulance Station,Kartal 4,TR,Istanbul,Kartal,29.227315,40.987089
Ministry of Health,Ambulance Station,Kartal 5,TR,Istanbul,Kartal,29.195484,40.89031
Ministry of Health,Ambulance Station,Kartal 6,TR,Istanbul,Kartal,29.214425,40.929475
Ministry of Health,Ambulance Station,Maltepe 1,TR,Istanbul,Maltepe,29.128938,40.949045
Ministry of Health,Ambulance Station,Maltepe 2,TR,Istanbul,Maltepe,29.153147,40.989853
Ministry of Health,Ambulance Station,Maltepe 3,TR,Istanbul,Maltepe,29.153945,40.91045
Ministry of Health,Ambulance Station,Maltepe 4,TR,Istanbul,Maltepe,29.146405,40.947728
Ministry of Health,Ambulance Station,Maltepe 5,TR,Istanbul,Maltepe,29.146505,40.947648
Ministry of Health,Ambulance Station,Pendik 1,TR,Istanbul,Pendik,29.253639,40.873836
Ministry of Health,Ambulance Station,Pendik 2,TR,Istanbul,Pendik,29.322152,40.928158
Ministry of Health,Ambulance Station,Pendik 3,TR,Istanbul,Pendik,29.298168,40.864263
Ministry of Health,Ambulance Station,Sultanbeyli 1,TR,Istanbul,Sultanbeyli,29.259386,40.970205
Ministry of Health,Ambulance Station,Sultanbeyli 2,TR,Istanbul,Sultanbeyli,29.268824,40.984133
Ministry of Health,Ambulance Station,Şile 1,TR,Istanbul,Şile,29.61187,41.178065
Ministry of Health,Ambulance Station,Tuzla 1,TR,Istanbul,Tuzla,29.308272,40.821116
Ministry of Health,Ambulance Station,Tuzla 2,TR,Istanbul,Tuzla,29.353869,40.823654
Ministry of Health,Ambulance Station,Tuzla 3,TR,Istanbul,Tuzla,29.375366,40.931282
Ministry of Health,Ambulance Station,Ümraniye 1,TR,Istanbul,Ümraniye,29.10307,41.029977
Ministry of Health,Ambulance Station,Ümraniye 2,TR,Istanbul,Ümraniye,29.213706,41.006819
Ministry of Health,Ambulance Station,Ümraniye 5,TR,Istanbul,Ümraniye,29.102811,41.030125
Ministry of Health,Ambulance Station,Ümraniye 6,TR,Istanbul,Ümraniye,29.154368,41.018483
Ministry of Health,Ambulance Station,Ümraniye 7,TR,Istanbul,Ümraniye,29.181516,41.033388
Ministry of Health,Ambulance Station,Üsküdar 1,TR,Istanbul,Üsküdar,29.062866,41.037347
Ministry of Health,Ambulance Station,Üsküdar 2,TR,Istanbul,Üsküdar,29.040805,41.03849
Ministry of Health,Ambulance Station,Üsküdar 3,TR,Istanbul,Üsküdar,29.023043,41.004566
Ministry of Health,Ambulance Station,Üsküdar 4,TR,Istanbul,Üsküdar,29.027214,41.015353
Ministry of Health,Ambulance Station,Üsküdar 5,TR,Istanbul,Üsküdar,29.073189,41.010934
Ministry of Health,Ambulance Station,Üsküdar,TR,Istanbul,Üsküdar,29.022427,41.005586
Ministry of Health,Ambulance Station,Ümraniye 3,TR,Istanbul,Ümraniye,29.177455,40.995508
