Organisation,Name,Country,L1,L2,Lon,Lat
Ministry of Health,Dr. Sadi Konuk Bakırköy Eğitim Ve Araştırma Hastanesi,TR,Istanbul,,28.865803,40.993899
Ministry of Health,Büyükçekmece Devlet Hastanesi,TR,Istanbul,,28.5987,41.0126
Ministry of Health,İstanbul Esenyurt Devlet Hastanesi,TR,Istanbul,,28.668194,41.029101
Ministry of Health,Acıbadem Hastanesi,TR,Istanbul,,28.656195,41.003392
Ministry of Health,Özel Avcılar Hospital,TR,Istanbul,,28.709313,40.994615
Ministry of Health,Acıbadem International Hospital,TR,Istanbul,,28.835203,40.959172
Ministry of Health,Beylikdüzü Kolan Hospital,TR,Istanbul,,28.629257,41.006345
Ministry of Health,Özel Kartal Hastanesi,TR,Istanbul,,29.1673012,40.900942
Ministry of Health,Sultanbeyli Devlet Hastanesi,TR,Istanbul,,29.266,40.9655
Ministry of Health,Özel Sultan Hospital,TR,Istanbul,,28.9521822,41.0148403
Ministry of Health,Central Hospital,TR,Istanbul,,29.100476,40.965942
Ministry of Health,Bayındır Hastanesi İçerenköy,TR,Istanbul,,29.110379,40.966904
Ministry of Health,Fatih Sultan Mehmet Eğitim Ve Araştırma Hastanesi,TR,Istanbul,,29.103041,40.970093
Ministry of Health,Prof. Dr. Cem Fıçıcıoğlu,TR,Istanbul,,29.103207,40.968981
Ministry of Health,Erenköy Ruh Ve Sinir Hastalıkları Hastanesi,TR,Istanbul,,29.089124,40.973714
Ministry of Health,Avicenna Hospital,TR,Istanbul,,29.108742,40.979231
Ministry of Health,Anadolu Sağlık Ataşehir Tıp Merkezi,TR,Istanbul,,29.097916,40.984385
Ministry of Health,Acıbadem Ataşehir Cerrahi Tıp Merkezi,TR,Istanbul,,29.105357,40.982116
Ministry of Health,Özel Echomar Göztepe Hastanesi,TR,Istanbul,,29.061973,40.987825
Ministry of Health,Özel Göztepe Şafak Hastanesi,TR,Istanbul,,29.064984,40.98263
Ministry of Health,Eyüp Devlet Hastanesi,TR,Istanbul,,28.941014,41.05713
Ministry of Health,Bağcılar Eğitim Ve Araştırma Hastanesi,TR,Istanbul,,28.870171,41.030342
Ministry of Health,Lütfiye Nuri Burat Devlet Hastanesi,TR,Istanbul,,28.867146,41.096275
Ministry of Health,Kağıthane Devlet Hastanesi,TR,Istanbul,,29.001454,41.092194
Ministry of Health,Paşabahçe Devlet Hastanesi,TR,Istanbul,,29.097924,41.117065
Ministry of Health,Bayrampaşa Devlet Hastanesi,TR,Istanbul,,28.902765,41.041542
Ministry of Health,Dr. Sadi Konuk Bakırköy Eğitim Ve Araştırma Hastanesi,TR,Istanbul,,28.865803,40.993899
Ministry of Health,Gaziosmanpaşa Taksim Eğitim Ve Araştırma Hastanesi,TR,Istanbul,,28.983689,41.032983
Ministry of Health,Pendik Devlet Hastanesi,TR,Istanbul,,29.229194,40.877077
