Lon,Lat,Name
28.6978219,41.0582956,"N 41° 03' 28""	E 28° 41' 51""",
28.9122222222,41.0191666667,"N 41° 01' 09""	E 28° 54' 44""",
28.8794444444,41.0022222222,"N 41° 00' 08""	E 28° 52' 46""",
28.8216666667,40.9947222222,"N 40° 59' 41""	E 28° 49'18""",
28.8091666667,41.0005555556,"N 41° 00' 02""	E 28° 48' 33""",
28.7905555556,40.9897222222,"N 40° 59' 23""	E 28° 47' 26""",
28.7833333333,40.9847222222,"N 40° 59' 05""	E 28° 47' 00""",
28.7705555556,40.9866666667,"N 40° 59' 12""	E 28° 46' 14""",
28.7661111111,40.9858333333,"N 40° 59' 09""	E 28° 45' 58""",
28.7316666667,40.9794444444,"N 40° 58' 46""	E 28° 43' 54""",
28.7019444444,40.9961111111,"N 40° 59' 46""	E 28° 42' 07""",
28.6997222222,40.9994444444,"N 40° 59' 58""	E 28° 41' 59""",
28.6788888889,41.0091666667,"N 41° 00' 33""	E 28° 40' 44""",
28.6583333333,41.0080555556,"N 41° 00' 29""	E 28° 39' 30""",
28.6397222222,41.0152777778,"N 41° 00' 55""	E 28° 38' 23""",
28.6244444444,41.0213888889,"N 41° 01' 17""	E 28° 37' 28""",
28.6047222222,41.0252777778,"N 41° 01' 31""	E 28° 36' 17""",
28.5755555556,41.0688888889,"N 41° 04'08""	E 28° 34' 32""",
28.5577777778,41.0155555556,"N 41° 00' 56""	E 28° 33' 28""",
28.5380555556,41.0119444444,"N 41° 00' 43""	E 28° 32' 17""",
28.8883333333,40.9858333333,"N 40° 59' 09""	E 28° 53' 18""",
28.9119444444,40.9938888889,"N 40° 59' 38""	E 28° 54' 43""",
28.9066666667,41.0027777778,"N 41° 00' 10""	E 28° 54' 24""",
28.9111111111,41.0061111111,"N 41° 00' 22""	E 28° 54' 40""",
29.0730555556,41.0019444444,"N 41° 00' 07""	E 29° 04' 23""",
29.0855555556,41.0019444444,"N 41° 00' 07""	E 29° 05' 08""",
29.0305555556,41.0138888889,"N 41° 00' 50""	E 29° 01' 50""",
29.0458333333,41.0388888889,"N 41° 02' 20""	E 29° 02' 45""",
29.1194444444,41.0772222222,"N 41° 04' 38""	E 29° 07' 10""",
29.2436111111,40.9730555556,"N 40° 58' 23""	E 29° 14' 37""",
29.2158333333,40.9919444444,"N 40° 59' 31""	E 29° 12' 57""",
29.105,41.0266666667,"N 41° 01' 36""	E 29° 06' 18""",
29.2194444444,40.9513888889,"N 40° 57' 05""	E 29° 13' 10""",
29.1658333333,41.0427777778,"N 41° 02' 34""	E 29° 09' 57""",
29.2505555556,41.0769444444,"N 41° 04' 37""	E 29° 15' 02""",
29.1147222222,41.0825,"N 41° 04' 57""	E 29° 06' 53""",
29.3341666667,40.8219444444,"N 40° 49' 19""	E 29° 20' 03""",
29.2188888889,40.8819444444,"N 40° 52' 55""	E 29° 13' 08""",
29.3597222222,40.9141666667,"N 40° 54' 51""	E 29° 21' 35""",
29.3530555556,40.8986111111,"N 40° 53' 55""	E 29° 21' 11""",
29.3541666667,40.8597222222,"N 40° 51' 35""	E 29° 21' 15""",
29.4183333333,40.9236111111,"N 40° 55' 25""	E 29° 25' 06""",
29.3038888889,40.8183333333,"N 40° 49' 06""	E 29° 18' 14""",
28.9988888889,41.0652777778,"N 41° 03' 55""	E 28° 59' 56""",
28.9783333333,41.0527777778,"N 41° 03' 10""	E 28° 58' 42""",
29.4697222222,41.1211111111,"N 41° 07' 16""	E 29° 28' 11""",
29.8094444444,41.0952777778,"N 41° 05' 43""	E 29° 48' 34""",
29.6841666667,41.1036111111,"N 41° 06' 13""	E 29° 41' 03""",
29.5691666667,41.1119444444,"N 41° 06' 43""	E 29° 34' 09""",
29.3780555556,41.0547222222,"N 41° 03' 17""	E 29° 22' 41""",
29.8572222222,41.1391666667,"N 41° 08' 21""	E 29° 51' 26""",
29.6133333333,41.1738888889,"N 41° 10' 26""	E 29° 36' 48""",
29.2691666667,40.965,"N 40° 57' 54""	E 29° 16' 09""",
28.455,41.0336111111,"N 41° 02' 01""	E 28° 27' 18""",
28.2483333333,41.0741666667,"N 41° 04' 27""	E 28° 14' 54""",
29.0516666667,41.1408333333,"N 41° 08' 27""	E 29° 03' 06""",
29.0302777778,41.1563888889,"N 41° 09' 23""	E 29° 01' 49""",
29.0502777778,41.1725,"N 41° 10' 21""	E 29° 03' 01""",
29.1088888889,41.2355555556,"N 41° 14' 08""	E 29° 06' 32""",
29.0283333333,41.1991666667,"N 41° 11' 57""	E 29° 01' 42""",
29.0372222222,41.2491666667,"N 41° 14' 57""	E 29° 02' 14""",
29.2463888889,40.8994444444,"N 40° 53' 58""	E 29° 14' 47""",
29.3188888889,40.9311111111,"N 40° 55' 52""	E 29° 19' 08""",
29.2247222222,40.8877777778,"N 40° 53' 16""	E 29° 13' 29""",
29.3107273,40.8985462,"N 40° 53' 55""	E 29° 18' 38""",SABİHA GÖKÇEN HAVA LİMANI
29.2783333333,40.9047222222,"N 40° 54' 17""	E 29° 16' 42""",
29.2738888889,40.8938888889,"N 40° 53' 38""	E 29° 16' 26""",
29.2977777778,40.9147222222,"N 40° 54' 53""	E 29° 17' 52""",
29.3538888889,40.9666666667,"N 40° 58' 00""	E 29° 21' 14""",
29.1527777778,40.9741666667,"N 40° 58' 27""	E 29°  09' 10""",
29.1447222222,40.9186111111,"N 40° 55' 07""	E 29° 08' 41""",
29.1141666667,40.9402777778,"N 40° 56' 25""	E 29° 06' 51""",
29.1311111111,40.9202777778,"N 40° 55'13""	E 29° 07' 52""",
28.7708333333,40.9875,"N 40° 59' 15""	E 28° 46' 15""",
28.7702777778,41.0325,"N 41° 01' 57""	E 28° 46' 13""",
28.7916666667,41.1,"N 41° 06' 00""	E 28° 47' 30""",
28.8044444444,41.0066666667,"N 41° 00' 24""	E 28° 48' 16""",
28.7927777778,40.9963888889,"N 40° 59' 47""	E 28° 47' 34""",
28.7983333333,41.0255555556,"N 41° 01' 32""	E 28° 47' 54""",
28.7486111111,41.0738888889,"N 41° 04' 26""	E 28° 44' 55""",
28.7997222222,41.0522222222,"N 41° 03' 08""	E 28° 47' 59""",
28.7155555556,41.1108333333,"N 41° 06' 39""	E 28° 42' 56""",
28.7486111111,40.9925,"N 40° 59' 33""	E 28° 44' 55""",
28.7783333333,41.0669444444,"N 41° 04' 01""	E 28° 46' 42""",
29.1825,40.9147222222,"N 40° 54' 53""	E 29° 10' 57""",
29.2188888889,40.9072222222,"N 40° 54' 26""	E 29° 13' 08""",
29.1922222222,40.9138888889,"N 40° 54' 50""	E 29° 11' 32""",
29.1908333333,40.8919444444,"N 40° 53' 31""	E 29° 11' 27""",
29.1538888889,40.9072222222,"N 40° 54' 26""	E 29° 09' 14""",
29.1591666667,40.9111111111,"N 40° 54' 40""	E 29° 09' 33""",
28.9875,41.0966666667,"N 41° 05' 48""	E 28° 59' 15""",
28.9497222222,41.0555555556,"N 41° 03' 20""	E 28° 56' 59""",
28.9588888889,41.065,"N 41° 03' 54""	E 28° 57' 32""",
28.9780555556,41.0833333333,"N 41° 05' 00""	E 28° 58' 41""",
28.9663888889,41.0966666667,"N 41° 05' 48""	E 28° 57' 59""",
28.9863888889,41.0916666667,"N 41° 05' 30""	E 28° 59' 11""",
28.9208333333,41.1041666667,"N 41° 06' 15""	E 28° 55' 15""",
28.9791666667,41.0825,"N 41° 04' 57""	E 28° 58' 45""",
29.0933333333,40.9844444444,"N 40° 59' 04""	E 29° 05' 36""",
29.0544444444,40.9794444444,"N 40° 58' 46""	E 29° 03' 16""",
28.7647222222,41.1991666667,"N 41° 11' 57""	E 28° 45' 53""",
28.7580555556,41.1822222222,"N 41° 10' 56""	E 28° 45' 29""",
28.7022222222,41.1791666667,"N 41° 10' 45""	E 28° 42' 08""",
28.8819444444,41.0197222222,"N 41° 01' 11""	E 28° 52' 55""",
28.8972222222,41.0152777778,"N 41° 00' 55"" E 28° 53' 50""",
29.0540805,41.0051708,Berk Sk No:7,
28.7125,40.9958333333,"N 40° 59' 45"" E 28° 42' 45""",
29.035,41.0061111111,"N 41° 00' 22""	E 29° 02' 06""",
29.0430555556,41.0077777778,"N 41° 00' 28""	E 29° 02' 35""",
29.1055555556,40.9725,"N 40° 58' 21""	E 29° 06' 20""",
29.1380555556,40.91,"N 40° 54' 36""	E 29° 08' 17""",
28.9897222222,41.0555555556,"N 41° 03' 20""	E 28° 59' 23""",
28.8358333333,40.9580555556,"N 40° 57' 29""	E 28° 50' 09""",
29.0552777778,40.9880555556,"N 40° 59' 17""	E 29° 03' 19""",
29.0666666667,40.9863888889,"N 40° 59' 11""	E 29° 04' 00""",
29.1902777778,40.9080555556,"N 40° 54' 29""	E 29° 11' 25""",
29.1761111111,40.9161111111,"N 40° 54' 58""	E 29° 10' 34""",
29.1155555556,41.0269444444,"N 41° 01' 37""	E 29° 06' 56""",
29.1027777778,41.0327777778,"N 41° 01' 58""	E 29° 06' 10""",
29.0380555556,41.0158333333,"N 41° 00' 57""	E 29° 02' 17""",ÜSKÜDAR DEVLET HASTANESİ HELİPAD ALANI
28.915,41.0027777778,"N 41° 00' 10""	E 28° 54' 54""",
28.9163888889,40.9977777778,"N 40° 59' 52""	E 28° 54' 59""",
28.9955555556,41.0533333333,"N 41° 03' 12""	E 28° 59' 44""",
28.9805555556,41.0652777778,"N 41° 03' 55""	E 28° 58' 50""",
28.8616666667,40.9886111111,"N 40° 59' 19""	E 28° 51' 42""",
28.8555555556,40.9877777778,"N 40° 59' 16""	E 28° 51' 20""",
29.0233333333,41.005,"N 41° 00' 18""	E 29° 01' 24""",
28.9372222222,41.0022222222,"N 41° 00' 08""	E 28° 56' 14""",
28.9372222222,41.0044444444,"N 41° 00' 16""	E 28° 56' 14""",
29.1261111111,40.8738888889,"N 40° 52' 26""	E 29° 07' 34""",
29.1322222222,40.8752777778,"N 40° 52' 31""	E 29° 07' 56""",
29.1016666667,40.8741666667,"N 40° 52' 27""	E 29° 06' 06""",
29.0572222222,40.8766666667,"N 40° 52' 36""	E 29° 03' 26""",
29.0536111111,40.9033333333,"N 40° 54' 12""	E 29° 03' 13""",
29.1019444444,40.8761111111,"N 40° 52' 34""	E 29° 06' 07""",
28.7,40.9938888889,"N 40° 59' 38""	E 28° 42' 00""",
28.7497222222,40.9777777778,"N 40° 58' 40""	E 28° 44' 59""",
28.7488888889,40.9808333333,"N 40° 58' 51""	E 28° 44' 56""",
28.72,40.9705555556,"N 40° 58' 14""	E 28° 43' 12""",
28.8452777778,41.0591666667,"N 41° 03' 33""	E 28° 50' 43""",
28.8547222222,40.9944444444,"N 40° 59' 40""	E 28° 51' 17""",
28.8830555556,40.9969444444,"N 40° 59' 49""	E 28° 52' 59""",
28.8419444444,40.9825,"N 40° 58' 57""	E 28° 50' 31""",
28.8761111111,40.9736111111,"N 40° 58' 25""	E 28° 52' 34""",
28.8016666667,40.9955555556,"N 40° 59' 44""	E 28° 48' 06""",
28.8694444444,40.9708333333,"N 40° 58' 15""	E 28° 52' 10""",
28.8733333333,40.9777777778,"N 40° 58' 40""	E 28° 52' 24""",
28.84,40.9594444444,"N 40° 57' 34""	E 28° 50' 24""",
28.9022222222,41.0891666667,"N 41° 05' 21""	E 28° 54' 08""",
28.8930555556,41.0794444444,"N 41° 04' 46""	E 28° 53' 35""",
28.8872222222,41.0638888889,"N 41° 03' 50""	E 28° 53' 14""",
28.9922222222,41.0411111111,"N 41° 02' 28""	E 28° 59' 32""",
28.9958333333,41.0369444444,"N 41° 02' 13""	E 28° 59' 45""",
29.0055555556,41.0836111111,"N 41° 05' 01""	E 29° 00' 20""",
29.0219444444,41.0866666667,"N 41° 05' 12""	E 29° 01' 19""",
29.0116666667,41.0833333333,"N 41° 05' 00""	E 29° 00' 42""",
29.0105555556,41.085,"N 41° 05' 06""	E 29° 00' 38""",
29.0119444444,41.0808333333,"N 41° 04' 51""	E 29° 00' 43""",
29.0305555556,41.0563888889,"N 41° 03' 23""	E 29° 01' 50""",
29.0941666667,41.0927777778,"N 41° 05' 34""	E 29° 05' 39""",
29.0794444444,41.1391666667,"N 41° 08' 21""	E 29° 04' 46""",
29.1419444444,41.2080555556,"N 41° 12' 29""	E 29° 08' 31""",
29.0716666667,41.0952777778,"N 41° 05' 43""	E 29° 04' 18""",
29.0730555556,41.0902777778,"N 41° 05' 25""	E 29° 04' 23""",
29.0744444444,41.0963888889,"N 41° 05' 47""	E 29° 04' 28""",
29.0138888889,41.0425,"N 41° 02' 33""	E 29° 00' 50""",
28.9472222222,41.0433333333,"N 41° 02' 36""	E 28° 56' 50""",
28.9711111111,41.0597222222,"N 41° 03' 35""	E 28° 58' 16""",
28.5091666667,41.0038888889,"N 41° 00' 14""	E 28° 30' 33""",
28.9452777778,41.0019444444,"N 41° 00' 07""	E 28° 56' 43""",
29.0708333333,40.9888888889,"N 40° 59' 20""	E 29° 04' 15""",
29.0963888889,40.9516666667,"N 40° 57' 06""	E 29° 05' 47""",
29.0366666667,40.9877777778,"N 40° 59' 16""	E 29° 02' 12""",
29.0355555556,40.9822222222,"N 40° 58' 56""	E 29° 02' 08""",
29.0236111111,40.9925,"N 40° 59' 33""	E 29° 01' 25""",
28.8858333333,41.0083333333,"N 41° 00' 30""	E 28° 53' 09""",
28.7405555556,41.1855555556,"N 41° 11' 08""	E 28° 44' 26""",
28.9119444444,41.0777777778,"N 41° 04' 40""	E 28° 54' 43""",
28.9416666667,41.0436111111,"N 41° 02' 37""	E 28° 56' 30""",
28.9275,41.0288888889,"N 41° 01' 44""	E 28° 55' 39""",
28.935,41.0522222222,"N 41° 03' 08""	E 28° 56' 06""",
28.93,41.0475,"N 41° 02' 51""	E 28° 55' 48""",
28.9486111111,41.0775,"N 41° 04' 39""	E 28° 56' 55""",
28.9486111111,41.075,"N 41° 04' 30""	E 28° 56' 55""",
28.985,41.0175,"N 41° 01' 03""	E 28° 59'06""",
28.8855555556,41.04,"N 41° 02' 24""	E 28° 53' 08""",
28.8775,41.0625,"N 41° 03' 45""	E 28° 52' 39""",
28.8419444444,41.0763888889,"N 41° 04' 35""	E 28° 50' 31""",
28.9416666667,41.0566666667,"N 41° 03' 24""	E 28° 56' 30""",
28.9038888889,41.1933333333,"N 41° 11' 36""	E 28° 54' 14""",
29.0422222222,40.9661111111,"N 40° 57' 58""	E 29° 02' 32""",
29.0141666667,41.0063888889,"N 41° 00' 23""	E 29° 00' 51""",
29.0202777778,40.9869444444,"N 40° 59' 13""	E 29° 01' 13""",
29.0797222222,40.955,"N 40° 57' 18""	E 29° 04' 47""",
29.1013888889,40.9680555556,"N 40° 58' 05""	E 29° 06' 05""",
29.1036111111,40.9916666667,"N 40° 59' 30""	E 29° 06' 13""",
29.0605555556,40.9983333333,"N 40° 59' 54""	E 29° 03' 38""",
29.0713888889,41.0047222222,"N 41° 00' 17""	E 29° 04' 17""",
29.0377777778,40.9725,"N 40° 58' 21""	E 29° 02' 16""",
29.1413888889,40.9511111111,"N 40° 57' 04""	E 29° 08' 29""",
28.9619444444,41.0866666667,"N 41° 05' 12""	E 28° 57' 43""",
28.9686111111,41.0744444444,"N 41° 04' 28""	E 28° 58' 07""",
28.9516666667,41.1002777778,"N 41° 06' 01""	E 28° 57' 06""",
29.1544444444,40.9019444444,"N 40° 54' 07""	E 29° 09' 16""",
29.2102777778,40.8808333333,"N 40° 52' 51""	E 29° 12' 37""",
29.2163888889,40.8847222222,"N 40° 53' 05""	E 29° 12' 59""",
29.2061111111,40.9091666667,"N 40° 54' 33""	E 29° 12' 22""",
28.8183333333,41.0047222222,"N 41° 00' 17""	E 28° 49' 06""",
28.8075,41.0491666667,"N 41° 02' 57""	E 28° 48' 27""",
28.8136111111,41.1319444444,"N 41° 07' 55""	E 28° 48' 49""",
28.7783333333,41.0347222222,"N 41° 02' 05""	E 28° 46' 42""",
28.7336111111,41.0536111111,"N 41° 03' 13""	E 28° 44' 01""",
29.2375,40.8769444444,"N 40° 52' 37""	E 29° 14' 15""",
29.4138888889,40.9547222222,"N 40° 57' 17""	E 29° 24' 50""",
29.075,41.2080555556,"N 41° 12' 29""	E 29° 04' 30""",
29.0255555556,41.1975,"N 41° 11' 51""	E 29° 01' 32""",
29.0597222222,41.13,"N 41° 07' 48""	E 29° 03' 35""",
29.0602777778,41.125,"N 41° 07' 30""	E 29° 03' 37""",
29.0572222222,41.1130555556,"N 41° 06' 47""	E 29° 03' 26""",
29.0519444444,41.1111111111,"N 41° 06' 40""	E 29° 03' 07""",
29.0508333333,41.0925,"N 41° 05' 33""	E 29° 03' 03""",
29.0480555556,41.0844444444,"N 41° 05' 04""	E 29° 02' 53""",
29.2652777778,40.8591666667,"N 40° 51' 33""	E 29° 15' 55""",
29.2627777778,40.8077777778,"N 40° 48' 28""	E 29° 15' 46""",
29.3777777778,40.8933333333,"N 40° 53' 36""	E 29° 22' 40""",
29.3586111111,40.8216666667,"N 40° 49' 18""	E 29° 21' 31""",
29.2797222222,40.8644444444,"N 40° 51' 52""	E 29° 16' 47""",
29.2711111111,40.8577777778,"N 40° 51' 28""	E 29° 16' 16""",
29.2986111111,40.8330555556,"N 40° 49' 59""	E 29° 17' 55""",
29.2930555556,40.8266666667,"N 40° 49' 36""	E 29° 17' 35""",
29.3225,40.8619444444,"N 40° 51' 43""	E 29° 19' 21""",
29.3544444444,40.8641666667,"N 40° 51' 51""	E 29° 21' 16""",
29.2983333333,40.845,"N 40° 50' 42""	E 29° 17' 54""",
29.2872222222,40.8391666667,"N 40° 50' 21""	E 29° 17' 14""",
29.1113888889,41.0577777778,"N 41° 03' 28""	E 29° 06' 41""",
29.0994444444,41.0297222222,"N 41° 01' 47""	E 29° 05' 58""",
29.1502777778,40.9775,"N 40° 58' 39""	E 29° 09' 01""",
29.1108333333,41.025,"N 41° 01' 30""	E 29° 06' 39""",
29.0858333333,41.0447222222,"N 41° 02' 41""	E 29° 05' 09""",
29.2552777778,40.9891666667,"N 40° 59' 21""	E 29° 15' 19""",
29.0394444444,41.035,"N 41° 02' 06""	E 29° 02' 22""",
29.0393125,41.0320935,Koç Holding Tesisleri,
29.0408333333,41.0363888889,"N 41° 02' 11""	E 29° 02' 27""",
28.8836111111,41.1819444444,"N 41° 10' 55""	E 28° 53' 01""",
28.9125,41.1608333333,"N 41° 09' 39""	E 28° 54' 45""",
28.9280555556,41.0419444444,"N 41° 02' 31""	E 28° 55' 41""",
28.88,41.0533333333,"N 41° 03' 12""	E 28° 52' 48""",
28.8708333333,41.0466666667,"N 41° 02' 48""	E 28° 52' 15""",
28.8663888889,41.0638888889,"N 41° 03' 50""	E 28° 51' 59""",
28.97,41.0175,"N 41° 01' 03""	E 28° 58' 12""",
28.9702777778,41.0119444444,"N 41° 00'43""	E 28° 58' 13""",
28.9475,41.0355555556,"N 41° 02' 08""	E 28° 56' 51""",
28.9391666667,41.0277777778,"N 41° 01' 40""	E 28° 56' 21""",
28.9355555556,41.0177777778,"N 41° 01' 04""	E 28° 56' 08""",
28.9372222222,41.0122222222,"N 41° 00' 44""	E 28° 56' 14""",
28.5727777778,41.3402777778,"N 41° 20' 25""	E 28° 34' 22""",
28.2613888889,41.485,"N 41° 29' 06""	E 28° 15' 41""",
28.1983333333,41.5222222222,"N 41° 31' 20""	E 28° 11' 54""",
28.4638888889,41.145,"N 41° 08' 42""	E 28° 27' 50""",
28.4927777778,41.0966666667,"N 41° 05' 48""	E 28° 29' 34""",
28.6158333333,41.1572222222,"N 41° 09' 26""	E 28° 36' 57""",
28.5925,41.2377777778,"N 41° 14' 16""	E 28° 35' 33""",
28.4641666667,41.1422222222,"N 41° 08' 32""	E 28° 27' 51""",
28.5730555556,41.04,"N 41° 02' 24""	E 28° 34' 23""",
28.5472222222,41.1030555556,"N 41° 06' 11""	E 28° 32' 50""",
28.5541666667,41.05,"N 41° 02' 60""	E 28° 33' 15""",
28.6152777778,40.9897222222,"N 40° 59' 23""	E 28° 36' 55""",
28.6788888889,41.0355555556,"N 41° 02' 08""	E 28° 40' 44""",
28.6472222222,41.0380555556,"N 41° 02' 17""	E 28° 38' 50""",
28.6705555556,40.9883333333,"N 40° 59' 18""	E 28° 40' 14""",
28.9666666667,41.045,"N 41° 02' 42""	E 28° 58' 00""",
28.9469444444,41.0547222222,"N 41° 03' 17""	E 28° 56' 49""",
28.9722222222,41.0327777778,"N 41° 01' 58""	E 28° 58' 20""",
28.9863888889,41.0275,"N 41° 01' 39""	E 28° 59' 11""",
28.9933333333,41.0347222222,"N 41° 02' 05""	E 28° 59' 36""",
28.9652777778,41.0430555556,"N 41° 02' 35""	E 28° 57' 55""",
29.2155555556,41.2244444444,"N 41° 13' 28""	E 29° 12' 56""",
29.0611111111,41.0913888889,"N 41° 05' 29""	E 29° 03' 40""",
29.0969444444,41.1430555556,"N 41° 08' 35""	E 29° 05' 49""",
29.0711111111,41.0816666667,"N 41° 04' 54""	E 29° 04' 16""",
29.0769444444,41.0897222222,"N 41° 05' 23""	E 29° 04' 37""",
29.0725,41.0672222222,"N 41° 04' 02""	E 29° 04' 21""",
29.1011111111,41.1236111111,"N 41° 07' 25""	E 29° 06' 04""",
29.0891666667,41.1075,"N 41° 06' 27""	E 29° 05' 21""",
29.0875,41.1072222222,"N 41° 06' 26""	E 29° 05' 15""",
29.0836111111,41.1061111111,"N 41° 06' 22""	E 29° 05' 01""",
29.0880555556,41.1758333333,"N 41° 10' 33""	E 29° 05' 17""",
29.1416666667,41.0813888889,"N 41° 04' 53""	E 29° 08' 30""",
