L1,L2,L3,L3 KV:GADM3,Population
Covalima,Suai,Camenasa,50504,3135
Covalima,Suai,Debos,50502,9136
Covalima,Suai,Labarai,50505,2740
Covalima,Suai,Suai Loro,50503,3215
Covalima,Tilomar,Casabauc,50604,1319
Covalima,Tilomar,Foholulic,50601,846
Covalima,Tilomar,Lalawa,50602,1991
Covalima,Tilomar,Maudemo,50603,1979
Covalima,Zumalai,Fatuleto,50704,183
Covalima,Zumalai,Lepo,50706,124
Covalima,Zumalai,Lour,50703,292
Covalima,Zumalai,Raimea,50701,4705
Covalima,Zumalai,Tashilin,50708,1895
Covalima,Zumalai,Zulo,50702,2449
Dili,Atauro,Atauro Vila/Maumeta,60401,1296
Dili,Atauro,Beloi,60403,1665
Dili,Atauro,Biceli,60405,1714
Dili,Atauro,Macadade,60404,1436
Dili,Atauro,Maquili,60402,1752
Dili,Cristo Rei,Balibar,60605,1342
Dili,Cristo Rei,Becora,60602,18057
Dili,Cristo Rei,Bidau Santana,60607,5204
Dili,Cristo Rei,Camea,60603,6248
Dili,Cristo Rei,Culu Hun,60601,6882
Dili,Cristo Rei,Hera,60604,5606
Dili,Cristo Rei,Meti Aut,60606,570
Dili,Dom Aleixo,Bairro Pite,60504,22002
Dili,Dom Aleixo,Comoro,60503,41104
Dili,Dom Aleixo,Fatuhada,60501,5092
Dili,Dom Aleixo,Kampung Alor,60502,3291
Dili,Metinaro,Duyung (Sereia),60302,2183
Dili,Metinaro,Sabuli,60301,1226
Dili,Nain Feto,Acadiru Hun,60202,1190
Dili,Nain Feto,Bemori,60203,3811
Dili,Nain Feto,Bidau Lecidere,60205,1177
Dili,Nain Feto,Gricenfor,60206,1649
Dili,Nain Feto,Lahane Oriental,60204,6920
Dili,Nain Feto,Santa Cruz,60201,3946
Dili,Vera Cruz,Caicoli,60104,2583
Dili,Vera Cruz,Colmera,60105,2213
Dili,Vera Cruz,Dare,60107,2411
Dili,Vera Cruz,Lahane Ocidental,60101,4201
Dili,Vera Cruz,Macarenhas,60103,6012
Dili,Vera Cruz,Motael,60106,3257
Dili,Vera Cruz,Vila Verde,60102,7501
Ermera,Atsabe,Atadame/Malabe,70409,1776
Ermera,Atsabe,Atara,70402,2361
Ermera,Atsabe,Baboi Craic,70403,1731
Ermera,Atsabe,Batumanu,70406,1036
Ermera,Atsabe,Beboi Leten,70412,1202
Ermera,Atsabe,Laclo,70411,1112
Ermera,Atsabe,Lasaun,70405,974
Ermera,Atsabe,Laubono,70408,1189
Ermera,Atsabe,Leimea Leten,70410,1623
Ermera,Atsabe,Obulo,70404,1758
Ermera,Atsabe,Paramin,70401,952
Ermera,Atsabe,Tiarlelo,70407,323
Ermera,Ermera,Estado,70210,2828
Ermera,Ermera,Humboe,70206,1889
Ermera,Ermera,Lauala,70208,1882
Ermera,Ermera,Leguimea,70205,1228
Ermera,Ermera,Mirtutu,70204,3115
Ermera,Ermera,Poetete,70201,5115
Ermera,Ermera,Ponilala,70202,3056
Ermera,Ermera,Raimerhei,70209,1999
Ermera,Ermera,Riheu,70207,4306
Ermera,Ermera,Talimoro,70203,1875
Ermera,Hatolia,Ailelo,70504,1944
Ermera,Hatolia,Asulau,70503,1767
Ermera,Hatolia,Coliate-Leotelo,70502,3048
Ermera,Hatolia,Fatubessi,70513,3466
Ermera,Hatolia,Fatubolu,70512,3242
Ermera,Hatolia,Hatolia,70508,2774
Ermera,Hatolia,Leimea Sorimbalu,70501,567
Ermera,Hatolia,Leimeacraic,70505,1192
Ermera,Hatolia,Lissapat,70511,2794
Ermera,Hatolia,Manusae,70507,3873
Ermera,Hatolia,Mau-Ubu,70510,2539
Ermera,Hatolia,Samara,70506,548
Ermera,Hatolia,Urahou,70509,2905
Ermera,Letefoho,Catrai Leten,70305,2340
Ermera,Letefoho,Catrai-Craic,70304,2170
Ermera,Letefoho,Ducurai,70301,4439
Ermera,Letefoho,Eraulo,70307,1727
Ermera,Letefoho,Goulolo,70306,1444
Ermera,Letefoho,Hatugau,70308,2009
Ermera,Letefoho,Haupu,70302,3881
Ermera,Letefoho,Lauana,70303,1907
Ermera,Railaco,Deleco,70108,293
Ermera,Railaco,Fatuquero,70104,1462
Ermera,Railaco,Lihu,70101,1228
Ermera,Railaco,Matata,70102,1395
Ermera,Railaco,Railaco Craic,70105,1180
Ermera,Railaco,Railaco Leten,70106,1067
Ermera,Railaco,Samalete,70107,1193
Ermera,Railaco,Taraso,70109,529
Ermera,Railaco,Tocoluli,70103,946
Lautém,Iliomar,Ailebere,90301,823
Lautém,Iliomar,Cainliu,90302,1437
Lautém,Iliomar,Fuat,90303,506
Lautém,Iliomar,Iliomar I,90304,1210
Lautém,Iliomar,Iliomar II,90305,1265
Lautém,Iliomar,Tirilolo,90306,1485
Lautém,Lautém,Baduro,90201,1278
Lautém,Lautém,Com,90202,2248
Lautém,Lautém,Daudare,90203,1295
Lautém,Lautém,Euquisi,90204,864
Lautém,Lautém,Ililai,90205,697
Lautém,Lautém,Maina I,90206,846
Lautém,Lautém,Maina II,90206,1930
Lautém,Lautém,Pairara,90208,1554
Lautém,Lautém,Parlamento,90209,2188
Lautém,Lautém,Serelau,90210,966
Lautém,Lospalos,Bauro,90101,2872
Lautém,Lospalos,Cacavem,90104,879
Lautém,Lospalos,Fuiloro,90102,12612
Lautém,Lospalos,Home,90103,1392
Lautém,Lospalos,Leuro,90105,703
Lautém,Lospalos,Lore I,90106,2299
Lautém,Lospalos,Lore II,90107,628
Lautém,Lospalos,Muapitine,90108,1210
Lautém,Lospalos,Raca,90109,1149
Lautém,Lospalos,Souro,90110,1673
Lautém,Luro,Cotamutu,90403,1842
Lautém,Luro,Luro,90405,1847
Lautém,Luro,Wairoce,90406,468
Lautém,Tutuala,Mehara,90501,2368
Lautém,Tutuala,Tutuala,90502,1339
Liquiçá,Bazartete,Fahilebo,80102,1020
Liquiçá,Bazartete,Fatumasi,80101,1551
Liquiçá,Bazartete,Lauhata,80106,3207
Liquiçá,Bazartete,Leorema,80107,4425
Liquiçá,Bazartete,Maumeta,80108,2097
Liquiçá,Bazartete,Metagou,80105,1422
Liquiçá,Bazartete,Motaulun,80104,1477
Liquiçá,Bazartete,Tibar,80103,2571
Liquiçá,Bazartete,Ulmera,80109,2420
Liquiçá,Liquiçá,Asumano,80206,1705
Liquiçá,Liquiçá,Darulete,80203,1256
Liquiçá,Liquiçá,Dato,80201,6115
Liquiçá,Liquiçá,Hatuquessi,80205,3012
Liquiçá,Liquiçá,Leotala,80207,2845
Liquiçá,Liquiçá,Loidahar,80202,2352
Liquiçá,Liquiçá,Luculai,80204,1019
Liquiçá,Maubara,Gugleur,80307,3258
Liquiçá,Maubara,Guico,80302,1405
Liquiçá,Maubara,Lissadila,80301,2549
Liquiçá,Maubara,Maubaralissa,80305,1190
Liquiçá,Maubara,Vatuboro,80304,1950
Liquiçá,Maubara,Vatuvou,80303,3272
Liquiçá,Maubara,Vaviquinia,80306,2716
Manatuto,Barique/Natarbora,Abat Oan,110503,432
Manatuto,Barique/Natarbora,Aubeon,110501,1267
Manatuto,Barique/Natarbora,Barique,110504,578
Manatuto,Barique/Natarbora,Manehat,110505,808
Manatuto,Barique/Natarbora,Uma Boco,110502,1696
Manatuto,Laclo,Hohorai,110304,1696
Manatuto,Laclo,Lacumesac,110301,2167
Manatuto,Laclo,Uma Naruc,110303,434
Manatuto,Laclo,Umacaduac,110302,3261
Manatuto,Laclubar,Batara,110604,1609
Manatuto,Laclubar,Fatumaquerec,110605,505
Manatuto,Laclubar,Funar,110602,1078
Manatuto,Laclubar,Manelima,110603,1875
Manatuto,Laclubar,Orlalan,110601,2402
Manatuto,Laclubar,Sanana'in,110606,565
Manatuto,Laleia,Cairui,110203,1564
Manatuto,Laleia,Haturalan,110202,881
Manatuto,Laleia,Lifau,110201,760
Manatuto,Manatuto,Ailili,110106,308
Manatuto,Manatuto,Aiteas,110102,743
Manatuto,Manatuto,Cribas,110101,1881
Manatuto,Manatuto,Iliheu,110105,1286
Manatuto,Manatuto,Ma'abat,110103,1678
Manatuto,Manatuto,Sau,110104,4553
Manatuto,Soibada,Fatumacerec,110403,694
Manatuto,Soibada,Leo Hat,110402,661
Manatuto,Soibada,Manlala,110404,412
Manatuto,Soibada,Manufahi,110405,445
Manatuto,Soibada,Samoro,110401,480
Manufahi,Alas,Aituha,100201,643
Manufahi,Alas,Dotic,100202,1578
Manufahi,Alas,Mahaquidan,100204,1637
Manufahi,Alas,Taitudac,100203,1355
Manufahi,Alas,Uma Berloic,100205,1272
Manufahi,Fatuberliu,Bubususo,100301,615
Manufahi,Fatuberliu,Caicasa,100305,1162
Manufahi,Fatuberliu,Clacuc,100302,2601
Manufahi,Fatuberliu,Fahinehan,100303,1221
Manufahi,Fatuberliu,Fatucahi,100304,727
Manufahi,Same,Babulu,100103,4027
Manufahi,Same,Betano,100104,4577
Manufahi,Same,Daisua,100105,3789
Manufahi,Same,Grotu,100106,881
Manufahi,Same,Holarua,100102,5266
Manufahi,Same,Letefoho,100101,5939
Manufahi,Same,Tutuluro,100108,1554
Manufahi,Turiscai,Aitemua,100401,757
Manufahi,Turiscai,Beremana,100402,589
Manufahi,Turiscai,Caimauc,100403,678
Manufahi,Turiscai,Fatucalo,100411,240
Manufahi,Turiscai,Foholau,100410,219
Manufahi,Turiscai,Lesuata,100404,529
Manufahi,Turiscai,Liurai,100405,450
Manufahi,Turiscai,Manumera,100406,1255
Manufahi,Turiscai,Matorec,100407,560
Manufahi,Turiscai,Mindelo,100408,430
Manufahi,Turiscai,Orana,100409,366
Oecusse,Nitibe,Banafi,120205,1703
Oecusse,Nitibe,Bene-Ufe,120202,2102
Oecusse,Nitibe,Lela-Ufe,120204,3653
Oecusse,Nitibe,Suni-Ufe,120203,1405
Oecusse,Nitibe,Usi-Taco,120201,2189
Oecusse,Oesilo,Bobometo,120301,5911
Oecusse,Oesilo,Usi-Tacae,120303,3051
Oecusse,Oesilo,Usi-Taqueno,120302,1258
Oecusse,Pante Macasar,Bobocase,120107,1057
Oecusse,Pante Macasar,Costa,120104,9754
Oecusse,Pante Macasar,Cunha,120103,4064
Oecusse,Pante Macasar,Lalisuc,120106,2484
Oecusse,Pante Macasar,Lifau,120102,1938
Oecusse,Pante Macasar,Naimeco,120108,3812
Oecusse,Pante Macasar,Nipani,120101,1230
Oecusse,Pante Macasar,Taiboco,120105,4719
Oecusse,Passabe,Abani,120401,5730
Oecusse,Passabe,Malelat,120402,1409
Viqueque,Lacluta,Dilor,130504,1404
Viqueque,Lacluta,Laline,130501,2218
Viqueque,Lacluta,Uma Tolu,130502,1228
Viqueque,Ossu,Builale,130202,1935
Viqueque,Ossu,Liaruca,130209,1262
Viqueque,Ossu,Loi-Huno,130207,1947
Viqueque,Ossu,Nahareca,130203,1549
Viqueque,Ossu,Ossorua,130206,508
Viqueque,Ossu,Ossu de Cima,130204,5106
Viqueque,Ossu,Uabubo,130208,895
Viqueque,Ossu,Uaguia,130205,995
Viqueque,Ossu,Uaibobo,130201,1413
Viqueque,Uatucarbau,Afaloicai,130104,2227
Viqueque,Uatucarbau,Bahatata,130105,75
Viqueque,Uatucarbau,Irabin de Baixo,130101,2199
Viqueque,Uatucarbau,Irabin de Cima,130102,477
Viqueque,Uatucarbau,Loi Ulu,130106,542
Viqueque,Uatucarbau,Uani Uma,130103,1205
Viqueque,Viqueque,Bahalarauain,130402,2483
Viqueque,Viqueque,Bibileo,130404,2194
Viqueque,Viqueque,Caraubalo,130407,5105
Viqueque,Viqueque,Luca,130410,2892
Viqueque,Viqueque,Maluru,130409,434
Viqueque,Viqueque,Uai Mori,130406,786
Viqueque,Viqueque,Uma Quic,130403,1750
Viqueque,Viqueque,Uma Uain Craic,130401,2320
Viqueque,Viqueque,Uma Uain Leten,130408,1520
Viqueque,Viqueque,Watu Dere,130405,1156
Viqueque,Watulari,Afaloicai,130306,2813
Viqueque,Watulari,Babulo,130305,4163
Viqueque,Watulari,Macadique,130301,3472
Viqueque,Watulari,Matahoi,130303,3208
Viqueque,Watulari,Uaitame,130302,1899
Viqueque,Watulari,Vessoru,130304,1528
