Country,L1,L2,Demographic,Date,Value,Source,Source URL
GN,Labé,Lelouma,"Population, Female Total",1996,78787,Open Data for Africa,opendataforafrica.org
GN,Labé,Lelouma,"Population, Male Total",1996,58486,Open Data for Africa,opendataforafrica.org
GN,Labé,Lelouma,Number of households,1996,23906,Open Data for Africa,opendataforafrica.org
GN,Labé,Lelouma,Population Total,1996,137273,Open Data for Africa,opendataforafrica.org
GN,Labé,Lelouma,Population density (hbts/km2) - Total,2009,33.46,Open Data for Africa,opendataforafrica.org
GN,Boké,Boffa,"Population, Female Total",1996,80170,Open Data for Africa,opendataforafrica.org
GN,Boké,Boffa,"Population, Male Total",1996,76388,Open Data for Africa,opendataforafrica.org
GN,Boké,Boffa,Number of households,1996,19854,Open Data for Africa,opendataforafrica.org
GN,Boké,Boffa,Population Total,1996,156558,Open Data for Africa,opendataforafrica.org
GN,Boké,Boffa,Population density (hbts/km2) - Total,2009,38.4,Open Data for Africa,opendataforafrica.org
GN,Boké,Boké,"Population, Female Total",1996,148785,Open Data for Africa,opendataforafrica.org
GN,Boké,Boké,"Population, Male Total",1996,145132,Open Data for Africa,opendataforafrica.org
GN,Boké,Boké,Number of households,1996,38239,Open Data for Africa,opendataforafrica.org
GN,Boké,Boké,Population Total,1996,293917,Open Data for Africa,opendataforafrica.org
GN,Boké,Boké,Population density (hbts/km2) - Total,2009,40.91,Open Data for Africa,opendataforafrica.org
GN,Boké,Fria,"Population, Female Total",1996,40349,Open Data for Africa,opendataforafrica.org
GN,Boké,Fria,"Population, Male Total",1996,41441,Open Data for Africa,opendataforafrica.org
GN,Boké,Fria,Number of households,1996,11799,Open Data for Africa,opendataforafrica.org
GN,Boké,Fria,Population Total,1996,81790,Open Data for Africa,opendataforafrica.org
GN,Boké,Fria,Population density (hbts/km2) - Total,2009,56.21,Open Data for Africa,opendataforafrica.org
GN,Boké,Gaoual,"Population, Female Total",1996,71309,Open Data for Africa,opendataforafrica.org
GN,Boké,Gaoual,"Population, Male Total",1996,66315,Open Data for Africa,opendataforafrica.org
GN,Boké,Gaoual,Number of households,1996,20654,Open Data for Africa,opendataforafrica.org
GN,Boké,Gaoual,Population Total,1996,137624,Open Data for Africa,opendataforafrica.org
GN,Boké,Gaoual,Population density (hbts/km2) - Total,2009,21.54,Open Data for Africa,opendataforafrica.org
GN,Boké,Koundara,"Population, Female Total",1996,46480,Open Data for Africa,opendataforafrica.org
GN,Boké,Koundara,"Population, Male Total",1996,43750,Open Data for Africa,opendataforafrica.org
GN,Boké,Koundara,Number of households,1996,14312,Open Data for Africa,opendataforafrica.org
GN,Boké,Koundara,Population Total,1996,90230,Open Data for Africa,opendataforafrica.org
GN,Boké,Koundara,Population density (hbts/km2) - Total,2009,20.48,Open Data for Africa,opendataforafrica.org
GN,Conakry,Conakry,"Population, Female Total",1996,511434,Open Data for Africa,opendataforafrica.org
GN,Conakry,Conakry,"Population, Male Total",1996,581502,Open Data for Africa,opendataforafrica.org
GN,Conakry,Conakry,Number of households,1996,161005,Open Data for Africa,opendataforafrica.org
GN,Conakry,Conakry,Population Total,1996,1092936,Open Data for Africa,opendataforafrica.org
GN,Conakry,Conakry,Population density (hbts/km2) - Total,2009,3441.04,Open Data for Africa,opendataforafrica.org
GN,Faranah,Dabola,"Population, Female Total",1996,57189,Open Data for Africa,opendataforafrica.org
GN,Faranah,Dabola,"Population, Male Total",1996,54174,Open Data for Africa,opendataforafrica.org
GN,Faranah,Dabola,Number of households,1996,17121,Open Data for Africa,opendataforafrica.org
GN,Faranah,Dabola,Population Total,1996,111363,Open Data for Africa,opendataforafrica.org
GN,Faranah,Dabola,Population density (hbts/km2) - Total,2009,24.18,Open Data for Africa,opendataforafrica.org
GN,Faranah,Dinguiraye,"Population, Female Total",1996,70712,Open Data for Africa,opendataforafrica.org
GN,Faranah,Dinguiraye,"Population, Male Total",1996,66668,Open Data for Africa,opendataforafrica.org
GN,Faranah,Dinguiraye,Number of households,1996,21115,Open Data for Africa,opendataforafrica.org
GN,Faranah,Dinguiraye,Population Total,1996,137380,Open Data for Africa,opendataforafrica.org
GN,Faranah,Dinguiraye,Population density (hbts/km2) - Total,2009,21.93,Open Data for Africa,opendataforafrica.org
GN,Faranah,Faranah,"Population, Female Total",1996,73884,Open Data for Africa,opendataforafrica.org
GN,Faranah,Faranah,"Population, Male Total",1996,73463,Open Data for Africa,opendataforafrica.org
GN,Faranah,Faranah,Number of households,1996,22003,Open Data for Africa,opendataforafrica.org
GN,Faranah,Faranah,Population Total,1996,147347,Open Data for Africa,opendataforafrica.org
GN,Faranah,Faranah,Population density (hbts/km2) - Total,2009,14.13,Open Data for Africa,opendataforafrica.org
GN,Faranah,Kissidougou,"Population, Female Total",1996,105888,Open Data for Africa,opendataforafrica.org
GN,Faranah,Kissidougou,"Population, Male Total",1996,100867,Open Data for Africa,opendataforafrica.org
GN,Faranah,Kissidougou,Number of households,1996,30877,Open Data for Africa,opendataforafrica.org
GN,Faranah,Kissidougou,Population Total,1996,206755,Open Data for Africa,opendataforafrica.org
GN,Faranah,Kissidougou,Population density (hbts/km2) - Total,2009,32.08,Open Data for Africa,opendataforafrica.org
GN,Kankan,Kérouané,"Population, Female Total",1996,73659,Open Data for Africa,opendataforafrica.org
GN,Kankan,Kérouané,"Population, Male Total",1996,81202,Open Data for Africa,opendataforafrica.org
GN,Kankan,Kérouané,Number of households,1996,21841,Open Data for Africa,opendataforafrica.org
GN,Kankan,Kérouané,Population Total,1996,154861,Open Data for Africa,opendataforafrica.org
GN,Kankan,Kérouané,Population density (hbts/km2) - Total,2009,35.58,Open Data for Africa,opendataforafrica.org
GN,Kankan,Kankan,"Population, Female Total",1996,132421,Open Data for Africa,opendataforafrica.org
GN,Kankan,Kankan,"Population, Male Total",1996,129929,Open Data for Africa,opendataforafrica.org
GN,Kankan,Kankan,Number of households,1996,31539,Open Data for Africa,opendataforafrica.org
GN,Kankan,Kankan,Population Total,1996,262350,Open Data for Africa,opendataforafrica.org
GN,Kankan,Kankan,Population density (hbts/km2) - Total,2009,18.47,Open Data for Africa,opendataforafrica.org
GN,Kankan,Kouroussa,"Population, Female Total",1996,77450,Open Data for Africa,opendataforafrica.org
GN,Kankan,Kouroussa,"Population, Male Total",1996,72609,Open Data for Africa,opendataforafrica.org
GN,Kankan,Kouroussa,Number of households,1996,16572,Open Data for Africa,opendataforafrica.org
GN,Kankan,Kouroussa,Population Total,1996,150059,Open Data for Africa,opendataforafrica.org
GN,Kankan,Kouroussa,Population density (hbts/km2) - Total,2009,13.66,Open Data for Africa,opendataforafrica.org
GN,Kankan,Mandiana,"Population, Female Total",1996,87697,Open Data for Africa,opendataforafrica.org
GN,Kankan,Mandiana,"Population, Male Total",1996,85453,Open Data for Africa,opendataforafrica.org
GN,Kankan,Mandiana,Number of households,1996,13778,Open Data for Africa,opendataforafrica.org
GN,Kankan,Mandiana,Population Total,1996,173150,Open Data for Africa,opendataforafrica.org
GN,Kankan,Mandiana,Population density (hbts/km2) - Total,2009,19.14,Open Data for Africa,opendataforafrica.org
GN,Kankan,Siguiri,"Population, Female Total",1996,138001,Open Data for Africa,opendataforafrica.org
GN,Kankan,Siguiri,"Population, Male Total",1996,133223,Open Data for Africa,opendataforafrica.org
GN,Kankan,Siguiri,Number of households,1996,24508,Open Data for Africa,opendataforafrica.org
GN,Kankan,Siguiri,Population Total,1996,271224,Open Data for Africa,opendataforafrica.org
GN,Kankan,Siguiri,Population density (hbts/km2) - Total,2009,22.43,Open Data for Africa,opendataforafrica.org
GN,Kindia,Coyah,"Population, Female Total",1996,42841,Open Data for Africa,opendataforafrica.org
GN,Kindia,Coyah,"Population, Male Total",1996,42307,Open Data for Africa,opendataforafrica.org
GN,Kindia,Coyah,Number of households,1996,11569,Open Data for Africa,opendataforafrica.org
GN,Kindia,Coyah,Population Total,1996,85148,Open Data for Africa,opendataforafrica.org
GN,Kindia,Coyah,Population density (hbts/km2) - Total,2009,278.81,Open Data for Africa,opendataforafrica.org
GN,Kindia,Dubréka,"Population, Female Total",1996,67450,Open Data for Africa,opendataforafrica.org
GN,Kindia,Dubréka,"Population, Male Total",1996,63887,Open Data for Africa,opendataforafrica.org
GN,Kindia,Dubréka,Number of households,1996,16593,Open Data for Africa,opendataforafrica.org
GN,Kindia,Dubréka,Population Total,1996,131337,Open Data for Africa,opendataforafrica.org
GN,Kindia,Dubréka,Population density (hbts/km2) - Total,2009,0,Open Data for Africa,opendataforafrica.org
GN,Kindia,Forécariah,"Population, Female Total",1996,102007,Open Data for Africa,opendataforafrica.org
GN,Kindia,Forécariah,"Population, Male Total",1996,93829,Open Data for Africa,opendataforafrica.org
GN,Kindia,Forécariah,Number of households,1996,27394,Open Data for Africa,opendataforafrica.org
GN,Kindia,Forécariah,Population Total,1996,195836,Open Data for Africa,opendataforafrica.org
GN,Kindia,Forécariah,Population density (hbts/km2) - Total,2009,84.79,Open Data for Africa,opendataforafrica.org
GN,Kindia,Kindia,"Population, Female Total",1996,145759,Open Data for Africa,opendataforafrica.org
GN,Kindia,Kindia,"Population, Male Total",1996,141852,Open Data for Africa,opendataforafrica.org
GN,Kindia,Kindia,Number of households,1996,42465,Open Data for Africa,opendataforafrica.org
GN,Kindia,Kindia,Population Total,1996,287611,Open Data for Africa,opendataforafrica.org
GN,Kindia,Kindia,Population density (hbts/km2) - Total,2009,46.76,Open Data for Africa,opendataforafrica.org
GN,Kindia,Télimélé,"Population, Female Total",1996,122414,Open Data for Africa,opendataforafrica.org
GN,Kindia,Télimélé,"Population, Male Total",1996,105966,Open Data for Africa,opendataforafrica.org
GN,Kindia,Télimélé,Number of households,1996,37817,Open Data for Africa,opendataforafrica.org
GN,Kindia,Télimélé,Population Total,1996,228380,Open Data for Africa,opendataforafrica.org
GN,Kindia,Télimélé,Population density (hbts/km2) - Total,2009,27.62,Open Data for Africa,opendataforafrica.org
GN,Labé,Labé,"Population, Female Total",1996,137374,Open Data for Africa,opendataforafrica.org
GN,Labé,Labé,"Population, Male Total",1996,114328,Open Data for Africa,opendataforafrica.org
GN,Labé,Labé,Number of households,1996,42159,Open Data for Africa,opendataforafrica.org
GN,Labé,Labé,Population Total,1996,251702,Open Data for Africa,opendataforafrica.org
GN,Labé,Labé,Population density (hbts/km2) - Total,2009,138.92,Open Data for Africa,opendataforafrica.org
GN,Labé,Mali,"Population, Female Total",1996,112328,Open Data for Africa,opendataforafrica.org
GN,Labé,Mali,"Population, Male Total",1996,91713,Open Data for Africa,opendataforafrica.org
GN,Labé,Mali,Number of households,1996,32042,Open Data for Africa,opendataforafrica.org
GN,Labé,Mali,Population Total,1996,204041,Open Data for Africa,opendataforafrica.org
GN,Labé,Mali,Population density (hbts/km2) - Total,2009,23.53,Open Data for Africa,opendataforafrica.org
GN,Labé,Tougué,"Population, Female Total",1996,62082,Open Data for Africa,opendataforafrica.org
GN,Labé,Tougué,"Population, Male Total",1996,52565,Open Data for Africa,opendataforafrica.org
GN,Labé,Tougué,Number of households,1996,16573,Open Data for Africa,opendataforafrica.org
GN,Labé,Tougué,Population Total,1996,114647,Open Data for Africa,opendataforafrica.org
GN,Labé,Tougué,Population density (hbts/km2) - Total,2009,38.95,Open Data for Africa,opendataforafrica.org
GN,Mamou,Dalaba,"Population, Female Total",1996,74336,Open Data for Africa,opendataforafrica.org
GN,Mamou,Dalaba,"Population, Male Total",1996,62320,Open Data for Africa,opendataforafrica.org
GN,Mamou,Dalaba,Number of households,1996,26143,Open Data for Africa,opendataforafrica.org
GN,Mamou,Dalaba,Population Total,1996,136656,Open Data for Africa,opendataforafrica.org
GN,Mamou,Dalaba,Population density (hbts/km2) - Total,2009,52.91,Open Data for Africa,opendataforafrica.org
GN,Mamou,Mamou,"Population, Female Total",1996,121362,Open Data for Africa,opendataforafrica.org
GN,Mamou,Mamou,"Population, Male Total",1996,114964,Open Data for Africa,opendataforafrica.org
GN,Mamou,Mamou,Number of households,1996,41900,Open Data for Africa,opendataforafrica.org
GN,Mamou,Mamou,Population Total,1996,236326,Open Data for Africa,opendataforafrica.org
GN,Mamou,Mamou,Population density (hbts/km2) - Total,2009,39.56,Open Data for Africa,opendataforafrica.org
GN,Mamou,Pita,"Population, Female Total",1996,133402,Open Data for Africa,opendataforafrica.org
GN,Mamou,Pita,"Population, Male Total",1996,105834,Open Data for Africa,opendataforafrica.org
GN,Mamou,Pita,Number of households,1996,43501,Open Data for Africa,opendataforafrica.org
GN,Mamou,Pita,Population Total,1996,239236,Open Data for Africa,opendataforafrica.org
GN,Mamou,Pita,Population density (hbts/km2) - Total,2009,56.36,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Beyla,"Population, Female Total",1996,83420,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Beyla,"Population, Male Total",1996,86310,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Beyla,Number of households,1996,25021,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Beyla,Population Total,1996,169730,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Beyla,Population density (hbts/km2) - Total,2009,15.61,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Guéckédou,"Population, Female Total",1996,180585,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Guéckédou,"Population, Male Total",1996,166956,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Guéckédou,Number of households,1996,55287,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Guéckédou,Population Total,1996,347541,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Guéckédou,Population density (hbts/km2) - Total,2009,145.18,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Lola,"Population, Female Total",1996,69130,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Lola,"Population, Male Total",1996,65196,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Lola,Number of households,1996,20418,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Lola,Population Total,1996,134326,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Lola,Population density (hbts/km2) - Total,2009,44.14,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Macenta,"Population, Female Total",1996,144836,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Macenta,"Population, Male Total",1996,133953,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Macenta,Number of households,1996,45037,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Macenta,Population Total,1996,278789,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Macenta,Population density (hbts/km2) - Total,2009,67.54,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Nzérékoré,"Population, Female Total",1996,145025,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Nzérékoré,"Population, Male Total",1996,138388,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Nzérékoré,Number of households,1996,40482,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Nzérékoré,Population Total,1996,283413,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Nzérékoré,Population density (hbts/km2) - Total,2009,101.03,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Yomou,"Population, Female Total",1996,70373,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Yomou,"Population, Male Total",1996,64615,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Yomou,Number of households,1996,22705,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Yomou,Population Total,1996,134988,Open Data for Africa,opendataforafrica.org
GN,Nzérékoré,Yomou,Population density (hbts/km2) - Total,2009,72.62,Open Data for Africa,opendataforafrica.org
