"L2","L2 KV:PSGC","L3","L3 KV:PSGC"
"Nueva Ecija",34900000,"Aliaga",34901000
"Zamboanga Sibugay",98300000,"Alicia",98301000
"Isabela",23100000,"Alicia",23101000
"Bohol",71200000,"Alicia",71202000
"Ilocos Sur",12900000,"Alilem",12901000
"Iloilo",63000000,"Alimodian",63002000
"Batangas",41000000,"Alitagtag",41002000
"Cagayan",21500000,"Allacapan",21503000
"Northern Samar",84800000,"Allen",84801000
"Samar (Western Samar)",86000000,"Almagro",86001000
"Biliran",87800000,"Almeria",87801000
"Cebu",72200000,"Aloguinsan",72204000
"Misamis Occidental",104200000,"Aloran",104201000
"Aklan",60400000,"Altavas",60401000
"Misamis Oriental",104300000,"Alubijid",104301000
"Cavite",42100000,"Amadeo",42102000
"Nueva Vizcaya",25000000,"Ambaguio",25001000
"Negros Oriental",74600000,"Amlan (Ayuquitan)",74601000
"Maguindanao",153800000,"Ampatuan",153801000
"Cagayan",21500000,"Amulung",21504000
"Southern Leyte",86400000,"Anahawan",86401000
"Tarlac",36900000,"Anao",36901000
"Bohol",71200000,"Anda",71203000
"Pangasinan",15500000,"Anda",15505000
"Isabela",23100000,"Angadanan",23102000
"Bulacan",31400000,"Angat",31401000
"Rizal",45800000,"Angono",45801000
"Iloilo",63000000,"Anilao",63003000
"Antique",60600000,"Anini-Y",60601000
"Bohol",71200000,"Antequera",71204000
"Cotabato (North Cotabato)",124700000,"Antipas",124715000
"Pampanga",35400000,"Apalit",35402000
"Cagayan",21500000,"Aparri",21505000
"Palawan",175300000,"Araceli",175303000
"Cotabato (North Cotabato)",124700000,"Arakan",124718000
"Pampanga",35400000,"Arayat",35403000
"Cebu",72200000,"Argao",72205000
"La Union",13300000,"Aringay",13302000
"Nueva Vizcaya",25000000,"Aritao",25002000
"Masbate",54100000,"Aroroy",54101000
"Eastern Samar",82600000,"Arteche",82601000
"Pangasinan",15500000,"Asingan",15506000
"Ifugao",142700000,"Asipulo",142711000
"Cebu",72200000,"Asturias",72206000
"Davao del Norte",112300000,"Asuncion (Saug)",112301000
"Quezon",45600000,"Atimonan",45603000
"Benguet",141100000,"Atok",141101000
"Isabela",23100000,"Aurora",23103000
"Zamboanga del Sur",97300000,"Aurora",97302000
"Negros Oriental",74600000,"Ayungon",74602000
"Camarines Sur",51700000,"Baao",51701000
"Leyte",83700000,"Babatngon",83705000
"Albay",50500000,"Bacacay",50501000
"Ilocos Norte",12800000,"Bacarra",12802000
"Bohol",71200000,"Baclayon",71205000
"La Union",13300000,"Bacnotan",13303000
"Oriental Mindoro",175200000,"Baco",175201000
"Lanao del Norte",103500000,"Bacolod",103501000
"Lanao del Sur",153600000,"Bacolod-Kalawi (Bacolod Grande)",153601000
"Pampanga",35400000,"Bacolor",35404000
"Negros Oriental",74600000,"Bacong",74603000
"Cavite",42100000,"Bacoor",42103000
"Surigao del Norte",166700000,"Bacuag",166702000
"Zamboanga del Norte",97200000,"Bacungan (Leon T. Postigo)",97226000
"Cebu",72200000,"Badian",72207000
"Iloilo",63000000,"Badiangan",63004000
"Ilocos Norte",12800000,"Badoc",12803000
"Nueva Vizcaya",25000000,"Bagabag",25003000
"Bataan",30800000,"Bagac",30802000
"Catanduanes",52000000,"Bagamanoc",52001000
"Davao Oriental",112500000,"Baganga",112501000
"Cagayan",21500000,"Baggao",21506000
"La Union",13300000,"Bagulin",13304000
"Sultan Kudarat",126500000,"Bagumbayan",126501000
"Benguet",141100000,"Bakun",141103000
"Palawan",175300000,"Balabac",175304000
"Lanao del Sur",153600000,"Balabagan",153602000
"Bulacan",31400000,"Balagtas (Bigaa)",31402000
"Cebu",72200000,"Balamban",72208000
"Eastern Samar",82600000,"Balangiga",82602000
"Eastern Samar",82600000,"Balangkayan",82603000
"La Union",13300000,"Balaoan",13305000
"Iloilo",63000000,"Balasan",63005000
"Camarines Sur",51700000,"Balatan",51702000
"Batangas",41000000,"Balayan",41003000
"Kalinga",143200000,"Balbalan",143201000
"Masbate",54100000,"Baleno",54102000
"Aurora",37700000,"Baler (capital)",37701000
"Batangas",41000000,"Balete",41004000
"Aklan",60400000,"Balete",60402000
"Misamis Occidental",104200000,"Baliangao",104202000
"Zamboanga del Norte",97200000,"Baliguian",97224000
"Bohol",71200000,"Balilihan",71206000
"Lanao del Sur",153600000,"Balindong (Watu)",153603000
"Misamis Oriental",104300000,"Balingasag",104302000
"Misamis Oriental",104300000,"Balingoan",104303000
"Bulacan",31400000,"Baliuag",31403000
"Cagayan",21500000,"Ballesteros",21507000
"Lanao del Norte",103500000,"Baloi",103502000
"Masbate",54100000,"Balud",54103000
"Pangasinan",15500000,"Balungao",15507000
"Tarlac",36900000,"Bamban",36902000
"Nueva Vizcaya",25000000,"Bambang",25004000
"Iloilo",63000000,"Banate",63006000
"Ifugao",142700000,"Banaue",142701000
"Davao Oriental",112500000,"Banaybanay",112502000
"Ilocos Sur",12900000,"Banayoyo",12902000
"South Cotabato",126300000,"Banga",126302000
"Aklan",60400000,"Banga",60403000
"La Union",13300000,"Bangar",13306000
"Abra",140100000,"Bangued (capital)",140101000
"Ilocos Norte",12800000,"Bangui",12804000
"Pangasinan",15500000,"Bani",15508000
"Cotabato (North Cotabato)",124700000,"Banisilan",124716000
"Ilocos Norte",12800000,"Banna (Espiritu)",12811000
"Davao del Sur",112400000,"Bansalan",112401000
"Oriental Mindoro",175200000,"Bansud",175202000
"Ilocos Sur",12900000,"Bantay",12903000
"Cebu",72200000,"Bantayan",72209000
"Romblon",175900000,"Banton",175902000
"Rizal",45800000,"Baras",45803000
"Catanduanes",52000000,"Baras",52002000
"Antique",60600000,"Barbaza",60602000
"Sorsogon",56200000,"Barcelona",56202000
"Cebu",72200000,"Barili",72210000
"Shariff Kabunsuan",158400000,"Barira",158401000
"Mountain Province",144400000,"Barlig",144401000
"Surigao del Sur",166800000,"Barobo",166801000
"Iloilo",63000000,"Barotac Nuevo",63007000
"Iloilo",63000000,"Barotac Viejo",63008000
"Lanao del Norte",103500000,"Baroy",103503000
"Leyte",83700000,"Barugo",83706000
"Negros Oriental",74600000,"Basay",74605000
"Batanes",20900000,"Basco (capital)",20901000
"Samar (Western Samar)",86000000,"Basey",86002000
"Dinagat Islands",168500000,"Basilisa (Rizal)",168501000
"Pangasinan",15500000,"Basista",15509000
"Camarines Norte",51600000,"Basud",51601000
"Iloilo",63000000,"Batad",63009000
"Aklan",60400000,"Batan",60404000
"Palawan",175300000,"Bataraza",175305000
"Camarines Sur",51700000,"Bato",51703000
"Catanduanes",52000000,"Bato",52003000
"Leyte",83700000,"Bato",83707000
"Bohol",71200000,"Batuan",71207000
"Masbate",54100000,"Batuan",54104000
"Batangas",41000000,"Bauan",41006000
"La Union",13300000,"Bauang",13307000
"Mountain Province",144400000,"Bauko",144402000
"Bukidnon",101300000,"Baungon",101301000
"Pangasinan",15500000,"Bautista",15510000
"Laguna",43400000,"Bay",43402000
"Surigao del Sur",166800000,"Bayabas",166802000
"Pangasinan",15500000,"Bayambang",15511000
"Lanao del Sur",153600000,"Bayang",153604000
"Zamboanga del Sur",97300000,"Bayog",97303000
"Nueva Vizcaya",25000000,"Bayombong (capital)",25005000
"Antique",60600000,"Belison",60603000
"Isabela",23100000,"Benito Soliven",23104000
"Mountain Province",144400000,"Besao",144403000
"Bohol",71200000,"Bien Unido",71248000
"Bohol",71200000,"Bilar",71208000
"Biliran",87800000,"Biliran",87802000
"Negros Occidental",64500000,"Binalbagan",64503000
"Pangasinan",15500000,"Binalonan",15512000
"Laguna",43400000,"Biñan",43403000
"Rizal",45800000,"Binangonan",45804000
"Negros Oriental",74600000,"Bindoy (Payabon)",74607000
"Iloilo",63000000,"Bingawan",63010000
"Lanao del Sur",153600000,"Binidayan",153605000
"Pangasinan",15500000,"Binmaley",15513000
"Misamis Oriental",104300000,"Binuangan",104304000
"Northern Samar",84800000,"Biri",84802000
"Marinduque",174000000,"Boac (capital)",174001000
"Northern Samar",84800000,"Bobon",84803000
"Bulacan",31400000,"Bocaue",31404000
"Benguet",141100000,"Bokod",141104000
"Pangasinan",15500000,"Bolinao",15514000
"Abra",140100000,"Boliney",140102000
"Cebu",72200000,"Boljoon",72212000
"Camarines Sur",51700000,"Bombon",51704000
"Nueva Ecija",34900000,"Bongabon",34902000
"Oriental Mindoro",175200000,"Bongabong",175203000
"Tawi-Tawi",157000000,"Bongao (capital)",157002000
"Misamis Occidental",104200000,"Bonifacio",104203000
"Southern Leyte",86400000,"Bontoc",86402000
"Mountain Province",144400000,"Bontoc (capital)",144404000
"Cebu",72200000,"Borbon",72213000
"Davao Oriental",112500000,"Boston",112503000
"Zambales",37100000,"Botolan",37101000
"Davao del Norte",112300000,"Braulio E. Dujali",112323000
"Palawan",175300000,"Brooke's Point",175306000
"Lanao del Sur",153600000,"Buadiposo-Buntong",153633000
"Lanao del Sur",153600000,"Bubong",153606000
"Abra",140100000,"Bucay",140103000
"Abra",140100000,"Bucloc",140104000
"Bohol",71200000,"Buenavista",71209000
"Quezon",45600000,"Buenavista",45605000
"Agusan del Norte",160200000,"Buenavista",160201000
"Guimaras",67900000,"Buenavista",67901000
"Marinduque",174000000,"Buenavista",174002000
"Pangasinan",15500000,"Bugallon",15515000
"Antique",60600000,"Bugasong",60604000
"Cagayan",21500000,"Buguey",21508000
"Benguet",141100000,"Buguias",141105000
"Camarines Sur",51700000,"Buhi",51705000
"Camarines Sur",51700000,"Bula",51706000
"Bulacan",31400000,"Bulacan",31405000
"Oriental Mindoro",175200000,"Bulalacao (San Pedro)",175204000
"Sorsogon",56200000,"Bulan",56203000
"Shariff Kabunsuan",158400000,"Buldon",158402000
"Maguindanao",153800000,"Buluan",153803000
"Sorsogon",56200000,"Bulusan",56204000
"Lanao del Sur",153600000,"Bumbaran",153637000
"Agusan del Sur",160300000,"Bunawan",160302000
"Leyte",83700000,"Burauen",83710000
"Quezon",45600000,"Burdeos",45606000
"Isabela",23100000,"Burgos",23105000
"La Union",13300000,"Burgos",13308000
"Pangasinan",15500000,"Burgos",15516000
"Ilocos Norte",12800000,"Burgos",12806000
"Surigao del Norte",166700000,"Burgos",166704000
"Ilocos Sur",12900000,"Burgos",12904000
"Aklan",60400000,"Buruanga",60405000
"Bulacan",31400000,"Bustos",31406000
"Palawan",175300000,"Busuanga",175307000
"Lanao del Sur",153600000,"Butig",153607000
"Zamboanga Sibugay",98300000,"Buug",98302000
"La Union",13300000,"Caba",13309000
"Isabela",23100000,"Cabagan",23106000
"Zambales",37100000,"Cabangan",37102000
"Bukidnon",101300000,"Cabanglasan",101322000
"Quirino",25700000,"Cabarroguis (capital)",25702000
"Iloilo",63000000,"Cabatuan",63012000
"Isabela",23100000,"Cabatuan",23107000
"Nueva Ecija",34900000,"Cabiao",34904000
"Biliran",87800000,"Cabucgayan",87803000
"Ilocos Sur",12900000,"Cabugao",12905000
"Camarines Sur",51700000,"Cabusao",51707000
"Laguna",43400000,"Cabuyao",43404000
"Palawan",175300000,"Cagayancillo",175308000
"Dinagat Islands",168500000,"Cagdianao",168502000
"Surigao del Sur",166800000,"Cagwait",166804000
"Biliran",87800000,"Caibiran",87804000
"Rizal",45800000,"Cainta",45805000
"Romblon",175900000,"Cajidiocan",175903000
"Camarines Sur",51700000,"Calabanga",51708000
"Batangas",41000000,"Calaca",41007000
"Misamis Occidental",104200000,"Calamba",104204000
"Apayao",148100000,"Calanasan (Bayag)",148101000
"Lanao del Sur",153600000,"Calanogas",153632000
"Bohol",71200000,"Calape",71210000
"Pangasinan",15500000,"Calasiao",15517000
"Batangas",41000000,"Calatagan",41008000
"Negros Occidental",64500000,"Calatrava",64505000
"Romblon",175900000,"Calatrava",175904000
"Quezon",45600000,"Calauag",45607000
"Laguna",43400000,"Calauan",43406000
"Cagayan",21500000,"Calayan",21509000
"Samar (Western Samar)",86000000,"Calbiga",86004000
"Iloilo",63000000,"Calinog",63013000
"Occidental Mindoro",175100000,"Calintaan",175102000
"Leyte",83700000,"Calubian",83713000
"Bulacan",31400000,"Calumpit",31407000
"Antique",60600000,"Caluya",60605000
"Cagayan",21500000,"Camalaniugan",21510000
"Albay",50500000,"Camalig",50502000
"Camarines Sur",51700000,"Camaligan",51709000
"Tarlac",36900000,"Camiling",36903000
"Camarines Sur",51700000,"Canaman",51710000
"Eastern Samar",82600000,"Can-Avid",82605000
"Pampanga",35400000,"Candaba",35405000
"Quezon",45600000,"Candelaria",45608000
"Zambales",37100000,"Candelaria",37103000
"Bohol",71200000,"Candijay",71211000
"Negros Occidental",64500000,"Candoni",64506000
"Surigao del Sur",166800000,"Cantilan",166805000
"Ilocos Sur",12900000,"Caoayan",12907000
"Camarines Norte",51600000,"Capalonga",51602000
"Tarlac",36900000,"Capas",36904000
"Leyte",83700000,"Capoocan",83714000
"Northern Samar",84800000,"Capul",84804000
"Davao Oriental",112500000,"Caraga",112504000
"Camarines Sur",51700000,"Caramoan",51711000
"Catanduanes",52000000,"Caramoran",52004000
"Ilocos Norte",12800000,"Carasi",12807000
"Rizal",45800000,"Cardona",45806000
"Leyte",83700000,"Carigara",83715000
"Iloilo",63000000,"Carles",63014000
"Cebu",72200000,"Carmen",72215000
"Davao del Norte",112300000,"Carmen",112303000
"Cotabato (North Cotabato)",124700000,"Carmen",124702000
"Bohol",71200000,"Carmen",71212000
"Agusan del Norte",160200000,"Carmen",160204000
"Surigao del Sur",166800000,"Carmen",166806000
"Cavite",42100000,"Carmona",42104000
"Nueva Ecija",34900000,"Carranglan",34905000
"Surigao del Sur",166800000,"Carrascal",166807000
"Sorsogon",56200000,"Casiguran",56205000
"Aurora",37700000,"Casiguran",37702000
"Sorsogon",56200000,"Castilla",56206000
"Zambales",37100000,"Castillejos",37104000
"Masbate",54100000,"Cataingan",54105000
"Quezon",45600000,"Catanauan",45610000
"Camiguin",101800000,"Catarman",101801000
"Northern Samar",84800000,"Catarman (capital)",84805000
"Davao Oriental",112500000,"Cateel",112505000
"Bohol",71200000,"Catigbian",71213000
"Cebu",72200000,"Catmon",72216000
"Northern Samar",84800000,"Catubig",84806000
"Negros Occidental",64500000,"Cauayan",64507000
"Laguna",43400000,"Cavinti",43407000
"Masbate",54100000,"Cawayan",54106000
"Ilocos Sur",12900000,"Cervantes",12908000
"Misamis Occidental",104200000,"Clarin",104205000
"Bohol",71200000,"Clarin",71214000
"Surigao del Norte",166700000,"Claver",166706000
"Cagayan",21500000,"Claveria",21511000
"Masbate",54100000,"Claveria",54107000
"Misamis Oriental",104300000,"Claveria",104306000
"Sultan Kudarat",126500000,"Columbio",126502000
"Compostela Valley",118200000,"Compostela",118201000
"Cebu",72200000,"Compostela",72218000
"Misamis Occidental",104200000,"Concepcion",104206000
"Iloilo",63000000,"Concepcion",63015000
"Tarlac",36900000,"Concepcion",36905000
"Romblon",175900000,"Concepcion",175905000
"Apayao",148100000,"Conner",148102000
"Cebu",72200000,"Consolacion",72219000
"Romblon",175900000,"Corcuera",175906000
"Cebu",72200000,"Cordoba",72220000
"Isabela",23100000,"Cordon",23109000
"Bohol",71200000,"Corella",71215000
"Palawan",175300000,"Coron",175309000
"Bohol",71200000,"Cortes",71216000
"Surigao del Sur",166800000,"Cortes",166808000
"Capiz",61900000,"Cuartero",61901000
"Batangas",41000000,"Cuenca",41009000
"Biliran",87800000,"Culaba",87805000
"Antique",60600000,"Culasi",60606000
"Palawan",175300000,"Culion",175322000
"Ilocos Norte",12800000,"Currimao",12808000
"Nueva Ecija",34900000,"Cuyapo",34906000
"Palawan",175300000,"Cuyo",175310000
"Cebu",72200000,"Daanbantayan",72221000
"Camarines Norte",51600000,"Daet (capital)",51603000
"Leyte",83700000,"Dagami",83717000
"Bohol",71200000,"Dagohoy",71217000
"Abra",140100000,"Daguioman",140105000
"Cebu",72200000,"Dalaguete",72222000
"Bukidnon",101300000,"Damulog",101302000
"Bohol",71200000,"Danao",71218000
"Bukidnon",101300000,"Dangcagan",101303000
"Abra",140100000,"Danglas",140106000
"Capiz",61900000,"Dao",61902000
"Surigao del Norte",166700000,"Dapa",166707000
"Albay",50500000,"Daraga (Locsin)",50503000
"Samar (Western Samar)",86000000,"Daram",86006000
"Cavite",42100000,"Dasmariñas",42106000
"Pangasinan",15500000,"Dasol",15519000
"Maguindanao",153800000,"Datu Abdullah Sangki",153828000
"Maguindanao",153800000,"Datu Anggal Midtimbang",153831000
"Shariff Kabunsuan",158400000,"Datu Blah T. Sinsuat",158403000
"Shariff Kabunsuan",158400000,"Datu Odin Sinsuat (Dinaig) (capital)",158404000
"Maguindanao",153800000,"Datu Paglas",153805000
"Maguindanao",153800000,"Datu Piang",153806000
"Maguindanao",153800000,"Datu Saudi-Ampatuan",153826000
"Maguindanao",153800000,"Datu Unsay",153827000
"Negros Oriental",74600000,"Dauin",74609000
"Bohol",71200000,"Dauis",71219000
"Surigao del Norte",166700000,"Del Carmen",166708000
"Camarines Sur",51700000,"Del Gallego",51712000
"Isabela",23100000,"Delfin Albano (Magsaysay)",23118000
"Nueva Vizcaya",25000000,"Diadi",25006000
"Quirino",25700000,"Diffun",25703000
"Aurora",37700000,"Dilasag",37703000
"Masbate",54100000,"Dimasalang",54108000
"Zamboanga del Sur",97300000,"Dimataling",97305000
"Bohol",71200000,"Dimiao",71220000
"Dinagat Islands",168500000,"Dinagat",168503000
"Aurora",37700000,"Dinalungan",37704000
"Bataan",30800000,"Dinalupihan",30804000
"Isabela",23100000,"Dinapigue",23110000
"Zamboanga del Sur",97300000,"Dinas",97306000
"Aurora",37700000,"Dingalan",37705000
"Iloilo",63000000,"Dingle",63016000
"Ilocos Norte",12800000,"Dingras",12809000
"Aurora",37700000,"Dipaculao",37706000
"Zamboanga Sibugay",98300000,"Diplahan",98303000
"Lanao del Sur",153600000,"Ditsaan-Ramain",153624000
"Isabela",23100000,"Divilacan",23111000
"Quezon",45600000,"Dolores",45615000
"Eastern Samar",82600000,"Dolores",82606000
"Abra",140100000,"Dolores",140107000
"Bukidnon",101300000,"Don Carlos",101304000
"Davao del Sur",112400000,"Don Marcelino",112416000
"Misamis Occidental",104200000,"Don Victoriano Chiongbian (Don Mariano Marcos)",104217000
"Bulacan",31400000,"Doña Remedios Trinidad",31424000
"Sorsogon",56200000,"Donsol",56207000
"Iloilo",63000000,"Dueñas",63017000
"Bohol",71200000,"Duero",71221000
"Leyte",83700000,"Dulag",83718000
"Capiz",61900000,"Dumalag",61903000
"Zamboanga del Sur",97300000,"Dumalinao",97307000
"Ilocos Norte",12800000,"Dumalneg",12810000
"Iloilo",63000000,"Dumangas",63018000
"Cebu",72200000,"Dumanjug",72224000
"Palawan",175300000,"Dumaran",175311000
"Capiz",61900000,"Dumarao",61904000
"Zamboanga del Sur",97300000,"Dumingag",97308000
"Nueva Vizcaya",25000000,"Dupax Del Norte",25007000
"Nueva Vizcaya",25000000,"Dupax Del Sur",25008000
"Isabela",23100000,"Echague",23112000
"Palawan",175300000,"El Nido (Bacuit)",175312000
"Cagayan",21500000,"Enrile",21512000
