Name,Description,Controller,Function,Marker,GPS Marker,Popup Format,Attributes,Filter,Default,Individual,Style,Folder,Visible,Enabled,Cluster Distance,Cluster Threshold,Refresh,Opacity
Emergency Response,,org,facility,emergency,Building,{organisation_id} (T('Organization')),organisation_id,organisation_id$service.name__typeof=Emergency Response,,,,Organizations,False,,30,,,
Environment,,gis,poi,environment,Building,{name} (T('Point')),name,~.poi_type_id$name=Environment&~.location_id$gis_feature_type=1,,,,Points,False,,30,,,
Environment,,org,facility,environment,Building,{organisation_id} (T('Organization')),organisation_id,organisation_id$service.name__typeof=Environment,,,,Organizations,False,,30,,,
Government,,org,facility,government,Building,{organisation_id} (T('Organization')),organisation_id,organisation_id$service.name__typeof=Government,,,,Organizations,False,,30,,,
Health and Mental Health,,org,facility,health,Building,{organisation_id} (T('Organization')),organisation_id,organisation_id$service.name__typeof=Health and Mental Health,,,,Organizations,False,,30,,,
Municipal Services,,org,facility,municipal_services,Building,{organisation_id} (T('Organization')),organisation_id,organisation_id$service.name__typeof=Municipal Services,,,,Organizations,False,,30,,,
Physical Features,,gis,poi,mountain,Building,{name} (T('Point')),name,~.poi_type_id$name=Physical Features&~.location_id$gis_feature_type=1,,,,Points,False,,30,,,
Postal,,org,facility,post,Building,{organisation_id} (T('Organization')),organisation_id,organisation_id$service.name__typeof=Postal,,,,Organizations,False,,30,,,
Private Industry,,org,facility,industry,Building,{organisation_id} (T('Organization')),organisation_id,organisation_id$service.name__typeof=Private Industry,,,,Organizations,False,,30,,,
Public Safety,,org,facility,emergency,Building,{organisation_id} (T('Organization')),organisation_id,organisation_id$service.name__typeof=Public Safety,,,,Organizations,False,,30,,,
Senior Services,,org,facility,people,Building,{organisation_id} (T('Organization')),organisation_id,organisation_id$service.name__typeof=Senior Services,,,,Organizations,False,,30,,,
Social Services,,org,facility,people,Building,{organisation_id} (T('Organization')),organisation_id,organisation_id$service.name__typeof=Social Services,,,,Organizations,False,,30,,,
Transportation,,gis,poi,transport,Building,{name} (T('Point')),name,~.poi_type_id$name=Transportation&~.location_id$gis_feature_type=1,,,,Points,False,,30,,,
Transportation,,org,facility,transport,Building,{organisation_id} (T('Organization')),organisation_id,organisation_id$service.name__typeof=Transportation,,,,Organizations,False,,30,,,
YMCA/YWCA,,org,facility,people,Building,{organisation_id} (T('Organization')),organisation_id,$filter=organisation_id$name like *YMCA* or organisation_id$name like *YWCA*,,,,Organizations,False,,30,,,
People,,pr,person,trained,,{first_name} {last_name},"first_name,last_name",,True,,,People,False,,30,,,
Fire Zones,,gis,poi,,,{name},name,~.poi_type_id$name=Fire Zone&~.location_id$gis_feature_type=3,,True,"{'fill':'FF0000','fillOpacity':0.5}",Areas,False,,,0,,0.9
Team Zones,,gis,poi,,,{name},name,~.poi_type_id$name=Team Zone&~.location_id$gis_feature_type=3,,True,"{'fill':'00FF00','fillOpacity':0.5}",Areas,False,,,0,,0.9
Debris Basins,,gis,poi,debris,Building,{name} (T('Point')),name,~.poi_type_id$name=Debris Basin&~.location_id$gis_feature_type=1,,,,Points,False,,30,,,
Flood Channels / Street Intersections,,gis,poi,manhole,Building,{name} (T('Point')),name,~.poi_type_id$name=Flood Channel / Street Intersection&~.location_id$gis_feature_type=1,,,,Points,False,,30,,,
Water Tanks,,gis,poi,water_tank,Building,{name} (T('Point')),name,~.poi_type_id$name=Water Tank&~.location_id$gis_feature_type=1,,,,Points,False,,30,,,
Points,For Summary Page,gis,poi,empty,Building,{name} (T('Point')),name,~.location_id$gis_feature_type=1,True,"{'externalGraphic':'img/markers/CRMT/Empty.png'}",,Points,False,False,30,,,
Evacuation Routes,,gis,poi,,,{name},name,~.poi_type_id$name=Evacuation Route&~.location_id$gis_feature_type=1,,,,Points,False,,30,,,
Evacuation Routes,,gis,poi,,,{name},name,~.poi_type_id$name=Evacuation Route&~.location_id$gis_feature_type=3,,True,,Areas,False,,30,,,
Arts and Recreation,,gis,poi,,,{name},name,~.poi_type_id$name=Arts and Recreation&~.location_id$gis_feature_type=2,,True,,Routes,False,,30,,,
Arts and Recreation,,gis,poi,,,{name},name,~.poi_type_id$name=Arts and Recreation&~.location_id$gis_feature_type=3,,True,,Areas,False,,30,,,
Communications,,gis,poi,,,{name},name,~.poi_type_id$name=Communications&~.location_id$gis_feature_type=2,,True,,Routes,False,,30,,,
Communications,,gis,poi,,,{name},name,~.poi_type_id$name=Communications&~.location_id$gis_feature_type=3,,True,,Areas,False,,30,,,
Education,,gis,poi,,,{name},name,~.poi_type_id$name=Education&~.location_id$gis_feature_type=2,,True,,Routes,False,,30,,,
Education,,gis,poi,,,{name},name,~.poi_type_id$name=Education&~.location_id$gis_feature_type=3,,True,,Areas,False,,30,,,
Environment,,gis,poi,,,{name},name,~.poi_type_id$name=Environment&~.location_id$gis_feature_type=2,,True,,Routes,False,,30,,,
Environment,,gis,poi,,,{name},name,~.poi_type_id$name=Environment&~.location_id$gis_feature_type=3,,True,,Areas,False,,30,,,
Physical Features,,gis,poi,,,{name},name,~.poi_type_id$name=Physical Features&~.location_id$gis_feature_type=2,,True,,Routes,False,,30,,,
Physical Features,,gis,poi,,,{name},name,~.poi_type_id$name=Physical Features&~.location_id$gis_feature_type=3,,True,,Areas,False,,30,,,
Transportation,,gis,poi,,,{name},name,~.poi_type_id$name=Transportation&~.location_id$gis_feature_type=2,,True,,Routes,False,,30,,,
Transportation,,gis,poi,,,{name},name,~.poi_type_id$name=Transportation&~.location_id$gis_feature_type=3,,True,,Areas,False,,30,,,
Fire Zones,,gis,poi,,,{name},name,~.poi_type_id$name=Fire Zone&~.location_id$gis_feature_type=1,,True,,Points,False,,,30,,
Team Zones,,gis,poi,,,{name},name,~.poi_type_id$name=Team Zone&~.location_id$gis_feature_type=1,,True,,Points,False,,,30,,
Fire Zones,,gis,poi,,,{name},name,~.poi_type_id$name=Fire Zone&~.location_id$gis_feature_type=2,,True,"{'stroke':'FF0000'}",Routes,False,,,0,,0.9
Team Zones,,gis,poi,,,{name},name,~.poi_type_id$name=Team Zone&~.location_id$gis_feature_type=2,,True,"{'stroke':'00FF00'}",Routes,False,,,0,,0.9
Debris Basins,,gis,poi,,,{name},name,~.poi_type_id$name=Debris Basin&~.location_id$gis_feature_type=2,,True,,Routes,False,,30,,,
Debris Basins,,gis,poi,,,{name},name,~.poi_type_id$name=Debris Basin&~.location_id$gis_feature_type=3,,True,,Areas,False,,30,,,
Flood Channels / Street Intersections,,gis,poi,,,{name},name,~.poi_type_id$name=Flood Channel / Street Intersection&~.location_id$gis_feature_type=2,,,,Routes,False,,30,,,
Flood Channels / Street Intersections,,gis,poi,,,{name},name,~.poi_type_id$name=Flood Channel / Street Intersection&~.location_id$gis_feature_type=3,,,,Areas,False,,30,,,
Water Tanks,,gis,poi,,,{name},name,~.poi_type_id$name=Water Tank&~.location_id$gis_feature_type=2,,True,,Routes,False,,30,,,
Water Tanks,,gis,poi,,,{name},name,~.poi_type_id$name=Water Tank&~.location_id$gis_feature_type=3,,True,,Areas,False,,30,,,
