"Layer","Country","L1","L2","L3","Value"
"Sucos","TL","Baucau","Baucau","Seical","0.921965"
"Sucos","TL","Baucau","Baucau","Triloca","0.344086"
"Sucos","TL","Baucau","Baucau","Trilolo","0.047222"
"Sucos","TL","Baucau","Baucau","Wailili","0.315249"
"Sucos","TL","Baucau","Laga","Atelari","0.932773"
"Sucos","TL","Baucau","Laga","Libagua","0.951351"
"Sucos","TL","Baucau","Laga","Nunira","0.868852"
"Sucos","TL","Baucau","Laga","Saelari","0.441860"
"Sucos","TL","Baucau","Laga","Sagadati","0.951557"
"Sucos","TL","Baucau","Laga","Samalari","0.692053"
"Sucos","TL","Baucau","Laga","Soba","0.175439"
"Sucos","TL","Baucau","Laga","Tequino Mata","0.727634"
"Sucos","TL","Baucau","Quelicai","Abafala","0.729323"
"Sucos","TL","Baucau","Quelicai","Abo","0.949074"
"Sucos","TL","Baucau","Quelicai","Afaca","0.590278"
"Sucos","TL","Baucau","Quelicai","Baguia","0.191388"
"Sucos","TL","Baucau","Quelicai","Bualale","0.696078"
"Sucos","TL","Baucau","Quelicai","Guruca","0.037288"
"Sucos","TL","Baucau","Quelicai","Laisorolai de Baixo","0.877778"
"Sucos","TL","Baucau","Quelicai","Laisorolai de Cima","0.882729"
"Sucos","TL","Baucau","Quelicai","Lelalai","0.792350"
"Sucos","TL","Baucau","Quelicai","Letemuno","0.568571"
"Sucos","TL","Baucau","Quelicai","Locoliu","0.782748"
"Sucos","TL","Baucau","Quelicai","Macalaco","0.995370"
"Sucos","TL","Baucau","Quelicai","Maluro","0.988889"
"Sucos","TL","Baucau","Quelicai","Namanei","0.070270"
"Sucos","TL","Baucau","Quelicai","Waitame","0.659533"
"Sucos","TL","Baucau","Vemase","Caicua","0.909091"
"Sucos","TL","Baucau","Vemase","Loilubo","0.960000"
"Sucos","TL","Baucau","Vemase","Ossoala","0.543478"
"Sucos","TL","Baucau","Vemase","Ostico","0.981818"
"Sucos","TL","Baucau","Vemase","Uaigae","0.939024"
"Sucos","TL","Baucau","Vemase","Uatu-Lari","0.988439"
"Sucos","TL","Baucau","Vemase","Vemase","0.707500"
"Sucos","TL","Baucau","Venilale","Bada Ho'o","0.669492"
"Sucos","TL","Baucau","Venilale","Baha Mori","0.514806"
"Sucos","TL","Baucau","Venilale","Fatulia","0.685259"
"Sucos","TL","Baucau","Venilale","Uailaha","0.617577"
"Sucos","TL","Baucau","Venilale","Uaiolo","0.968379"
"Sucos","TL","Baucau","Venilale","Uataco","0.880000"
"Sucos","TL","Baucau","Venilale","Uma Ana Ico","0.608491"
"Sucos","TL","Baucau","Venilale","Uma Ana Ulu","0.531955"
"Sucos","TL","Bobonaro","Atabae","Aidabaleten","0.417297"
"Sucos","TL","Bobonaro","Atabae","Atabae","0.347368"
"Sucos","TL","Bobonaro","Atabae","Hataz","0.629969"
"Sucos","TL","Bobonaro","Atabae","Rairobo","0.287197"
"Sucos","TL","Bobonaro","Balibo","Balibo Vila","0.175109"
"Sucos","TL","Bobonaro","Balibo","Batugade","0.679907"
"Sucos","TL","Bobonaro","Balibo","Cowa","0.298013"
"Sucos","TL","Bobonaro","Balibo","Leohitu","0.309179"
"Sucos","TL","Bobonaro","Balibo","Leolima","0.605800"
"Sucos","TL","Bobonaro","Balibo","Sanirin","0.526611"
"Sucos","TL","Bobonaro","Bobonaro","Ai-Assa","0.201893"
"Sucos","TL","Bobonaro","Bobonaro","Atu-Aben","0.043796"
"Sucos","TL","Bobonaro","Bobonaro","Bobonaro","0.239437"
"Sucos","TL","Bobonaro","Bobonaro","Carabau","0.381279"
"Sucos","TL","Bobonaro","Bobonaro","Colimau","0.144444"
"Sucos","TL","Bobonaro","Bobonaro","Cotabot","0.454545"
"Sucos","TL","Bobonaro","Bobonaro","Ilat-Laun","0.560000"
"Sucos","TL","Bobonaro","Bobonaro","Leber","0.377953"
"Sucos","TL","Bobonaro","Bobonaro","Lour","0.987013"
"Sucos","TL","Bobonaro","Bobonaro","Lourba","0.256798"
"Sucos","TL","Bobonaro","Bobonaro","Male-Ubu","0.247734"
"Sucos","TL","Bobonaro","Bobonaro","Malilait","0.027237"
"Sucos","TL","Bobonaro","Bobonaro","Molop","0.462857"
"Sucos","TL","Bobonaro","Bobonaro","Oe-Leu","0.008969"
"Sucos","TL","Bobonaro","Bobonaro","Sibuni","0.597938"
"Sucos","TL","Bobonaro","Bobonaro","Soilesu","0.364865"
"Sucos","TL","Bobonaro","Bobonaro","Tapo","0.094340"
"Sucos","TL","Bobonaro","Bobonaro","Tebabui","0.014151"
"Sucos","TL","Bobonaro","Cailaco","Atudara","0.227425"
"Sucos","TL","Bobonaro","Cailaco","Dau Udo","0.026316"
"Sucos","TL","Bobonaro","Cailaco","Goulolo","0.567416"
"Sucos","TL","Bobonaro","Cailaco","Guenu Lai","0.020619"
"Sucos","TL","Bobonaro","Cailaco","Manapa","0.387195"
"Sucos","TL","Bobonaro","Cailaco","Meligo","0.200873"
"Sucos","TL","Bobonaro","Cailaco","Purugoa","0.688776"
"Sucos","TL","Bobonaro","Cailaco","Raiheu","0.128342"
"Sucos","TL","Bobonaro","Lolotoe","Deudet","0.327485"
"Sucos","TL","Bobonaro","Lolotoe","Gildapil","0.000000"
"Sucos","TL","Bobonaro","Lolotoe","Guda","0.188172"
"Sucos","TL","Bobonaro","Lolotoe","Lebos","0.219251"
"Sucos","TL","Bobonaro","Lolotoe","Lontas","0.000000"
"Sucos","TL","Bobonaro","Lolotoe","Lupal","0.246914"
"Sucos","TL","Bobonaro","Lolotoe","Opa","0.033835"
"Sucos","TL","Bobonaro","Maliana","Holsa","0.094301"
"Sucos","TL","Bobonaro","Maliana","Lahomea","0.010163"
"Sucos","TL","Bobonaro","Maliana","Odomau","0.089552"
"Sucos","TL","Bobonaro","Maliana","Raifun","0.027211"
"Sucos","TL","Bobonaro","Maliana","Ritabou","0.045249"
"Sucos","TL","Bobonaro","Maliana","Saburai","0.004132"
"Sucos","TL","Bobonaro","Maliana","Tapo/Memo","0.098810"
"Sucos","TL","Covalima","Suai","Camenasa","0.312092"
"Sucos","TL","Covalima","Fatululic","Fatululic","0.026316"
"Sucos","TL","Covalima","Fatululic","Taroman","0.110390"
"Sucos","TL","Covalima","Fatumean","Belulik Leten","0.474860"
"Sucos","TL","Covalima","Fatumean","Fatumea","0.028169"
"Sucos","TL","Covalima","Fatumean","Nanu","0.008696"
"Sucos","TL","Covalima","Forohem","Dato Rua","0.668293"
"Sucos","TL","Covalima","Forohem","Dato Tolu","0.295455"
"Sucos","TL","Covalima","Forohem","Fohoren","0.133779"
"Sucos","TL","Covalima","Forohem","Lactos","0.006711"
"Sucos","TL","Covalima","Maukatar","Belecasac","0.148387"
"Sucos","TL","Covalima","Maukatar","Holpilat","0.320574"
"Sucos","TL","Covalima","Maukatar","Matai","0.193939"
"Sucos","TL","Covalima","Maukatar","Ogues","0.634921"
"Sucos","TL","Covalima","Suai","Beco","0.222059"
"Sucos","TL","Covalima","Suai","Debos","0.163175"
"Sucos","TL","Covalima","Suai","Labarai","0.466539"
"Sucos","TL","Covalima","Suai","Suai loro","0.597260"
"Sucos","TL","Covalima","Tilomar","Casabauc","0.110429"
"Sucos","TL","Covalima","Tilomar","Foholulic","0.498127"
"Sucos","TL","Covalima","Tilomar","Lalawa","0.288312"
"Sucos","TL","Covalima","Tilomar","Maudemo","0.040741"
"Sucos","TL","Covalima","Zumalai","Fatuleto","0.000000"
"Sucos","TL","Covalima","Zumalai","Lepo","0.511312"
"Sucos","TL","Covalima","Zumalai","Lour","0.987013"
"Sucos","TL","Covalima","Zumalai","Mape","0.484375"
"Sucos","TL","Covalima","Zumalai","Raimea","0.473430"
"Sucos","TL","Covalima","Zumalai","Tashilin","0.697581"
"Sucos","TL","Covalima","Zumalai","Ucecai","0.906250"
"Sucos","TL","Covalima","Zumalai","Zulo","0.015723"
"Sucos","TL","Dili","Atauro","Atauro Vila/Maumeta","0.026718"
"Sucos","TL","Dili","Atauro","Beloi","0.300292"
"Sucos","TL","Dili","Atauro","Biceli","0.331658"
"Sucos","TL","Dili","Atauro","Macadade","0.467626"
"Sucos","TL","Dili","Atauro","Maquili","0.029674"
"Sucos","TL","Dili","Cristo Rei","Balibar","0.274286"
"Sucos","TL","Dili","Cristo Rei","Becora","0.037257"
"Sucos","TL","Dili","Cristo Rei","Bidau Santana","0.078341"
"Sucos","TL","Dili","Cristo Rei","Camea","0.104555"
"Sucos","TL","Dili","Cristo Rei","Culu Hun","0.007181"
"Sucos","TL","Dili","Cristo Rei","Hera","0.123782"
"Sucos","TL","Dili","Cristo Rei","Meti Aut","0.037736"
"Sucos","TL","Dili","Dom Aleixo","Bairo Pite","0.034770"
"Sucos","TL","Dili","Dom Aleixo","Comoro","0.027160"
"Sucos","TL","Dili","Dom Aleixo","Fatuhada","0.050534"
"Sucos","TL","Dili","Dom Aleixo","Kampung Alor","0.033254"
"Sucos","TL","Dili","Metinaro","Duyung (Sereia)","0.166667"
"Sucos","TL","Dili","Metinaro","Sabuli","0.169231"
"Sucos","TL","Dili","Nain Feto","Acadiru Hun","0.056886"
"Sucos","TL","Dili","Nain Feto","Bemori","0.050453"
"Sucos","TL","Dili","Nain Feto","Bidau lecidere","0.229412"
"Sucos","TL","Dili","Nain Feto","Gricenfor","0.029557"
"Sucos","TL","Dili","Nain Feto","Lahane oriental","0.050857"
"Sucos","TL","Dili","Nain Feto","Santa cruz","0.005924"
"Sucos","TL","Dili","Vera Cruz","Caicoli","0.024480"
"Sucos","TL","Dili","Vera Cruz","Colmera","0.013245"
"Sucos","TL","Dili","Vera Cruz","Dare","0.347518"
"Sucos","TL","Dili","Vera Cruz","Lahane Ocidental","0.031561"
"Sucos","TL","Dili","Vera Cruz","Macarenhas","0.016260"
"Sucos","TL","Dili","Vera Cruz","Motael","0.006637"
"Sucos","TL","Dili","Vera Cruz","Vila Verde","0.015853"
"Sucos","TL","Ermera","Atsabe","Atadame/Malabe","0.211382"
"Sucos","TL","Ermera","Atsabe","Atara","0.074627"
"Sucos","TL","Ermera","Atsabe","Baboi Craic","0.215873"
"Sucos","TL","Ermera","Atsabe","Batumanu","0.050279"
"Sucos","TL","Ermera","Atsabe","Beboi Leten","0.435233"
"Sucos","TL","Ermera","Atsabe","Laclo","0.185874"
"Sucos","TL","Ermera","Atsabe","Lasaun","0.411483"
"Sucos","TL","Ermera","Atsabe","Laubono","0.986111"
"Sucos","TL","Ermera","Atsabe","Leimea Leten","0.829201"
"Sucos","TL","Ermera","Atsabe","Obulo","0.349254"
"Sucos","TL","Ermera","Atsabe","Paramin","0.414343"
"Sucos","TL","Ermera","Atsabe","Tiarlelo","0.717949"
"Sucos","TL","Ermera","Ermera","Estado","0.350476"
"Sucos","TL","Ermera","Ermera","Humboe","0.335385"
"Sucos","TL","Ermera","Ermera","Lauala","0.147420"
"Sucos","TL","Ermera","Ermera","Leguimea","0.366667"
"Sucos","TL","Ermera","Ermera","Mirtutu","0.627599"
"Sucos","TL","Ermera","Ermera","Poetete","0.408439"
"Sucos","TL","Ermera","Ermera","Ponilala","0.036170"
"Sucos","TL","Ermera","Ermera","Raimerhei","0.416847"
"Sucos","TL","Ermera","Ermera","Riheu","0.093174"
"Sucos","TL","Ermera","Ermera","Talimoro","0.253333"
"Sucos","TL","Ermera","Hatolia","Ailelo","0.540084"
"Sucos","TL","Ermera","Hatolia","Asulau","0.440367"
"Sucos","TL","Ermera","Hatolia","Coliate-Leotelo","0.780860"
"Sucos","TL","Ermera","Hatolia","Fatubolu","0.465549"
"Sucos","TL","Ermera","Hatolia","Fatuessi","0.191199"
"Sucos","TL","Ermera","Hatolia","Hatolia","0.607527"
"Sucos","TL","Ermera","Hatolia","Leimeacraic","0.842342"
"Sucos","TL","Ermera","Hatolia","Lemia Sorimbalu","0.672566"
"Sucos","TL","Ermera","Hatolia","Lissapat","0.820225"
"Sucos","TL","Ermera","Hatolia","Manusae","0.847988"
"Sucos","TL","Ermera","Hatolia","Mau-Ubu","0.834694"
"Sucos","TL","Ermera","Hatolia","Samara","0.341880"
"Sucos","TL","Ermera","Hatolia","Urahou","0.828265"
"Sucos","TL","Ermera","Letefoho","Catrai Leten","0.631961"
"Sucos","TL","Ermera","Letefoho","Catrai-Craic","0.890282"
"Sucos","TL","Ermera","Letefoho","Ducurai","0.371173"
"Sucos","TL","Ermera","Letefoho","Eraulo","0.595890"
"Sucos","TL","Ermera","Letefoho","Goulolo","0.567416"
"Sucos","TL","Ermera","Letefoho","Hatugau","0.571429"
"Sucos","TL","Ermera","Letefoho","Haupu","0.766667"
"Sucos","TL","Ermera","Letefoho","Lauana","0.377440"
"Sucos","TL","Ermera","Railaco","Deleco","0.029851"
"Sucos","TL","Ermera","Railaco","Fatuquero","0.283912"
"Sucos","TL","Ermera","Railaco","Lihu","0.107623"
"Sucos","TL","Ermera","Railaco","Matata","0.820513"
"Sucos","TL","Ermera","Railaco","Railaco Craic","0.436782"
"Sucos","TL","Ermera","Railaco","Railaco Leten","0.529126"
"Sucos","TL","Ermera","Railaco","Samalete","0.280220"
"Sucos","TL","Ermera","Railaco","Taraco","0.823529"
"Sucos","TL","Ermera","Railaco","Tocoluli","0.136612"
"Sucos","TL","Lautém","Iliomar","Ailebere","0.274194"
"Sucos","TL","Lautém","Iliomar","Cainliu","0.220833"
"Sucos","TL","Lautém","Iliomar","Fuat","0.032051"
"Sucos","TL","Lautém","Iliomar","Iliomar I","0.837945"
"Sucos","TL","Lautém","Iliomar","Iliomar II","0.069231"
"Sucos","TL","Lautém","Iliomar","Tirilolo","0.119760"
"Sucos","TL","Lautém","Lautém","Baduro","0.047059"
"Sucos","TL","Lautém","Lautém","Com","0.067873"
"Sucos","TL","Lautém","Lautém","Daudare","0.533546"
"Sucos","TL","Lautém","Lautém","Euquisi","0.497409"
"Sucos","TL","Lautém","Lautém","Ililai","0.386364"
"Sucos","TL","Lautém","Lautém","Maina I","0.488372"
"Sucos","TL","Lautém","Lautém","Maina II","0.040359"
"Sucos","TL","Lautém","Lautém","Pairara","0.050139"
"Sucos","TL","Lautém","Lautém","Parlamento","0.095745"
"Sucos","TL","Lautém","Lautém","Serelau","0.421384"
"Sucos","TL","Lautém","Lospalos","Bauro","0.526432"
"Sucos","TL","Lautém","Lospalos","Cacavem","0.520833"
"Sucos","TL","Lautém","Lospalos","Fuiloro","0.199120"
"Sucos","TL","Lautém","Lospalos","Home","0.075342"
"Sucos","TL","Lautém","Lospalos","Leuro","0.871429"
"Sucos","TL","Lautém","Lospalos","Lore I","0.104803"
"Sucos","TL","Lautém","Lospalos","Lore II","0.000000"
"Sucos","TL","Lautém","Lospalos","Muapitine","0.003937"
"Sucos","TL","Lautém","Lospalos","Raca","0.687225"
"Sucos","TL","Lautém","Lospalos","Souro","0.668712"
"Sucos","TL","Lautém","Luro","Afabubu","0.468468"
"Sucos","TL","Lautém","Luro","Baricafa","0.243243"
"Sucos","TL","Lautém","Luro","Cotamutu","0.260684"
"Sucos","TL","Lautém","Luro","Lacawa","0.774194"
"Sucos","TL","Lautém","Luro","Luro","0.312000"
"Sucos","TL","Lautém","Luro","Wairoce","0.993197"
"Sucos","TL","Lautém","Tutuala","Mehara","0.006263"
"Sucos","TL","Lautém","Tutuala","Tutuala","0.992063"
"Sucos","TL","Liquiçá","Bazartete","Fahilebo","0.557471"
"Sucos","TL","Liquiçá","Bazartete","Fatumasi","0.192469"
"Sucos","TL","Liquiçá","Bazartete","Lauhata","0.194690"
"Sucos","TL","Liquiçá","Bazartete","Leorema","0.638817"
"Sucos","TL","Liquiçá","Bazartete","Maumeta","0.069767"
"Sucos","TL","Liquiçá","Bazartete","Metagou","0.163701"
"Sucos","TL","Liquiçá","Bazartete","Motaulun","0.155797"
"Sucos","TL","Liquiçá","Bazartete","Tibar","0.034965"
"Sucos","TL","Liquiçá","Bazartete","Ulmera","0.320430"
"Sucos","TL","Liquiçá","Liquiçá","Asumano","0.498392"
"Sucos","TL","Liquiçá","Liquiçá","Darulete","0.206751"
"Sucos","TL","Liquiçá","Liquiçá","Dato","0.145782"
"Sucos","TL","Liquiçá","Liquiçá","Hatuquessi","0.500000"
"Sucos","TL","Liquiçá","Liquiçá","Leoteala","0.337838"
"Sucos","TL","Liquiçá","Liquiçá","Loidahar","0.188000"
"Sucos","TL","Liquiçá","Liquiçá","Luculai","0.330189"
"Sucos","TL","Liquiçá","Maubara","Gugleur","0.546142"
"Sucos","TL","Liquiçá","Maubara","Guico","0.246269"
"Sucos","TL","Liquiçá","Maubara","Lissadila","0.189189"
"Sucos","TL","Liquiçá","Maubara","Maubaralissa","0.267606"
"Sucos","TL","Liquiçá","Maubara","Vatuboro","0.327314"
"Sucos","TL","Liquiçá","Maubara","Vatuvou","0.178849"
"Sucos","TL","Liquiçá","Maubara","Vaviquinia","0.291139"
"Sucos","TL","Manatuto","Barique/Natarbora","Abat Oan","0.010471"
"Sucos","TL","Manatuto","Barique/Natarbora","Aubeon","0.174157"
"Sucos","TL","Manatuto","Barique/Natarbora","Barique","0.378947"
"Sucos","TL","Manatuto","Barique/Natarbora","Manehat","0.442623"
"Sucos","TL","Manatuto","Barique/Natarbora","Uma Boco","0.284047"
"Sucos","TL","Manatuto","Laclo","Hohorai","0.750000"
"Sucos","TL","Manatuto","Laclo","Lacumesac","0.358763"
"Sucos","TL","Manatuto","Laclo","Uma Naruc","0.388158"
"Sucos","TL","Manatuto","Laclo","Umacaduac","0.181250"
"Sucos","TL","Manatuto","Laclubar","Batara","0.170909"
"Sucos","TL","Manatuto","Laclubar","Fatumaquerec","0.786408"
"Sucos","TL","Manatuto","Laclubar","Funar","0.945017"
"Sucos","TL","Manatuto","Laclubar","Manelima","0.585714"
"Sucos","TL","Manatuto","Laclubar","Orlalan","0.411854"
"Sucos","TL","Manatuto","Laclubar","Sanana'in","0.601770"
"Sucos","TL","Manatuto","Laleia","Cairui","0.100490"
"Sucos","TL","Manatuto","Laleia","Haturalan","0.130081"
"Sucos","TL","Manatuto","Laleia","Lifau","0.040724"
"Sucos","TL","Manatuto","Manatuto","Ailili","0.175000"
"Sucos","TL","Manatuto","Manatuto","Aiteas","0.038168"
"Sucos","TL","Manatuto","Manatuto","Cribas","0.568452"
"Sucos","TL","Manatuto","Manatuto","Iliheu","0.216867"
"Sucos","TL","Manatuto","Manatuto","Ma'abat","0.026144"
"Sucos","TL","Manatuto","Manatuto","Sau","0.058252"
"Sucos","TL","Manatuto","Soibada","Fatumacerec","0.907563"
"Sucos","TL","Manatuto","Soibada","Leo Hat","0.041322"
"Sucos","TL","Manatuto","Soibada","Manlala","0.066667"
"Sucos","TL","Manatuto","Soibada","Manufahi","0.000000"
"Sucos","TL","Manatuto","Soibada","Samoro","0.432836"
"Sucos","TL","Manufahi","Alas","Aituha","0.983333"
"Sucos","TL","Manufahi","Alas","Dotic","0.654804"
"Sucos","TL","Manufahi","Alas","Mahaquidan","0.471154"
"Sucos","TL","Manufahi","Alas","Taitudac","0.122449"
"Sucos","TL","Manufahi","Alas","Uma Berloic","0.212670"
"Sucos","TL","Manufahi","Fatuberliu","Bubususu","0.469697"
"Sucos","TL","Manufahi","Fatuberliu","Caicasa","0.950249"
"Sucos","TL","Manufahi","Fatuberliu","Clacuc","0.522523"
"Sucos","TL","Manufahi","Fatuberliu","Fahinehan","0.926702"
"Sucos","TL","Manufahi","Fatuberliu","Fatucahi","0.859155"
"Sucos","TL","Manufahi","Same","Babulu","0.183024"
"Sucos","TL","Manufahi","Same","Betano","0.369390"
"Sucos","TL","Manufahi","Same","Daisua","0.759036"
"Sucos","TL","Manufahi","Same","Grotu","0.215686"
"Sucos","TL","Manufahi","Same","Holarua","0.302825"
"Sucos","TL","Manufahi","Same","Letefoho","0.066995"
"Sucos","TL","Manufahi","Same","Rotuto","0.204545"
"Sucos","TL","Manufahi","Same","Tutuluru","0.654804"
"Sucos","TL","Manufahi","Turiscai","Aitemua","0.393939"
"Sucos","TL","Manufahi","Turiscai","Beremana","0.971963"
"Sucos","TL","Manufahi","Turiscai","Caimauc","0.541935"
"Sucos","TL","Manufahi","Turiscai","Fatucalo","0.038462"
"Sucos","TL","Manufahi","Turiscai","Foholau","0.484375"
"Sucos","TL","Manufahi","Turiscai","Lesuata","0.675325"
"Sucos","TL","Manufahi","Turiscai","Liurai","0.405063"
"Sucos","TL","Manufahi","Turiscai","Manumera","0.540107"
"Sucos","TL","Manufahi","Turiscai","Matorec","0.290323"
"Sucos","TL","Manufahi","Turiscai","Mindelo","0.575000"
"Sucos","TL","Manufahi","Turiscai","Orana","0.894737"
"Sucos","TL","Oecussi","Nitibe","Banafi","0.104218"
"Sucos","TL","Oecussi","Nitibe","Bene-Ufe","0.460102"
"Sucos","TL","Oecussi","Nitibe","Lela-Ufe","0.121547"
"Sucos","TL","Oecussi","Nitibe","Suni-Ufe","0.021739"
"Sucos","TL","Oecussi","Nitibe","Usi-Taco","0.402923"
"Sucos","TL","Oecussi","Oesilo","Bobometo","0.239077"
"Sucos","TL","Oecussi","Oesilo","Usi-Tacae","0.287193"
"Sucos","TL","Oecussi","Oesilo","Usi-Taqueno","0.037815"
"Sucos","TL","Oecussi","Pante Macasar","Bobocase","0.212454"
"Sucos","TL","Oecussi","Pante Macasar","Costa","0.231282"
"Sucos","TL","Oecussi","Pante Macasar","Cunha","0.260450"
"Sucos","TL","Oecussi","Pante Macasar","Lalisuc","0.668262"
"Sucos","TL","Oecussi","Pante Macasar","Lifau","0.040724"
"Sucos","TL","Oecussi","Pante Macasar","Naimeco","0.507143"
"Sucos","TL","Oecussi","Pante Macasar","Nipani","0.361446"
"Sucos","TL","Oecussi","Pante Macasar","Taiboco","0.627773"
"Sucos","TL","Oecussi","Passabe","Abani","0.518038"
"Sucos","TL","Oecussi","Passabe","Malelat","0.750656"
"Sucos","TL","Viqueque","Lacluta","Ahic","0.940000"
"Sucos","TL","Viqueque","Lacluta","Dilor","0.523404"
"Sucos","TL","Viqueque","Lacluta","Laline","0.959514"
"Sucos","TL","Viqueque","Lacluta","Uma Tolu","0.753788"
"Sucos","TL","Viqueque","Ossu","Builale","0.405128"
"Sucos","TL","Viqueque","Ossu","Liaruca","0.379310"
"Sucos","TL","Viqueque","Ossu","Loi-Huno","0.047138"
"Sucos","TL","Viqueque","Ossu","Nahareca","0.240816"
"Sucos","TL","Viqueque","Ossu","Ossorua","0.185185"
"Sucos","TL","Viqueque","Ossu","Ossu de Cima","0.183305"
"Sucos","TL","Viqueque","Ossu","Uabubo","0.189944"
"Sucos","TL","Viqueque","Ossu","Uaibobo","0.500000"
"Sucos","TL","Viqueque","Ossu","Uaigia","0.172840"
"Sucos","TL","Viqueque","Uatucarbau","Afaloicai","0.917722"
"Sucos","TL","Viqueque","Uatucarbau","Bahatata","0.774194"
"Sucos","TL","Viqueque","Uatucarbau","Irabin de Baixo","0.602851"
"Sucos","TL","Viqueque","Uatucarbau","Irabin de Cima","1.000000"
"Sucos","TL","Viqueque","Uatucarbau","Loi Ulu","0.390476"
"Sucos","TL","Viqueque","Uatucarbau","Uani Uma","0.707692"
"Sucos","TL","Viqueque","Viqueque","Bahalarauain","0.866906"
"Sucos","TL","Viqueque","Viqueque","Bibileo","0.692972"
