Organisation,Office,Code,Catalog,Asset No,Type,Category,Name,Room,Assigned To,Brand,Model,SN,Supplier,Date,Price,Comments
Timor-Leste Red Cross Society,Lospalos Branch Office,,Default,HR-583-02,4,Communications,Hand Radio,,,Motorola,HU-306,IF-6534-3240,,,,
Timor-Leste Red Cross Society,Manatuto Branch Office,,Default,HR-583-03,4,Communications,Hand Radio,,,Motorola,HU-306,IF-7585-2214,,,,
Timor-Leste Red Cross Society,Same Branch Office,,Default,HR-583-04,4,Communications,Hand Radio,,,Motorola,HU-306,IF-5535-8762,,,,
Timor-Leste Red Cross Society,Viqueque Branch Office,,Default,HR-583-05,4,Communications,Hand Radio,,,Motorola,HU-306,IF-1002-7135,,,,
Timor-Leste Red Cross Society,Ainaro Branch Office,,Default,BS-689-01,4,Communications,Radio Base Station,,,Motorola,BU-205-X,IF-8708-1575,,,,
Timor-Leste Red Cross Society,Lospalos Branch Office,,Default,BS-689-02,4,Communications,Radio Base Station,,,Motorola,BU-205-X,IF-9532-2410,,,,
Timor-Leste Red Cross Society,Manatuto Branch Office,,Default,BS-689-03,4,Communications,Radio Base Station,,,Motorola,BU-205-X,IF-7972-6086,,,,
Timor-Leste Red Cross Society,Same Branch Office,,Default,BS-689-04,4,Communications,Radio Base Station,,,Motorola,BU-205-X,IF-3368-9365,,,,
Timor-Leste Red Cross Society,Viqueque Branch Office,,Default,BS-689-05,4,Communications,Radio Base Station,,,Motorola,BU-205-X,IF-1907-8332,,,,
Timor-Leste Red Cross Society,Ainaro Branch Office,,Default,LP-489-01,4,IT,Laptop,,,Toshiba,N7000,TGH-8156-5456,,,,
Timor-Leste Red Cross Society,Lospalos Branch Office,,Default,LP-489-02,4,IT,Laptop,,,Toshiba,N7000,TGH-5183-8926,,,,
Timor-Leste Red Cross Society,Manatuto Branch Office,,Default,LP-489-03,4,IT,Laptop,,,Toshiba,N7000,TGH-7830-9090,,,,
Timor-Leste Red Cross Society,Same Branch Office,,Default,LP-489-04,4,IT,Laptop,,,Toshiba,N7000,TGH-8937-9025,,,,
Timor-Leste Red Cross Society,Viqueque Branch Office,,Default,LP-489-05,4,IT,Laptop,,,Toshiba,N7000,TGH-2183-5851,,,,
Timor-Leste Red Cross Society,Ainaro Branch Office,,Default,LP-489-06,4,IT,Laptop,,,Toshiba,N7000,TGH-5982-9601,,,,
Timor-Leste Red Cross Society,Lospalos Branch Office,,Default,LP-489-07,4,IT,Laptop,,,Toshiba,N7000,TGH-8494-6696,,,,
Timor-Leste Red Cross Society,Manatuto Branch Office,,Default,LP-489-08,4,IT,Laptop,,,Toshiba,N7000,TGH-9102-5935,,,,
Timor-Leste Red Cross Society,Same Branch Office,,Default,LP-489-09,4,IT,Laptop,,,Toshiba,N7000,TGH-7535-9327,,,,
Timor-Leste Red Cross Society,Viqueque Branch Office,,Default,LP-489-10,4,IT,Laptop,,,Toshiba,N7000,TGH-9914-3200,,,,
