"ADM2_NAME","ADM2_CODE","ADM3_CODE","ADM3_NAME"
"Cagayan",21500000,21519000,"Peñablanca"
"Nueva Ecija",34900000,34921000,"Peñaranda"
"Abra",140100000,140117000,"Peñarrubia"
"Quezon",45600000,45633000,"Perez"
"Lanao del Sur",153600000,153621000,"Piagapo"
"Cagayan",21500000,21520000,"Piat"
"Lanao del Sur",153600000,153635000,"Picong (Sultan Gumander)"
"Ilocos Norte",12800000,12818000,"Piddig"
"Abra",140100000,140118000,"Pidigan"
"Cotabato (North Cotabato)",124700000,124711000,"Pigkawayan"
"Cotabato (North Cotabato)",124700000,124712000,"Pikit"
"Laguna",43400000,43422000,"Pila"
"Capiz",61900000,61911000,"Pilar"
"Surigao del Norte",166700000,166716000,"Pilar"
"Bohol",71200000,71234000,"Pilar"
"Cebu",72200000,72236000,"Pilar"
"Abra",140100000,140119000,"Pilar"
"Bataan",30800000,30811000,"Pilar"
"Sorsogon",56200000,56213000,"Pilar"
"Camarines Sur",51700000,51728000,"Pili (capital)"
"Rizal",45800000,45810000,"Pililla"
"Samar (Western Samar)",86000000,86013000,"Pinabacdao"
"Oriental Mindoro",175200000,175209000,"Pinamalayan"
"Cebu",72200000,72237000,"Pinamungahan"
"Zamboanga del Norte",97200000,97209000,"Piñan (New Piñan)"
"Ilocos Norte",12800000,12819000,"Pinili"
"Southern Leyte",86400000,86411000,"Pintuyan"
"Kalinga",143200000,143209000,"Pinukpuk"
"Albay",50500000,50513000,"Pio Duran"
"Masbate",54100000,54116000,"Pio V. Corpuz (Limbuhan)"
"Quezon",45600000,45634000,"Pitogo"
"Zamboanga del Sur",97300000,97338000,"Pitogo"
"Masbate",54100000,54117000,"Placer"
"Surigao del Norte",166700000,166717000,"Placer"
"Bulacan",31400000,31417000,"Plaridel"
"Quezon",45600000,45635000,"Plaridel"
"Misamis Occidental",104200000,104212000,"Plaridel"
"Oriental Mindoro",175200000,175210000,"Pola"
"Zamboanga del Norte",97200000,97210000,"Polanco"
"Albay",50500000,50514000,"Polangui"
"Quezon",45600000,45636000,"Polillo"
"South Cotabato",126300000,126312000,"Polomolok"
"Negros Occidental",64500000,64521000,"Pontevedra"
"Capiz",61900000,61912000,"Pontevedra"
"Lanao del Sur",153600000,153622000,"Poona Bayabao (Gata)"
"Lanao del Norte",103500000,103517000,"Poona Piagapo"
"Pampanga",35400000,35415000,"Porac"
"Cebu",72200000,72238000,"Poro"
"Iloilo",63000000,63037000,"Pototan"
"Pangasinan",15500000,15530000,"Pozzorubio"
"Bohol",71200000,71235000,"Pres. Carlos P. Garcia (Pitogo)"
"Zamboanga del Norte",97200000,97211000,"Pres. Manuel A. Roxas"
"Camarines Sur",51700000,51729000,"Presentacion (Parubcan)"
"Sultan Kudarat",126500000,126510000,"President Quirino"
"Cotabato (North Cotabato)",124700000,124713000,"President Roxas"
"Capiz",61900000,61913000,"President Roxas"
"Sorsogon",56200000,56214000,"Prieto Diaz"
"Agusan del Sur",160300000,160306000,"Prosperidad (capital)"
"Lanao del Sur",153600000,153623000,"Pualas"
"Apayao",148100000,148106000,"Pudtol"
"Oriental Mindoro",175200000,175211000,"Puerto Galera"
"La Union",13300000,13312000,"Pugo"
"Bulacan",31400000,31418000,"Pulilan"
"Negros Occidental",64500000,64522000,"Pulupandan"
"Tarlac",36900000,36911000,"Pura"
"Palawan",175300000,175317000,"Quezon"
"Isabela",23100000,23122000,"Quezon"
"Bukidnon",101300000,101317000,"Quezon"
"Quezon",45600000,45637000,"Quezon"
"Nueva Vizcaya",25000000,25011000,"Quezon"
"Nueva Ecija",34900000,34922000,"Quezon"
"Eastern Samar",82600000,82618000,"Quinapondan"
"Isabela",23100000,23123000,"Quirino"
"Ilocos Sur",12900000,12915000,"Quirino (Angkaki)"
"Camarines Sur",51700000,51730000,"Ragay"
"Maguindanao",153800000,153829000,"Rajah Buayan"
"Isabela",23100000,23124000,"Ramon"
"Zamboanga del Sur",97300000,97323000,"Ramon Magsaysay (Liargo)"
"Tarlac",36900000,36912000,"Ramos"
"Albay",50500000,50515000,"Rapu-Rapu"
"Quezon",45600000,45638000,"Real"
"Isabela",23100000,23125000,"Reina Mercedes"
"Agusan del Norte",160200000,160212000,"Remedios T. Romualdez"
"Nueva Ecija",34900000,34923000,"Rizal"
"Occidental Mindoro",175100000,175108000,"Rizal"
"Zamboanga del Norte",97200000,97212000,"Rizal"
"Cagayan",21500000,21521000,"Rizal"
"Laguna",43400000,43423000,"Rizal"
"Kalinga",143200000,143211000,"Rizal (Liwan)"
"Palawan",175300000,175323000,"Rizal (Marcos)"
"Rizal",45800000,45808000,"Rodriguez (Montalban)"
"Romblon",175900000,175910000,"Romblon (capital)"
"Cebu",72200000,72239000,"Ronda"
"Pangasinan",15500000,15531000,"Rosales"
"Batangas",41000000,41021000,"Rosario"
"Agusan del Sur",160300000,160307000,"Rosario"
"Northern Samar",84800000,84816000,"Rosario"
"La Union",13300000,13313000,"Rosario"
"Cavite",42100000,42117000,"Rosario"
"Zamboanga Sibugay",98300000,98312000,"Roseller Lim"
"Oriental Mindoro",175200000,175212000,"Roxas"
"Isabela",23100000,23126000,"Roxas"
"Palawan",175300000,175318000,"Roxas"
"Mountain Province",144400000,144407000,"Sabangan"
"Benguet",141100000,141112000,"Sablan"
"Occidental Mindoro",175100000,175109000,"Sablayan"
"Batanes",20900000,20905000,"Sabtang"
"Mountain Province",144400000,144408000,"Sadanga"
"Mountain Province",144400000,144409000,"Sagada"
"Camiguin",101800000,101805000,"Sagay"
"Bohol",71200000,71236000,"Sagbayan (Borja)"
"Camarines Sur",51700000,51731000,"Sagñay"
"Quirino",25700000,25705000,"Saguday"
"Lanao del Sur",153600000,153625000,"Saguiaran"
"Southern Leyte",86400000,86412000,"Saint Bernard"
"Misamis Oriental",104300000,104322000,"Salay"
"Eastern Samar",82600000,82619000,"Salcedo"
"Ilocos Sur",12900000,12916000,"Salcedo (Baugen)"
"Abra",140100000,140120000,"Sallapadan"
"Zamboanga del Norte",97200000,97213000,"Salug"
"Lanao del Norte",103500000,103518000,"Salvador"
"Negros Occidental",64500000,64532000,"Salvador Benedicto"
"Bataan",30800000,30812000,"Samal"
"Cebu",72200000,72240000,"Samboan"
"Quezon",45600000,45639000,"Sampaloc"
"Surigao del Sur",166800000,166815000,"San Agustin"
"Isabela",23100000,23127000,"San Agustin"
"Romblon",175900000,175911000,"San Agustin"
"Quezon",45600000,45640000,"San Andres"
"Romblon",175900000,175912000,"San Andres"
"Catanduanes",52000000,52008000,"San Andres (Calolbon)"
"Nueva Ecija",34900000,34924000,"San Antonio"
"Northern Samar",84800000,84817000,"San Antonio"
"Quezon",45600000,45641000,"San Antonio"
"Zambales",37100000,37109000,"San Antonio"
"Surigao del Norte",166700000,166718000,"San Benito"
"Tarlac",36900000,36913000,"San Clemente"
"Iloilo",63000000,63038000,"San Dionisio"
"Ilocos Sur",12900000,12917000,"San Emilio"
"Negros Occidental",64500000,64525000,"San Enrique"
"Iloilo",63000000,63039000,"San Enrique"
"Ilocos Sur",12900000,12918000,"San Esteban"
"Pangasinan",15500000,15533000,"San Fabian"
"Zambales",37100000,37110000,"San Felipe"
"Masbate",54100000,54118000,"San Fernando"
"Bukidnon",101300000,101318000,"San Fernando"
"Cebu",72200000,72241000,"San Fernando"
"Romblon",175900000,175913000,"San Fernando"
"Camarines Sur",51700000,51732000,"San Fernando"
"Agusan del Sur",160300000,160308000,"San Francisco"
"Southern Leyte",86400000,86413000,"San Francisco"
"Cebu",72200000,72242000,"San Francisco"
"Surigao del Norte",166700000,166719000,"San Francisco (Anao-Aon)"
"Quezon",45600000,45642000,"San Francisco (Aurora)"
"La Union",13300000,13315000,"San Gabriel"
"Isabela",23100000,23128000,"San Guillermo"
"Ilocos Sur",12900000,12919000,"San Ildefonso"
"Bulacan",31400000,31419000,"San Ildefonso"
"Abra",140100000,140121000,"San Isidro"
"Nueva Ecija",34900000,34925000,"San Isidro"
"Davao Oriental",112500000,112510000,"San Isidro"
"Northern Samar",84800000,84818000,"San Isidro"
"Bohol",71200000,71237000,"San Isidro"
"Davao del Norte",112300000,112324000,"San Isidro"
"Isabela",23100000,23129000,"San Isidro"
"Leyte",83700000,83742000,"San Isidro"
"Surigao del Norte",166700000,166720000,"San Isidro"
"Pangasinan",15500000,15534000,"San Jacinto"
"Masbate",54100000,54119000,"San Jacinto"
"Iloilo",63000000,63040000,"San Joaquin"
"Samar (Western Samar)",86000000,86025000,"San Jorge"
"Occidental Mindoro",175100000,175110000,"San Jose"
"Camarines Sur",51700000,51733000,"San Jose"
"Romblon",175900000,175914000,"San Jose"
"Northern Samar",84800000,84819000,"San Jose"
"Negros Oriental",74600000,74617000,"San Jose"
"Batangas",41000000,41022000,"San Jose"
"Tarlac",36900000,36918000,"San Jose"
"Dinagat Islands",168500000,168506000,"San Jose (capital)"
"Antique",60600000,60613000,"San Jose (capital)"
"Samar (Western Samar)",86000000,86014000,"San Jose De Buan"
"Siquijor",76100000,76105000,"San Juan"
"Abra",140100000,140122000,"San Juan"
"La Union",13300000,13316000,"San Juan"
"Batangas",41000000,41023000,"San Juan"
"Southern Leyte",86400000,86414000,"San Juan (Cabalian)"
"Ilocos Sur",12900000,12920000,"San Juan (Lapog)"
"Eastern Samar",82600000,82620000,"San Julian"
"Nueva Ecija",34900000,34927000,"San Leonardo"
"Guimaras",67900000,67904000,"San Lorenzo"
"Camarines Norte",51600000,51604000,"San Lorenzo Ruiz (Imelda)"
"Aurora",37700000,37708000,"San Luis"
"Agusan del Sur",160300000,160309000,"San Luis"
"Batangas",41000000,41024000,"San Luis"
"Pampanga",35400000,35417000,"San Luis"
"Isabela",23100000,23130000,"San Manuel"
"Tarlac",36900000,36914000,"San Manuel"
"Pangasinan",15500000,15535000,"San Manuel"
"Zambales",37100000,37111000,"San Marcelino"
"Isabela",23100000,23131000,"San Mariano"
"Isabela",23100000,23132000,"San Mateo"
"Rizal",45800000,45811000,"San Mateo"
"Catanduanes",52000000,52009000,"San Miguel"
"Leyte",83700000,83743000,"San Miguel"
"Zamboanga del Sur",97300000,97324000,"San Miguel"
"Bohol",71200000,71238000,"San Miguel"
"Iloilo",63000000,63041000,"San Miguel"
"Bulacan",31400000,31421000,"San Miguel"
"Surigao del Sur",166800000,166816000,"San Miguel"
"Zambales",37100000,37112000,"San Narciso"
"Quezon",45600000,45644000,"San Narciso"
"Batangas",41000000,41025000,"San Nicolas"
"Pangasinan",15500000,15536000,"San Nicolas"
"Ilocos Norte",12800000,12820000,"San Nicolas"
"Zamboanga del Sur",97300000,97325000,"San Pablo"
"Isabela",23100000,23133000,"San Pablo"
"Masbate",54100000,54120000,"San Pascual"
"Batangas",41000000,41026000,"San Pascual"
"Laguna",43400000,43425000,"San Pedro"
"Eastern Samar",82600000,82621000,"San Policarpo"
"Pangasinan",15500000,15537000,"San Quintin"
"Abra",140100000,140123000,"San Quintin"
"Iloilo",63000000,63042000,"San Rafael"
"Bulacan",31400000,31422000,"San Rafael"
"Cebu",72200000,72243000,"San Remigio"
"Antique",60600000,60614000,"San Remigio"
"Southern Leyte",86400000,86415000,"San Ricardo"
"Northern Samar",84800000,84820000,"San Roque"
"Samar (Western Samar)",86000000,86015000,"San Sebastian"
"Pampanga",35400000,35418000,"San Simon"
"Oriental Mindoro",175200000,175213000,"San Teodoro"
"Northern Samar",84800000,84821000,"San Vicente"
"Camarines Norte",51600000,51609000,"San Vicente"
"Palawan",175300000,175319000,"San Vicente"
"Ilocos Sur",12900000,12921000,"San Vicente"
"Cagayan",21500000,21522000,"Sanchez-Mira"
"Ilocos Sur",12900000,12922000,"Santa"
"Cagayan",21500000,21523000,"Santa Ana"
"Pampanga",35400000,35419000,"Santa Ana"
"Pangasinan",15500000,15538000,"Santa Barbara"
"Iloilo",63000000,63043000,"Santa Barbara"
"Ilocos Sur",12900000,12923000,"Santa Catalina"
"Negros Oriental",74600000,74618000,"Santa Catalina"
"Zambales",37100000,37113000,"Santa Cruz"
"Occidental Mindoro",175100000,175111000,"Santa Cruz"
"Ilocos Sur",12900000,12924000,"Santa Cruz"
"Marinduque",174000000,174005000,"Santa Cruz"
"Davao del Sur",112400000,112412000,"Santa Cruz"
"Laguna",43400000,43426000,"Santa Cruz (capital)"
"Camarines Norte",51600000,51610000,"Santa Elena"
"Cebu",72200000,72244000,"Santa Fe"
"Leyte",83700000,83744000,"Santa Fe"
"Nueva Vizcaya",25000000,25012000,"Santa Fe"
"Romblon",175900000,175915000,"Santa Fe"
"Tarlac",36900000,36915000,"Santa Ignacia"
"Agusan del Sur",160300000,160310000,"Santa Josefa"
"Ilocos Sur",12900000,12925000,"Santa Lucia"
"Sorsogon",56200000,56215000,"Santa Magdalena"
"Apayao",148100000,148107000,"Santa Marcela"
"Samar (Western Samar)",86000000,86016000,"Santa Margarita"
"Bulacan",31400000,31423000,"Santa Maria"
"Isabela",23100000,23134000,"Santa Maria"
"Davao del Sur",112400000,112413000,"Santa Maria"
"Ilocos Sur",12900000,12926000,"Santa Maria"
"Pangasinan",15500000,15539000,"Santa Maria"
"Laguna",43400000,43427000,"Santa Maria"
"Romblon",175900000,175917000,"Santa Maria (Imelda)"
"Surigao del Norte",166700000,166721000,"Santa Monica (Sapao)"
"Cagayan",21500000,21524000,"Santa Praxedes"
"Pampanga",35400000,35420000,"Santa Rita"
"Samar (Western Samar)",86000000,86017000,"Santa Rita"
"Nueva Ecija",34900000,34928000,"Santa Rosa"
"Batangas",41000000,41027000,"Santa Teresita"
"Cagayan",21500000,21525000,"Santa Teresita"
"Cebu",72200000,72245000,"Santander"
"Agusan del Norte",160200000,160210000,"Santiago"
"Ilocos Sur",12900000,12927000,"Santiago"
"Ilocos Sur",12900000,12928000,"Santo Domingo"
"Nueva Ecija",34900000,34929000,"Santo Domingo"
"Albay",50500000,50516000,"Santo Domingo (Libog)"
"South Cotabato",126300000,126318000,"Santo Niño"
"Samar (Western Samar)",86000000,86018000,"Santo Niño"
"Cagayan",21500000,21526000,"Santo Niño (Faire)"
"Isabela",23100000,23136000,"Santo Tomas"
"La Union",13300000,13317000,"Santo Tomas"
"Batangas",41000000,41028000,"Santo Tomas"
"Pangasinan",15500000,15540000,"Santo Tomas"
"Davao del Norte",112300000,112318000,"Santo Tomas"
"Pampanga",35400000,35421000,"Santo Tomas"
"La Union",13300000,13318000,"Santol"
"Lanao del Norte",103500000,103519000,"Sapad"
"Misamis Occidental",104200000,104213000,"Sapang Dalaga"
"Tawi-Tawi",157000000,157010000,"Sapa-Sapa"
"Capiz",61900000,61915000,"Sapi-An"
"Iloilo",63000000,63044000,"Sara"
"Davao del Sur",112400000,112415000,"Sarangani"
"Quezon",45600000,45645000,"Sariaya"
"Ilocos Norte",12800000,12821000,"Sarrat"
"Pampanga",35400000,35422000,"Sasmuan (Sexmoan)"
"Antique",60600000,60615000,"Sebaste"
"Sultan Kudarat",126500000,126512000,"Sen. Ninoy Aquino"
"Zamboanga del Norte",97200000,97214000,"Sergio Osmeña Sr."
"Bohol",71200000,71239000,"Sevilla"
"Maguindanao",153800000,153808000,"Shariff Aguak (Maganoy) (capital)"
"Sulu",156600000,156612000,"Siasi"
"Negros Oriental",74600000,74619000,"Siaton"
"Zamboanga Sibugay",98300000,98313000,"Siay"
"Zamboanga del Norte",97200000,97215000,"Siayan"
"Agusan del Sur",160300000,160314000,"Sibagat"
"Antique",60600000,60616000,"Sibalom"
"Cebu",72200000,72246000,"Sibonga"
"Zamboanga del Norte",97200000,97216000,"Sibuco"
"Negros Oriental",74600000,74620000,"Sibulan"
"Guimaras",67900000,67905000,"Sibunag"
"Zamboanga del Norte",97200000,97217000,"Sibutad"
"Tawi-Tawi",157000000,157011000,"Sibutu"
"Bohol",71200000,71240000,"Sierra Bullones"
"Ilocos Sur",12900000,12929000,"Sigay"
"Capiz",61900000,61916000,"Sigma"
"Bohol",71200000,71241000,"Sikatuna"
"Southern Leyte",86400000,86416000,"Silago"
"Cavite",42100000,42118000,"Silang"
"Northern Samar",84800000,84822000,"Silvino Lobos"
"Tawi-Tawi",157000000,157004000,"Simunul"
"Misamis Occidental",104200000,104214000,"Sinacaban"
"Ilocos Sur",12900000,12930000,"Sinait"
"Zamboanga del Norte",97200000,97218000,"Sindangan"
"Laguna",43400000,43429000,"Siniloan"
"Zamboanga del Norte",97200000,97219000,"Siocon"
"Camarines Sur",51700000,51734000,"Sipocot"
"Siquijor",76100000,76106000,"Siquijor (capital)"
"Zamboanga del Norte",97200000,97220000,"Sirawai"
"Camarines Sur",51700000,51735000,"Siruma"
"Surigao del Norte",166700000,166722000,"Sison"
"Pangasinan",15500000,15541000,"Sison"
"Tawi-Tawi",157000000,157005000,"Sitangkai"
"Surigao del Norte",166700000,166723000,"Socorro"
"Oriental Mindoro",175200000,175214000,"Socorro"
"Palawan",175300000,175324000,"Sofronio Española"
"Southern Leyte",86400000,86417000,"Sogod"
"Cebu",72200000,72247000,"Sogod"
"Cagayan",21500000,21527000,"Solana"
"Nueva Vizcaya",25000000,25013000,"Solano"
"Ilocos Norte",12800000,12822000,"Solsona"
"Zamboanga del Sur",97300000,97340000,"Sominot (Don Mariano Marcos)"
"Tawi-Tawi",157000000,157006000,"South Ubian"
"Maguindanao",153800000,153817000,"South Upi"
"Pangasinan",15500000,15542000,"Sual"
"Zambales",37100000,37114000,"Subic"
"La Union",13300000,13319000,"Sudipen"
"Misamis Oriental",104300000,104323000,"Sugbongcogon"
"Ilocos Sur",12900000,12931000,"Sugpon"
"Eastern Samar",82600000,82622000,"Sulat"
"Davao del Sur",112400000,112414000,"Sulop"
"Lanao del Sur",153600000,153640000,"Sultan Dumalondong"
"Shariff Kabunsuan",158400000,158408000,"Sultan Kudarat (Nuling)"
"Shariff Kabunsuan",158400000,158409000,"Sultan Mastura"
"Lanao del Norte",103500000,103506000,"Sultan Naga Dimaporo (Karomatan)"
"Maguindanao",153800000,153813000,"Sultan Sa Barongis (Lambayong)"
"Bukidnon",101300000,101319000,"Sumilao"
"Basilan",150700000,150705000,"Sumisip"
"South Cotabato",126300000,126313000,"Surallah"
"Ilocos Sur",12900000,12932000,"Suyo"
"Batangas",41000000,41029000,"Taal"
"Leyte",83700000,83745000,"Tabango"
"Zamboanga del Sur",97300000,97327000,"Tabina"
"Cebu",72200000,72248000,"Tabogon"
"Leyte",83700000,83746000,"Tabontabon"
"Cebu",72200000,72249000,"Tabuelan"
"Mountain Province",144400000,144410000,"Tadian"
"Eastern Samar",82600000,82623000,"Taft"
"Surigao del Norte",166700000,166725000,"Tagana-An"
"Samar (Western Samar)",86000000,86024000,"Tagapul-An"
"Surigao del Sur",166800000,166817000,"Tagbina"
"Quezon",45600000,45646000,"Tagkawayan"
"Surigao del Sur",166800000,166818000,"Tago"
"Misamis Oriental",104300000,104324000,"Tagoloan"
"Lanao del Norte",103500000,103520000,"Tagoloan"
"Lanao del Sur",153600000,153638000,"Tagoloan Ii"
"Ilocos Sur",12900000,12933000,"Tagudin"
"Agusan del Sur",160300000,160311000,"Talacogon"
"Davao del Norte",112300000,112322000,"Talaingod"
"Bukidnon",101300000,101320000,"Talakag"
"Samar (Western Samar)",86000000,86019000,"Talalora"
"Nueva Ecija",34900000,34930000,"Talavera"
"Maguindanao",153800000,153816000,"Talayan"
"Bohol",71200000,71243000,"Talibon"
"Sulu",156600000,156613000,"Talipao"
"Batangas",41000000,41030000,"Talisay"
"Camarines Norte",51600000,51611000,"Talisay"
"Misamis Oriental",104300000,104325000,"Talisayan"
"Maguindanao",153800000,153821000,"Talitay"
"Nueva Ecija",34900000,34931000,"Talugtug"
"Zamboanga Sibugay",98300000,98314000,"Talusan"
"Zamboanga del Sur",97300000,97328000,"Tambulig"
"South Cotabato",126300000,126314000,"Tampakan"
"Lanao del Sur",153600000,153626000,"Tamparan"
"Zamboanga del Norte",97200000,97221000,"Tampilisan"
"Leyte",83700000,83748000,"Tanauan"
"Rizal",45800000,45812000,"Tanay"
"Tawi-Tawi",157000000,157007000,"Tandubas"
"Aklan",60400000,60417000,"Tangalan"
"Lanao del Norte",103500000,103521000,"Tangcal"
"South Cotabato",126300000,126315000,"Tantangan"
"Kalinga",143200000,143214000,"Tanudan"
"Cavite",42100000,42120000,"Tanza"
"Capiz",61900000,61917000,"Tapaz"
"Sulu",156600000,156614000,"Tapul"
"Lanao del Sur",153600000,153627000,"Taraka"
"Samar (Western Samar)",86000000,86020000,"Tarangnan"
"Davao Oriental",112500000,112511000,"Tarragona"
"Negros Oriental",74600000,74622000,"Tayasan"
"Batangas",41000000,41032000,"Taysan"
"Rizal",45800000,45813000,"Taytay"
"Palawan",175300000,175320000,"Taytay"
"Pangasinan",15500000,15543000,"Tayug"
"Abra",140100000,140124000,"Tayum"
"South Cotabato",126300000,126316000,"T'Boli"
"Rizal",45800000,45814000,"Teresa"
"Cavite",42100000,42121000,"Ternate"
"Quezon",45600000,45648000,"Tiaong"
"Antique",60600000,60617000,"Tibiao"
"Camarines Sur",51700000,51736000,"Tigaon"
"Zamboanga del Sur",97300000,97344000,"Tigbao"
"Iloilo",63000000,63045000,"Tigbauan"
"Camarines Sur",51700000,51737000,"Tinambac"
"Abra",140100000,140125000,"Tineg"
"Kalinga",143200000,143215000,"Tinglayan"
"Batangas",41000000,41033000,"Tingloy"
"Ifugao",142700000,142710000,"Tinoc"
"Basilan",150700000,150706000,"Tipo-Tipo"
"Zamboanga Sibugay",98300000,98315000,"Titay"
"Albay",50500000,50518000,"Tiwi"
"Antique",60600000,60607000,"Tobias Fornier (Dao)"
"Negros Occidental",64500000,64529000,"Toboso"
"Leyte",83700000,83749000,"Tolosa"
"Southern Leyte",86400000,86418000,"Tomas Oppus"
"Sulu",156600000,156615000,"Tongkil"
"Marinduque",174000000,174006000,"Torrijos"
"Agusan del Sur",160300000,160312000,"Trento"
"Bohol",71200000,71244000,"Trinidad"
"Cagayan",21500000,21528000,"Tuao"
"Benguet",141100000,141113000,"Tuba"
"Dinagat Islands",168500000,168507000,"Tubajon"
"La Union",13300000,13320000,"Tubao"
"Lanao del Sur",153600000,153628000,"Tubaran"
"Agusan del Norte",160200000,160211000,"Tubay"
"Bohol",71200000,71245000,"Tubigon"
"Benguet",141100000,141114000,"Tublay"
"Abra",140100000,140126000,"Tubo"
"Surigao del Norte",166700000,166727000,"Tubod"
"Lanao del Norte",103500000,103522000,"Tubod (capital)"
"Iloilo",63000000,63046000,"Tubungan"
"Cebu",72200000,72252000,"Tuburan"
"Basilan",150700000,150707000,"Tuburan"
"Misamis Occidental",104200000,104216000,"Tudela"
"Cebu",72200000,72253000,"Tudela"
"Lanao del Sur",153600000,153629000,"Tugaya"
"Zamboanga del Sur",97300000,97330000,"Tukuran"
"Cotabato (North Cotabato)",124700000,124714000,"Tulunan"
"Isabela",23100000,23137000,"Tumauini"
"Leyte",83700000,83750000,"Tunga"
"Zamboanga Sibugay",98300000,98316000,"Tungawan"
"South Cotabato",126300000,126317000,"Tupi"
"Tawi-Tawi",157000000,157008000,"Turtle Islands"
"Batangas",41000000,41034000,"Tuy"
"Bohol",71200000,71246000,"Ubay"
"Pangasinan",15500000,15544000,"Umingan"
"Basilan",150700000,150711000,"Ungkaya Pukan"
"Quezon",45600000,45649000,"Unisan"
"Shariff Kabunsuan",158400000,158410000,"Upi"
"Pangasinan",15500000,15545000,"Urbiztondo"
"Masbate",54100000,54121000,"Uson"
"Batanes",20900000,20906000,"Uyugan"
"Antique",60600000,60618000,"Valderrama"
"Bohol",71200000,71247000,"Valencia"
"Negros Oriental",74600000,74623000,"Valencia (Luzurriaga)"
"Negros Occidental",64500000,64530000,"Valladolid"
"Negros Oriental",74600000,74624000,"Vallehermoso"
"Agusan del Sur",160300000,160313000,"Veruela"
"Oriental Mindoro",175200000,175215000,"Victoria"
"Northern Samar",84800000,84823000,"Victoria"
"Laguna",43400000,43430000,"Victoria"
"Tarlac",36900000,36917000,"Victoria"
"Catanduanes",52000000,52010000,"Viga"
"Leyte",83700000,83751000,"Villaba"
"Misamis Oriental",104300000,104326000,"Villanueva"
"Samar (Western Samar)",86000000,86021000,"Villareal"
"Pangasinan",15500000,15547000,"Villasis"
"Nueva Vizcaya",25000000,25014000,"Villaverde"
"Abra",140100000,140127000,"Villaviciosa"
"Zamboanga del Sur",97300000,97341000,"Vincenzo A. Sagun"
"Ilocos Norte",12800000,12823000,"Vintar"
"Camarines Norte",51600000,51612000,"Vinzons"
"Catanduanes",52000000,52011000,"Virac (capital)"
"Lanao del Sur",153600000,153630000,"Wao"
"Negros Oriental",74600000,74625000,"Zamboanguita"
"Nueva Ecija",34900000,34932000,"Zaragoza"
"Iloilo",63000000,63047000,"Zarraga"
"Samar (Western Samar)",86000000,86023000,"Zumarraga"
"NCR First District",133900000,133901000,"Tondo I / II"
"NCR First District",133900000,133902000,"Binondo"
"NCR First District",133900000,133904000,"San Nicolas"
"NCR First District",133900000,133905000,"Santa Cruz"
"NCR First District",133900000,133906000,"Sampaloc"
"NCR First District",133900000,133907000,"San Miguel"
"NCR First District",133900000,133908000,"Ermita"
"NCR First District",133900000,133909000,"Intramuros"
"NCR First District",133900000,133910000,"Malate"
"NCR First District",133900000,133911000,"Paco"
"NCR First District",133900000,133912000,"Pandacan"
"NCR First District",133900000,133913000,"Port Area"
"NCR First District",133900000,133914000,"Santa Ana"
