Type,Comments,KV:XX
"Acqua alta",,"EMS:flood.highWater"
"Straripamento fiumi",,"EMS:flood.overlandFlowFlood"
"Tsunami",,"EMS:flood.tsunami"
"Valanghe",,"EMS:geophysical.avalanche"
"Terremoto",,"EMS:geophysical.earthquake"
"Lahar",,"EMS:geophysical.lahar"
"Slavina",,"EMS:geophysical.landslide"
"Tempesta magnetica",,"EMS:geophysical.magneticStorm"
"Meteorite",,"EMS:geophysical.meteorite"
"Flusso piroclastico",,"EMS:geophysical.pyroclasticFlow"
"Nube piroclastica",,"EMS:geophysical.pyroclasticSurge"
"Nube di cenere vulcanica",,"EMS:geophysical.volcanicAshCloud"
"Evento vulcanico",,"EMS:geophysical.volcanicEvent"
"Materiale pericoloso",,"EMS:hazardousMaterial"
"Rischio biologico",,"EMS:hazardousMaterial.biologicalHazard"
"Rischio chimico",,"EMS:hazardousMaterial.chemicalHazard"
"Rischio esplosivo",,"EMS:hazardousMaterial.explosiveHazard"
"Rischio caduta oggetti",,"EMS:hazardousMaterial.fallingObjectHazard"
"Malattie infettive (Materiale pericoloso)",,"EMS:hazardousMaterial.infectiousDisease"
"Gas velenoso",,"EMS:hazardousMaterial.poisonousGas"
"Rischio di radiazione",,"EMS:hazardousMaterial.radiologicalHazard"
"Malattie infettive",,"EMS:health.infectiousDisease"
"Infestazione",,"EMS:health.infestation"
"Iceberg",,"EMS:ice.iceberg"
"Pressione del ghiaccio",,"EMS:ice.icePressure"
"Passaggio chiuso velocemente",,"EMS:ice.rapidCloseLead"
"Ghiaccio speciale",,"EMS:ice.specialIce"
"Sicurezza marina",,"EMS:marine.marineSecurity"
"Incidente nautico",,"EMS:marine.nauticalAccident"
"Dirottamento navale",,"EMS:marine.nauticalHijacking"
"Porto chiuso",,"EMS:marine.portClosure"
"Speciale Marine",,"EMS:marine.specialMarine"
"Tormenta",,"EMS:meteorological.blizzard"
"Tempesta di neve",,"EMS:meteorological.blowingSnow"
"Siccità",,"EMS:meteorological.drought"
"Tempesta di sabbia",,"EMS:meteorological.dustStorm"
"Nebbia",,"EMS:meteorological.fog"
"Pioggia ghiacciata",,"EMS:meteorological.freezingDrizzle"
"Pioggia congelata",,"EMS:meteorological.freezingRain"
"Spray congelante",,"EMS:meteorological.freezingSpray"
"Grandine",,"EMS:meteorological.hail"
"Uragano",,"EMS:meteorological.hurricane"
"Caduta pioggia",,"EMS:meteorological.rainFall"
"Caduta neve",,"EMS:meteorological.snowFall"
"Burrasca di neve",,"EMS:meteorological.snowSquall"
"Burrasca",,"EMS:meteorological.squall"
"Mareggiate",,"EMS:meteorological.stormSurge"
"Tempesta",,"EMS:meteorological.thunderstorm"
"Tornado",,"EMS:meteorological.tornado"
"Tempesta tropicale",,"EMS:meteorological.tropicalStorm"
"Tromba d'acqua",,"EMS:meteorological.waterspout"
"Tormenta invernale",,"EMS:meteorological.winterStorm"
"Persona dispersa",,"EMS:missingPerson"
"Emergenza rapimento minore","http://en.wikipedia.org/wiki/Amber_Alert","EMS:missingPerson.amberAlert"
"Persone vulnerabili scomparse",,"EMS:missingPerson.missingVulnerablePerson"
"Anziani scomparsi","http://en.wikipedia.org/wiki/Silver_Alert","EMS:missingPerson.silver"
"Struttura di supporto alle emergenze",,"EMS:publicService.emergencySupportFacility"
"Servizio di supporto alle emergenze",,"EMS:publicService.emergencySupportService"
"Chiusura scuola",,"EMS:publicService.schoolClosure"
"Scuola sigillata",,"EMS:publicService.schoolLockdown"
"Servizio o struttura",,"EMS:publicService.serviceOrFacility"
"Transito",,"EMS:publicService.transit"
"Incidente ferroviario",,"EMS:railway.railwayAccident"
"Dirottamento del treno",,"EMS:railway.railwayHijacking"
"Ponte chiuso",,"EMS:roadway.bridgeClosure"
"Condizioni stradali pericolose",,"EMS:roadway.hazardousRoadConditions"
"Incidente stradale",,"EMS:roadway.roadwayAccident"
"Strada chiusa",,"EMS:roadway.roadwayClosure"
"Ritardo stradale",,"EMS:roadway.roadwayDelay"
"Dirottamento stradale",,"EMS:roadway.roadwayHijacking"
"Condizioni di utilizzo della strada",,"EMS:roadway.roadwayUsageCondition"
"Report sul Traffic",,"EMS:roadway.trafficReport"
"Flusso artico",,"EMS:temperature.arcticOutflow"
"Ondata di freddo",,"EMS:temperature.coldWave"
"Congelamento veloce",,"EMS:temperature.flashFreeze"
"Gelo",,"EMS:temperature.frost"
"Caldo e umidità",,"EMS:temperature.heatAndHumidity"
"Ondata di caldo",,"EMS:temperature.heatWave"
"Vento freddo",,"EMS:temperature.windChill"
"Vento di burrasca",,"EMS:wind.galeWind"
"Venti con forza di un uragano",,"EMS:wind.hurricaneForceWind"
"Venti di uragano",,"EMS:wind.stormForceWind"
"Venti forti",,"EMS:wind.strongWind"
"Edificio crollato",,,
"Persone intrappolate",,,
"Interruzione di corrente",,,
