"Catalog","Category Code","Category","Item Name","Unit of Measure","Pack","Pack Quantity","Pack2","Pack2 Quantity","Pack3","Pack3 Quantity","Comments"
"Standard","EQUIP","Equipment & Tools","Ambulance & Equipment","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","ATM","ea",,,,,,,"Cash Dispenser"
"Standard","EQUIP","Equipment & Tools","Auger","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Barge","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Barricades","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Beacon","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Boat","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Bolt Cutters","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Boots","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Box Blade","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Breaker","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Broom","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Bucket","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Cabling","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Cage","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Camera","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Camera Snakes","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Carbon","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Chain Saw","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Chipper","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Chlorination Equipment","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Chlorination/Dechlorination ","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Compactor","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Computer (Laptops, Monitors, Cables, PC's)","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Concrete Grinder","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Copier","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Crane","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Cutter","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Dehumidifier","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Derrick","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Dock Plates","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Dozer","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Drywall Tools","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Dumpster","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Electrical panel","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Excavator","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Face Masks","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Fan","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Fax Machine","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Field Rake","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Fire Hydrant","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Fire Pump","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Fire Suppression","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Flashlight","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Flotation Device","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Fork Lift","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Furnace","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Garbage Can","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Generator","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Generator Cable","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Gloves","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","GPS / Transponder","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Grader","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Grader Blade","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Hardhat","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Heater","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Helicopter","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Helmet","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Hose","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Ice Machine","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Jackhammer","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Jaws of Life","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Laboratory/Sampling Equipment","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Ladder","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Life","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Light Plant","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Light Tower","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Lighting","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Megaphone/Loudspeaker","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Message Board","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Metal Detector","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Mixer","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Mop","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Mower","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Mulcher","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Pallet","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Pallet Grabber","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Pallet Jack","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Phone","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Phone Line","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Plastic Liners","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Pliers","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Plumbing Tools","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Poles","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Power Cord","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Power Distribution Box","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Power Line","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Power Supply","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","PPE","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Pressure Washer","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Printer","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Projector","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Pump","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Pump Extender","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Pump System","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Radio","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Rope","lf",,,,,,,
"Standard","EQUIP","Equipment & Tools","Satellite","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Saw","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Scanner","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Scraper","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Screwdriver","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Sensor","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Shovel","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Shrinkwrap","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Sign","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Snow Thrower","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Solids Processing","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Sprayer","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Strainers/T-Joints/Elbows","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Stretcher","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Striking Tools","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Striper","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Sweeper","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Table","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Tamper Plate","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Tank","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Tent","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Tire Balancer","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Tire Changer","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Topdresser","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Towels","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Tractor","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Transformer","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Traprake","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Trench Box","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Trencher","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Trowel","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Tub Grinder","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Utencils","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Vacuum","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Valves","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Vehicles","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Ventilator","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Vibrator","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Video Conferencing","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Video Transmitter","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Walkers","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Water Cooler","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Water Purification System","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Welder","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Well Equipment","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Wheelchair","ea",,,,,,,
"Standard","EQUIP","Equipment & Tools","Wrench","ea",,,,,,,
"Standard","FACILITY","Facilities","Agriculture Laboratory","ea",,,,,,,
"Standard","FACILITY","Facilities","Airport","ea",,,,,,,
"Standard","FACILITY","Facilities","Animal Feedlot","ea",,,,,,,
"Standard","FACILITY","Facilities","Animal Shelter","ea",,,,,,,
"Standard","FACILITY","Facilities","Barn","ea",,,,,,,
"Standard","FACILITY","Facilities","Cold Storage","ea",,,,,,,
"Standard","FACILITY","Facilities","Empty Lot","ea",,,,,,,
"Standard","FACILITY","Facilities","Grain Storage","ea",,,,,,,
"Standard","FACILITY","Facilities","Hand Wash Station","ea",,,,,,,
"Standard","FACILITY","Facilities","Mobile Kitchen","ea",,,,,,,
"Standard","FACILITY","Facilities","Office","ea",,,,,,,
"Standard","FACILITY","Facilities","Other Facilities","ea",,,,,,,
"Standard","FACILITY","Facilities","Rail Station","ea",,,,,,,
"Standard","FACILITY","Facilities","Shelter","ea",,,,,,,
"Standard","FACILITY","Facilities","Staging","ea",,,,,,,
"Standard","FACILITY","Facilities","Storage","ea",,,,,,,
"Standard","FOOD","Food & Water","Animal Feed","lbs",,,,,,,
"Standard","FOOD","Food & Water","Canned/Dried Food","lbs",,,,,,,"priority"
"Standard","FOOD","Food & Water","Ice","lbs",,,,,,,"priority"
"Standard","FOOD","Food & Water","Infant Formula","lbs",,,,,,,"priority"
"Standard","FOOD","Food & Water","Non-Potable Water","gal",,,,,,,
"Standard","FOOD","Food & Water","Perishable Food","lbs",,,,,,,"priority"
"Standard","FOOD","Food & Water","Potable Water","gal",,,,,,,"priority"
"Standard","FUEL","Fuel","Aviation","gal",,,,,,,
"Standard","FUEL","Fuel","Diesel","gal",,,,,,,
"Standard","FUEL","Fuel","Gasoline","gal",,,,,,,"priority"
"Standard","FUEL","Fuel","Heating Oil","gal",,,,,,,
"Standard","FUEL","Fuel","Liquid Propane","gal",,,,,,,"priority"
"Standard","FUEL","Fuel","Natural Gas","gal",,,,,,,
"Standard","SUPPLIES","General supplies","Anticeptic","ea",,,,,,,
"Standard","SUPPLIES","General supplies","Bandages","ea",,,,,,,
"Standard","SUPPLIES","General supplies","Batteries","ea",,,,,,,
"Standard","SUPPLIES","General supplies","Body Bags","ea",,,,,,,
"Standard","SUPPLIES","General supplies","Boxes","ea",,,,,,,
"Standard","SUPPLIES","General supplies","Cane","ea",,,,,,,
"Standard","SUPPLIES","General supplies","Cleaners","ea",,,,,,,"priority"
"Standard","SUPPLIES","General supplies","Crutches","ea",,,,,,,
"Standard","SUPPLIES","General supplies","Defibrilator","ea",,,,,,,
"Standard","SUPPLIES","General supplies","Diapers","dz",,,,,,,
"Standard","SUPPLIES","General supplies","Hearing Aid","ea",,,,,,,
"Standard","SUPPLIES","General supplies","ID Badges","ea",,,,,,,
"Standard","SUPPLIES","General supplies","Insect Repellant","ea",,,,,,,
"Standard","MEDICAL","Medical supplies","Office Supplies","ea",,,,,,,
"Standard","MEDICAL","Medical supplies","Plastic Sheeting","roll",,,,,,,"priority"
"Standard","MEDICAL","Medical supplies","Tape","roll",,,,,,,
"Standard","MEDICAL","Medical supplies","Tarps","ea",,,,,,,"priority"
"Standard","MEDICAL","Medical supplies","Toiletries","ea",,,,,,,"priority"
"Standard","MEDICAL","Medical supplies","Towels","ea",,,,,,,
"Standard","MEDICAL","Medical supplies","Trash Bags","bx",,,,,,,"priority"
"Standard","MEDICAL","Medical supplies","Ventilator","ea",,,,,,,
"Standard","MEDICAL","Medical supplies","Wheelchair","ea",,,,,,,
"Standard","OTHER","Other","Other","ea",,,,,,,
"Standard","SERVICES","Services","Accounting","hour","day",8,"week",40,"month",160,
"Standard","SERVICES","Services","Administrative","hour","day",8,"week",40,"month",160,
"Standard","SERVICES","Services","Architecture","hour","day",8,"week",40,"month",160,
"Standard","SERVICES","Services","Automotive repair","hour","day",8,"week",40,"month",160,
"Standard","SERVICES","Services","Care and shelter","hour","day",8,"week",40,"month",160,"priority"
"Standard","SERVICES","Services","Catering","hour","day",8,"week",40,"month",160,
"Standard","SERVICES","Services","Communications","hour","day",8,"week",40,"month",160,
"Standard","SERVICES","Services","Construction","hour","day",8,"week",40,"month",160,
"Standard","SERVICES","Services","Debris removal","hour","day",8,"week",40,"month",160,"priority"
"Standard","SERVICES","Services","Demolition","hour","day",8,"week",40,"month",160,
"Standard","SERVICES","Services","Engineering","hour","day",8,"week",40,"month",160,"priority"
"Standard","SERVICES","Services","Firefighting ","hour","day",8,"week",40,"month",160,
"Standard","SERVICES","Services","Fumigation","hour","day",8,"week",40,"month",160,
"Standard","SERVICES","Services","General Labor","hour","day",8,"week",40,"month",160,"priority"
"Standard","SERVICES","Services","Health Care","hour","day",8,"week",40,"month",160,"priority"
"Standard","SERVICES","Services","Household Repair","hour","day",8,"week",40,"month",160,
"Standard","SERVICES","Services","Housing","hour","day",8,"week",40,"month",160,"priority"
"Standard","SERVICES","Services","Legal","hour","day",8,"week",40,"month",160,
"Standard","SERVICES","Services","Other Services","hour","day",8,"week",40,"month",160,
"Standard","SERVICES","Services","Photography","hour","day",8,"week",40,"month",160,
"Standard","SERVICES","Services","Planning (Urban)","hour","day",8,"week",40,"month",160,
"Standard","SERVICES","Services","Resource Protection (Environmental)","hour","day",8,"week",40,"month",160,
"Standard","SERVICES","Services","Search and Rescue","hour","day",8,"week",40,"month",160,"priority"
"Standard","SERVICES","Services","Security","hour","day",8,"week",40,"month",160,"priority"
"Standard","SERVICES","Services","Skilled Labor","hour","day",8,"week",40,"month",160,
"Standard","SERVICES","Services","Translation","hour","day",8,"week",40,"month",160,
"Standard","SERVICES","Services","Transportation","hour","day",8,"week",40,"month",160,"priority"
"Standard","SERVICES","Services","Warehousing","hour","day",8,"week",40,"month",160,
