"ADM2_NAME","ADM3_NAME","ADM3_CODE"
"Ermera","Leguimea",70205
"Ermera","Mirtutu",70204
"Ermera","Poetete",70201
"Ermera","Ponilala",70202
"Ermera","Raimerhei",70209
"Ermera","Riheu",70207
"Ermera","Talimoro",70203
"Fatuberliu","Bubususo",100301
"Fatuberliu","Caicasa",100305
"Fatuberliu","Clacuc",100302
"Fatuberliu","Fahinehan",100303
"Fatuberliu","Fatucahi",100304
"Fatululic","Fatululic",50101
"Fatululic","Taroman",50102
"Fatumean","Belulic Leten",50202
"Fatumean","Fatumea",50201
"Fatumean","Nanu",50203
"Fohorem","Dato Rua",50303
"Fohorem","Dato Tolu",50304
"Fohorem","Fohoren",50301
"Fohorem","Lactos",50302
"Hatolia","Ailelo",70504
"Hatolia","Asulau",70503
"Hatolia","Coliate-Leotelo",70502
"Hatolia","Fatubessi",70513
"Hatolia","Fatubolu",70512
"Hatolia","Hatolia",70508
"Hatolia","Leimea Sorimbalu",70501
"Hatolia","Leimeacraic",70505
"Hatolia","Lissapat",70511
"Hatolia","Manusae",70507
"Hatolia","Mau-Ubu",70510
"Hatolia","Samara",70506
"Hatolia","Urahou",70509
"Hatu-Builico","Mau-Chiga",10203
"Hatu-Builico","Mulo",10201
"Hatu-Builico","Nuno-Mogue",10202
"Hatu-Udo","Foho-ai-Lico",10402
"Hatu-Udo","Leolima",10401
"Iliomar","Ailebere",90301
"Iliomar","Cainliu",90302
"Iliomar","Fuat",90303
"Iliomar","Iliomar I",90304
"Iliomar","Iliomar II",90305
"Iliomar","Tirilolo",90306
"Laclo","Hohorai",110304
"Laclo","Lacumesac",110301
"Laclo","Uma Naruc",110303
"Laclo","Umacaduac",110302
"Laclubar","Batara",110604
"Laclubar","Fatumaquerec",110605
"Laclubar","Funar",110602
"Laclubar","Manelima",110603
"Laclubar","Orlalan",110601
"Laclubar","Sanana'in",110606
"Lacluta","Dilor",130504
"Lacluta","Laline",130501
"Lacluta","Uma Tolu",130502
"Laga","Atelari",30201
"Laga","Libagua",30207
"Laga","Nunira",30206
"Laga","Saelari",30208
"Laga","Sagadati",30205
"Laga","Samalari",30204
"Laga","Soba",30203
"Laga","Tequino Mata",30202
"Laleia","Cairui",110203
"Laleia","Haturalan",110202
"Laleia","Lifau",110201
"Laulara","Cotolau",20401
"Laulara","Fatisi",20405
"Laulara","Madabeno",20403
"Laulara","Talitu",20402
"Laulara","Tohumeta",20404
"Lautem","Baduro",90201
"Lautem","Com",90202
"Lautem","Daudere",90203
"Lautem","Euquisi",90204
"Lautem","Ililai",90205
"Lautem","Maina I",90206
"Lautem","Maina II",90206
"Lautem","Pairara",90208
"Lautem","Parlamento",90209
"Lautem","Serelau",90210
"Letefoho","Catrai Leten",70305
"Letefoho","Catrai-Craic",70304
"Letefoho","Ducurai",70301
"Letefoho","Eraulo",70307
"Letefoho","Goulolo",70306
"Letefoho","Hatugau",70308
"Letefoho","Haupu",70302
"Letefoho","Lauana",70303
"Liquiçá","Asumano",80206
"Liquiçá","Darulete",80203
"Liquiçá","Dato",80201
"Liquiçá","Hatuquessi",80205
"Liquiçá","Leoteala",80207
"Liquiçá","Loidahar",80202
"Liquiçá","Luculai",80204
"Liquidoe","Acubilitoho",20202
"Liquidoe","Bereleu",20205
"Liquidoe","Betulau",20203
"Liquidoe","Fahisoi",20206
"Liquidoe","Faturilau",20204
"Liquidoe","Manucasa",20207
"Liquidoe","Namoleso",20201
"Lolotoe","Deudet",40504
"Lolotoe","Gildapil",40507
"Lolotoe","Guda",40503
"Lolotoe","Lebos",40505
"Lolotoe","Lontas",40506
"Lolotoe","Lupal",40502
"Lolotoe","Opa",40501
"Lospalos","Bauro",90101
"Lospalos","Cacavem",90104
"Lospalos","Fuiloro",90102
"Lospalos","Home",90103
"Lospalos","Leuro",90105
"Lospalos","Lore I",90106
"Lospalos","Muapitine",90108
"Lospalos","Raca",90109
"Lospalos","Souro",90110
"Luro","Cotamutu",90403
"Luro","Luro",90405
"Luro","Wairoce",90406
"Maliana","Holsa",40105
"Maliana","Lahomea",40101
"Maliana","Odomau",40104
"Maliana","Raifun",40102
"Maliana","Ritabou",40103
"Maliana","Saburai",40107
"Maliana","Tapo/Memo",40106
"Manatuto","Ailili",110106
"Manatuto","Aiteas",110102
"Manatuto","Cribas",110101
"Manatuto","Iliheu",110105
"Manatuto","Ma'abat",110103
"Manatuto","Sau",110104
"Maubara","Gugleur",80307
"Maubara","Guico",80302
"Maubara","Lissadila",80301
"Maubara","Maubaralissa",80305
"Maubara","Vatuboro",80304
"Maubara","Vatuvou",80303
"Maubara","Vaviquinia",80306
"Maubisse","Aitutu",10304
"Maubisse","Edi",10305
"Maubisse","Fatu-Besi",10309
"Maubisse","Horai-Quic",10307
"Maubisse","Manelobas",10302
"Maubisse","Manetu",10303
"Maubisse","Maubisse",10301
"Maubisse","Maulau",10306
"Maubisse","Suco Liurai",10308
"Maucatar","Belecasac",50404
"Maucatar","Holpilat",50401
"Maucatar","Matai",50403
"Maucatar","Ogues",50402
"Metinaro","Duyung (Sereia)",60302
"Metinaro","Sabuli",60301
"Nain Feto","Acadiru Hun",60202
"Nain Feto","Bemori",60203
"Nain Feto","Bidau Lecidere",60205
"Nain Feto","Gricenfor",60206
"Nain Feto","Lahane Oriental",60204
"Nain Feto","Santa Cruz",60201
"Nitibe","Banafi",120205
"Nitibe","Bene-Ufe",120202
"Nitibe","Lela-Ufe",120204
"Nitibe","Suni-Ufe",120203
"Nitibe","Usi-Taco",120201
"Oesilo","Banafi",120205
"Oesilo","Bobometo",120301
"Oesilo","Usi-Tacae",120303
"Oesilo","Usi-Taqueno",120302
"Ossu","Builale",130202
"Ossu","Liaruca",130209
"Ossu","Loi-Huno",130207
"Ossu","Nahareca",130203
"Ossu","Ossorua",130206
"Ossu","Ossu de Cima",130204
"Ossu","Uabubo",130208
"Ossu","Uagia",130205
"Ossu","Uaibobo",130201
"Pante Macasar","Bobocase",120107
"Pante Macasar","Costa",120104
"Pante Macasar","Cunha",120103
"Pante Macasar","Lalisuc",120106
"Pante Macasar","Lifau",120102
"Pante Macasar","Naimeco",120108
"Pante Macasar","Nipani",120101
"Pante Macasar","Taiboco",120105
"Passabe","Abani",120401
"Passabe","Malelat",120402
"Quelicai","Abafala",30315
"Quelicai","Abo",30308
"Quelicai","Afaca",30310
"Quelicai","Baguia",30301
"Quelicai","Bualale",30306
"Quelicai","Guruca",30309
"Quelicai","Laisorolai de Baixo",30312
"Quelicai","Laisorolai de Cima",30311
"Quelicai","Lelalai",30307
"Quelicai","Letemuno",30303
"Quelicai","Locoliu",30302
"Quelicai","Macalaco",30305
"Quelicai","Namanei",30314
"Quelicai","Waitame",30304
"Railaco","Deleco",70108
"Railaco","Fatuquero",70104
"Railaco","Lihu",70101
"Railaco","Matata",70102
"Railaco","Railaco Craic",70105
"Railaco","Railaco Leten",70106
"Railaco","Samalete",70107
"Railaco","Taraso",70109
"Railaco","Tocoluli",70103
"Remexio","Acumau",20301
"Remexio","Fadabloco",20305
"Remexio","Fahisoi",20308
"Remexio","Faturasa",20304
"Remexio","Hautoho",20307
"Remexio","Maumeta",20306
"Remexio","Suco-Liurai",20303
"Remexio","Tulataqueo",20302
"Same","Babulo",100103
"Same","Betano",100104
"Same","Daisua",100105
"Same","Grotu",100106
"Same","Holarua",100102
"Same","Letefoho",100101
"Same","Tutuluro",100108
"Soibada","Fatumacerec",110403
"Soibada","Leo Hat",110402
"Soibada","Manlala",110404
"Soibada","Manufahi",110405
"Soibada","Samoro",110401
"Suai","Beco",50501
"Suai","Camenasa",50504
"Suai","Debos",50502
"Suai","Labarai",50505
"Suai","Suai Loro",50503
"Tilomar","Casabauc",50604
"Tilomar","Foholulic",50601
"Tilomar","Lalawa",50602
"Tilomar","Maudemo",50603
"Turiscai","Aitemua",100401
"Turiscai","Beremana",100402
"Turiscai","Caimauc",100403
"Turiscai","Fatucalo",100411
"Turiscai","Foholau",100410
"Turiscai","Lesuata",100404
"Turiscai","Liurai",100405
"Turiscai","Manumera",100406
"Turiscai","Matorec",100407
"Turiscai","Mindelo",100408
"Turiscai","Orana",100409
"Tutuala","Mehara",90501
"Tutuala","Tutuala",90502
"Uatucarbau","Afaloicai",130104
"Uatucarbau","Bahatata",130105
"Uatucarbau","Irabin de Baixo",130101
"Uatucarbau","Irabin de Cima",130102
"Uatucarbau","Loi Ulu",130106
"Uatucarbau","Uani Uma",130103
"Vemase","Lioluba",30504
"Vemase","Ossoala",30503
"Vemase","Ostico",30502
"Vemase","Uatu-Lari",30506
"Vemase","Vemase",30501
"Venilale","Bado Ho'o",30601
"Venilale","Baha Mori",30602
"Venilale","Fatulia",30607
"Venilale","Uailaha",30603
"Venilale","Uaiolo",30604
"Venilale","Uataco",30608
"Venilale","Uma Ana Ico",30605
"Venilale","Uma Ana Ulo",30606
"Vera Cruz","Caicoli",60104
"Vera Cruz","Colmera",60105
"Vera Cruz","Dare",60107
"Vera Cruz","Lahane Ocidental",60101
"Vera Cruz","Macarenhas",60103
"Vera Cruz","Motael",60106
"Vera Cruz","Vila Verde",60102
"Viqueque","Bahalarauain",130402
"Viqueque","Bibileo",130404
"Viqueque","Caraubalo",130407
"Viqueque","Luca",130410
"Viqueque","Maluru",130409
"Viqueque","Uai-Mori",130406
"Viqueque","Uma Quic",130403
"Viqueque","Uma Uain Craic",130401
"Viqueque","Uma Uain Leten",130408
"Viqueque","Watu Dere",130405
"Watulari","Afaloicai",130306
"Watulari","Babulo",130305
"Watulari","Macadique",130301
"Watulari","Matahoi",130303
"Watulari","Uaitame",130302
"Watulari","Vessoru",130304
"Zumalai","Fatuleto",50704
"Zumalai","Lepo",50706
"Zumalai","Lour",50703
"Zumalai","Raimea",50701
"Zumalai","Tashilin",50708
"Zumalai","Zulo",50702
