"Layer","Country","L1","L2","L3","Value"
"Sucos","TL","Baucau","Vemase","Ostico",0.981818
"Sucos","TL","Lautem","Lospalos","Souro",0.668712
"Sucos","TL","Lautem","Luro","Cotamutu",0.260684
"Sucos","TL","Lautem","Lospalos","Leuro",0.871429
"Sucos","TL","Lautem","Luro","Lacawa",0.774194
"Sucos","TL","Baucau","Baucau","Samalari",0.692053
"Sucos","TL","Manatuto","Manatuto","Ma'abat",0.026144
"Sucos","TL","Baucau","Quelicai","Namanei",0.07027
"Sucos","TL","Baucau","Baucau","Wailili",0.315249
"Sucos","TL","Lautem","Luro","Luro",0.312
"Sucos","TL","Baucau","Quelicai","Afaca",0.590278
"Sucos","TL","Manatuto","Manatuto","Iliheu",0.216867
"Sucos","TL","Manatuto","Manatuto","Aiteas",0.038168
"Sucos","TL","Dili","Cristo Rei","Hera",0.123782
"Sucos","TL","Dili","Metinaro","Sabuli",0.169231
"Sucos","TL","Baucau","Baucau","Gariuai",0.157754
"Sucos","TL","Dili","Cristo Rei","Meti Aut",0.037736
"Sucos","TL","Baucau","Vemase","Caicua",0.909091
"Sucos","TL","Manatuto","Manatuto","Ailili",0.175
"Sucos","TL","Manatuto","Laclo","Lacumesac",0.358763
"Sucos","TL","Baucau","Baguia","Lavateri",0.980695
"Sucos","TL","Baucau","Quelicai","Guruca",0.037288
"Sucos","TL","Baucau","Laga","Atelari",0.932773
"Sucos","TL","Manatuto","Laleia","Haturalan",0.130081
"Sucos","TL","Dili","Dom Aleixo","Comoro",0.02716
"Sucos","TL","Baucau","Quelicai","Macalaco",0.99537
"Sucos","TL","Dili","Dom Aleixo","Fatuhada",0.050534
"Sucos","TL","Dili","Cristo Rei","Bidau Santana",0.078341
"Sucos","TL","Lautem","Lospalos","Cacavem",0.520833
"Sucos","TL","Dili","Nain Feto","Bidau Lecidere",0.229412
"Sucos","TL","Dili","Dom Aleixo","Kampung Alor",0.033254
"Sucos","TL","Dili","Vera Cruz","Motael",0.006637
"Sucos","TL","Baucau","Vemase","Uatu-Lari",0.988439
"Sucos","TL","Dili","Nain Feto","Acadiru Hun",0.056886
"Sucos","TL","Lautem","Lospalos","Lore II",0
"Sucos","TL","Baucau","Vemase","Uaigae",0.939024
"Sucos","TL","Dili","Nain Feto","Gricenfor",0.029557
"Sucos","TL","Lautem","Lospalos","Lore I",0.104803
"Sucos","TL","Baucau","Quelicai","Abafala",0.729323
"Sucos","TL","Dili","Vera Cruz","Colmera",0.013245
"Sucos","TL","Dili","Dom Aleixo","Bairro Pite",0.03477
"Sucos","TL","Dili","Cristo Rei","Camea",0.104555
"Sucos","TL","Dili","Cristo Rei","Culu Hun",0.007181
"Sucos","TL","Dili","Cristo Rei","Becora",0.037257
"Sucos","TL","Baucau","Quelicai","Waitame",0.659533
"Sucos","TL","Liquiçá","Bazartete","Tibar",0.034965
"Sucos","TL","Dili","Nain Feto","Santa Cruz",0.005924
"Sucos","TL","Dili","Vera Cruz","Vila Verde",0.015853
"Sucos","TL","Dili","Vera Cruz","Caicoli",0.02448
"Sucos","TL","Dili","Nain Feto","Bemori",0.050453
"Sucos","TL","Baucau","Baguia","Uacala",0.851852
"Sucos","TL","Aileu","Remexio","Suco-Liurai",0.844828
"Sucos","TL","Lautem","Luro","Baricafa",0.243243
"Sucos","TL","Liquiçá","Bazartete","Motaulun",0.155797
"Sucos","TL","Baucau","Baguia","Defa Uassi",0.503145
"Sucos","TL","Dili","Vera Cruz","Macarenhas",0.01626
"Sucos","TL","Dili","Nain Feto","Lahane Oriental",0.050857
"Sucos","TL","Manatuto","Laclo","Hohorai",0.75
"Sucos","TL","Liquiçá","Bazartete","Ulmera",0.32043
"Sucos","TL","Baucau","Vemase","Loilubo",0.96
"Sucos","TL","Manatuto","Laclo","Uma Naruc",0.388158
"Sucos","TL","Liquiçá","Bazartete","Lauhata",0.19469
"Sucos","TL","Baucau","Quelicai","Baguia",0.191388
"Sucos","TL","Dili","Vera Cruz","Lahane Ocidental",0.031561
"Sucos","TL","Baucau","Baguia","Samalari",0.692053
"Sucos","TL","Aileu","Remexio","Acumau",0.432749
"Sucos","TL","Lautem","Iliomar","Fuat",0.032051
"Sucos","TL","Manatuto","Laleia","Cairui",0.10049
"Sucos","TL","Baucau","Venilale","Uma Ana Ico",0.608491
"Sucos","TL","Baucau","Venilale","Uma Ana Ulo",0.531955
"Sucos","TL","Dili","Vera Cruz","Dare",0.347518
"Sucos","TL","Baucau","Vemase","Ossoala",0.543478
"Sucos","TL","Aileu","Laulara","Talitu",0.617486
"Sucos","TL","Baucau","Venilale","Bada Ho'o",0.669492
"Sucos","TL","Liquiçá","Bazartete","Maumeta",0.069767
"Sucos","TL","Liquiçá","Liquiçá","Dato",0.145782
"Sucos","TL","Aileu","Remexio","Tulataqueo",0.797297
"Sucos","TL","Dili","Cristo Rei","Balibar",0.274286
"Sucos","TL","Baucau","Quelicai","Letemuno",0.568571
"Sucos","TL","Baucau","Quelicai","Bualale",0.696078
"Sucos","TL","Baucau","Quelicai","Locoliu",0.782748
"Sucos","TL","Baucau","Baguia","Haeconi",0.185567
"Sucos","TL","Viqueque","Ossu","Uaibobo",0.5
"Sucos","TL","Baucau","Venilale","Baha Mori",0.514806
"Sucos","TL","Liquiçá","Liquiçá","Loidahar",0.188
"Sucos","TL","Aileu","Laulara","Cotolau",0.408163
"Sucos","TL","Lautem","Iliomar","Cainliu",0.220833
"Sucos","TL","Baucau","Baguia","Alaua Leten",0.857143
"Sucos","TL","Liquiçá","Maubara","Vatuvou",0.178849
"Sucos","TL","Liquiçá","Maubara","Vaviquinia",0.291139
"Sucos","TL","Baucau","Baguia","Lari Sula",0.981395
"Sucos","TL","Baucau","Baguia","Alaua Craic",0.724409
"Sucos","TL","Liquiçá","Bazartete","Fatumasi",0.192469
"Sucos","TL","Liquiçá","Bazartete","Fahilebo",0.557471
"Sucos","TL","Manatuto","Laclubar","Sanana'in",0.60177
"Sucos","TL","Aileu","Laulara","Fatisi",0.538835
"Sucos","TL","Baucau","Quelicai","Lelalai",0.79235
"Sucos","TL","Liquiçá","Bazartete","Metagou",0.163701
"Sucos","TL","Aileu","Laulara","Tohumeta",0.438202
"Sucos","TL","Baucau","Quelicai","Laisorolai de Baixo",0.877778
"Sucos","TL","Baucau","Quelicai","Abo",0.949074
"Sucos","TL","Aileu","Laulara","Madabeno",0.339056
"Sucos","TL","Manatuto","Manatuto","Cribas",0.568452
"Sucos","TL","Liquiçá","Liquiçá","Luculai",0.330189
"Sucos","TL","Liquiçá","Maubara","Gugleur",0.546142
"Sucos","TL","Liquiçá","Liquiçá","Hatuquessi",0.5
"Sucos","TL","Baucau","Quelicai","Laisorolai de Cima",0.882729
"Sucos","TL","Baucau","Venilale","Fatulia",0.685259
"Sucos","TL","Baucau","Baguia","Ossu-Huna",0.008772
"Sucos","TL","Aileu","Aileu vila","Saboria",0.288288
"Sucos","TL","Liquiçá","Maubara","Maubaralissa",0.267606
"Sucos","TL","Baucau","Venilale","Uailaha",0.617577
"Sucos","TL","Aileu","Remexio","Faturasa",0.937931
"Sucos","TL","Liquiçá","Bazartete","Leorema",0.638817
"Sucos","TL","Aileu","Remexio","Fadabloco",0.883065
"Sucos","TL","Liquiçá","Liquiçá","Darulete",0.206751
"Sucos","TL","Liquiçá","Maubara","Vatuboro",0.327314
"Sucos","TL","Viqueque","Uatucarbau","Afaloicai",0.917722
"Sucos","TL","Manatuto","Laclubar","Batara",0.170909
"Sucos","TL","Aileu","Remexio","Fahisoi",0.43295
"Sucos","TL","Aileu","Aileu vila","Aisirimou",0.357367
"Sucos","TL","Ermera","Railaco","Taraso",0.823529
"Sucos","TL","Baucau","Venilale","Bado Ho'o",0.669492
"Sucos","TL","Ermera","Railaco","Samalete",0.28022
"Sucos","TL","Ermera","Railaco","Lihu",0.107623
"Sucos","TL","Baucau","Baguia","Afaloicai",0.917722
"Sucos","TL","Liquiçá","Maubara","Lissadila",0.189189
"Sucos","TL","Viqueque","Uatucarbau","Loi Ulu",0.390476
"Sucos","TL","Viqueque","Ossu","Nahareca",0.240816
"Sucos","TL","Viqueque","Uatucarbau","Bahatata",0.774194
"Sucos","TL","Aileu","Aileu vila","Seloi Craic",0.49904
"Sucos","TL","Baucau","Venilale","Uaiolo",0.968379
"Sucos","TL","Viqueque","Watulari","Afaloicai",0.917722
"Sucos","TL","Aileu","Remexio","Hautoho",0.838235
"Sucos","TL","Lautem","Iliomar","Iliomar I",0.837945
"Sucos","TL","Aileu","Remexio","Maumeta",0.069767
"Sucos","TL","Viqueque","Ossu","Builale",0.405128
"Sucos","TL","Ermera","Railaco","Railaco Craic",0.436782
"Sucos","TL","Liquiçá","Liquiçá","Leoteala",0.337838
"Sucos","TL","Aileu","Aileu vila","Fahiria",0.352941
"Sucos","TL","Ermera","Railaco","Deleco",0.029851
"Sucos","TL","Ermera","Railaco","Railaco Leten",0.529126
"Sucos","TL","Manatuto","Laclubar","Funar",0.945017
"Sucos","TL","Baucau","Quelicai","Maluro",0.988889
"Sucos","TL","Viqueque","Lacluta","Laline",0.959514
"Sucos","TL","Liquiçá","Liquiçá","Asumano",0.498392
"Sucos","TL","Liquiçá","Maubara","Guico",0.246269
"Sucos","TL","Viqueque","Ossu","Liaruca",0.37931
"Sucos","TL","Viqueque","Watulari","Babulo",0.597727
"Sucos","TL","Ermera","Railaco","Tocoluli",0.136612
"Sucos","TL","Baucau","Venilale","Uataco",0.88
"Sucos","TL","Viqueque","Ossu","Ossu de Cima",0.183305
"Sucos","TL","Ermera","Railaco","Fatuquero",0.283912
"Sucos","TL","Aileu","Liquidoe","Fahisoi",0.43295
"Sucos","TL","Lautem","Iliomar","Tirilolo",0.11976
"Sucos","TL","Aileu","Liquidoe","Faturilau",0.520408
"Sucos","TL","Viqueque","Viqueque","Bibileo",0.692972
"Sucos","TL","Ermera","Railaco","Matata",0.820513
"Sucos","TL","Aileu","Aileu vila","Seloi Malere",0.096847
"Sucos","TL","Viqueque","Watulari","Vessoru",0.950954
"Sucos","TL","Ermera","Hatolia","Urahou",0.828265
