"Project","Activities","Country","State","District","City","Name","Lat","Lon","Comments","Beneficiaries:Individuals","Beneficiaries:Families","Beneficiaries:Pupils","Beneficiaries:Teachers","Beneficiaries:Men","Beneficiaries:Women"
"Community School Building Renewal","School Safety","Timor-Leste","Manufahi","Alas","Mahaquidan","Wedauberek",-9.12083,125.85278,,,,228,12,,
"Community School Building Renewal","School Safety","Timor-Leste","Manufahi","Turiscai","Liurai","Binimalo",-8.83166,125.72915,,,,465,31,,
"Community School Building Renewal","School Safety","Timor-Leste","Aileu","Laulara","Fatisi","Sabereke",-8.64573,125.5267,,,,1600,50,,
"Community School Building Renewal","School Safety","Timor-Leste","Covalima","Maucatar","Ogues","Oges",-9.26491,125.21452,,,,585,13,,
"Fishing Livelihoods Improvement","Livelihoods, Capacity Building","Timor-Leste","Bobonaro","Lolotoe","Gildapil","Gildapil",-9.12149,125.21228,,,,,,29,
"Fishing Livelihoods Improvement","Livelihoods, Capacity Building","Timor-Leste","Liquiçá","Maubara","Vatuvou","Watubau",-8.64984,125.26259,,,,,,12,
"Fishing Livelihoods Improvement","Livelihoods, Capacity Building","Timor-Leste","Aileu","Aileu Vila","Suco Liurai","Maurusa",-8.74522,125.51559,,,,,,19,
"Fishing Livelihoods Improvement","Livelihoods, Capacity Building","Timor-Leste","Bobonaro","Bobonaro","Bobonaro","Lepo",-9.04311,125.35841,,,,,,13,
"Fishing Livelihoods Improvement","Livelihoods, Capacity Building","Timor-Leste","Baucau","Laga","Atelari","Auraba",-8.55694,126.69167,,,,,,24,
"Fishing Livelihoods Improvement","Livelihoods, Capacity Building","Timor-Leste","Bobonaro","Cailaco","Meligo","Daulelo",-8.87854,125.23523,,,,,,40,
"Fishing Livelihoods Improvement","Livelihoods, Capacity Building","Timor-Leste","Ermera","Hatolia","Coliate-Leotelo","Martulete",-8.82309,125.37867,,,,,,12,
"Fishing Livelihoods Improvement","Livelihoods, Capacity Building","Timor-Leste","Oecusse","Oesilo","Bobometo","Oenoa",-9.32601,124.37428,,,,,,14,
"Fishing Livelihoods Improvement","Livelihoods, Capacity Building","Timor-Leste","Lautem","Lautem","Maina I","Daulaturo",-8.39538,126.91078,,,,,,18,
"Fishing Livelihoods Improvement","Livelihoods, Capacity Building","Timor-Leste","Baucau","Baucau","Triloca","Angkasabaru",-8.49578,126.36563,,,,,,26,
"Road Safety Campaign","Advocacy","Timor-Leste","Covalima","Suai","Beco","Haemanu",-9.25387,125.34518,,,,1188,27,,
"Road Safety Campaign","Advocacy","Timor-Leste","Manatuto","Barique/Natarbora","Aubeon","Buburlolon",-8.98212,126.06151,,,,484,44,,
"Road Safety Campaign","Advocacy","Timor-Leste","Liquiçá","Maubara","Vatuvou","Lisalara",-8.64304,125.22638,,,,792,33,,
"Road Safety Campaign","Advocacy","Timor-Leste","Ermera","Hatolia","Ailelo","Lukulaulau",-8.81806,125.30833,,,,420,15,,
"Road Safety Campaign","Advocacy","Timor-Leste","Ainaro","Maubisse","Maubisse","Rileko",-8.83205,125.59131,,,,448,16,,
"Road Safety Campaign","Advocacy","Timor-Leste","Viqueque","Watulari","Uaitame","Naidala",-8.8037,126.54842,,,,420,42,,
"Road Safety Campaign","Advocacy","Timor-Leste","Bobonaro","Cailaco","Purugoa","Sabarakalara",-8.85638,125.2235,,,,1760,40,,
"Road Safety Campaign","Advocacy","Timor-Leste","Ainaro","Ainaro","Ainaro","Kertapati",-8.98464,125.50353,,,,1015,35,,
"Road Safety Campaign","Advocacy","Timor-Leste","Liquiçá","Maubara","Vatuvou","Samanaro",-8.63013,125.25124,,,,616,44,,
"Road Safety Campaign","Advocacy","Timor-Leste","Lautem","Tutuala","Tutuala","Loro",-8.39909,127.25094,,,,989,23,,
"Water Supply Enhancement","Water Supply","Timor-Leste","Manatuto","Barique/Natarbora","Abat Oan","Ranac",-8.97295,126.06049,,360,,,,,
"Water Supply Enhancement","Water Supply","Timor-Leste","Viqueque","Uatucarbau","Uani uma","Uaniuma",-8.75577,126.68472,,149,,,,,
"Water Supply Enhancement","Water Supply","Timor-Leste","Dili","Nain feto","Acadiru hun","Nubadak",-8.55194,125.58944,,498,,,,,
"Water Supply Enhancement","Water Supply","Timor-Leste","Covalima","Maucatar","Ogues","Ogues",-9.29206,125.23198,,264,,,,,
"Water Supply Enhancement","Water Supply","Timor-Leste","Ainaro","Ainaro","Cassa","Bemoris",-9.13367,125.54511,,487,,,,,
"Water Supply Enhancement","Water Supply","Timor-Leste","Oecusse","Oesilo","Bobometo","Afumalule",-9.34039,124.36924,,390,,,,,
"Water Supply Enhancement","Water Supply","Timor-Leste","Ainaro","Hatu-udo","Leolima","Bonuk",-9.21533,125.53972,,157,,,,,
"Water Supply Enhancement","Water Supply","Timor-Leste","Viqueque","Uatucarbau","Afaloicai","Alooli",-8.692,126.64028,,293,,,,,
"Water Supply Enhancement","Water Supply","Timor-Leste","Covalima","Maucatar","Holpilat","Lela",-9.18974,125.20682,,155,,,,,
"Water Supply Enhancement","Water Supply","Timor-Leste","Viqueque","Viqueque","Bibileo","Fatuhosa",-8.96557,126.27034,,384,,,,,
"WatSan Infrastructure Improvement","Water Supply","Timor-Leste","Ermera","Hatolia","Coliate-leotelo","Regoa",-8.79975,125.37554,,,237,,,,
"WatSan Infrastructure Improvement","Water Supply","Timor-Leste","Bobonaro","Atabae","Hataz","Lahuluh",-8.85911,125.18014,,,294,,,,
"WatSan Infrastructure Improvement","Water Supply","Timor-Leste","Viqueque","Viqueque","Uma quic","Luwa",-8.87808,126.36649,,,98,,,,
"WatSan Infrastructure Improvement","Water Supply","Timor-Leste","Ermera","Railaco","Lihu","Kamal Pun",-8.67068,125.42774,,,147,,,,
"WatSan Infrastructure Improvement","Water Supply","Timor-Leste","Lautem","Iliomar","Cainliu","Tatalalarin",-8.69137,126.81563,,,208,,,,
"WatSan Infrastructure Improvement","Water Supply","Timor-Leste","Dili","Dom aleixo","Comoro","Lesibutak",-8.57861,125.53472,,,142,,,,
"WatSan Infrastructure Improvement","Water Supply","Timor-Leste","Oecusse","Passabe","Abani","Fauteso",-9.46093,124.32628,,,181,,,,
"WatSan Infrastructure Improvement","Water Supply","Timor-Leste","Oecusse","Oesilo","Bobometo","Benais",-9.33848,124.36344,,,196,,,,
"WatSan Infrastructure Improvement","Water Supply","Timor-Leste","Lautem","Lospalos","Fuiloro","Chaiuacha Baru",-8.52942,126.98185,,,292,,,,
"WatSan Infrastructure Improvement","Water Supply","Timor-Leste","Covalima","Zumalai","Raimea","Oebaba",-9.18892,125.51618,,,65,,,,
"DRR Mainstreaming","Mainstreaming DRR","Timor-Leste","Ainaro","Hatu-Udo","Foho-ai-Lico","Lebumera",-9.11055,125.66023,,241,,,,,
"DRR Mainstreaming","Mainstreaming DRR","Timor-Leste","Viqueque","Uatucarbau","Loi Ulu","Denihare",-8.67639,126.69861,,447,,,,,
"DRR Mainstreaming","Mainstreaming DRR","Timor-Leste","Oecusse","Oesilo","Usi-Tacae","Bono",-9.37129,124.34711,,334,,,,,
"DRR Mainstreaming","Mainstreaming DRR","Timor-Leste","Oecusse","Pante Macasar","Nipani","Mopo",-9.1794,124.46894,,472,,,,,
"DRR Mainstreaming","Mainstreaming DRR","Timor-Leste","Covalima","Tilomar","Foholulic","Maubesi",-9.33059,125.06442,,452,,,,,
"DRR Mainstreaming","Mainstreaming DRR","Timor-Leste","Manufahi","Fatuberliu","Caicasa","Sucairau",-9.0466,125.95266,,260,,,,,
"DRR Mainstreaming","Mainstreaming DRR","Timor-Leste","Baucau","Venilale","Bado Ho'o","Uatubela Oli",-8.60402,126.39672,,443,,,,,
"DRR Mainstreaming","Mainstreaming DRR","Timor-Leste","Manufahi","Same","Daisua","Loti",-9.08238,125.68872,,473,,,,,
"DRR Mainstreaming","Mainstreaming DRR","Timor-Leste","Lautem","Lospalos","Lore I","Lore",-8.64306,127.01944,,203,,,,,
"DRR Mainstreaming","Mainstreaming DRR","Timor-Leste","Manufahi","Alas","Mahaquidan","Alas",-9.02025,125.78933,,438,,,,,
"DRR School Curriculum Development","School Safety, Children's Education","Timor-Leste","Bobonaro","Bobonaro","Malilait","Uat",-9.0229,125.3197,,,,341,11,,
"DRR School Curriculum Development","School Safety, Children's Education","Timor-Leste","Ermera","Hatolia","Fatubessi","Matanova",-8.73846,125.32105,,,,924,33,,
"DRR School Curriculum Development","School Safety, Children's Education","Timor-Leste","Oecusse","Pante Macasar","Cunha","Nopai",-9.25694,124.34861,,,,480,30,,
"DRR School Curriculum Development","School Safety, Children's Education","Timor-Leste","Manatuto","Barique/Natarbora","Manehat","Dambohum",-8.91402,125.96817,,,,208,13,,
"DRR School Curriculum Development","School Safety, Children's Education","Timor-Leste","Viqueque","Watulari","Afaloicai","Siquilari",-8.74964,126.52186,,,,1360,34,,
"DRR School Curriculum Development","School Safety, Children's Education","Timor-Leste","Liquiçá","Maubara","Vatuvou","Samanaro",-8.64359,125.23961,,,,1247,29,,
"DRR School Curriculum Development","School Safety, Children's Education","Timor-Leste","Viqueque","Uatucarbau","Irabin de Cima","Uatobita",-8.69722,126.71111,,,,403,13,,
"DRR School Curriculum Development","School Safety, Children's Education","Timor-Leste","Aileu","Laulara","Fatisi","Lebihin",-8.64426,125.53166,,,,645,15,,
"DRR School Curriculum Development","School Safety, Children's Education","Timor-Leste","Viqueque","Uatucarbau","Uani Uma","Kapuas",-8.75913,126.65734,,,,1845,45,,
"DRR School Curriculum Development","School Safety, Children's Education","Timor-Leste","Dili","Cristo Rei","Becora","Malikeo",-8.58398,125.60474,,,,690,46,,
"Primary Healthcare Capacity Building","Capacity Building","Timor-Leste","Manatuto","Laleia","Cairui","Hatusili",-8.60575,126.1467,,108,,,,,
"Primary Healthcare Capacity Building","Capacity Building","Timor-Leste","Ermera","Letefoho","Lauana","Rigoa",-8.89665,125.40495,,454,,,,,
"Primary Healthcare Capacity Building","Capacity Building","Timor-Leste","Bobonaro","Bobonaro","Lourba","Ohobin",-9.0191,125.36539,,371,,,,,
"Primary Healthcare Capacity Building","Capacity Building","Timor-Leste","Ermera","Atsabe","Obulo","Lakubu",-8.97345,125.37309,,134,,,,,
"Primary Healthcare Capacity Building","Capacity Building","Timor-Leste","Ermera","Hatolia","Mau-Ubu","Groto",-8.73606,125.35217,,371,,,,,
"Primary Healthcare Capacity Building","Capacity Building","Timor-Leste","Ermera","Letefoho","Eraulo","Saharaitaurema",-8.8267,125.49028,,137,,,,,
"Primary Healthcare Capacity Building","Capacity Building","Timor-Leste","Lautem","Lospalos","Fuiloro","Trisula",-8.44028,126.99583,,379,,,,,
"Primary Healthcare Capacity Building","Capacity Building","Timor-Leste","Bobonaro","Atabae","Aidabaleten","Fatulagung",-8.79577,125.10496,,315,,,,,
"Primary Healthcare Capacity Building","Capacity Building","Timor-Leste","Lautem","Iliomar","Tirilolo","Boropai",-8.69931,126.79609,,303,,,,,
"Primary Healthcare Capacity Building","Capacity Building","Timor-Leste","Baucau","Laga","Saelari","Lari-Ledana",-8.47683,126.70854,,469,,,,,
