Name,Category,Message,Date,Expiry,Country,State,District,City,Lat,Lon,Image,URL
Hatokade - andslide,geophysical.landslide,,1/03/12,,Timor-Leste,AINARO,MAUBISSE,MAULAU,-8.78311,125.68618,,
Sogau - Landslide,geophysical.landslide,,4/03/12,,Timor-Leste,VIQUEQUE,OSSU,UAIBOBO,-8.64489,126.48419,,
Sentral - andslide,geophysical.landslide,,29/02/12,,Timor-Leste,LAUTEM,LOSPALOS,FUILORO,-8.52188,126.99469,,
Orlalan -  Water,flood.highWater,,29/02/12,,Timor-Leste,MANATUTO,LACLUBAR,ORLALAN,-8.75095,125.91619,,
Moassoe - g Wind,wind.strongWind,,3/03/12,,Timor-Leste,VIQUEQUE,UATUCARBAU,IRABIN DE BAIXO,-8.71032,126.67143,,
Gaulala - g Wind,wind.strongWind,,4/03/12,,Timor-Leste,ERMERA,LETEFOHO,ERAULO,-8.80887,125.45694,,
Tititir - gh Water,flood.highWater,,29/02/12,,Timor-Leste,ERMERA,ERMERA,ESTADO,-8.78968,125.38994,,
Locoliu - ong Wind,wind.strongWind,,1/03/12,,Timor-Leste,BAUCAU,QUELICAI,LOCOLIU,-8.61147,126.57092,,
Lotan -  Flood,flood,,4/03/12,,Timor-Leste,BOBONARO,BALIBO,BATUGADE,-8.98042,125.00335,,
Mangero - ong Wind,wind.strongWind,,4/03/12,,Timor-Leste,ERMERA,ERMERA,RIHEU,-8.73912,125.4359,,
Iraluruto - ong Wind,wind.strongWind,,3/03/12,,Timor-Leste,LAUTEM,ILIOMAR,ILIOMAR II,-8.74461,126.84537,,
Raibere - locked,roadway.roadwayClosure,,3/03/12,,Timor-Leste,AINARO,HATU-UDO,LEOLIMA,-9.06699,125.56467,,
Bonuk - ower Cut,other.powerFailure,,29/02/12,,Timor-Leste,AINARO,HATU-UDO,LEOLIMA,-9.21533,125.53972,,
Hutseo 2 - ower Cut,other.powerFailure,,29/02/12,,Timor-Leste,AINARO,HATU-UDO,LEOLIMA,-9.15373,125.57941,,
Hutseo 1 - er Cut,other.powerFailure,,2/03/12,,Timor-Leste,AINARO,HATU-UDO,LEOLIMA,-9.13691,125.58631,,
Lese - er Cut,other.powerFailure,,28/02/12,,Timor-Leste,AINARO,HATU-UDO,LEOLIMA,-9.13435,125.57018,,
Aimerliu - er Cut,other.powerFailure,,2/03/12,,Timor-Leste,AINARO,HATU-UDO,LEOLIMA,-9.1349,125.57328,,
Nonuboka - andslide,geophysical.landslide,,4/03/12,,Timor-Leste,AINARO,HATU-UDO,LEOLIMA,-9.13307,125.59534,,
Bismata -  Power Cut,other.powerFailure,,28/02/12,,Timor-Leste,AINARO,HATU-UDO,LEOLIMA,-9.13203,125.60486,,
Raisoro - ater,flood.highWater,,1/03/12,,Timor-Leste,AINARO,HATU-UDO,LEOLIMA,-9.13087,125.59697,,
Luru - ash Flood,flood.flashFlood,,29/02/12,,Timor-Leste,AINARO,HATU-UDO,LEOLIMA,-9.12667,125.58523,,
Ausur - - Flood,flood,,29/02/12,,Timor-Leste,AINARO,HATU-UDO,LEOLIMA,-9.12902,125.57946,,
Groto - locked,roadway.roadwayClosure,,1/03/12,,Timor-Leste,AINARO,HATU-UDO,LEOLIMA,-9.11987,125.58872,,
Hatu-Udo - locked,roadway.roadwayClosure,,29/02/12,,Timor-Leste,AINARO,HATU-UDO,LEOLIMA,-9.11958,125.5914,,
Goulau -  - Flood,flood,,4/03/12,,Timor-Leste,AINARO,HATU-UDO,LEOLIMA,-9.11476,125.58599,,
Surukraik - ndslide,geophysical.landslide,,2/03/12,,Timor-Leste,AINARO,HATU-UDO,LEOLIMA,-9.11004,125.58253,,
Leolima - andslide,geophysical.landslide,,2/03/12,,Timor-Leste,AINARO,HATU-UDO,LEOLIMA,-9.11082,125.58594,,
Raesoro - ater,flood.highWater,,1/03/12,,Timor-Leste,AINARO,HATU-UDO,LEOLIMA,-9.10784,125.58114,,
Raibere - igh Water,flood.highWater,,28/02/12,,Timor-Leste,AINARO,HATU-UDO,LEOLIMA,-9.06699,125.56467,,
Alas - Water,flood.highWater,,28/02/12,,Timor-Leste,MANUFAHI,ALAS,MAHAQUIDAN,-9.02025,125.78933,,
Wedauberek - sh Flood,flood.flashFlood,,28/02/12,,Timor-Leste,MANUFAHI,ALAS,MAHAQUIDAN,-9.12083,125.85278,,
Beremanek - ong Wind,wind.strongWind,,1/03/12,,Timor-Leste,MANUFAHI,ALAS,MAHAQUIDAN,-9.02565,125.79127,,
Umamean - lapsed,roadway.bridgeClosure,,28/02/12,,Timor-Leste,MANUFAHI,ALAS,MAHAQUIDAN,-9.02327,125.78904,,
Cnuaalas - rapped,other.peopleTrapped,,28/02/12,,Timor-Leste,MANUFAHI,ALAS,MAHAQUIDAN,-9.02114,125.79641,,
Alas - er Cut,other.powerFailure,,28/02/12,,Timor-Leste,MANUFAHI,ALAS,MAHAQUIDAN,-9.02025,125.78933,,
Buihomau - Blocked,roadway.roadwayClosure,,2/03/12,,Timor-Leste,LAUTEM,LAUTEM,SERELAU,-8.39758,126.83141,,
Irafala - ollapsed,roadway.bridgeClosure,,28/02/12,,Timor-Leste,LAUTEM,LAUTEM,BADURO,-8.45491,126.88918,,
Luandau - ollapsed,roadway.bridgeClosure,,1/03/12,,Timor-Leste,LAUTEM,LAUTEM,BADURO,-8.45368,126.88738,,
Laculomano - slide,geophysical.landslide,,3/03/12,,Timor-Leste,LAUTEM,LAUTEM,BADURO,-8.45596,126.89569,,
Baduro - psed,roadway.bridgeClosure,,2/03/12,,Timor-Leste,LAUTEM,LAUTEM,BADURO,-8.45349,126.89121,,
Lakulomano - cked,roadway.roadwayClosure,,2/03/12,,Timor-Leste,LAUTEM,LAUTEM,BADURO,-8.44469,126.8782,,
Malailada - cked,roadway.roadwayClosure,,2/03/12,,Timor-Leste,LAUTEM,LAUTEM,BADURO,-8.4448,126.89583,,
Hataman - cked,roadway.roadwayClosure,,4/03/12,,Timor-Leste,LAUTEM,LAUTEM,BADURO,-8.38746,126.85162,,
Tamaro - Water,flood.highWater,,28/02/12,,Timor-Leste,LAUTEM,LAUTEM,BADURO,-8.37394,126.88677,,
Tamitaru - h Water,flood.highWater,,3/03/12,,Timor-Leste,LAUTEM,LAUTEM,BADURO,-8.36873,126.89146,,
Liarafa - ndslide,geophysical.landslide,,3/03/12,,Timor-Leste,LAUTEM,LAUTEM,BADURO,-8.35379,126.91561,,
Petileti -  Flood,flood,,2/03/12,,Timor-Leste,LAUTEM,LAUTEM,COM,-8.36667,127.03889,,
Iraono -  Flood,flood.flashFlood,,29/02/12,,Timor-Leste,LAUTEM,LAUTEM,COM,-8.3654,127.03585,,
Umaboco - gh Water,flood.highWater,,1/03/12,,Timor-Leste,MANATUTO,BARIQUE/NATARBORA,UMA BOCO,-8.97564,126.04685,,
Ranac -  Water,flood.highWater,,3/03/12,,Timor-Leste,MANATUTO,BARIQUE/NATARBORA,ABAT OAN,-8.97295,126.06049,,
Camedar - - Flood,flood,,4/03/12,,Timor-Leste,MANATUTO,BARIQUE/NATARBORA,ABAT OAN,-8.97185,126.05766,,
Waicadi - - Landslide,geophysical.landslide,,2/03/12,,Timor-Leste,MANATUTO,BARIQUE/NATARBORA,AUBEON,-8.99122,126.06047,,
Buburlolon - andslide,geophysical.landslide,,4/03/12,,Timor-Leste,MANATUTO,BARIQUE/NATARBORA,AUBEON,-8.98212,126.06151,,
Webani - ower Cut,other.powerFailure,,4/03/12,,Timor-Leste,MANATUTO,BARIQUE/NATARBORA,BARIQUE,-8.84802,126.06325,,
Caunua - ower Cut,other.powerFailure,,3/03/12,,Timor-Leste,MANATUTO,BARIQUE/NATARBORA,BARIQUE,-8.84709,126.06484,,
Barique - m - Flood,flood,,4/03/12,,Timor-Leste,MANATUTO,BARIQUE/NATARBORA,BARIQUE,-8.84661,126.06213,,
Dambohum - andslide,geophysical.landslide,,1/03/12,,Timor-Leste,MANATUTO,BARIQUE/NATARBORA,MANEHAT,-8.91402,125.96817,,
Nuahuc -  Power Cut,other.powerFailure,,2/03/12,,Timor-Leste,MANATUTO,BARIQUE/NATARBORA,MANEHAT,-8.91471,125.97122,,
Manehat -  Power Cut,other.powerFailure,,29/02/12,,Timor-Leste,MANATUTO,BARIQUE/NATARBORA,MANEHAT,-8.91313,125.96735,,
Fatobalon -  Power Cut,other.powerFailure,,2/03/12,,Timor-Leste,MANATUTO,BARIQUE/NATARBORA,MANEHAT,-8.91371,125.97151,,
Wemaubodak - dslide,geophysical.landslide,,28/02/12,,Timor-Leste,MANATUTO,BARIQUE/NATARBORA,UMA BOCO,-8.98091,126.05217,,
Fahikrin - Blocked,roadway.roadwayClosure,,28/02/12,,Timor-Leste,MANATUTO,BARIQUE/NATARBORA,UMA BOCO,-8.97673,126.0458,,
Umaboco - Blocked,roadway.roadwayClosure,,28/02/12,,Timor-Leste,MANATUTO,BARIQUE/NATARBORA,UMA BOCO,-8.97564,126.04685,,
Lacoloroho - - Flood,flood,,4/03/12,,Timor-Leste,VIQUEQUE,UATUCARBAU,UANI UMA,-8.72352,126.6784,,
Kapuas - sh Flood,flood.flashFlood,,2/03/12,,Timor-Leste,VIQUEQUE,UATUCARBAU,UANI UMA,-8.75913,126.65734,,
Kadilale - sh Flood,flood.flashFlood,,28/02/12,,Timor-Leste,VIQUEQUE,UATUCARBAU,UANI UMA,-8.75729,126.65859,,
Uatucarbau - lapsed,roadway.bridgeClosure,,29/02/12,,Timor-Leste,VIQUEQUE,UATUCARBAU,UANI UMA,-8.75708,126.6848,,
Comaoli - rapped,other.peopleTrapped,,29/02/12,,Timor-Leste,VIQUEQUE,UATUCARBAU,UANI UMA,-8.75537,126.67828,,
Uaniuma - ad Blocked,roadway.roadwayClosure,,2/03/12,,Timor-Leste,VIQUEQUE,UATUCARBAU,UANI UMA,-8.75577,126.68472,,
Tanalale - ad Blocked,roadway.roadwayClosure,,1/03/12,,Timor-Leste,VIQUEQUE,UATUCARBAU,UANI UMA,-8.75462,126.68839,,
Lacoloroho - trong Wind,wind.strongWind,,2/03/12,,Timor-Leste,VIQUEQUE,UATUCARBAU,UANI UMA,-8.72352,126.6784,,
