"Organisation","Office","Code","Catalog","Asset No","Type","Category","Name","Location","Assigned To","Brand","Model","SN","Supplier","Date","Price","Comments"
"Manatuto Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","WS-100-14",1,"Equipment","Water Purification Unit",,,"CleanTec","WPX-813","WPU-5614-2095",,,,
"Same Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","WS-100-15",1,"Equipment","Water Purification Unit",,,"CleanTec","WPX-814","WPU-5897-4714",,,,
"Viqueque Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","WS-100-16",1,"Equipment","Water Purification Unit",,,"CleanTec","WPX-815","WPU-7036-3505",,,,
"Ainaro Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","MC-970-01",1,"Vehicle","Motorcyle",,,"Yamaha","DT50MX","DT-864-592",,,,
"Lospalos Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","MC-970-02",1,"Vehicle","Motorcyle",,,"Yamaha","DT50MX","DT-793-082",,,,
"Manatuto Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","MC-970-03",1,"Vehicle","Motorcyle",,,"Yamaha","DT50MX","DT-974-233",,,,
"Same Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","MC-970-04",1,"Vehicle","Motorcyle",,,"Yamaha","DT50MX","DT-743-893",,,,
"Viqueque Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","MC-970-05",1,"Vehicle","Motorcyle",,,"Yamaha","DT50MX","DT-974-263",,,,
"Ainaro Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","HR-583-01",1,"Communications","Hand Radio",,,"Motorola","HU-306","DT-343-796",,,,
"Lospalos Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","HR-583-02",1,"Communications","Hand Radio",,,"Motorola","HU-306","IF-6534-3240",,,,
"Manatuto Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","HR-583-03",1,"Communications","Hand Radio",,,"Motorola","HU-306","IF-7585-2214",,,,
"Same Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","HR-583-04",1,"Communications","Hand Radio",,,"Motorola","HU-306","IF-5535-8762",,,,
"Viqueque Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","HR-583-05",1,"Communications","Hand Radio",,,"Motorola","HU-306","IF-1002-7135",,,,
"Ainaro Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","BS-689-01",1,"Communications","Radio Base Station",,,"Motorola","BU-205-X","IF-8708-1575",,,,
"Lospalos Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","BS-689-02",1,"Communications","Radio Base Station",,,"Motorola","BU-205-X","IF-9532-2410",,,,
"Manatuto Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","BS-689-03",1,"Communications","Radio Base Station",,,"Motorola","BU-205-X","IF-7972-6086",,,,
"Same Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","BS-689-04",1,"Communications","Radio Base Station",,,"Motorola","BU-205-X","IF-3368-9365",,,,
"Viqueque Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","BS-689-05",1,"Communications","Radio Base Station",,,"Motorola","BU-205-X","IF-1907-8332",,,,
"Ainaro Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","LP-489-01",1,"IT","Laptop",,,"Toshiba","N7000","TGH-8156-5456",,,,
"Lospalos Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","LP-489-02",1,"IT","Laptop",,,"Toshiba","N7000","TGH-5183-8926",,,,
"Manatuto Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","LP-489-03",1,"IT","Laptop",,,"Toshiba","N7000","TGH-7830-9090",,,,
"Same Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","LP-489-04",1,"IT","Laptop",,,"Toshiba","N7000","TGH-8937-9025",,,,
"Viqueque Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","LP-489-05",1,"IT","Laptop",,,"Toshiba","N7000","TGH-2183-5851",,,,
"Ainaro Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","LP-489-06",1,"IT","Laptop",,,"Toshiba","N7000","TGH-5982-9601",,,,
"Lospalos Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","LP-489-07",1,"IT","Laptop",,,"Toshiba","N7000","TGH-8494-6696",,,,
"Manatuto Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","LP-489-08",1,"IT","Laptop",,,"Toshiba","N7000","TGH-9102-5935",,,,
"Same Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","LP-489-09",1,"IT","Laptop",,,"Toshiba","N7000","TGH-7535-9327",,,,
"Viqueque Branch Office","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters",,"Standard","LP-489-10",1,"IT","Laptop",,,"Toshiba","N7000","TGH-9914-3200",,,,
