Name,Comments,Type,SubType,SubSubType,Address,Postcode,L3,L2,L1,Opening Times,Phone,Organisation,Website,KV:OBJECTID,KV:post_id,Lat,Lon
Koreatown Youth and Community Center,"The agency provides business services, child care, conservation, counseling services, housing services, and youth services to residents of Koreatown.",Arts and Recreation,Recreation Programs,,3727 W. 6th St.,90020,Los Angeles,Los Angeles County,California,"Monday through Friday, 9:00am to 6:00pm","FAX (213) 927-0017, Service/Intake and Administration (213) 365-7400, Property Management Co. Administrative (213) 482-1600, Property Management Co. Service/Intake (213) 482-1600",Koreatown Youth & Community Center,www.kyccla.org,,257,34.063702,-118.303529
Salvation Army Corps Community Center - El Centro,The agency provides counseling services and recreational programs for people who live in central Los Angeles.,Arts and Recreation,Recreation Programs,,906 Francisco St,90015,Los Angeles,Los Angeles County,California,,Service/Intake (213) 896-9178,Salvation Army,www.salvationarmy-socal.org,,373,34.04686118,-118.2647376
Salvation Army Corps Community Center - Hollywood,The agency provides pastoral counseling services and recreational programs for people in the Hollywood area.,Arts and Recreation,Recreation Programs,,5941 Hollywood Blvd,90028,Los Angeles,Los Angeles County,California,,"General Information Service/Intake and Administration (323) 960-0640, Weingart Youth Center - After School Program Service/Intake (323) 960-0643",Salvation Army,www.salvationarmy-socal.org,,712,34.10186267,-118.3193219
Beach Cities Health District Community Care Services Department,"The agency provides health services to individuals age 0 to 65 and services for older adults age 60 and older or disabled adults age 18 and older, who live in the Beach Cities of Manhattan Beach, Redondo Beach and Hermosa Beach.",Arts and Recreation,Recreation Programs,,514 N Prospect Ave,90277,Redondo Beach,Los Angeles County,California,,"Service/Intake and Administration (310) 374-3426, Senior exercise programs Information Only (310) 347-3426, FAX (310) 374-1242",Beach Cities Health District,www.bchd.org,,731,33.85201328,-118.3788906
Asian Youth Center,"The agency provides health services and youth services for youth and young adults, age 6 to 18, in the San Gabriel Valley and from satellites in Los Angeles and Lancaster.",Arts and Recreation,Recreation Centers,,100 W. Clary Ave.,91776,San Gabriel,Los Angeles County,California,"Monday through Friday, 9:00am to 6:00pm.","Case/Care Management for Pregnant and Postpartum Women Service/Intake (626) 731-1161, Service/Intake and Administration (626) 309-0622, FAX (626) 309-0717",Asian Youth Center,www.asianyouthcenter.org,,753,34.097564,-118.099643
City of Baldwin Park Department of Recreation and Community Services,"The Baldwin Park Recreation and Community Services Department provides counseling services, emergency food, health services, personal goods, services for older adults, transportation and youth services for people who live in Baldwin Park including specia",Arts and Recreation,Recreation Programs,,4100 Baldwin Park Blvd.,91706,Baldwin Park,Los Angeles County,California,"Monday through Friday, 8:00am to 8:00pm.","Service/Intake (626) 813-5245, Senior Center number ext. 323 Service/Intake (626) 813-5245 Ext.323",City of Baldwin Park Department of Recreation and Community Services,www.baldwinpark.com,,770,34.087127,-117.964652
City of Baldwin Park Department of Recreation and Community Services,"The Baldwin Park Recreation and Community Services Department provides counseling services, emergency food, health services, personal goods, services for older adults, transportation and youth services for people who live in Baldwin Park including specia",Arts and Recreation,Recreation Centers,,4100 Baldwin Park Blvd.,91706,Baldwin Park,Los Angeles County,California,"Monday through Friday, 8:00am to 8:00pm.","Service/Intake (626) 813-5245, Senior Center number ext. 323 Service/Intake (626) 813-5245 Ext.323",City of Baldwin Park Department of Recreation and Community Services,www.baldwinpark.com,,771,34.087127,-117.964652
Claremont Joslyn Senior Center,"The center provides advocacy, cooling center, health services, housing services, nutrition services, and services for older adults, age 55 and older, and for people who live in the City of Claremont.",Arts and Recreation,Recreation Programs,,660 N. Mountain Ave.,91711,Claremont,Los Angeles County,California,"Monday through Friday, 8:00am to 5:00pm.","Senior HelpLine/Housing Info Service/Intake (909) 625-4600, Service/Intake (909) 399-5488, FAX (909) 621-7320",City of Claremont Senior Services,www.ci.claremont.ca.us,,791,34.10031,-117.728836
Burbank Housing Authority,The Housing Authority provides housing services in the City of Burbank.,Social Services,Housing Assistance and Information,,150 N. 3rd St.,91502,Burbank,Los Angeles County,California,"Monday through Friday, 8:00am to 5:00pm.","FAX (818) 238-5159, Service/Intake (818) 238-5160",City of Burbank Redevelopment Agency,www.burbankca.org/redevelopment/housing/,,59876,34.182747,-118.308034
Burbank Housing Authority,The Housing Authority provides housing services in the City of Burbank.,Social Services,Public Housing,,150 N. 3rd St.,91502,Burbank,Los Angeles County,California,"Monday through Friday, 8:00am to 5:00pm.","FAX (818) 238-5159, Service/Intake (818) 238-5160",City of Burbank Redevelopment Agency,www.burbankca.org/redevelopment/housing/,,59877,34.182747,-118.308034
Institute For Multicultural Counseling and Education Services Inc,"The institute provides counseling services, domestic violence services, education services, and legal services for people who live in Los Angeles County.",Social Services,Domestic Violence Services,,3580 Wilshire Blvd.,90010,Los Angeles,Los Angeles County,California,,"FAX (213) 383-4803, Service/Intake and Administration (213) 381-1250",Institute For Multicultural Counseling and Education Services Inc,imces.org,,59880,34.061601,-118.302893
Institute For Multicultural Counseling and Education Services Inc - Glendale,"The institute provides counseling services, domestic violence services, education services, and legal services for people who live in Los Angeles County.",Social Services,Domestic Violence Services,,431 N. Brand Blvd.,91203,Glendale,Los Angeles County,California,,"Service/Intake (818) 240-4311, FAX (818) 240-4318",Institute For Multicultural Counseling and Education Services Inc,imces.org,,59882,34.152126,-118.255195
Juvenile Dependency Court,"The Juvenile Dependency Court, a part of the Superior Court, has jurisdiction over cases which involve minors who may be victims of abuse or neglect.",Social Services,Adoption,,201 Centre Plaza Dr.,91754,Monterey Park,Los Angeles County,California,"Monday through Friday, 8:30am to 4:30pm.","Court Clerks Office Service/Intake and Administration (323) 526-6645, Administrative (323) 526-6610, Adoptions Unit - Records Service/Intake (323) 526-6343, DCFS Court Liaison Service/Intake (323) 526-6790, 211 L A Project, Lyz Melendez Service/Intake",LA County Superior Court ,www.lasuperiorcourt.org,,59895,34.058269,-118.166839
Juvenile Dependency Court - Lancaster Courthouse,"The Juvenile Dependency Court, a part of the Superior Court, has jurisdiction over cases which involve minors who may be victims of abuse or neglect.",Social Services,Adoption,,1000 E Ave J,93534,Lancaster,Los Angeles County,California,"Monday through Friday, 8:30am to 4:30pm.",Dependency Court Clerk Service/Intake (661) 945-6447,LA County Superior Court ,www.lasuperiorcourt.org,,59898,34.68912432,-118.1122364
Assistance League of Whittier,"The league provides financial assistance, health services, library services and thrift shops for people who live in the Whittier area.",Social Services,Payment Assistance,,6339 Greenleaf Ave.,90601,Whittier,Los Angeles County,California,,Service/Intake (562) 693-6533,Assistance League,whittier.assistanceleague.org/dcontact.cfm,,59905,33.983335,-118.037717
Bargain Bin Thrift Store,"The league provides financial assistance, health services, library services and thrift shops for people who live in the Whittier area.",Social Services,Thrift Shops,,6339 S. Greenleaf Ave.,90601,Whittier,Los Angeles County,California,,Service/Intake (562) 698-7012,Bargain Bin Thrift Store,whittier.assistanceleague.org/dcontact.cfm,,59908,33.983446,-118.037503
LA County Department of Public Health - Injury and Violence Prevention Program,The agency provides public safety services to individuals in Los Angeles County.,Social Services,Public Information Services,,3530 Wilshire Blvd.,90010,Los Angeles,Los Angeles County,California,,"Child Passenger Safety Seat Inspections Service/Intake (866) 732-8243, Administrative (213) 351-7888, FAX (213) 351-2713",LA County Department of Public Health,www.publichealth.lacounty.gov/IVPP,,59910,34.061611,-118.30132
St. Francis Medical Center - Career College,"The medical center provides child abuse services, health education, hospital services, WIA programs, and youth services for people of all ages who live in Southeast Los Angeles County.",Social Services,Job Training,,3680 E. Imperial Hwy.,90262,Lynwood,Los Angeles County,California,Monday through Friday 7:30am to 5:00pm.,"Service/Intake (800) 603-9355, Service/Intake and Administration (310) 900-8050",St. Francis Medical Center,www.stfrancismedicalcenter.com,,59911,33.932015,-118.200999
People Who Care Youth Center,The center provides family life education and youth services for people who live in South Los Angeles.,Education,Guidance and Tutoring Programs,,1500 W. Slauson Ave.,90047,Los Angeles,Los Angeles County,California,"Monday through Friday, 8:30am to 5:00pm; Saturday, 7:00am to 3:30pm.","Service/Intake (323) 778-8905, FAX (323) 778-9060",People Who Care Youth Center,www.pwcyc.org,,65,33.988994,-118.302639
Reiss-Davis Child Study Center,"The center provides counseling services for children, adolescents, and young adults age zero to 25 and their families who live primarily, in the West Los Angeles area.",Education,Adult Education,,3200 Motor Ave.,90034,Los Angeles,Los Angeles County,California,"Monday through Friday, 8:30am to 8:00pm; and Saturday, 8:30am to 2:30pm.","Service/Intake (310) 204-1666 Ext.356, Intake Service/Intake (310) 204-1666 Ext.407, Service Service/Intake (310) 204-1666 Ext.356",Vista Del Mar Child and Family Services,,,74,34.031049,-118.410792
Toberman Neighborhood Center,"The agency provides advocacy, counseling services, emergency food, holiday assistance, personal goods, recreational programs, substance abuse services, utility bill assistance, volunteer opportunities and youth services.",Education,Early Childhood Education and Head Start,,131 N. Grand Ave.,90731,San Pedro,Los Angeles County,California,"Monday through Friday, 9:00am to 5:00pm.","FAX (310) 832-6712, Service/Intake and Administration (310) 832-1145",Toberman Neighborhood Center,www.toberman.org,,241,33.743902,-118.290245
Bienvenidos - East Los Angeles Family Preservation,"The agency provides child abuse services, family support services, foster care services, health services, and substance abuse services for families throughout the San Gabriel Valley.",Education,Special Curriculum Schools and Programs,,5257 E. Beverly Blvd.,90022,Los Angeles,Los Angeles County,California,"Monday through Friday, 8:30am to 5:30pm.","FAX (323) 726-9789, Service/Intake (323) 726-9790, CARE Central Intake/Assessment Service/Intake (323) 726-9777",Bienvenidos Children's Center,www.bienvenidos.org,,302,34.031363,-118.151838
Para Los Ninos - Family Services Office,"The agency provides child care, child abuse services, counseling services, family life education, school readiness for children, ages 0 to 5, and youth services to families who live in the Los Angeles area, including downtown Los Angeles, East Los Angele",Education,Early Childhood Education and Head Start,,234 S. Loma Dr.,90026,Los Angeles,Los Angeles County,California,"Monday through Friday, 8:30am to 5:00pm.",Service/Intake (213) 413-1466,Para Los Niños,www.paralosninos.org,,321,34.0607,-118.264345
Para Los Ninos - Youth Center,"The agency provides child care, child abuse services, counseling services, family life education, school readiness for children, ages 0 to 5, and youth services to families who live in the Los Angeles area, including downtown Los Angeles, East Los Angele",Education,Guidance and Tutoring Programs,,845 E. 6th St.,90021,Los Angeles,Los Angeles County,California,"Monday through Friday, 9:00am to 6:30pm.","Service/Intake (213) 623-3942 Ext.222, Service/Intake (213) 623-3942 Ext.227",Para Los Niños,www.paralosninos.org,,325,34.040275,-118.241765
El Nido Family Centers - South Los Angeles,The agency provides counseling services and family life education for youth and their families in Los Angeles.,Education,Early Childhood Education and Head Start,,2152 W. Manchester Ave.,90047,Los Angeles,Los Angeles County,California,"Monday through Friday, 8:30am to 5:30pm.","FAX (323) 753-1222, Service/Intake (323) 971-7360",El Nido Family Centers,www.elnidofamilycenters.org,,360,33.959796,-118.317314
New Directions For Youth Inc,"The agency provides counseling services, education services and youth services for people in the San Fernando, Santa Clarita, and Antelope Valleys.",Education,Adult Education,,7315 N. Lankershim Blvd.,91605,North Hollywood,Los Angeles County,California,,"Service/Intake (818) 503-6330, FAX (818) 982-6339",New Directions for Youth,www.ndfy.org,,438,34.203296,-118.387943
Kheper Life Enrichment Institute,"The agency provides counseling, domestic violence services, family life education, substance abuse services and youth services in Los Angeles County.",Education,Guidance and Tutoring Programs,,3406 W. 75th St.,90043,Los Angeles,Los Angeles County,California,,"FAX (323) 750-7540, Service/Intake and Administration (323) 750-7550",Kheper Life Enrichment Institute,,,442,33.97168,-118.331038
Meet Each Need With Dignity - Mend,"The agency provides education services, emergency food, employment services, health services, holiday assistance, household goods, and personal goods for low-income people who live in the northeast part of the San Fernando Valley.",Education,Adult Education,,10641 N. San Fernando Rd.,91331,Pacoima,Los Angeles County,California,,"FAX (818) 897-0128, Service/Intake (818) 896-0246, Dental Clinic Direct Line Service/Intake (818) 686-7355, Information Only (818) 897-2443, Front Desk Service/Intake and Administration (818) 686-7300",MEND Poverty,www.mendpoverty.org,,491,34.263288,-118.419329
Los Angeles District,,Postal,USPS Administrative Offices,,7001 S Central Ave,,Los Angeles,Los Angeles County,California,,90052,US Postal Service (USPS),,49798,50519,33.97668,-118.2565
Sierra Coastal District,,Postal,USPS Administrative Offices,,28201 Franklin Pkwy,,Santa Clarita,Los Angeles County,California,,91383,US Postal Service (USPS),,49799,50520,34.43624,-118.6263
Pepperdine University Library 90265,,Postal,USPS Mail Collection Boxes,Business,24255 Pacific Coast Hwy #1 Lib W,90265,Malibu,Los Angeles County,California,,,US Postal Service (USPS),,49800,50521,34.03474769,-118.7042308
Seaver Dr / Baxter Dr (Pepperdine Univ),,Postal,USPS Mail Collection Boxes,Residential,24255 Pacific Coast Hwy #2 Dormne,90265,Malibu,Los Angeles County,California,,,US Postal Service (USPS),,49801,50522,34.03474769,-118.7042308
"23525 Civic Center Way Malibu, CA 90265",,Postal,USPS Mail Collection Boxes,Business,23525 Civic Center Way,90265,Malibu,Los Angeles County,California,,,US Postal Service (USPS),,49802,50523,34.03629026,-118.6891628
3854 Cross Creek Rd Malibu CA 90265,,Postal,USPS Mail Collection Boxes,Business,3854 Cross Creekrd,90265,Malibu,Los Angeles County,California,,,US Postal Service (USPS),,49803,50524,34.0359511,-118.685433
"Pt. Dume Station Malibu, CA 90265-02",,Postal,USPS Mail Collection Boxes,Business,29350 Pacific Coast Hwy,90265,Malibu,Los Angeles County,California,,,US Postal Service (USPS),,49804,50525,34.01868015,-118.8142222
Collection Mail Deposit / Dispatch Point,,Postal,USPS Mail Collection Boxes,Other,23648 Pacific Cosat Hwy,90265,Malibu,Los Angeles County,California,,,US Postal Service (USPS),,49805,50526,34.03451729,-118.6900836
Pepperdine Univ-Via Pacifica / Catalina,,Postal,USPS Mail Collection Boxes,Business,24255 Pacific Coast Hwy (Univ-Grad),90265,Malibu,Los Angeles County,California,,,US Postal Service (USPS),,49806,50527,34.03474769,-118.7042308
23410 Civic Center Way Malibu CA 90265,,Postal,USPS Mail Collection Boxes,Business,23410 Civic Center Way W,90265,Malibu,Los Angeles County,California,,,US Postal Service (USPS),,49807,50528,34.03687472,-118.6860188
Vincent Substation,,Transportation,Heliports,,,93550,Acton,Los Angeles County,California,,,,,,4383,34.48610472,-118.1159056
Agua Dulce Airport,,Transportation,Airports,,,91390,Agua Dulce,Los Angeles County,California,,,,,,4384,34.50256944,-118.3146444
Camp 11 Heliport,,Transportation,Heliports,,,91350,Agua Dulce,Los Angeles County,California,,,,,,4385,34.43832833,-118.2875781
Santa Fe International Corp Heliport,,Transportation,Heliports,,,91802,Alhambra,Los Angeles County,California,,,,,,4386,34.08084306,-118.1492369
SCE Energy Control Center,,Transportation,Heliports,,,91801,Alhambra,Los Angeles County,California,,,,,,4387,34.08389861,-118.144515
St Joseph Medical Center,,Transportation,Heliports,,,91505,Burbank,Los Angeles County,California,,,St Joseph Medical Center,,,4388,34.15556222,-118.3289664
NBC-TV,,Transportation,Heliports,,,91523,Burbank,Los Angeles County,California,,,,,,4389,34.15361778,-118.3314667
Station 125,,Transportation,Heliports,,,91302,Calabasas,Los Angeles County,California,,,,,,4390,34.15028306,-118.6981436
Lost Hills Sheriff's Station,,Transportation,Heliports,,,91754,Calabasas,Los Angeles County,California,,,Lost Hills Sheriff's Station,,,4391,34.13777778,-118.7144444
Hughes-Canoga Park Heliport,,Transportation,Heliports,,,91409,Canoga Park,Los Angeles County,California,,,,,,4392,34.23750361,-118.6259217
Residential Program,"Case Management, Crisis Intervention, Full Service Partnership, Medication Support, Mental Health Services, Psych Testing, Therapeutic Behavioral Services (Tbs)<Br>Languages Spoken: English",Health and Mental Health,Mental Health Programs,,44738 Sierra Highway,93534,Lancaster,Los Angeles County,California,Operational Hours: Contact Provider; Walk-In Hours: Contact Provider,(661) 942-5749,Residential Program,,,1,34.69526626,-118.1360705
Jewish Family Service of Los Angeles - Family Violence Project,"Case Management, Medication Support, Mental Health Services",Health and Mental Health,Mental Health Counseling,,2931 Redondo Avenue,90806,Long Beach,Los Angeles County,California,Operational Hours: Contact Provider; Walk-In Hours: Contact Provider,562490-7600,Jewish Family Service of Los Angeles,,,2,33.80869832,-118.151981
Foothill Family Service - Duarte Office,"Case Management, Mental Health Promotion, Crisis Intervention, Medication Support, Mental Health Services, Psych Testing",Health and Mental Health,Mental Health Counseling,,808 N Los Robles,91104,Pasadena,Los Angeles County,California,Operational Hours: Mon - Fri 9:30 am - 5:00 pm; Walk-In Hours: No Walk-ins,(626) 395-7100,Foothill Family Services,,,3,34.16025058,-118.1409188
Fuller Psychological and Family Services,"Day Treatment, Full Service Partnership, Medication Support, Mental Health Services, Psych Testing, Residential",Health and Mental Health,Mental Health Counseling,,"520 S La Fayette Park Place, 3rd Floor - Suite 300",90057,Los Angeles,Los Angeles County,California,Operational Hours: Mon 8:30 - 7:00 pm Tues -Fri 8:30 am - 6.00 pm; Walk-In Hours: No Walk-ins,(213) 252-2100,Fuller Psychological and Family Services,,,4,34.06376126,-118.2824114
Olive Vista,"Medication Support, Mental Health Services<Br>Languages Spoken: English, Spanish",Health and Mental Health,Mental Health Programs,,"23504 Lyons Avenue, Suite 204",91321,Newhall,Los Angeles County,California,Operational Hours: Contact Provider; Walk-In Hours: Contact Provider,(661) 259-9439,Olive Vista,,,5,34.37941004,-118.5445223
VNA Care,The agency provides end of life services and in-home health services for people in the San Fernando and San Gabriel Valleys and parts of Los Angeles.,Health and Mental Health,Health Clinics,,3452 E Foothill Blvd,91107,Pasadena,Los Angeles County,California,"Monday through Friday, 8:30am to 5:00pm. A registered nurse is on call 24 hours per day, seven days per week.","Service/Intake and Administration (626) 568-2588, FAX (626) 568-2590",Visiting Nurses Association,www.vnahhs.com,,6,34.14915478,-118.07839
Valley Trauma Counseling Center - Sophia Ave Van Nuys Office,The center provides sexual assault services and family support services primarily for survivors of all interpersonal violence who live in the San Fernando Valley and Santa Clarita Valley,Health and Mental Health,Mental Health Programs,,7116 Sophia Ave.,91406,Van Nuys,Los Angeles County,California,SITE HOURS: Appointment hours vary; please call.,"24 hours/7days Service/Intake and Hotline (818) 886-0453, Administrative (818) 756-5330, FAX (818) 756-5443",Valley Trauma Counseling Center ,www.csun.edu/vtc,,8,34.19969,-118.486827
Planned Parenthood Pasadena and San Gabriel Valley - Pasadena Health Center,The agency provides family planning services for people of all ages in Los Angeles County.,Health and Mental Health,Health Clinics,,1045 N. Lake Ave.,91104,Pasadena,Los Angeles County,California,"Clinic hours are Monday, 8:30am to 5:00pm; Tuesday, Wednesday, 8:00am to 9:00pm; Thursday, 8:00am to 10:00pm; Friday, 7:30am to 4:00pm; Saturday, 8:00am to 2:00pm.","Administrative (626) 794-5737, Appointments Service/Intake (626) 798-0706",Planned Parenthood - Pasadena and San Gabriel Valley,www.pppasadena.org,,9,34.16396,-118.132931
Planned Parenthood Pasadena and San Gabriel Valley - Pasadena Health Center,The agency provides family planning services for people of all ages in Los Angeles County.,Health and Mental Health,Health Education and Counseling,,1045 N. Lake Ave.,91104,Pasadena,Los Angeles County,California,"Clinic hours are Monday, 8:30am to 5:00pm; Tuesday, Wednesday, 8:00am to 9:00pm; Thursday, 8:00am to 10:00pm; Friday, 7:30am to 4:00pm; Saturday, 8:00am to 2:00pm.","Administrative (626) 794-5737, Appointments Service/Intake (626) 798-0706",Planned Parenthood - Pasadena and San Gabriel Valley,www.pppasadena.org,,10,34.16396,-118.132931
Planned Parenthood Pasadena and San Gabriel Valley - Pasadena Health Center,The agency provides family planning services for people of all ages in Los Angeles County.,Health and Mental Health,Health Screening and Testing,,1045 N. Lake Ave.,91104,Pasadena,Los Angeles County,California,"Clinic hours are Monday, 8:30am to 5:00pm; Tuesday, Wednesday, 8:00am to 9:00pm; Thursday, 8:00am to 10:00pm; Friday, 7:30am to 4:00pm; Saturday, 8:00am to 2:00pm.","Administrative (626) 794-5737, Appointments Service/Intake (626) 798-0706",Planned Parenthood - Pasadena and San Gabriel Valley,www.pppasadena.org,,11,34.16396,-118.132931
KABC,,Communications,AM Antennas,,,,,Los Angeles County,California,,,,,,4751,34.0281,-118.3728
KALI,,Communications,AM Antennas,,,,,Los Angeles County,California,,,,,,4752,34.0317,-117.935
KNKA584,,Communications,Cellular Towers,,Tejon Lookout,,Gorman,Los Angeles County,California,,,,,,12595,34.80305556,-118.8141667
KNKA351,,Communications,Cellular Towers,,918 Latigo Canyon Rd.,,Malibu,Los Angeles County,California,,,,,,12596,34.08583333,-118.7858333
K205EP,,Communications,FM Antennas,,,,La Cañada Flintridge,Los Angeles County,California,,,,,,22360,34.215,-118.275
K209CN,,Communications,FM Antennas,,,,Gorman,Los Angeles County,California,,,,,,22361,34.7447,-118.7269
Kpjo-Fm (Avalon),,Communications,Towers,,,,,Los Angeles County,California,,,,,,23409,33.343362,-118.3220171
Kbet-Am (Canyon Country),,Communications,Towers,,,,,Los Angeles County,California,,,,,,23522,34.465272,-118.4028592
KSW93,,Communications,BRS and EBS Transmitters,,,,,Los Angeles County,California,,,,,,62139,34.22611111,-118.06672222
WHG229,,Communications,BRS and EBS Transmitters,,,,,Los Angeles County,California,,,,,,62140,34.22611111,-118.06672222
BLP0042,,Communications,Land Mobile Broadcast,,,,,Los Angeles County,California,,,,,,29694,34,-118.0008333
BLP0053,,Communications,Land Mobile Broadcast,,,,,Los Angeles County,California,,,,,,29695,34.0775,-118.2602778
WPYB999,,Communications,Land Mobile Commercial Towers,,2238 S. Bradley,,Santa Maria,Los Angeles County,California,,,,,,29898,34.91916667,-120.4183333
WPCP434,,Communications,Land Mobile Commercial Towers,,1600 Mulholland Dr,,Sepulveda Canyon Ber,Los Angeles County,California,,,,,,29899,37.12861111,-118.4819444
KA88887,,Communications,Microwave Towers,,,,Los Angeles,Los Angeles County,California,,,,,,41460,33.34305556,-118.3208333
KB55326,,Communications,Microwave Towers,,,,Los Angeles,Los Angeles County,California,,,,,,41461,33.40222222,-118.4138889
"Los Angeles, Outer Harbor",,Environment,Tsunami Tide Gauges,,,,,Los Angeles County,California,,,,,48668,49389,33.71994,-118.27286
"Santa Monica, Pacific Ocean",,Environment,Tsunami Tide Gauges,,,,,Los Angeles County,California,,,,,48669,49390,34.00833,-118.5
