uid,role,description,controller,function,table,uacl,oacl,hidden,entity,Notes
ORG_ADMIN_RO,Organisation Admin (RO),Permission assigned at Organization Forum Level,,,inv_warehouse,READ,,true,,
ORG_ADMIN_RO,Organisation Admin (RO),Permission assigned at Organization Forum Level,,,med_contact,READ,,true,,
ORG_ADMIN_RO,Organisation Admin (RO),Permission assigned at Organization Forum Level,security,,,READ,,true,,
ORG_ADMIN_RO,Organisation Admin (RO),Permission assigned at Organization Forum Level,transport,flight,,READ,,true,,
ORG_ADMIN_RO,Organisation Admin (RO),Permission assigned at Organization Forum Level,project,task,,CREATE|READ|UPDATE,READ|UPDATE|DELETE,true,,
ORG_MEMBER,Organization Member,Organization Level Permissions,cr,,,READ,,true,,
ORG_MEMBER,Organization Member,Organization Level Permissions,event,incident_report,,CREATE|READ,READ|UPDATE,true,,
ORG_MEMBER,Organization Member,Organization Level Permissions,fin,broker,,READ,,true,,
ORG_MEMBER,Organization Member,Organization Level Permissions,,,inv_inv_item,READ,,true,,
ORG_MEMBER,Organization Member,Organization Level Permissions,,,inv_warehouse,READ,,true,,
ORG_MEMBER,Organization Member,Organization Level Permissions,,,med_contact,READ,,true,,
ORG_MEMBER,Organization Member,Organization Level Permissions,security,,,READ,,true,,
ORG_MEMBER,Organization Member,Organization Level Permissions,transport,flight,,READ,,true,,
CASE_MANAGER,Case Manager,Permission assigned at Personal Level,br,,,READ|UPDATE|DELETE,,,,
CASE_MANAGER,Case Manager,Permission assigned at Personal Level,,,br_activity,READ|UPDATE,,,,
CASE_MANAGER,Case Manager,Permission assigned at Personal Level,,,br_case,READ|UPDATE,,,,
CASE_MANAGER,Case Manager,Permission assigned at Personal Level,,,gis_route,CREATE|READ|UPDATE|DELETE,,,,
CASE_MANAGER,Case Manager,Permission assigned at Personal Level,project,task,,CREATE|READ|UPDATE,,,,
CASE_SUPER,Case Supervisor,Permission assigned at either Personal or Organizational Level,br,,,READ|UPDATE|DELETE,,,,
CASE_SUPER,Case Supervisor,Permission assigned at either Personal or Organizational Level,,,br_activity,READ|UPDATE,,,,
CASE_SUPER,Case Supervisor,Permission assigned at either Personal or Organizational Level,,,br_case,READ|UPDATE,,,,
CASE_SUPER,Case Supervisor,Permission assigned at either Personal or Organizational Level,,,gis_route,CREATE|READ|UPDATE|DELETE,,,,
CASE_SUPER,Case Supervisor,Permission assigned at either Personal or Organizational Level,project,task,,CREATE|READ|UPDATE|DELETE,,,,
FLIGHTS,Flight Manifests Working Group,Permission assigned at Personal Level,br,,,CREATE|READ|UPDATE,,,,
FLIGHTS,Flight Manifests Working Group,Permission assigned at Personal Level,,,br_activity,CREATE|READ|UPDATE,,,,
FLIGHTS,Flight Manifests Working Group,Permission assigned at Personal Level,transport,airport,,CREATE|READ|UPDATE,,,any,
FLIGHTS,Flight Manifests Working Group,Permission assigned at Personal Level,transport,airplane,,CREATE|READ|UPDATE,,,any,
FLIGHTS_RW,Flight Manifests Working Group (Organizational RW),Read/Write Permission assigned at Organizational Level,transport,flight,,CREATE|READ|UPDATE|DELETE,,true,,
FLIGHTS_RO,Flight Manifests Working Group (Organizational OW),Read-Only Permission assigned at Organizational Level,transport,flight,,READ,,true,,
FLIGHTS_RO,Flight Manifests Working Group (Organizational OW),Read-Only Permission assigned at Organizational Level,project,task,,CREATE|READ|UPDATE,READ|UPDATE|DELETE,true,,
LEGAL,Legal Working Group,Permission assigned at Personal Level,br,,,CREATE|READ|UPDATE,,,,
LEGAL,Legal Working Group,Permission assigned at Personal Level,,,br_activity,CREATE|READ|UPDATE,,,,
LEGAL_RO,Legal Working Group (Organizational RO),Read-Only Permission assigned at Organizational WG Level,project,task,,CREATE|READ|UPDATE,READ|UPDATE|DELETE,true,,
LOGISTICS,Logistics Working Group,Permission assigned at Personal Level,br,,,CREATE|READ|UPDATE,,,,
LOGISTICS,Logistics Working Group,Permission assigned at Personal Level,,,br_activity,CREATE|READ|UPDATE,,,,
LOGISTICS,Logistics Working Group,Permission assigned at Personal Level,fin,bank,,CREATE|READ|UPDATE,,,,
LOGISTICS_RW,Logistics Working Group (Organizational RW),Read/Write Permission assigned at Organizational WG Level,cr,,,CREATE|READ|UPDATE|DELETE,,true,,
LOGISTICS_RW,Logistics Working Group (Organizational RW),Read/Write Permission assigned at Organizational WG Level,fin,broker,,CREATE|READ|UPDATE|DELETE,,true,,
LOGISTICS_RW,Logistics Working Group (Organizational RW),Read/Write Permission assigned at Organizational WG Level,,,inv_inv_item,CREATE|READ|UPDATE|DELETE,,true,,
LOGISTICS_RW,Logistics Working Group (Organizational RW),Read/Write Permission assigned at Organizational WG Level,,,inv_warehouse,CREATE|READ|UPDATE|DELETE,,true,,
LOGISTICS_RO,Logistics Working Group (Organizational RO),Read-Only Permission assigned at Organizational WG Level,cr,,,READ,,true,,
LOGISTICS_RO,Logistics Working Group (Organizational RO),Read-Only Permission assigned at Organizational WG Level,fin,broker,,READ,,true,,
LOGISTICS_RO,Logistics Working Group (Organizational RO),Read-Only Permission assigned at Organizational WG Level,,,inv_inv_item,READ,,true,,
LOGISTICS_RO,Logistics Working Group (Organizational RO),Read-Only Permission assigned at Organizational WG Level,,,inv_warehouse,READ,,true,,
LOGISTICS_RO,Logistics Working Group (Organizational RO),Read-Only Permission assigned at Organizational WG Level,project,task,,CREATE|READ|UPDATE,READ|UPDATE|DELETE,true,,
MEDICAL,Medical Working Group,Permission assigned at Personal Level,br,,,CREATE|READ|UPDATE,,,,
MEDICAL,Medical Working Group,Permission assigned at Personal Level,,,br_activity,CREATE|READ|UPDATE,,,,
MEDICAL,Medical Working Group,Permission assigned at Personal Level,med,hospital,,CREATE|READ|UPDATE|DELETE,,,,
MEDICAL,Medical Working Group,Permission assigned at Personal Level,med,pharmacy,,CREATE|READ|UPDATE|DELETE,,,,
MEDICAL_RW,Medical Working Group (Organizational RW),Read/Write Permission assigned at Organizational WG Level,,,med_contact,CREATE|READ|UPDATE|DELETE,,true,,
MEDICAL_RO,Medical Working Group (Organizational RO),Read-Only Permission assigned at Organizational WG Level,,,med_contact,READ,,true,,
MEDICAL_RO,Medical Working Group (Organizational RO),Read-Only Permission assigned at Organizational WG Level,project,task,,CREATE|READ|UPDATE,READ|UPDATE|DELETE,true,,
SECURITY,Security Working Group,Permission assigned at Personal Level,br,,,CREATE|READ|UPDATE,,,,
SECURITY,Security Working Group,Permission assigned at Personal Level,,,br_activity,CREATE|READ|UPDATE,,,,
SECURITY,Security Working Group,Permission assigned at Personal Level,,,gis_route,CREATE|READ|UPDATE,,,,
SECURITY_RW,Security Working Group (Organizational RW),Read/Write Permission assigned at Organizational WG Level,security,,,CREATE|READ|UPDATE|DELETE,,true,,
SECURITY_RO,Security Working Group (Organizational RO),Read-only Permission assigned at Organizational WG Level,security,,,READ,,true,,
SECURITY_RO,Security Working Group (Organizational RO),Read-only Permission assigned at Organizational WG Level,project,task,,CREATE|READ|UPDATE,READ|UPDATE|DELETE,true,,
