uid,role,description,hidden,controller,function,table,uacl,oacl,entity
ORG_ADMIN,Organisation Admin,,,,,pr_person,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,,,pr_person_details,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,,,req_req,CREATE|READ|UPDATE|DELETE,,
ORG_GROUP_ADMIN,Organisation Group Admin,,false,fin,,,READ,,
ORG_GROUP_ADMIN,Organisation Group Admin,,,hrm,person,,CREATE|READ|UPDATE|DELETE,,
ORG_GROUP_ADMIN,Organisation Group Admin,,,hrm,staff,,CREATE|READ|UPDATE|DELETE,,
ORG_GROUP_ADMIN,Organisation Group Admin,,,org,facility,,READ|UPDATE,,
ORG_GROUP_ADMIN,Organisation Group Admin,,,org,organisation,,CREATE|READ|UPDATE|DELETE,,
ORG_GROUP_ADMIN,Organisation Group Admin,,,org,,,CREATE|READ|UPDATE|DELETE,,
ORG_GROUP_ADMIN,Organisation Group Admin,,,,,fin_voucher,READ,,
ORG_GROUP_ADMIN,Organisation Group Admin,,,,,fin_voucher_claim,READ,,
ORG_GROUP_ADMIN,Organisation Group Admin,,,,,fin_voucher_debit,READ,,
ORG_GROUP_ADMIN,Organisation Group Admin,,,,,hrm_human_resource,CREATE|READ|UPDATE|DELETE,,
ORG_GROUP_ADMIN,Organisation Group Admin,,,,,inv_warehouse,CREATE|READ|UPDATE|DELETE,,
ORG_GROUP_ADMIN,Organisation Group Admin,,,,,org_facility,CREATE|READ|UPDATE|DELETE,,
ORG_GROUP_ADMIN,Organisation Group Admin,,,,,org_facility_type,CREATE|READ|UPDATE|DELETE,,
ORG_GROUP_ADMIN,Organisation Group Admin,,,,,org_group,READ|UPDATE,,
ORG_GROUP_ADMIN,Organisation Group Admin,,,,,org_office,CREATE|READ|UPDATE|DELETE,,
ORG_GROUP_ADMIN,Organisation Group Admin,,,,,org_organisation,CREATE|READ|UPDATE,,
ORG_GROUP_ADMIN,Organisation Group Admin,,,,,org_service_site,CREATE|READ|UPDATE|DELETE,,
ORG_GROUP_ADMIN,Organisation Group Admin,,,,,pr_contact,CREATE|READ|UPDATE|DELETE,,
ORG_GROUP_ADMIN,Organisation Group Admin,,,,,pr_contact_emergency,CREATE|READ|UPDATE|DELETE,,
ORG_GROUP_ADMIN,Organisation Group Admin,,,,,pr_person,CREATE|READ|UPDATE|DELETE,,
ORG_GROUP_ADMIN,Organisation Group Admin,,,,,pr_person_details,CREATE|READ|UPDATE|DELETE,,
PROGRAM_ACCOUNTANT,Program Accountant,,,fin,voucher,,NONE,,
PROGRAM_ACCOUNTANT,Program Accountant,,,fin,voucher_debit,,READ,,any
PROGRAM_ACCOUNTANT,Program Accountant,,,fin,voucher_invoice,,READ|UPDATE,,
PROGRAM_ACCOUNTANT,Program Accountant,,,fin,voucher_invoice,,READ,,any
PROGRAM_ACCOUNTANT,Program Accountant,,,fin,voucher_program,,READ,,any
PROGRAM_ACCOUNTANT,Program Accountant,,,fin,,,READ,,
PROGRAM_ACCOUNTANT,Program Accountant,,,,,fin_voucher,READ,,any
PROGRAM_ACCOUNTANT,Program Accountant,,,,,fin_voucher_debit,READ,,any
PROGRAM_ACCOUNTANT,Program Accountant,,,,,fin_voucher_invoice,READ|UPDATE,,
PROGRAM_ACCOUNTANT,Program Accountant,,,,,fin_voucher_program,READ,,any
PROGRAM_ACCOUNTANT,Program Accountant,,,,,hrm_human_resource,READ,,
PROGRAM_ACCOUNTANT,Program Accountant,,,,,org_group,READ,,any
PROGRAM_MANAGER,Program Manager,,,fin,voucher_program,,CREATE|READ|UPDATE|DELETE,,
PROGRAM_MANAGER,Program Manager,,,fin,voucher_program,,READ,,any
PROGRAM_MANAGER,Program Manager,,,fin,,,READ,,
PROGRAM_MANAGER,Program Manager,,,,,fin_voucher_program,CREATE|READ|UPDATE|DELETE,,
PROGRAM_MANAGER,Program Manager,,,,,fin_voucher_transaction,READ,,
PROGRAM_MANAGER,Program Manager,,,,,org_group,READ,,any
PROGRAM_MANAGER,Program Manager,,,,,project_project,READ|UPDATE,,
PROVIDER_ACCOUNTANT,Provider Accountant,,,fin,voucher,,NONE,,
PROVIDER_ACCOUNTANT,Provider Accountant,,,fin,voucher_claim,,READ|UPDATE,,
PROVIDER_ACCOUNTANT,Provider Accountant,,,fin,voucher_claim,,READ,,any
PROVIDER_ACCOUNTANT,Provider Accountant,,,fin,voucher_debit,,READ,,any
PROVIDER_ACCOUNTANT,Provider Accountant,,,fin,voucher_program,,NONE,,
PROVIDER_ACCOUNTANT,Provider Accountant,,,fin,,,READ,,
PROVIDER_ACCOUNTANT,Provider Accountant,,,,,fin_voucher,READ,,any
PROVIDER_ACCOUNTANT,Provider Accountant,,,,,fin_voucher_claim,READ|UPDATE,,
PROVIDER_ACCOUNTANT,Provider Accountant,,,,,fin_voucher_debit,READ,,
PROVIDER_ACCOUNTANT,Provider Accountant,,,,,fin_voucher_program,READ,,any
SUPPLY_COORDINATOR,Supply Coordinator,,,inv,send,,CREATE|READ|UPDATE|DELETE,,any
SUPPLY_COORDINATOR,Supply Coordinator,,,inv,send_process,,READ|UPDATE,,any
SUPPLY_COORDINATOR,Supply Coordinator,,,inv,warehouse,,CREATE|READ|UPDATE|DELETE,,
SUPPLY_COORDINATOR,Supply Coordinator,,,inv,,,READ,,
SUPPLY_COORDINATOR,Supply Coordinator,,,req,req,,CREATE,,
SUPPLY_COORDINATOR,Supply Coordinator,,,req,req,,READ,,any
SUPPLY_COORDINATOR,Supply Coordinator,,,req,send,,READ|UPDATE|DELETE,,
SUPPLY_COORDINATOR,Supply Coordinator,,,req,,,READ,,
SUPPLY_COORDINATOR,Supply Coordinator,,,supply,item,,CREATE|READ|UPDATE|DELETE,,
SUPPLY_COORDINATOR,Supply Coordinator,,,supply,item,,READ,,any
SUPPLY_COORDINATOR,Supply Coordinator,,,supply,,,READ,,
SUPPLY_COORDINATOR,Supply Coordinator,,,,,inv_send,CREATE|READ|UPDATE|DELETE,,any
SUPPLY_COORDINATOR,Supply Coordinator,,,,,inv_warehouse,READ|UPDATE,,any
SUPPLY_COORDINATOR,Supply Coordinator,,,,,org_facility,READ,,any
SUPPLY_COORDINATOR,Supply Coordinator,,,,,org_organisation,READ|UPDATE,,
SUPPLY_COORDINATOR,Supply Coordinator,,,,,org_site,READ,,any
SUPPLY_COORDINATOR,Supply Coordinator,,,,,pr_contact,READ,,any
SUPPLY_COORDINATOR,Supply Coordinator,,,,,req_req,READ,,any
SUPPLY_DISTRIBUTOR,Supply Distributor,,,inv,send,,READ,,
SUPPLY_DISTRIBUTOR,Supply Distributor,,,,,inv_send,READ,,
TEST_PROVIDER,Test Provider,,,disease,testing_report,,CREATE|READ|UPDATE|DELETE,,
TEST_PROVIDER,Test Provider,,,disease,,,READ,,
TEST_PROVIDER,Test Provider,,,,,disease_testing_report,CREATE|READ|UPDATE|DELETE,,
TEST_PROVIDER,Test Provider,,,,,org_site,READ,,
VOUCHER_ISSUER,Voucher Issuer,,,fin,voucher,,READ,,any
VOUCHER_ISSUER,Voucher Issuer,,,fin,voucher,,CREATE|READ|UPDATE,,
VOUCHER_ISSUER,Voucher Issuer,,,fin,voucher_debit,,NONE,,
VOUCHER_ISSUER,Voucher Issuer,,,fin,voucher_program,,NONE,,
VOUCHER_ISSUER,Voucher Issuer,,,fin,,,READ,,
VOUCHER_ISSUER,Voucher Issuer,,,,,fin_voucher,CREATE|READ|UPDATE,,
VOUCHER_ISSUER,Voucher Issuer,,,,,fin_voucher_program,READ,,any
VOUCHER_PROVIDER,Voucher Provider,,,disease,case_diagnostics,,CREATE|READ|UPDATE|DELETE,,
VOUCHER_PROVIDER,Voucher Provider,,,disease,case_diagnostics,,READ,,any
VOUCHER_PROVIDER,Voucher Provider,,,disease,,,READ,,
VOUCHER_PROVIDER,Voucher Provider,,,fin,voucher,,NONE,,
VOUCHER_PROVIDER,Voucher Provider,,,fin,voucher_debit,,READ,,any
VOUCHER_PROVIDER,Voucher Provider,,,fin,voucher_debit,,CREATE|READ|UPDATE,,
VOUCHER_PROVIDER,Voucher Provider,,,fin,voucher_program,,NONE,,
VOUCHER_PROVIDER,Voucher Provider,,,fin,,,READ,,
VOUCHER_PROVIDER,Voucher Provider,,,,,disease_case_diagnostics,CREATE|READ|UPDATE|DELETE,,
VOUCHER_PROVIDER,Voucher Provider,,,,,fin_voucher,READ,,any
VOUCHER_PROVIDER,Voucher Provider,,,,,fin_voucher_debit,CREATE|READ|UPDATE,,
VOUCHER_PROVIDER,Voucher Provider,,,,,fin_voucher_program,READ,,any
VOUCHER_PROVIDER,Voucher Provider,,,,,project_project,READ,,any
