Organisation,Acronym,Type,Region,Country,Website,Twitter,Domain
Ethiopian Red Cross Society,,Red Cross / Red Crescent,East Africa,ET,,,
Fiji Red Cross Society,,Red Cross / Red Crescent,Pacific,FJ,www.redcross.com.fj,,redcross.com.fj
Finnish Red Cross,FRC,Red Cross / Red Crescent,Western Europe,FI,www.redcross.fi,PunainenRisti,punainenristi.fi
French Red Cross (Croix Rouge Francaise),,Red Cross / Red Crescent,Western Europe,FR,,,
Gabonese Red Cross Society,,Red Cross / Red Crescent,Central Africa,GA,,,
Gambia Red Cross Society,,Red Cross / Red Crescent,Sahel,GM,,,
German Red Cross (Deutsches Rotes Kreuz),DRK,Red Cross / Red Crescent,Western Europe,DE,www.drk.de,,drk.de
Ghana Red Cross Society,,Red Cross / Red Crescent,West Coast,GH,,,
Hong Kong Red Cross,,Red Cross / Red Crescent,East Asia,HK,www.redcross.org.hk,,redcross.org.hk
Icelandic Red Cross (Rauða krossinn),,Red Cross / Red Crescent,Western Europe,IS,www.raudikrossinn.is,,raudikrossinn.is
Indian Red Cross Society,,Red Cross / Red Crescent,South Asia,IN,www.indianredcross.org,,indianredcross.org
Indonesian Red Cross Society (Palang Merah Indonesia),PMI,Red Cross / Red Crescent,South East Asia,ID,www.pmi.or.id/ina,,pmi.or.id
Iraqi Red Crescent Society,,Red Cross / Red Crescent,Middle East,IQ,,,
Italian Red Cross (Croce Rossa Italiana),CRI,Red Cross / Red Crescent,Western Europe,IT,www.cri.it,,cri.it
Japanese Red Cross Society,JRC,Red Cross / Red Crescent,East Asia,JP,www.jrc.or.jp,,jrc.or.jp
Jordan Red Crescent,,Red Cross / Red Crescent,Middle East,JO,jnrcs.org,,
Kenya Red Cross,,Red Cross / Red Crescent,East Africa,KE,,,
Kiribati Red Cross Society,,Red Cross / Red Crescent,Pacific,KI,,,
Kuwait Red Crescent Society,KRCS,Red Cross / Red Crescent,Gulf,KW,www.krcs.org.kw,,krcs.org.kw
Lao Red Cross,,Red Cross / Red Crescent,South East Asia,LA,www.laoredcross.org,,laoredcross.org
Lebanese Red Cross,,Red Cross / Red Crescent,Middle East,LB,www.redcross.org.lb,,redcross.org.lb
Lesotho Red Cross Society,,Red Cross / Red Crescent,Southern Africa,LS,,,
Liberian Red Cross Society,,Red Cross / Red Crescent,West Coast,LR,,,
Libyan Red Crescent ,,Red Cross / Red Crescent,North Africa,LY,,,
Luxembourg Red Cross,,Red Cross / Red Crescent,Western Europe,LU,www.croix-rouge.lu,,croix-rouge.lu
Madagacy Red Cross Society,,Red Cross / Red Crescent,Indian Ocean,MG,,,
Malawi Red Cross Society,,Red Cross / Red Crescent,Southern Africa,MW,,,
Malaysian Red Crescent Society,,Red Cross / Red Crescent,South East Asia,MY,www.redcrescent.org.my,,redcrescent.org.my
Maldivian Red Crescent,,Red Cross / Red Crescent,South Asia,MV,www.redcrescent.org.mv,,redcrescent.org.mv
Mali Red Cross,,Red Cross / Red Crescent,Sahel,ML,,,
Mauritanian Red Crescent,,Red Cross / Red Crescent,Sahel,MR,,,
Mauritius Red Cross Society,,Red Cross / Red Crescent,Indian Ocean,MU,,,
Magen David Adom in Israel,,Red Cross / Red Crescent,Middle East,IL,,,
Micronesia Red Cross Society,,Red Cross / Red Crescent,Pacific,FM,,,
Mongolian Red Cross Society,,Red Cross / Red Crescent,East Asia,MN,www.redcross.mn,,redcross.mn
Moroccan Red Crescent ,,Red Cross / Red Crescent,North Africa,MA,,,
Mozambique Red Cross Society,,Red Cross / Red Crescent,Southern Africa,MZ,,,
Myanmar Red Cross Society,MRCS,Red Cross / Red Crescent,South East Asia,MM,www.myanmarredcross.org.mm,,redcross.org.mm
Namibia Red Cross,,Red Cross / Red Crescent,Southern Africa,NA,,,
Nepal Red Cross Society,NRCS,Red Cross / Red Crescent,South Asia,NP,www.nrcs.org,,nrcs.org
Netherlands Red Cross,,Red Cross / Red Crescent,Western Europe,NL,www.rodekruis.nl,,rodekruis.nl
New Zealand Red Cross,,Red Cross / Red Crescent,Pacific,NZ,www.redcross.org.nz,,redcross.org.nz
Nigerian Red Cross Society,,Red Cross / Red Crescent,West Coast,NG,,,
Norwegian Red Cross,,Red Cross / Red Crescent,Western Europe,NO,www.rodekors.no,,rodekors.no
Pakistan Red Crescent Society,PRCS,Red Cross / Red Crescent,South Asia,PK,www.prcs.org.pk,,prcs.org.pk
Palau Red Cross Society,,Red Cross / Red Crescent,Pacific,PW,,,
Palestine Red Crescent Society,,Red Cross / Red Crescent,Middle East,PS,www.palestinercs.org,,
Papua New Guinea Red Cross Society,,Red Cross / Red Crescent,Pacific,PG,,,
Philippine Red Cross,PRC,Red Cross / Red Crescent,South East Asia,PH,www.redcross.org.ph,,redcross.org.ph
Qatar Red Crescent Society,QRC,Red Cross / Red Crescent,Gulf,QA,,,
Red Crescent Society of the Islamic Republic of Iran,,Red Cross / Red Crescent,Middle East,IR,www.rcs.ir ,,rcs.ir
Red Cross of Benin,,Red Cross / Red Crescent,West Coast,BJ,,,
Red Cross of Cape Verde,,Red Cross / Red Crescent,Sahel,CV,,,
Red Cross of Chad,,Red Cross / Red Crescent,Central Africa,TD,,,
Red Cross of Equatorial Guinea,,Red Cross / Red Crescent,Sahel,GQ,,,
Red Cross of the Democratic Republic of the Congo,,Red Cross / Red Crescent,Central Africa,CD,,,
Red Cross Rwanda,,Red Cross / Red Crescent,East Africa,RW,,,
Red Cross Society of China,,Red Cross / Red Crescent,East Asia,CN,www.redcross.org.cn,,redcross.org.cn
Red Cross Society of Côte d'Ivoire,,Red Cross / Red Crescent,West Coast,CI,,,
Red Cross Society of Eritrea,,Red Cross / Red Crescent,East Africa,ER,,,
Red Cross Society of Guinea,,Red Cross / Red Crescent,Central Africa,GN,,,
Red Cross Society of Guinea-Bissau,,Red Cross / Red Crescent,Sahel,GW,,,
Red Cross Society of Niger,,Red Cross / Red Crescent,Sahel,NE,,,
Red Cross Society of the Democratic People's Republic of Korea,,Red Cross / Red Crescent,East Asia,KP,,,
Red Crescent Society of Kyrgyzstan,RCSK,Red Cross / Red Crescent,Central Asia ,KG,,,
Red Crescent Society of Tajikistan,RCST,Red Cross / Red Crescent,Central Asia ,TJ,,,
Red Crescent Society of the United Arab Emirates,,Red Cross / Red Crescent,Gulf,AE,www.rcuae.ae,,rcuae.ae
Red Crescent Society of Uzbekistan,,Red Cross / Red Crescent,Central Asia ,UZ,,,
Republic of Korea National Red Cross,,Red Cross / Red Crescent,East Asia,KR,redcross.or.kr,,redcross.or.kr
Samoa Red Cross Society,,Red Cross / Red Crescent,Pacific,WS,www.redcross.org.ws,,redcross.org.ws
Sao Tome and Principe Red Cross,,Red Cross / Red Crescent,Central Africa,ST,,,
Saudi Red Crescent Authority,,Red Cross / Red Crescent,Gulf,SA,saudiredcrescent.com,,
Senegalese Red Cross Society,,Red Cross / Red Crescent,Sahel,SN,,,
Seychelles Red Cross Society,,Red Cross / Red Crescent,Indian Ocean,SC,,,
Sierra Leone Red Cross Society,,Red Cross / Red Crescent,West Coast,SL,,,
Singapore Red Cross Society,,Red Cross / Red Crescent,South East Asia,SG,redcross.org.sg,,redcross.org.sg
Solomon Islands Red Cross,,Red Cross / Red Crescent,Pacific,SB,solomonredcross.blogspot.com,,
Somali Red Crescent Society,,Red Cross / Red Crescent,East Africa,SO,,,
South African Red Cross Society,,Red Cross / Red Crescent,Southern Africa,ZA,,,
South Sudan Red Cross,,Red Cross / Red Crescent,East Africa,SS,,,
Spanish Red Cross (Cruz Roja Espanola),,Red Cross / Red Crescent,Western Europe,ES,,,
Sri Lanka Red Cross Society,,Red Cross / Red Crescent,South Asia,LK,www.redcross.lk,,redcross.lk
Sudan Red Crescent Society,,Red Cross / Red Crescent,East Africa,SD,,,
Swaziland Red Cross Society,,Red Cross / Red Crescent,Southern Africa,SZ,,,
Swedish Red Cross,,Red Cross / Red Crescent,Western Europe,SE,www.redcross.se,,redcross.se
Swiss Red Cross (Schweizerisches Rotes Kreuz),SRC,Red Cross / Red Crescent,Western Europe,CH,www.redcross.ch,,redcross.ch
Syrian Arab Red Crescent,SARC,Red Cross / Red Crescent,Middle East,SY,www.sarc.sy,,sarc.sy
Tanzania Red Cross,,Red Cross / Red Crescent,East Africa,TZ,,,
Thai Red Cross Society,,Red Cross / Red Crescent,South East Asia,TH,www.redcross.or.th,,redcross.or.th
The Djibouti Red Crescent,,Red Cross / Red Crescent,East Africa,DJ,,,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),CVTL,Red Cross / Red Crescent,South East Asia,TL,www.redcross.tl,,redcross.tl
Togolese Red Cross,,Red Cross / Red Crescent,West Coast,TG,,,
Tonga Red Cross Society,,Red Cross / Red Crescent,Pacific,TO,,,
Tunisian Red Crescent ,,Red Cross / Red Crescent,North Africa,TN,,,
Turkish Red Crescent Society,,Red Cross / Red Crescent,Turkey and southern Caucasus ,TR,www.kizilay.org.tr,,
Uganda Red Cross Society,,Red Cross / Red Crescent,East Africa,UG,,,
Vanuatu Red Cross Society,,Red Cross / Red Crescent,Pacific,VU,,,
Viet Nam Red Cross,VNRC,Red Cross / Red Crescent,South East Asia,VN,www.redcross.org.vn,,redcross.org.vn
Yemen Red Crescent Society,,Red Cross / Red Crescent,Gulf,YE,,,
Zambia Red Cross Society,,Red Cross / Red Crescent,Southern Africa,ZM,,,
Zimbabwe Red Cross Society,,Red Cross / Red Crescent,Southern Africa,ZW,,,
