Organisation,Branch,SubBranch,Type,Region,Country
Malagasy Red Cross Society,Boeny,Mahajanga I,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Boeny,Mahajanga II,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Boeny,Marovoay,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Boeny,Mitsinjo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Boeny,Soalala,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Bongolava,Fenoarivobe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Bongolava,Tsiroanomandidy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Diana,Ambanja,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Diana,Ambilobe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Diana,Antsiranana I,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Diana,Antsiranana II,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Diana,Nosy-Be,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Haute Matsiatra,Ambalavao,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Haute Matsiatra,Ambohimahasoa,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Haute Matsiatra,Fianarantsoa I,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Haute Matsiatra,Ikalamavony,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Haute Matsiatra,Isandra,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Haute Matsiatra,Lalangina,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Haute Matsiatra,Vohibato,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Ihorombe,Iakora,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Ihorombe,Ihosy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Ihorombe,Ivohibe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Itasy,Arivonimamo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Itasy,Miarinarivo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Itasy,Soavinandriana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Melaky,Ambatomainty,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Melaky,Antsalova,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Melaky,Besalampy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Melaky,Maintirano,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Melaky,Morafenobe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Menabe,Belo Sur Tsiribihina,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Menabe,Mahabo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Menabe,Manja,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Menabe,Miandrivazo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Menabe,Morondava,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Sava,Andapa,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Sava,Antalaha,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Sava,Sambava,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Sava,Vohemar,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Sofia,Analalava,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Sofia,Antsohihy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Sofia,Bealanana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Sofia,Befandriana Nord,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Sofia,Mampikony,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Sofia,Mandritsara,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Sofia,Port-Berger,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Vakinankaratra,Ambatolampy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Vakinankaratra,Antanifotsy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Vakinankaratra,Antsirabe I,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Vakinankaratra,Antsirabe II,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Vakinankaratra,Betafo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Vakinankaratra,Faratsiho,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Vakinankaratra,Mandoto,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Vatovavy Fitovinany,Ifanadiana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Vatovavy Fitovinany,Ikongo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Vatovavy Fitovinany,Manakara Atsimo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Vatovavy Fitovinany,Mananjary,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Vatovavy Fitovinany,Nosy Varika,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Vatovavy Fitovinany,Vohipeno,Red Cross / Red Crescent,Indian Ocean,MG
