Event,Organisation,L1,L2,L3,L4,PSGC,Location,Activity,Sectors,SubSector,Beneficiaries:Total,Start Date,End Date,Status
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Cataggaman Nuevo,21529021,Catanggaman Elementary School,Provision of Teachers Learning Kit (TLK),Education,,89,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Libag Sur,21529045,Libag Elementary School,Provision of Temporary Learning Space (TLS),Education,,65,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Libag Sur,21529045,Libag Elementary School,Provision of Teachers Learning Kit (TLK),Education,,65,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Ugac Sur,21529052,Tuguegarao West Central School,Provision of Temporary Learning Space (TLS),Education,,128,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Ugac Sur,21529052,Tuguegarao West Central School,Provision of Teachers Learning Kit (TLK),Education,,129,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Peñablanca,Centro,21519011,Penablanca West Central School,Provision of Temporary Learning Space (TLS),Education,,873,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Peñablanca,Centro,21519011,Penablanca West Central School,Provision of Teachers Learning Kit (TLK),Education,,873,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Peñablanca,Centro,21519011,Penablanca West Central School,Provision of Back-to-School Kit (BSK),Education,,873,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Peñablanca,Nannarian,21519020,Nannarian Elementary School,Provision of Temporary Learning Space (TLS),Education,,222,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Peñablanca,Nannarian,21519020,Nannarian Elementary School,Provision of Teachers Learning Kit (TLK),Education,,222,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Peñablanca,Nannarian,21519020,Nannarian Elementary School,Provision of Back-to-School Kit (BSK),Education,,222,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Peñablanca,Bugatay,21519005,Bugatay Elementary School,Provision of Temporary Learning Space (TLS),Education,,223,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Peñablanca,Bugatay,21519005,Bugatay Elementary School,Provision of Teachers Learning Kit (TLK),Education,,223,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Peñablanca,Bugatay,21519005,Bugatay Elementary School,Provision of Back-to-School Kit (BSK),Education,,223,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Peñablanca,Bical,21519004,Bical Elementary School,Provision of Temporary Learning Space (TLS),Education,,277,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Peñablanca,Bical,21519004,Bical Elementary School,Provision of Teachers Learning Kit (TLK),Education,,277,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Cagayan,Peñablanca,Bical,21519004,Bical Elementary School,Provision of Back-to-School Kit (BSK),Education,,277,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Isabela,Santo Tomas,Centro,23136019,Santo Tomas National High School,Provision of Temporary Learning Space (TLS),Education,,129,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Isabela,Santo Tomas,Centro,23136019,Santo Tomas National High School,Provision of Teachers Learning Kit (TLK),Education,,129,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Isabela,Santo Tomas,Centro,23136019,Santo Tomas Central Elementary School,Provision of Temporary Learning Space (TLS),Education,,251,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Isabela,Santo Tomas,Centro,23136019,Santo Tomas Central Elementary School,Provision of Teachers Learning Kit (TLK),Education,,251,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Isabela,Santo Tomas,Centro,23136019,Santo Tomas Central Elementary School,Provision of Back-to-School Kit (BSK),Education,,251,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Isabela,Santo Tomas,San Vicente,23136025,San Vicente Elementary School,Provision of Temporary Learning Space (TLS),Education,,326,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Isabela,Santo Tomas,San Vicente,23136025,San Vicente Elementary School,Provision of Teachers Learning Kit (TLK),Education,,326,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Isabela,Santo Tomas,San Vicente,23136025,San Vicente Elementary School,Provision of Back-to-School Kit (BSK),Education,,326,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Isabela,Santo Tomas,Bubug,23136008,Bubog Elementary School,Provision of Temporary Learning Space (TLS),Education,,180,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Isabela,Santo Tomas,Bubug,23136008,Bubog Elementary School,Provision of Teachers Learning Kit (TLK),Education,,180,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Isabela,Santo Tomas,Bubug,23136008,Bubog Elementary School,Provision of Back-to-School Kit (BSK),Education,,180,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Isabela,Santo Tomas,Biga Oriental,23136030,Biga Elementary School,Provision of Temporary Learning Space (TLS),Education,,237,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Isabela,Santo Tomas,Biga Oriental,23136030,Biga Elementary School,Provision of Teachers Learning Kit (TLK),Education,,237,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Isabela,Santo Tomas,Biga Oriental,23136030,Biga Elementary School,Provision of Back-to-School Kit (BSK),Education,,237,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Isabela,Santo Tomas,Malapagay,23136021,Malapagay Elementary School,Provision of Back-to-School Kit (BSK),Education,,48,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Isabela,Santo Tomas,San Rafael Abajo,23136022,San Rafael Abajo Primary School,Provision of Back-to-School Kit (BSK),Education,,67,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Isabela,Santo Tomas,San Rafael Alto,23136023,San Rafael Alto Elementary School,Provision of Back-to-School Kit (BSK),Education,,92,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Isabela,Santo Tomas,Ammugauan,23136001,Ammugauan Primary School,Provision of Back-to-School Kit (BSK),Education,,31,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Isabela,Santo Tomas,Centro,23106018,Cabagan Central Elementary School,Provision of Temporary Learning Space (TLS),Education,,79,,,Completed
Typhoon Haima,Save the Children,Region II [Cagayan Valley],Isabela,Santo Tomas,Centro,23106018,Cabagan Central Elementary School,Provision of Teachers Learning Kit (TLK),Education,,79,,,Completed
Typhoon Haima,Save the Children,CAR [Cordillera Administrative Region],Kalinga,Pinukpuk,Malagnat,143209016,Camalog National High School - Malagnat Extension Northern Pinukpuk,Provision of Temporary Learning Space (TLS),Education,,90,,,Completed
Typhoon Haima,Save the Children,CAR [Cordillera Administrative Region],Kalinga,Rizal,Santor,143211014,RNSAT Santor Annex,Provision of Temporary Learning Space (TLS),Education,,46,,,Completed
Typhoon Haima,Save the Children,CAR [Cordillera Administrative Region],Kalinga,Rizal,Romualdez,143211017,Romualdez Elementary School,Provision of Temporary Learning Space (TLS),Education,,39,,,Completed
Typhoon Haima,Save the Children,CAR [Cordillera Administrative Region],Kalinga,Rizal,Santor,143211014,Santor Elementary School,Provision of Temporary Learning Space (TLS),Education,,22,,,Completed
Typhoon Haima,Save the Children,CAR [Cordillera Administrative Region],Kalinga,Rizal,Babalag East,143211001,Rizal Central Elementary School,Provision of Temporary Learning Space (TLS),Education,,94,,,Completed
Typhoon Haima,Save the Children,CAR [Cordillera Administrative Region],Kalinga,Pinukpuk,Dugpa,143209011,Dugpa Day Care Center,Provisoin of Early Childhood Care Development Kit (ECCD),Education,,32,,,Completed
Typhoon Haima,Save the Children,CAR [Cordillera Administrative Region],Kalinga,Pinukpuk,Ammacian,143209003,Ammacian Day Care Center,Provisoin of Early Childhood Care Development Kit (ECCD),Education,,21,,,Completed
Typhoon Haima,Save the Children,CAR [Cordillera Administrative Region],Kalinga,Rizal,Bulbol,143211016,Bagbag Day Care Center,Provisoin of Early Childhood Care Development Kit (ECCD),Education,,35,,,Completed
Typhoon Haima,Save the Children,CAR [Cordillera Administrative Region],Kalinga,Rizal,Santor,143211014,Tagapan Day Care Center,Provisoin of Early Childhood Care Development Kit (ECCD),Education,,31,,,Completed
Typhoon Haima,Save the Children,CAR [Cordillera Administrative Region],Kalinga,RIzal,Babalag East,143211001,Babalag East Day Care Center,Provisoin of Early Childhood Care Development Kit (ECCD),Education,,46,,,Completed
Typhoon Haima,Save the Children,CAR [Cordillera Administrative Region],Kalinga,Rizal,San Francisco,143211018,San Francisco Learning Center,Provisoin of Early Childhood Care Development Kit (ECCD),Education,,36,,,Completed
Typhoon Haima,Save the Children,CAR [Cordillera Administrative Region],Kalinga,Rizal,Kinama,143211005,Kinama Day Care Center,Provisoin of Early Childhood Care Development Kit (ECCD),Education,,36,,,Completed
