Name,Code,Type,Status,Beds Total,Organisation,Country,L1,L2,L3,L4,L5,Building,#loc,Lat,Lon,Comments
Hasting Police Centre (Police Training School),SieHas,Triage,Functional,50,,SL,Western,Rural,Waterloo Rural,Hastings,,,,,,Newton and Hastings police (50-bed) isolation centres are open
Lakka Isolation Hospital,SieDfi,Holding Centre,Functional,22,EMERGENCY Italian NGO,SL,Western,Rural,York Rural,Hamilton,Lakka,,,8.3973667,-13.2635501,"Holding Centre. Construction should be completed approx 05 Sept and will be operational on 14 Sept; EMERGENCY will provide staff, clinical management, & logistic support, & the MOH will provide nurses; Training carried out for staff on 5-6 Sept."
Newton Police Centre,SieNew,Triage,Functional,50,,SL,Western,Rural,Koya Rural,Newton,,,,,,Newton and Hastings police (50-bed) isolation centres are open
Rokupa Hospital,SieRok,ETC,Functional,7,,SL,Western,Urban,East III,Rokupa,,,,,,Open
Sierra Leone-China Friendship Hospital (Jui Hospital),SieSie,ETC,Pending,,Chinese Government,SL,Western,Urban,East I,Kossoh Town,,,,,,The Chinese Government sent two airplanes carrying medical teams and a mobile laboratory to Sierra Leone on 17 September. The team includes 59 personnel; 29 medical experts from the Chinese Center for Disease Control and Prevention to run the medical laboratory and 30 doctors and nurses from 302 Military Hospital of China to run a holding centre at Sierra Leone-China Friendship Hospital.
Kerry Town ETC,SieKer,ETC,Pending,112,UK Department for International Development,SL,Western,Rural,York Rural,Sattia/Tombo,Kerry Town,,,,,"100 beds for patients, plus 12 separate beds designated for staff. UK: Assistance in 3 ways: (1) UK Dept of Defense to provide 12 beds dedicated for staff-related cases. (2)  UKDFID to finance Save the Children for 50 beds (3) Currently in discussion re:  possibly financing IMC for other 50 beds. British military personnel will begin to survey and assess the site during week 37. Based near the capital Freetown. The UK government is working with Save the Children to design a long term plan to manage and operate the facility after it has been fully set up."
34 Military Hospital,Sie34M,ETC,Functional,12,,SL,Western,Urban,,,,,Freetown,,,Please see: http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-116.pdf
Connaught Hospital,SieCon,Triage,Functional,20,King's Health Partners,SL,Western,Urban,Central II,Connaught Hospital,,,,8.48823,-13.2384,"With assistance from a medical team from King's Health Partners, UK"
Macauley Street Hospital,SieMac,Triage,Functional,8,,SL,Western,Urban,,,,,Freetown,,,Macauley Street Hospital is being renovated to act as an isolation unit.
PCMH (Princess Christian Maternity) Hospital,SiePCM,,Functional,10,,SL,Western,Urban,East I,Kossoh Town,,,,8.4902,-13.2189,Open
