Event,Organisation,Country,L1,L2,L3,L4,Location,Activity,Sectors,Beneficiaries:Total,Start Date,End Date,Status
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Amulung,Concepcion,Concepcion Elementary School,Provision of Temporary Learning Space (TLS),Education,163,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Amulung,Concepcion,Concepcion Elementary School,Provision of Teachers Learning Kit (TLK),Education,163,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Amulung,Concepcion,Concepcion Elementary School,Provision of Back-to-School Kit (BSK),Education,163,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Amulung,Unag ,Unag-Annabuculan Elementary School,Provision of Temporary Learning Space (TLS),Education,196,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Amulung,Unag ,Unag-Annabuculan Elementary School,Provision of Teachers Learning Kit (TLK),Education,196,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Amulung,Unag ,Unag-Annabuculan Elementary School,Provision of Back-to-School Kit (BSK),Education,196,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Peñablanca,Bical,Bical Elementary School,Provision of Temporary Learning Space (TLS),Education,277,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Peñablanca,Bical,Bical Elementary School,Provision of Teachers Learning Kit (TLK),Education,277,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Peñablanca,Bical,Bical Elementary School,Provision of Back-to-School Kit (BSK),Education,277,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Peñablanca,Bugatay,Bugatay Elementary School,Provision of Temporary Learning Space (TLS),Education,223,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Peñablanca,Bugatay,Bugatay Elementary School,Provision of Teachers Learning Kit (TLK),Education,223,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Peñablanca,Bugatay,Bugatay Elementary School,Provision of Back-to-School Kit (BSK),Education,223,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Peñablanca,Centro,Penablanca West Central School,Provision of Temporary Learning Space (TLS),Education,873,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Peñablanca,Centro,Penablanca West Central School,Provision of Teachers Learning Kit (TLK),Education,873,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Peñablanca,Centro,Penablanca West Central School,Provision of Back-to-School Kit (BSK),Education,873,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Peñablanca,Nannarian,Nannarian Elementary School,Provision of Temporary Learning Space (TLS),Education,222,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Peñablanca,Nannarian,Nannarian Elementary School,Provision of Teachers Learning Kit (TLK),Education,222,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Peñablanca,Nannarian,Nannarian Elementary School,Provision of Back-to-School Kit (BSK),Education,222,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Annafunan East,Annafunan Elementary School,Provision of Temporary Learning Space (TLS),Education,78,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Annafunan East,Annafunan Elementary School,Provision of Teachers Learning Kit (TLK),Education,78,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Carig,Carig Elementary School,Provision of Temporary Learning Space (TLS),Education,552,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Carig,Carig Elementary School,Provision of Teachers Learning Kit (TLK),Education,552,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Carig,Carig Elementary School,Provision of Back-to-School Kit (BSK),Education,552,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Cataggaman Nuevo,Catanggaman Elementary School,Provision of Temporary Learning Space (TLS),Education,89,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Cataggaman Nuevo,Catanggaman Elementary School,Provision of Teachers Learning Kit (TLK),Education,89,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Libag Sur,Libag Elementary School,Provision of Temporary Learning Space (TLS),Education,65,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Libag Sur,Libag Elementary School,Provision of Teachers Learning Kit (TLK),Education,65,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Pallua Sur,Tuguegarao West High School,Provision of Temporary Learning Space (TLS),Education,68,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Pallua Sur,Tuguegarao West High School,Provision of Teachers Learning Kit (TLK),Education,68,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Pallua Sur,Pallua Elementary School,Provision of Temporary Learning Space (TLS),Education,511,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Pallua Sur,Pallua Elementary School,Provision of Teachers Learning Kit (TLK),Education,511,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Pallua Sur,Pallua Elementary School,Provision of Back-to-School Kit (BSK),Education,511,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Ugac Sur,Tuguegarao West Central School,Provision of Temporary Learning Space (TLS),Education,128,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Cagayan,Tuguegarao City,Ugac Sur,Tuguegarao West Central School,Provision of Teachers Learning Kit (TLK),Education,129,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,Ammugauan,Ammugauan Primary School,Provision of Back-to-School Kit (BSK),Education,31,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,Biga Oriental,Biga Elementary School,Provision of Temporary Learning Space (TLS),Education,237,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,Biga Oriental,Biga Elementary School,Provision of Teachers Learning Kit (TLK),Education,237,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,Biga Oriental,Biga Elementary School,Provision of Back-to-School Kit (BSK),Education,237,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,Bubug,Bubog Elementary School,Provision of Temporary Learning Space (TLS),Education,180,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,Bubug,Bubog Elementary School,Provision of Teachers Learning Kit (TLK),Education,180,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,Bubug,Bubog Elementary School,Provision of Back-to-School Kit (BSK),Education,180,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,Centro,Santo Tomas National High School,Provision of Temporary Learning Space (TLS),Education,129,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,Centro,Santo Tomas National High School,Provision of Teachers Learning Kit (TLK),Education,129,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,Centro,Santo Tomas Central Elementary School,Provision of Temporary Learning Space (TLS),Education,251,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,Centro,Santo Tomas Central Elementary School,Provision of Teachers Learning Kit (TLK),Education,251,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,Centro,Santo Tomas Central Elementary School,Provision of Back-to-School Kit (BSK),Education,251,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,Centro,Cabagan Central Elementary School,Provision of Temporary Learning Space (TLS),Education,79,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,Centro,Cabagan Central Elementary School,Provision of Teachers Learning Kit (TLK),Education,79,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,Malapagay,Malapagay Elementary School,Provision of Back-to-School Kit (BSK),Education,48,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,San Rafael Abajo,San Rafael Abajo Primary School,Provision of Back-to-School Kit (BSK),Education,67,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,San Rafael Alto,San Rafael Alto Elementary School,Provision of Back-to-School Kit (BSK),Education,92,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,San Vicente,San Vicente Elementary School,Provision of Temporary Learning Space (TLS),Education,326,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,San Vicente,San Vicente Elementary School,Provision of Teachers Learning Kit (TLK),Education,326,,,Completed
Typhoon Haima,Save the Children,PH,Region II [Cagayan Valley],Isabela,Santo Tomas,San Vicente,San Vicente Elementary School,Provision of Back-to-School Kit (BSK),Education,326,,,Completed
