Warehouse,Organisation,Category,Category Code,Catalog,Item Code,Item Name,Units,Brand,Model,Year,Pack,Pack Quantity,Weight,Length,Width,Height,Volume,Tracking Number,Bin,Supplier/Donor,Owned By (Organisation/Branch),Expiry Date,Quantity,Unit Value,Currency,Comments
Same Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Hygiene Kits,Unit,,,,Box,25,,,,,,,,Australian Red Cross,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,75,20,USD,
Same Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Plastic Sheets,m2,,,,Roll,100,,,,,,,,Acme Suppliers,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,2000,1,USD,
Viqueque Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Jerry Cans,Piece,,,,Case,6,,,,,,,,Acme Suppliers,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,100,3.5,USD,
Viqueque Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Kitchen Sets,Unit,,,,Box,10,,,,,,,,Australian Red Cross,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,200,17,USD,
Viqueque Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Hygiene Kits,Unit,,,,Box,25,,,,,,,,Australian Red Cross,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,200,18,USD,
Viqueque Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Plastic Sheets,m2,,,,Roll,100,,,,,,,,Acme Suppliers,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,500,1,USD,
Lospalos Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Plastic Sheets,m2,,,,Roll,100,,,,,,,SH-10028,Indonesian Red Cross Society (Palang Merah Indonesia),Indonesian Red Cross Society (Palang Merah Indonesia),,1250,0.5,USD,
Lospalos Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Plastic Sheets,m2,,,,Roll,100,,,,,,123456,SH-10027,Australian Red Cross,Australian Red Cross,,1250,0.5,USD,
Timor-Leste Red Cross Society (CVTL) National Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Plastic Sheets,m2,,,,Roll,100,,,,,,123456,,Australian Red Cross,Australian Red Cross,,15000,0.5,USD,
Timor-Leste Red Cross Society (CVTL) National Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Blankets,Piece,,,,Roll,10,,,,,,123457,,Australian Red Cross,Australian Red Cross,,500,4.5,USD,
Timor-Leste Red Cross Society (CVTL) National Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Jerry Cans,Piece,,,,Case,6,,,,,,123461,,Australian Red Cross,Australian Red Cross,,2000,1.2,USD,
Timor-Leste Red Cross Society (CVTL) National Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Kitchen Sets,Unit,,,,Box,10,,,,,,123458,,Australian Red Cross,Australian Red Cross,,1500,28,USD,
Timor-Leste Red Cross Society (CVTL) National Warehouse,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),Relief Item,,Standard,,Hygiene Kits,Unit,,,,Box,25,,,,,,123459,,Australian Red Cross,Australian Red Cross,,1000,25,USD,
Tegucigalpa Warehouse,Tegucigalpa,,,Honduras,SS-00013,Botellas Colapsables (Bidones Colapsables) 10Litros,Piece,,,,,,10,,,,,,,,,,2000,,,
Tegucigalpa Warehouse,Tegucigalpa,,,Honduras,SS-00075,Kit de Higiene para 5 personas / 1 mes,Piece,,,,,,,,,,,,,,,,1000,,,
Tegucigalpa Warehouse,Tegucigalpa,,,Honduras,SS-000168,Lonas Plásticas 4 x 6 mts,Piece,,,,,,,,,,,,,,,,2000,,,
Tegucigalpa Warehouse,Tegucigalpa,,,Honduras,SS-000206,"Mosquiteros rectangulares L, 160 x 180 x 150 cm",Piece,,,,,,,,,,,,,,,,2000,,,
Tegucigalpa Warehouse,Tegucigalpa,,,Honduras,SS-00043,Tiendas Familiares 16 m2,Piece,,,,,,,,,,,,,,,,50,,,
Tegucigalpa Warehouse,Tegucigalpa,,,Honduras,SS-00055,Colchas y Frazadas,Piece,,,,,,,,,,,,,,,,5000,,,
Tegucigalpa Warehouse,Tegucigalpa,,,Honduras,SS-00074,"Kit de Cocina, para una familia de 5 personas, tipo 'A'",Piece,,,,,,,,,,,,,,,,1000,,,
Tegucigalpa Warehouse,Tegucigalpa,,,Honduras,SS-000180,Kit de Herramientas,Piece,,,,,,,,,,,,,,,,250,,,
Tegucigalpa Warehouse,Tegucigalpa,,,Honduras,,Comida enlatada,Piece,,,,,,,,,,,,,,,"2015-04-01",10,,,
