Organisation,Branch,SubBranch,SubSubBranch,Type,Region,Country
Malagasy Red Cross Society,Alaotra Mangoro,Amparafaravola,Beanana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Amparafaravola,Bedidy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Amparafaravola,Morarano Chrome,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Amparafaravola,Ranomainty,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Amparafaravola,Sahamamy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Amparafaravola,Tanambe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Amparafaravola,Vohimena,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Amparafaravola,Vohitsara,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Andilamena,Andilamena,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Andilamena,Antanimenabaka,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Andilamena,Bemaitso,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Andilamena,Maitsokely,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Andilamena,Maroadabo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Andilamena,Marovato,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Andilamena,Miarinarivo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Andilamena,Tanananifololahy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Anosibe-An'ala,Ambalaomby,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Anosibe-An'ala,Ambatoharanana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Anosibe-An'ala,Ampandroantraka,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Anosibe-An'ala,Ampasimaneva,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Anosibe-An'ala,Anosibe An'ala,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Anosibe-An'ala,Antandrokomby,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Anosibe-An'ala,Longozabe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Anosibe-An'ala,Niarovana Marosampanana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Anosibe-An'ala,Tratramarina,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Anosibe-An'ala,Tsaravinany,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Moramanga,Ambatovola,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Moramanga,Amboasary,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Moramanga,Ambohibary,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Moramanga,Ambohidronono,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Moramanga,Ampasimpotsy Gara,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Moramanga,Ampasipotsy Mandialaza,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Moramanga,Andaingo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Moramanga,Andasibe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Moramanga,Anosibe Ifody,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Moramanga,Antanandava,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Moramanga,Antaniditra,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Moramanga,Beforona,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Moramanga,Belavabary,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Moramanga,Fierenana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Moramanga,Lakato,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Moramanga,Mandialaza,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Moramanga,Mangarivotra,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Moramanga,Moramanga,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Moramanga,Morarano Gara,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Moramanga,Sabotsy Anjiro,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Alaotra Mangoro,Moramanga,Vodiriana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambatofinandrahana,Ambatofinandrahana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambatofinandrahana,Ambatomifanongoa,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambatofinandrahana,Ambondromisotra,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambatofinandrahana,Amborompotsy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambatofinandrahana,Fenoarivo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambatofinandrahana,Itremo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambatofinandrahana,Mandrosonoro,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambatofinandrahana,Mangataboahangy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambatofinandrahana,Soavina,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambositra,Alakamisy Ambohijato,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambositra,Ambalamanakana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambositra,Ambatofitorahana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambositra,Ambinanindrano,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambositra,Ambohimitombo I,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambositra,Ambohimitombo II,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambositra,Ambositra I,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambositra,Ambositra II,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambositra,Andina,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambositra,Ankazoambo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambositra,Antoetra,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambositra,Fahizay,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambositra,Ihadilanana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambositra,Ilaka Centre,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambositra,Imerina Imady,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambositra,Ivato,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambositra,Ivony Miaramiasa,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambositra,Kianjandrakefina,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambositra,Mahazina Ambohipierenana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambositra,Marosoa,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambositra,Sahatsiho Ambohimanjaka,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambositra,Tsarasaotra,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Ambositra,Vohidahy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Fandriana,Alakamisy Ambohimahazo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Fandriana,Ankarinoro,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Fandriana,Betsimisotra,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Fandriana,Fandriana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Fandriana,Fiadanana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Fandriana,Imito,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Fandriana,Mahazoarivo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Fandriana,Miarinavaratra,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Fandriana,Milamaina,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Fandriana,Sahamadio Fisakana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Fandriana,Sandrandahy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Fandriana,Tatamalaza,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Fandriana,Tsarazaza,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Manandriana,Ambatomarina,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Manandriana,Ambohimahazo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Manandriana,Ambohimilanja,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Manandriana,Ambohipo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Manandriana,Ambovombe Centre,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Manandriana,Andakatany,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Manandriana,Anjoma Nandihizana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Manandriana,Anjoman'ankona,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Manandriana,Talata Vohimena,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Amoron'i Mania,Manandriana,Vinany Andakatanikely,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ambohidratrimo,Ambato,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ambohidratrimo,Ambatolampy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ambohidratrimo,Ambohidratrimo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ambohidratrimo,Ambohimanjaka,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ambohidratrimo,Ambohipihaonana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ambohidratrimo,Ambohitrimanjaka,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ambohidratrimo,Ampangabe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ambohidratrimo,Ampanotokana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ambohidratrimo,Anjanadoria,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ambohidratrimo,Anosiala,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ambohidratrimo,Antanetibe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ambohidratrimo,Antehiroka,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ambohidratrimo,Antsahafilo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ambohidratrimo,Avaratsena,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ambohidratrimo,Fiadanana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ambohidratrimo,Iarinarivo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ambohidratrimo,Ivato Aéroport,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ambohidratrimo,Ivato Firaisana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ambohidratrimo,Mahabo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ambohidratrimo,Mahereza,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ambohidratrimo,Mahitsy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ambohidratrimo,Mananjara,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ambohidratrimo,Manjakavaradrano,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ambohidratrimo,Merimandroso,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ambohidratrimo,Talatamaty,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Andramasina,Alarobia Vatosola,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Andramasina,Alatsinainy Bakaro,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Andramasina,Ambohimiadana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Andramasina,Andohariana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Andramasina,Andramasina,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Andramasina,Anosibe Trimoloharano,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Andramasina,Antotohazo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Andramasina,Fitsinjovana Bakaro,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Andramasina,Mandrosoa,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Andramasina,Sabotsy Ambohitromby,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Andramasina,Sabotsy Manjakavahoaka,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Andramasina,Tankafatra,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Anjozorobe,Alakamisy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Anjozorobe,Ambatomanoina,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Anjozorobe,Amboasary Nord,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Anjozorobe,Ambohibary Vohilena,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Anjozorobe,Ambohimanarina Marovazaha,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Anjozorobe,Ambohimirary,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Anjozorobe,Ambongamarina,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Anjozorobe,Amparatanjona,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Anjozorobe,Analaroa,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Anjozorobe,Androvakely,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Anjozorobe,Anjozorobe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Anjozorobe,Antanetibe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Anjozorobe,Belanitra,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Anjozorobe,Beronono,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Anjozorobe,Betatao,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Anjozorobe,Mangamila,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Anjozorobe,Marotsipoy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Anjozorobe,Tsarasaotra,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ankazobe,Ambohitromby,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ankazobe,Ambolotarakely,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ankazobe,Ankazobe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ankazobe,Antakavana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ankazobe,Antotohazo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ankazobe,Fiadanana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ankazobe,Fihaonana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ankazobe,Kiangara,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ankazobe,Mahavelona,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ankazobe,Marondry,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ankazobe,Miantso,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ankazobe,Talata Angavo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Ankazobe,Tsaramasoandro,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Alakamisy Fenoarivo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Alatsinainy Ambazaha,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Ambalavao,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Ambatofahavalo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Ambavahaditokana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Ambohidrapeto,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Ambohijanaka,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Ampahitrosy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Ampanefy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Ampitatafika,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Andoharanofotsy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Andranonahoatra,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Androhibe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Ankadimanga,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Ankaraobato,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Anosizato Andrefana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Antanetikely,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Bemasoandro,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Bongatsara,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Fenoarivo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Fiombonana,Red Cross / Red Crescent,Indian Ocean,MG
