Organisation,Team,Facility,Catalog,Asset No,Category,Item Name,Brand,Model,SN,Condition
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,Ainaro Branch Office,Default,LP-489-01,IT,Laptop,Toshiba,N7000,TGH-8156-5456,Minor
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,Lospalos Branch Office,Default,LP-489-02,IT,Laptop,Toshiba,N7000,TGH-5183-8926,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,Manatuto Branch Office,Default,LP-489-03,IT,Laptop,Toshiba,N7000,TGH-7830-9090,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,Same Branch Office,Default,LP-489-04,IT,Laptop,Toshiba,N7000,TGH-8937-9025,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,Viqueque Branch Office,Default,LP-489-05,IT,Laptop,Toshiba,N7000,TGH-2183-5851,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,Ainaro Branch Office,Default,LP-489-06,IT,Laptop,Toshiba,N7000,TGH-5982-9601,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,Lospalos Branch Office,Default,LP-489-07,IT,Laptop,Toshiba,N7000,TGH-8494-6696,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,Manatuto Branch Office,Default,LP-489-08,IT,Laptop,Toshiba,N7000,TGH-9102-5935,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,Same Branch Office,Default,LP-489-09,IT,Laptop,Toshiba,N7000,TGH-7535-9327,
Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,Viqueque Branch Office,Default,LP-489-10,IT,Laptop,Toshiba,N7000,TGH-9914-3200,
