Name,Type,Date,Country,L1,L2,L3,Lat,Lon,Comments
Lakulomano – Blocked,Road Closed,2/03/12,TL,Lautém,Lautém,Baduro,-8.44469,126.8782,
Malailada – Blocked,Road Closed,2/03/12,TL,Lautém,Lautém,Baduro,-8.4448,126.89583,
Hataman – Blocked,Road Closed,4/03/12,TL,Lautém,Lautém,Baduro,-8.38746,126.85162,
Petileti -  Flood,Flood,2/03/12,TL,Lautém,Lautém,Com,-8.36667,127.03889,
Iraono -  Flood,Flash Flood,29/02/12,TL,Lautém,Lautém,Com,-8.3654,127.03585,
Etipiti - Trapped,People Trapped,4/03/12,TL,Lautém,Lautém,Com,-8.34144,127.02377,
Buihomau - Blocked,Road Closed,2/03/12,TL,Lautém,Lautém,Serelau,-8.39758,126.83141,
Sentral - andslide,Landslide,29/02/12,TL,Lautém,Lospalos,Fuiloro,-8.52188,126.99469,
Nualata – Power Cut,Power Failure,4/03/12,TL,Lautém,Lospalos,Lore I,-8.63143,126.98641,
Puileti -  Water,High Water,1/03/12,TL,Lautém,Lospalos,Raca,-8.4375,126.94583,
Barikafa – Landslide,Landslide,1/03/12,TL,Lautém,Luro,Cotamutu,-8.54583,126.83087,
Afaia – Road Blocked,Road Closed,1/03/12,TL,Lautém,Luro,Luro,-8.54614,126.8342,
Camedar – Flood,Flood,4/03/12,TL,Manatuto,Barique/Natarbora,Abat Oan,-8.97185,126.05766,
Ranac – High Water,High Water,3/03/12,TL,Manatuto,Barique/Natarbora,Abat Oan,-8.97295,126.06049,
Waicadi – Landslide,Landslide,2/03/12,TL,Manatuto,Barique/Natarbora,Aubeon,-8.99122,126.06047,
Buburlolon – Landslide,Landslide,4/03/12,TL,Manatuto,Barique/Natarbora,Aubeon,-8.98212,126.06151,
Barique – Flood,Flood,4/03/12,TL,Manatuto,Barique/Natarbora,Barique,-8.84661,126.06213,
Webani – Power Cut,Power Failure,4/03/12,TL,Manatuto,Barique/Natarbora,Barique,-8.84802,126.06325,
Caunua – Power Cut,Power Failure,3/03/12,TL,Manatuto,Barique/Natarbora,Barique,-8.84709,126.06484,
Dambohum – Landslide,Landslide,1/03/12,TL,Manatuto,Barique/Natarbora,Manehat,-8.91402,125.96817,
Nuahuc -  Power Cut,Power Failure,2/03/12,TL,Manatuto,Barique/Natarbora,Manehat,-8.91471,125.97122,
Manehat -  Power Cut,Power Failure,29/02/12,TL,Manatuto,Barique/Natarbora,Manehat,-8.91313,125.96735,
Fatobalon -  Power Cut,Power Failure,2/03/12,TL,Manatuto,Barique/Natarbora,Manehat,-8.91371,125.97151,
Umaboco – High Water,High Water,1/03/12,TL,Manatuto,Barique/Natarbora,Uma Boco,-8.97564,126.04685,
Wemaubodak – Landslide,Landslide,28/02/12,TL,Manatuto,Barique/Natarbora,Uma Boco,-8.98091,126.05217,
Fahikrin - Blocked,Road Closed,28/02/12,TL,Manatuto,Barique/Natarbora,Uma Boco,-8.97673,126.0458,
Umaboco - Blocked,Road Closed,28/02/12,TL,Manatuto,Barique/Natarbora,Uma Boco,-8.97564,126.04685,
Hatomera – Power Cut,Power Failure,1/03/12,TL,Manatuto,Laclo,Hohorai,-8.60739,125.76415,
Condar – Power Cut,Power Failure,2/03/12,TL,Manatuto,Laclo,Umacaduac,-8.53194,125.96111,
Batamac - Trapped,People Trapped,29/02/12,TL,Manatuto,Laclubar,Funar,-8.75332,125.9,
Orlalan -  Water,High Water,29/02/12,TL,Manatuto,Laclubar,Orlalan,-8.75095,125.91619,
Nobularan – Strong Wind,Strong Wind,4/03/12,TL,Manufahi,Alas,Dotic,-9.05559,125.87713,
Wedauberek – Flash Flood,Flash Flood,28/02/12,TL,Manufahi,Alas,Mahaquidan,-9.12083,125.85278,
Alas - Water,High Water,28/02/12,TL,Manufahi,Alas,Mahaquidan,-9.02025,125.78933,
Cnuaalas – Trapped,People Trapped,28/02/12,TL,Manufahi,Alas,Mahaquidan,-9.02114,125.79641,
Alas – Power Cut,Power Failure,28/02/12,TL,Manufahi,Alas,Mahaquidan,-9.02025,125.78933,
Umamean – Collapsed,Bridge Closed,28/02/12,TL,Manufahi,Alas,Mahaquidan,-9.02327,125.78904,
Beremanek – Strong Wind,Strong Wind,1/03/12,TL,Manufahi,Alas,Mahaquidan,-9.02565,125.79127,
Orlora – Blocked,Road Closed,28/02/12,TL,Manufahi,Fatuberliu,Bubususo,-8.90505,125.76937,
Caicasa -  Blocked,Road Closed,3/03/12,TL,Manufahi,Fatuberliu,Caicasa,-9.04265,125.95873,
Clacuc – Blocked,Road Closed,1/03/12,TL,Manufahi,Fatuberliu,Clacuc,-9.00858,126.01099,
Akadiruhun – Trapped,People Trapped,4/03/12,TL,Manufahi,Same,Letefoho,-9.0125,125.65417,
Socemera -  Blocked,Road Closed,2/03/12,TL,Manufahi,Same,Tutuluro,-8.9824,125.69278,
Cailetiana – Landslide,Landslide,2/03/12,TL,Viqueque,Ossu,Builale,-8.68283,126.37154,
Samalogo - Flood,Flash Flood,29/02/12,TL,Viqueque,Ossu,Uabubo,-8.72887,126.43626,
Sogau - Landslide,Landslide,4/03/12,TL,Viqueque,Ossu,Uaibobo,-8.64489,126.48419,
Uatodere – Blocked,Road Closed,28/02/12,TL,Viqueque,Uatucarbau,Irabin de Baixo,-8.74861,126.70556,
Moassoe – Strong Wind,Strong Wind,3/03/12,TL,Viqueque,Uatucarbau,Irabin de Baixo,-8.71032,126.67143,
Lacoloroho – Flood,Flood,4/03/12,TL,Viqueque,Uatucarbau,Uani Uma,-8.72352,126.6784,
Kapuas – Flash Flood,Flash Flood,2/03/12,TL,Viqueque,Uatucarbau,Uani Uma,-8.75913,126.65734,
Kadilale – Flash Flood,Flash Flood,28/02/12,TL,Viqueque,Uatucarbau,Uani Uma,-8.75729,126.65859,
Comaoli – Trapped,People Trapped,29/02/12,TL,Viqueque,Uatucarbau,Uani Uma,-8.75537,126.67828,
Uatucarbau – Collapsed,Bridge Closed,29/02/12,TL,Viqueque,Uatucarbau,Uani Uma,-8.75708,126.6848,
Uaniuma – Road Blocked,Road Closed,2/03/12,TL,Viqueque,Uatucarbau,Uani Uma,-8.75577,126.68472,
Tanalale – Road Blocked,Road Closed,1/03/12,TL,Viqueque,Uatucarbau,Uani Uma,-8.75462,126.68839,
Lacoloroho – Strong Wind,Strong Wind,2/03/12,TL,Viqueque,Uatucarbau,Uani Uma,-8.72352,126.6784,
Naibaroc – Strong Wind,Strong Wind,28/02/12,TL,Viqueque,Viqueque,Uma Uain Craic,-8.88336,126.37619,
Ilalein – Blocked,Road Closed,4/03/12,TL,Viqueque,Watulari,Afaloicai,-8.70007,126.56998,
Vessoro - Flood,Flood,2/03/12,TL,Viqueque,Watulari,Babulo,-8.80058,126.57981,
