Organisation,Acronym,Catalog,GROUP_CODE,GROUP_DESCRIPTION,FAM,FAMILY_DESCRITPION,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,F,Food,PUL,Pulses,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,H,Housing,CHP,Chemicals & Pesticides,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,H,Housing,CLS,Clothing /Shoes,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,H,Housing,CON,Containers,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,H,Housing,COO,Cooking Food,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,H,Housing,FUR,Furniture For Housing,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,H,Housing,HEA,Heater,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,H,Housing,HYG,Hygiene Material,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,H,Housing,MAC,Machines & Engines,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,H,Housing,MIS,Miscellanous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,H,Housing,SHE,Shelter,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,I,Information Technology,BUD,FOR Budget,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,I,Information Technology,DES,Desktops,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,I,Information Technology,DIG,Digital Reproduction,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,I,Information Technology,HUB,Hub,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,I,Information Technology,LAP,Laptop,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,I,Information Technology,MIH,It-Hardware,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,I,Information Technology,MIS,Miscellaneous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,I,Information Technology,MON,Monitors For Pc,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,I,Information Technology,NEL,Network LAN,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,I,Information Technology,PRN,Printers,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,I,Information Technology,REP,Repairs,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,I,Information Technology,SCA,Scanner,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,I,Information Technology,SER,Server,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,I,Information Technology,SOF,Software,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,I,Information Technology,TEL,Telephones,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,I,Information Technology,UPS,Uninterruptible Power Supply,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,I,Information Technology,WLN,WirelessLAN,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,K,Kits & Sets,ADM,Administration,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,K,Kits & Sets,COM,Telecom,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,K,Kits & Sets,ENG,Engineering,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,K,Kits & Sets,MED,Medical / Health,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,K,Kits & Sets,MSI,Medical Surgical Instr,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,K,Kits & Sets,ORT,Orthopedic,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,K,Kits & Sets,REL,Relief,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,K,Kits & Sets,SAN,Sanitation,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,K,Kits & Sets,TVE,Transport,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,K,Kits & Sets,VET,Veterinary,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,K,Kits & Sets,WAT,Water & Watersupply,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,L,Library,DIC,Dictionnaries,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,L,Library,HAB,Habitat,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,L,Library,LOG,Logistic,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,L,Library,MAP,Geographical Maps,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,L,Library,MED,Medical / Health,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,L,Library,MIS,Miscellanous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,L,Library,PMD,PMD Publications/Films,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,L,Library,WAT,Water & Watersupply,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,M,Medical Renewable Items,ANE,Anaesthesia Equipment,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,M,Medical Renewable Items,CTD,"Catheters, Tubes, Drains",,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,M,Medical Renewable Items,DLI,Disp. Linen,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,M,Medical Renewable Items,DRE,Dressings,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,M,Medical Renewable Items,FOE,Forensic,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,M,Medical Renewable Items,INS,Injections Supplies,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,M,Medical Renewable Items,LAR,Laboratory Reagents,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,M,Medical Renewable Items,LAS,Laboratory Supplies,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,M,Medical Renewable Items,MIS,Miscellanous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,M,Medical Renewable Items,MRE,Miscellaneous Renewable Mater,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,M,Medical Renewable Items,SIN,Surgical Instruments,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,M,Medical Renewable Items,SNS,Sutures & Needles,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,M,Medical Renewable Items,STE,Sterilization,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,M,Medical Renewable Items,XRA,X-Ray Machines & Equipment,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,O,Prosthetic Technology,CPO,Component Prothesis Ortho,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,O,Prosthetic Technology,DRO,Orthopedic Dressings,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,O,Prosthetic Technology,HDW,Hardware /Engineering,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,O,Prosthetic Technology,MIS,Miscellanous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,O,Prosthetic Technology,OMA,Ortho. Machines,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,O,Prosthetic Technology,OTE,Orthopedic Teaching Items,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,O,Prosthetic Technology,PHY,Physio,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,O,Prosthetic Technology,PLA,Ortho Plastic,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,O,Prosthetic Technology,SBO,Ortho. Straps & Buckles,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,O,Prosthetic Technology,TOO,Tools,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,R,Economic Rehabilitation,AGR,Agricultural Equipment,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,R,Economic Rehabilitation,FER,Fertilizer,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,R,Economic Rehabilitation,FIS,Fishing Equipment,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,R,Economic Rehabilitation,MIS,Miscellanous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,R,Economic Rehabilitation,SEE,Seeds,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,S,Service,COU,Counsel,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,S,Service,MAI,Maintainance,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,S,Service,PAV,Print-Audio-Video,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,S,Service,REP,Repair,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,S,Service,RTL,Rental telecom,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,S,Service,SRV,Various,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,S,Service,TSP,Transports,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,BIK,Bike,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,BOA,Boats,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,FRD,Ford,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,FRK,Forklisfts,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,HIN,Hino,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,HON,Honda,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,HYU,Hyundai,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,KIA,Kia,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,LAN,Land Rover,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,LEY,Leyland,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,MAN,Man,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,MER,Mercedes,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,MIS,Miscellanous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,NIS,Nissan,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,PEU,Peugeot,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,REN,Renault,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,SCI,Scania,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,SUZ,Suzuki,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,TAT,Tata,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,TOY,Toyota,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,TRA,Trailers For Trucks,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,VEA,Vehicles accessories,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,VEC,Vehicles consumables,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,VOL,Volvo,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,VWA,Volkswagen,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,XIL,ILSBO trailer spareparts,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,XLA,Landrover Spareparts,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,XMA,Man Spareparts,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,XME,Mercedes Spareparts,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,XMI,Mitsubishi Spareparts,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,XPE,Peugeot Spareparts,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,XRN,Renault Spareparts,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,XSA,Samero Spare parts,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,XSC,Scania Spareparts,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,XSH,Schmitz spare Parts,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,XTO,Toyota Spareparts,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,XVO,Volvo Spareparts,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,T,Transport,YAM,Yamaha,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,U,ERU units kits & sets,ADM,Administration,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,U,ERU units kits & sets,COM,Telecom,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,U,ERU units kits & sets,ENG,Engineering,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,U,ERU units kits & sets,LOG,Logistic,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,U,ERU units kits & sets,MED,Medical/Heal,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,U,ERU units kits & sets,MSI,Surg. Instr,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,U,ERU units kits & sets,REL,Relief,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,U,ERU units kits & sets,WAT,Water & Watersupply,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,V,Veterinary,DRE,Dressings,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,V,Veterinary,EXT,External Use Drugs,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,V,Veterinary,INJ,Injections,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,V,Veterinary,INS,Injections Supplies,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,V,Veterinary,LAB,Laboratory Equipment,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,V,Veterinary,MEQ,Medical Equipment,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,V,Veterinary,MIS,Miscellaneous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,V,Veterinary,ORA,Oral Drugs,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,W,WatHab,ASD,Antiseptics & Disinfectants,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,W,WatHab,CHP,Chemicals & Pesticides,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,W,WatHab,CON,Containers,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,W,WatHab,MEA,Measuring & Marking,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,W,WatHab,MIS,Miscellanous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,W,WatHab,NEA,Network Accessories,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,W,WatHab,NEC,Network Couplings,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,W,WatHab,NEH,Network Hoses,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,W,WatHab,NEP,Network Pipes,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,W,WatHab,NEV,Network Valves,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,W,WatHab,PUC,Pump-combustion engine,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,W,WatHab,PUE,Pump-electrically driven,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,W,WatHab,PUH,Pump-handpump,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,W,WatHab,SAN,Sanitation,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,W,WatHab,SPP,Spare Parts for Pumps,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,W,WatHab,TOO,Tools,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,W,WatHab,WAK,Wattanks,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,W,WatHab,WAT,Water & Watersupply,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,W,WatHab,WTE,Water Treatment Equipment,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,W,WatHab,WTU,Water Treatment Unit,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,X,Medical Equipment & Instrument,ANE,Anaesthesia Equipment,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,X,Medical Equipment & Instrument,COL,Cold Chain Materials,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,X,Medical Equipment & Instrument,CTD,"Catheters, Tubes, Drains",,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,X,Medical Equipment & Instrument,FIX,Fixators,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,X,Medical Equipment & Instrument,LAB,Laboratory Equipment,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,X,Medical Equipment & Instrument,LIN,Linen & Operative  Fie,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,X,Medical Equipment & Instrument,MEQ,Medical Equipment,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,X,Medical Equipment & Instrument,MIS,Miscellaneous,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,X,Medical Equipment & Instrument,SEQ,Surgical Equipment,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,X,Medical Equipment & Instrument,SID,Dental Instruments,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,X,Medical Equipment & Instrument,SIN,Surgical Instruments,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,X,Medical Equipment & Instrument,STE,Sterilization,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,X,Medical Equipment & Instrument,TRN,Training,,,
International Federation of Red Cross and Red Crescent Societies,IFRC,ERIC - Complete,X,Medical Equipment & Instrument,XRA,X-Ray Machines & Equipment,,,
