Organisation,Branch,SubBranch,SubSubBranch,Acronym,Type,Region,Country,Website,Facebook,Twitter,Domain
American Red Cross,Crossroads Division,Kentuckiana Region,Jefferson County,,Red Cross / Red Crescent,IN,US,http://www.redcross.org/in/madison,https://www.facebook.com/pages/Jefferson-County-Red-Cross/103941623015277,jeffcoredcross,
American Red Cross,Crossroads Division,Kentuckiana Region,Louisville Area,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Kentuckiana Region,Mid-West Kentucky,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Kentuckiana Region,Nelson County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Kentuckiana Region,Paducah Area,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Northeast Ohio Region,,,Red Cross / Red Crescent,OH,US,,,NEORedCross,
American Red Cross,Crossroads Division,Northeast Ohio Region,American Red Cross of Summit and Portage Counties,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/akron,http://www.facebook.com/akronredcross,,
American Red Cross,Crossroads Division,Northeast Ohio Region,American Red Cross of the Mahoning Valley,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/warren,http://www.facebook.com/AmericanRedCrossOfTheMahoningValley,,
American Red Cross,Crossroads Division,Northeast Ohio Region,Ashtabula County,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/ashtabula,http://www.facebook.com/AshtabulaCountyAmericanRedCross,,
American Red Cross,Crossroads Division,Northeast Ohio Region,Firelands,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/sandusky,http://www.facebook.com/ARCFirelandsChapter,,
American Red Cross,Crossroads Division,Northeast Ohio Region,Greater Cleveland,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/cleveland,https://www.facebook.com/RedCrossCleveland,,
American Red Cross,Crossroads Division,Northeast Ohio Region,Holmes County,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/millersburg,,,
American Red Cross,Crossroads Division,Northeast Ohio Region,Jefferson County,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/wintersville,https://www.facebook.com/pages/Jefferson-County-Ohio-American-Red-Cross/127543370468,,
American Red Cross,Crossroads Division,Northeast Ohio Region,Lorain County,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/elyria,http://www.facebook.com/LorainCountyRedCross,,
American Red Cross,Crossroads Division,Northeast Ohio Region,Medina County,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/medina,http://www.facebook.com/pages/American-Red-Cross-of-Medina-County/171669222867470,,
American Red Cross,Crossroads Division,Northeast Ohio Region,Muskingum Lakes,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/new-philadelphia,http://www.facebook.com/mlcredcross,,
American Red Cross,Crossroads Division,Northeast Ohio Region,Richland County,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/mansfield,https://www.facebook.com/AmericanRedCrossRichlandCounty,,
American Red Cross,Crossroads Division,Northeast Ohio Region,Stark County,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/canton,http://www.facebook.com/pages/American-Red-Cross-Stark-County-Chapter/368166845519,,
American Red Cross,Crossroads Division,Northeast Ohio Region,Wayne County,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/wooster,https://www.facebook.com/AmericanRedCrossWayneCountyOhio,,
American Red Cross,Crossroads Division,Northwest Ohio Region,American Red Cross of Northwest Ohio,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/toledo,https://www.facebook.com/redcrossnwohio,redcrossnwo,
American Red Cross,Crossroads Division,Northwest Ohio Region,Hancock County,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/findlay,https://www.facebook.com/HancockCountyRedCross,HancockRedCross,
American Red Cross,Crossroads Division,Northwest Ohio Region,West Central Ohio,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/lima,https://www.facebook.com/redcrosswco,,
American Red Cross,Crossroads Division,Southeast Michigan Region,Monroe County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Southeast Michigan Region,Saint Clair County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Southeast Michigan Region,Southeastern Michigan,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Southeast Michigan Region,Washtenaw-Lenawee,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,West Michigan Region,American Red Cross of Greater Grand Rapids,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,West Michigan Region,American Red Cross of Greater Kalamazoo Area,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,West Michigan Region,American Red Cross of Northwest Michigan,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,West Michigan Region,Berrien County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,West Michigan Region,Muskegon-Oceana,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,West Michigan Region,Ottawa County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,West Virginia Region,Central West Virginia,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,West Virginia Region,Eastern Panhandle,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,West Virginia Region,Fayette-Nicholas,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,West Virginia Region,Greenbrier Valley,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,West Virginia Region,Mid-Ohio Valley,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,West Virginia Region,North Central West Virginia,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,West Virginia Region,River Valley,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,ARC in the National Capital Region,ARC in the National Capital Region,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Carolina Piedmont Region,Burke County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Carolina Piedmont Region,Cabarrus County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Carolina Piedmont Region,Catawba Valley,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Carolina Piedmont Region,Cleveland County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Carolina Piedmont Region,Elizabeth Hanford Dole,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Carolina Piedmont Region,Gaston County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Carolina Piedmont Region,Greater Carolinas,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Carolina Piedmont Region,Lincoln County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Carolina Piedmont Region,Stanly County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Carolina Piedmont Region,Union County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Central PA Region,American Red Cross of the Cumberland Valley,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Central PA Region,American Red Cross of the Susquehanna Valley,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Central PA Region,Centre Communities,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Central PA Region,Greater Hanover,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Central PA Region,Northcentral Pennsylvania,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Central PA Region,SUN Area,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Central PA Region,Southern Alleghenies,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Central PA Region,York Chapter of the American Red Cross,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Chesapeake Region,American Red Cross of Southern Maryland,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Chesapeake Region,Central Maryland,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Chesapeake Region,Frederick County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Chesapeake Region,Washington County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Chesapeake Region,Western Potomac,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Delmarva Region,American Red Cross of the Delmarva Peninsula,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Delmarva Region,Lower Shore,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Eastern NC Region,Cape Fear,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Eastern NC Region,Coastal Carolina,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Eastern NC Region,Frederick E Turnage,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Eastern NC Region,Greater Albemarle Area,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Eastern NC Region,Greater Pamlico Area,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Eastern NC Region,Lenoir County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Eastern NC Region,Onslow County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Eastern NC Region,Pitt County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Eastern NC Region,Wayne County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Eastern Virginia Region,Colonial Virginia,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Eastern Virginia Region,Gloucester County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Eastern Virginia Region,Greater Richmond,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Eastern Virginia Region,Halifax County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Eastern Virginia Region,Hampton Roads,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Eastern Virginia Region,Northumberland County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Eastern Virginia Region,Rappahannock Area,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Eastern Virginia Region,River Counties,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Eastern Virginia Region,Southeastern Virginia,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Eastern Virginia Region,Southside Area,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Eastern Virginia Region,Suffolk,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Eastern Virginia Region,York-Poquoson,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Heart of Carolina Region,Blue Ridge,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Heart of Carolina Region,Greater High Point-Davidson,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Heart of Carolina Region,Greensboro,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Heart of Carolina Region,Northwest North Carolina,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Heart of Carolina Region,Piedmont Carolina,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Heart of Carolina Region,Rockingham County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Heart of Carolina Region,Surry County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Northeast PA Region,American Red Cross of Lackawanna County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Northeast PA Region,American Red Cross of the Greater Lehigh Valley,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Northeast PA Region,American Red Cross of the Poconos,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Northeast PA Region,Berks County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Northeast PA Region,Bloomsburg,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Northeast PA Region,Bradford-Sullivan Counties,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Northeast PA Region,Danville Area,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Northeast PA Region,Greater Berwick,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Northeast PA Region,Hazleton,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Northeast PA Region,Schuylkill County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Northeast PA Region,Susquehanna and Wyoming Counties,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Northeast PA Region,Wayne Pike,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Northeast PA Region,Wyoming Valley,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Palmetto South Carolina Region,American Red Cross of Central SC,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Palmetto South Carolina Region,Aiken Area,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Palmetto South Carolina Region,Carolina Lowcountry,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Palmetto South Carolina Region,Coastal South Carolina,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Palmetto South Carolina Region,Pee Dee,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Palmetto South Carolina Region,Upper Palmetto,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Philadelphia Region,Southeastern Pennsylvania,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Triangle Region,Central North Carolina,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Triangle Region,Highlands,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Triangle Region,Moore County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Triangle Region,Scotland County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Triangle Region,Triangle Area,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Virginia Mountain Region,ARC Top of Virginia,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Virginia Mountain Region,Central Virginia,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Virginia Mountain Region,Greater New River Valley,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Virginia Mountain Region,Historic Virginia,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Virginia Mountain Region,Mountain Empire,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Virginia Mountain Region,Piedmont Virginia,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Virginia Mountain Region,Roanoke Valley,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Virginia Mountain Region,Wood's River,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Western Carolinas Region,American Red Cross of Upstate SC,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Western Carolinas Region,Asheville-Mountain Area,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Western Carolinas Region,Henderson County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Western Carolinas Region,Oconee County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Mid-Atlantic Division,Western Carolinas Region,Polk County,,Red Cross / Red Crescent,,US,,,,
