Organisation,Acronym,Name L10n:ar,Name L10n:da,Name L10n:de,Name L10n:es,Name L10n:fr,Name L10n:id,Name L10n:is,Name L10n:it,Name L10n:prs,Name L10n:ps,Name L10n:pt,Acronym L10n:es,Type,Region,Country,Website,Twitter,Domain
Bolivian Red Cross,,,,,Cruz Roja Boliviana,,,,,,,,CRB,Red Cross / Red Crescent,South America,BO,www.cruzrojaboliviana.org,,cruzrojaboliviana.org
Botswana Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Southern Africa,BW,,,
Brazilian Red Cross,,,,,Cruz Roja Brasileña,,,,,,,,,Red Cross / Red Crescent,South America,BR,www.cruzvermelha.org.br,,cvb.org.br 
British Red Cross,,,,,,,,,,,,,,Red Cross / Red Crescent,Western Europe,GB,www.redcross.org.uk,,redcross.org.uk
Brunei Darussalam Red Crescent Society,,,,,,,,,,,,,,Red Cross / Red Crescent,South East Asia,BN,,,
Burkinabe Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Sahel,BF,,,
Burundi Red Cross,,,,,,,,,,,,,,Red Cross / Red Crescent,East Africa,BI,,,
Cambodian Red Cross Society,CRC,,,,,,,,,,,,,Red Cross / Red Crescent,South East Asia,KH,www.redcross.org.kh,,redcross.org.kh
Cameroon Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Central Africa,CM,,,
Canadian Red Cross,,,,,,,,,,,,,,Red Cross / Red Crescent,North America,CA,www.redcross.ca,,redcross.ca
Central African Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Central Africa,CF,,,
Chilean Red Cross,,,,,Cruz Roja Chilena,,,,,,,,CRC,Red Cross / Red Crescent,South America,CL,www.cruzroja.cl,,
Colombian Red Cross Society,,,,,Cruz Roja Colombiana,,,,,,,,CRC,Red Cross / Red Crescent,South America,CO,www.cruzrojacolombiana.org,,cruzrojacolombiana.org
Comoros Red Crescent,,,,,,,,,,,,,,Red Cross / Red Crescent,Indian Ocean,KM,,,
Congolese Red Cross,,,,,,,,,,,,,,Red Cross / Red Crescent,Central Africa,CG,,,
Cook Islands Red Cross,,,,,,,,,,,,,,Red Cross / Red Crescent,Pacific,CK,www.redcross.org.ck,,redcross.org.ck
Costa Rican Red Cross,,,,,Cruz Roja Costarricense,,,,,,,,,Red Cross / Red Crescent,Central America,CR,www.cruzroja.or.cr,,cruzroja.or.cr
Cuban Red Cross,,,,,Cruz Roja Cubana,,,,,,,,CRC,Red Cross / Red Crescent,Latin Caribbean,CU,www.sld.cu/sitios/cruzroja/,,
Danish Red Cross,DRK,,Dansk Rode Kors,,,,,,,,,,,Red Cross / Red Crescent,Western Europe,DK,,,
Djibouti Red Crescent,,,,,,,,,,,,,,Red Cross / Red Crescent,East Africa,DJ,,,
Dominica Red Cross Society,,,,,Sociedad de la Cruz Roja de Dominica,,,,,,,,,Red Cross / Red Crescent,Latin Caribbean,DM,www.caribbeanredcross.org/index.php/national-societies/dominica,,redcross.dm
Dominican Red Cross,,,,,Cruz Roja Dominicana,,,,,,,,CRD,Red Cross / Red Crescent,Latin Caribbean,DO,www.cruzroja.org.do,,
Ecuadorian Red Cross,,,,,Cruz Roja Ecuatoriana,,,,,,,,CRE,Red Cross / Red Crescent,South America,EC,www.cruzroja.org.ec,,
Egyptian Red Crescent,,,,,,,,,,,,,,Red Cross / Red Crescent,North Africa,EG,www.egyptianrc.org,,
Ethiopian Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,East Africa,ET,,,
Fiji Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Pacific,FJ,www.redcross.com.fj,,redcross.com.fj
Finnish Red Cross,FRC,,,,,,,,,,,,,Red Cross / Red Crescent,Western Europe,FI,www.redcross.fi,PunainenRisti,punainenristi.fi
French Red Cross,,,,,,Croix Rouge Française,,,,,,,,Red Cross / Red Crescent,Western Europe,FR,,,
Gabonese Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Central Africa,GA,,,
Gambia Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Sahel,GM,,,
German Red Cross,DRK,,,Deutsches Rotes Kreuz,,,,,,,,,,Red Cross / Red Crescent,Western Europe,DE,www.drk.de,,drk.de
Ghana Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,West Coast,GH,,,
Grenada Red Cross Society,,,,,Cruz Roja de Granada,,,,,,,,,Red Cross / Red Crescent,English Caribbean,GD,www.grenadaredcross.org,,
Guatemalan Red Cross,,,,,Cruz Roja Guatemalteca,,,,,,,,CRG,Red Cross / Red Crescent,Central America,GT,www.cruzroja.gt,,cruzroja.gt
Guyana Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,South America,GY,guyanaredcross.org.gy,,guyanaredcross.org.gy
Haiti Red Cross Society,,,,,Sociedad Nacional de la Cruz Roja Haitiana,,,,,,,,,Red Cross / Red Crescent,Latin Caribbean,HT,www.croixrouge.ht,KwaWouj,croixrouge.ht
Honduran Red Cross,,,,,Cruz Roja Hondureña,,,,,,,,CRH,Red Cross / Red Crescent,Central America,HN,www.cruzroja.org.hn,cruzrojahon,cruzroja.org.hn
Hong Kong Red Cross,,,,,,,,,,,,,,Red Cross / Red Crescent,East Asia,HK,www.redcross.org.hk,,redcross.org.hk
Icelandic Red Cross,,,,,,,,Rauða krossinn,,,,,,Red Cross / Red Crescent,Western Europe,IS,www.raudikrossinn.is,,raudikrossinn.is
Indian Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,South Asia,IN,www.indianredcross.org,,indianredcross.org
Indonesian Red Cross Society,PMI,,,,,,Palang Merah Indonesia,,,,,,,Red Cross / Red Crescent,South East Asia,ID,www.pmi.or.id/ina,,pmi.or.id
Iraqi Red Crescent Society,IRCS,جمعية الهلال الاحمر العراقي,,,,,,,,,,,,Red Cross / Red Crescent,Middle East,IQ,,,
Italian Red Cross,CRI,,,,,,,,Croce Rossa Italiana,,,,,Red Cross / Red Crescent,Western Europe,IT,www.cri.it,,cri.it
Jamaica Red Cross,,,,,Cruz Roja de Jamaica,,,,,,,,,Red Cross / Red Crescent,English Caribbean,JM,www.jamaicaredcross.org,,
Japanese Red Cross Society,JRC,,,,,,,,,,,,,Red Cross / Red Crescent,East Asia,JP,www.jrc.or.jp,,jrc.or.jp
Jordan Red Crescent,,,,,,,,,,,,,,Red Cross / Red Crescent,Middle East,JO,jnrcs.org,,
Kenya Red Cross,,,,,,,,,,,,,,Red Cross / Red Crescent,East Africa,KE,,,
Kiribati Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Pacific,KI,,,
Kuwait Red Crescent Society,KRCS,,,,,,,,,,,,,Red Cross / Red Crescent,Gulf,KW,www.krcs.org.kw,,krcs.org.kw
Lao Red Cross,,,,,,,,,,,,,,Red Cross / Red Crescent,South East Asia,LA,www.laoredcross.org,,laoredcross.org
Lebanese Red Cross,,,,,,,,,,,,,,Red Cross / Red Crescent,Middle East,LB,www.redcross.org.lb,,redcross.org.lb
Lesotho Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Southern Africa,LS,,,
Liberian Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,West Coast,LR,,,
Libyan Red Crescent ,,,,,,,,,,,,,,Red Cross / Red Crescent,North Africa,LY,,,
Luxembourg Red Cross,,,,,,,,,,,,,,Red Cross / Red Crescent,Western Europe,LU,www.croix-rouge.lu,,croix-rouge.lu
Macau Red Cross,,,,,,,,,,,,,,Red Cross / Red Crescent,East Asia,MO,www.redcross.org.mo,,redcross.org.mo
Malagasy Red Cross Society,CRMADA,,,,,Croix-Rouge Malagasy,,,,,,,,Red Cross / Red Crescent,Indian Ocean,MG,www.croixrougemalagasy.org,madaredcross,crmada.org
Malawi Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Southern Africa,MW,,,
Malaysian Red Crescent Society,,,,,,,,,,,,,,Red Cross / Red Crescent,South East Asia,MY,www.redcrescent.org.my,,redcrescent.org.my
Maldivian Red Crescent,,,,,,,,,,,,,,Red Cross / Red Crescent,South Asia,MV,www.redcrescent.org.mv,,redcrescent.org.mv
Mali Red Cross,,,,,,,,,,,,,,Red Cross / Red Crescent,Sahel,ML,,,
Mauritanian Red Crescent,,,,,,,,,,,,,,Red Cross / Red Crescent,Sahel,MR,,,
Mauritius Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Indian Ocean,MU,,,
Magen David Adom in Israel,,,,,,,,,,,,,,Red Cross / Red Crescent,Middle East,IL,,,
Mexican Red Cross,,,,,Cruz Roja Mexicana,,,,,,,,CRM,Red Cross / Red Crescent,Central America,MX,www.cruzrojamexicana.org.mx,,
Micronesia Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Pacific,FM,,,
Mongolian Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,East Asia,MN,www.redcross.mn,,redcross.mn
Moroccan Red Crescent ,,,,,,,,,,,,,,Red Cross / Red Crescent,North Africa,MA,,,
Mozambique Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Southern Africa,MZ,,,
Myanmar Red Cross Society,MRCS,,,,,,,,,,,,,Red Cross / Red Crescent,South East Asia,MM,www.myanmarredcross.org.mm,,redcross.org.mm
Namibia Red Cross,,,,,,,,,,,,,,Red Cross / Red Crescent,Southern Africa,NA,,,
Nepal Red Cross Society,NRCS,,,,,,,,,,,,,Red Cross / Red Crescent,South Asia,NP,www.nrcs.org,,nrcs.org
Netherlands Red Cross,,,,,,,,,,,,,,Red Cross / Red Crescent,Western Europe,NL,www.rodekruis.nl,,rodekruis.nl
New Zealand Red Cross,NZRC,,,,,,,,,,,,,Red Cross / Red Crescent,Pacific,NZ,www.redcross.org.nz,NZRedCross,redcross.org.nz
Nicaraguan Red Cross,,,,,Cruz Roja Nicaragüense,,,,,,,,,Red Cross / Red Crescent,Central America,NI,cruzrojanicaraguense.org,,
Nigerian Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,West Coast,NG,,,
Norwegian Red Cross,,,,,,,,,,,,,,Red Cross / Red Crescent,Western Europe,NO,www.rodekors.no,,rodekors.no
Pakistan Red Crescent Society,PRCS,,,,,,,,,,,,,Red Cross / Red Crescent,South Asia,PK,www.prcs.org.pk,,prcs.org.pk
Palau Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Pacific,PW,,,
Palestine Red Crescent Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Middle East,PS,www.palestinercs.org,,
Papua New Guinea Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Pacific,PG,,,
Paraguayan Red Cross,,,,,Cruz Roja Paraguaya,,,,,,,,CRP,Red Cross / Red Crescent,South America,PY,www.cruzroja.org.py,,
Peruvian Red Cross,,,,,Cruz Roja Peruana,,,,,,,,,Red Cross / Red Crescent,South America,PE,www.cruzroja.org.pe,,
Philippine Red Cross,PRC,,,,,,,,,,,,,Red Cross / Red Crescent,South East Asia,PH,www.redcross.org.ph,,redcross.org.ph
Qatar Red Crescent Society,QRC,,,,,,,,,,,,,Red Cross / Red Crescent,Gulf,QA,,,
Red Crescent Society of Kyrgyzstan,RCSK,,,,,,,,,,,,,Red Cross / Red Crescent,Central Asia,KG,,,
Red Crescent Society of Tajikistan,RCST,,,,,,,,,,,,,Red Cross / Red Crescent,Central Asia,TJ,,,
Red Crescent Society of the Islamic Republic of Iran,,,,,,,,,,,,,,Red Cross / Red Crescent,Middle East,IR,www.rcs.ir ,,rcs.ir
Red Crescent Society of the United Arab Emirates,,,,,,,,,,,,,,Red Cross / Red Crescent,Gulf,AE,www.rcuae.ae,,rcuae.ae
Red Crescent Society of Uzbekistan,,,,,,,,,,,,,,Red Cross / Red Crescent,Central Asia,UZ,,,
Red Cross of Benin,,,,,,,,,,,,,,Red Cross / Red Crescent,West Coast,BJ,,,
Red Cross of Cape Verde,,,,,,,,,,,,,,Red Cross / Red Crescent,Sahel,CV,,,
Red Cross of Chad,,,,,,,,,,,,,,Red Cross / Red Crescent,Central Africa,TD,,,
Red Cross of Equatorial Guinea,,,,,,,,,,,,,,Red Cross / Red Crescent,Sahel,GQ,,,
Red Cross of the Democratic Republic of the Congo,,,,,,Croix-Rouge de la Rép Dém du Congo,,,,,,,,Red Cross / Red Crescent,Central Africa,CD,,,
Red Cross Rwanda,,,,,,,,,,,,,,Red Cross / Red Crescent,East Africa,RW,,,
Red Cross Society of China,RCSC,,,,,,,,,,,,,Red Cross / Red Crescent,East Asia,CN,www.redcross.org.cn,,redcross.org.cn
Red Cross Society of Côte d'Ivoire,,,,,,,,,,,,,,Red Cross / Red Crescent,West Coast,CI,,,
Red Cross Society of Eritrea,,,,,,,,,,,,,,Red Cross / Red Crescent,East Africa,ER,,,
Red Cross Society of Guinea,,,,,,,,,,,,,,Red Cross / Red Crescent,Central Africa,GN,,,
Red Cross Society of Guinea-Bissau,,,,,,,,,,,,,,Red Cross / Red Crescent,Sahel,GW,,,
Red Cross Society of Niger,,,,,,,,,,,,,,Red Cross / Red Crescent,Sahel,NE,,,
Red Cross Society of Panama,,,,,Cruz Roja Panameña,,,,,,,,,Red Cross / Red Crescent,Central America,PA,www.cruzroja.org.pa,,
Red Cross Society of the Democratic People's Republic of Korea,,,,,,,,,,,,,,Red Cross / Red Crescent,East Asia,KP,,,
Red Cross Society of the Republic of China (Taiwan),,,,,,,,,,,,,,Red Cross / Red Crescent,East Asia,TW,www.redcross.org.tw,,redcross.org.tw
Republic of Korea National Red Cross,,,,,,,,,,,,,,Red Cross / Red Crescent,East Asia,KR,redcross.or.kr,,redcross.or.kr
Saint Kitts and Nevis Red Cross Society,,,,,Cruz Roja de Saint Kitts y Nevis,,,,,,,,,Red Cross / Red Crescent,English Caribbean,KN,www.caribbeanredcross.org/index.php/national-societies/st-kitts-a-nevis-,,
Saint Lucia Red Cross,,,,,Cruz Roja de Santa Lucía,,,,,,,,,Red Cross / Red Crescent,English Caribbean,LC,www.caribbeanredcross.org/index.php/national-societies/st-lucia,,
Saint Vincent and the Grenadines Red Cross,,,,,Cruz Roja de San Vicente y las Granadinas,,,,,,,,,Red Cross / Red Crescent,English Caribbean,VC,www.caribbeanredcross.org/index.php/national-societies/st-vincent-athe-grenadines-,,
Salvadorean Red Cross Society,,,,,Cruz Roja Salvadoreña,,,,,,,,CRS,Red Cross / Red Crescent,Central America,SV,www.cruzrojasal.org.sv,,cruzrojasal.org.sv
Samoa Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Pacific,WS,www.redcross.org.ws,,redcross.org.ws
Sao Tome and Principe Red Cross,,,,,,,,,,,,,,Red Cross / Red Crescent,Central Africa,ST,,,
Saudi Red Crescent Authority,,,,,,,,,,,,,,Red Cross / Red Crescent,Gulf,SA,saudiredcrescent.com,,
Senegalese Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Sahel,SN,,,
Seychelles Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Indian Ocean,SC,,,
Sierra Leone Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,West Coast,SL,,,
Singapore Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,South East Asia,SG,redcross.org.sg,,redcross.org.sg
Solomon Islands Red Cross,,,,,,,,,,,,,,Red Cross / Red Crescent,Pacific,SB,solomonredcross.blogspot.com,,
Somali Red Crescent Society,,,,,,,,,,,,,,Red Cross / Red Crescent,East Africa,SO,,,
South African Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Southern Africa,ZA,,,
South Sudan Red Cross,,,,,,,,,,,,,,Red Cross / Red Crescent,East Africa,SS,,,
Spanish Red Cross,,,,,Cruz Roja Española,,,,,,,,,Red Cross / Red Crescent,Western Europe,ES,,,
Sri Lanka Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,South Asia,LK,www.redcross.lk,,redcross.lk
Sudan Red Crescent Society,,,,,,,,,,,,,,Red Cross / Red Crescent,East Africa,SD,,,
Suriname Red Cross,,,,,Cruz Roja de Suriname,,,,,,,,,Red Cross / Red Crescent,South America,SR,www.caribbeanredcross.org/index.php/national-societies/suriname,,
Swaziland Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Southern Africa,SZ,,,
Swedish Red Cross,,,,,,,,,,,,,,Red Cross / Red Crescent,Western Europe,SE,www.redcross.se,,redcross.se
Swiss Red Cross,SRC,,,Schweizerisches Rotes Kreuz,,,,,,,,,,Red Cross / Red Crescent,Western Europe,CH,www.redcross.ch,,redcross.ch
Syrian Arab Red Crescent,SARC,,,,,,,,,,,,,Red Cross / Red Crescent,Middle East,SY,www.sarc.sy,,sarc.sy
Tanzania Red Cross,,,,,,,,,,,,,,Red Cross / Red Crescent,East Africa,TZ,,,
Thai Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,South East Asia,TH,www.redcross.or.th,,redcross.or.th
Timor-Leste Red Cross Society,CVTL,,,,,,,,,,,Cruz Vermelha de Timor-Leste,,Red Cross / Red Crescent,South East Asia,TL,www.redcross.tl,,redcross.tl
Togolese Red Cross,,,,,,,,,,,,,,Red Cross / Red Crescent,West Coast,TG,,,
Trinidad and Tobago Red Cross Society,,,,,Cruz Roja de Trinidad y Tobago,,,,,,,,,Red Cross / Red Crescent,English Caribbean,TT,www.caribbeanredcross.org/index.php/national-societies/trinidad-a-tobago,,
Tonga Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Pacific,TO,,,
Tunisian Red Crescent ,,,,,,,,,,,,,,Red Cross / Red Crescent,North Africa,TN,,,
Turkish Red Crescent Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Turkey and Southern Caucasus,TR,www.kizilay.org.tr,,
Tuvalu Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Pacific,TV,,,
Uganda Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,East Africa,UG,,,
Uruguayan Red Cross,,,,,Cruz Roja Uruguaya,,,,,,,,,Red Cross / Red Crescent,South America,UY,www.cruzrojauruguaya.org,,
Vanuatu Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Pacific,VU,,,
Venezuelan Red Cross,,,,,Sociedad Venezolana de la Cruz Roja,,,,,,,,,Red Cross / Red Crescent,South America,VE,www.cruzrojavenezolana.org,,
Viet Nam Red Cross,VNRC,,,,,,,,,,,,,Red Cross / Red Crescent,South East Asia,VN,www.redcross.org.vn,,redcross.org.vn
Yemen Red Crescent Society,YRCS,الهلال الأحمر اليمني,,,,,,,,,,,,Red Cross / Red Crescent,Gulf,YE,yemenredcrescent.org,yemenrcs,yemenredcrescent.org
Zambia Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Southern Africa,ZM,,,
Zimbabwe Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Southern Africa,ZW,,,
